,abstract,subjects,eprint_status,status_changed,metadata_visibility,place_of_pub,rev_number,title,eprintid,datestamp,userid,lastmod,uri,full_text_status,publisher,documents,ispublished,divisions,type,dir,date,creators,date_type,volume,official_url,publication,issn,pagerange,refereed,number,event_location,event_title,event_dates,event_type,pres_type,related_url,corp_creators,contributors
0,"Kambing Saburai merupakan hasil perkawinan silang secara grading up antara kambing Boer jantan
dan kambing Peranakan Etawah (PE) betina. Penelitian bertujuan untuk mengkaji performa produksi
Kambing Saburai jantan pada dua wilayah sumber bibit yaitu di Kecamatan Gisting dan Sumberejo,
Kabupaten Tanggamus, Provinsi Lampung. Penelitian dilakukan melalui metode survei dengan mengamati
90 ekor Kambing Saburai jantan di Kecamatan Gisting dan 90 ekor Kambing Saburai jantan di Kecamatan
Sumberejo, Kabupaten Tanggamus, Provinsi Lampung. Sampel pengamatan ditentukan melalui metode
purposive sampling. Peubah yang diukur meliputi bobot lahir (BL), bobot sapih (BS), bobot umur satu tahun
(BSt), pertambahan bobot badan harian (PBBH) prasapih dan pascasapih. Data hasil pengamatan di
Kecamatan Gisting dan Kecamatan Sumberejo dianalisis menggunakan uji t-student. Hasil penelitian
menunjukkan bahwa BL (3,42+0,28 kg), BS (16,22+3,77 kg), BSt (36,56+4,85 kg), PBBH prasapih
(140+0,04 g/ekor/hari), PBBH pascasapih (70+0,02 g/ekor/hari). Kambing Saburai di Kecamatan Gisting
berbeda tidak nyata (P>0,05) dengan Kambing Saburai di Kecamatan Sumberejo (BL 3,48+0,41 kg, BS
16,85+2,58 kg, BSt 38,30+5,35 kg, PBBH prasapih 150+0,03 g/ekor/hari, PBBH pascasapih 80+0,02
g/ekor/hari).",['SF'],archive,2019-08-01 06:50:30,show,Sains Peternakan,9,Performan Produksi Kambing Saburai Jantan Pada Dua Wilayah Sumber Bibit di Kabupaten Tanggamus,13668,2019-08-01 06:50:30,444,2019-08-01 06:50:30,http://repository.lppm.unila.ac.id/id/eprint/13668,public,UNS,"[{'eprintid': 13668, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '5. review  K_Adhianto dkk  Sains Peternakan p.pdf', 'docid': 26679, 'files': [{'hash_type': 'MD5', 'mtime': '2019-07-26 02:07:59', 'filename': '5. review  K_Adhianto dkk  Sains Peternakan p.pdf', 'hash': '74ebee65a0060332ffb322adbe24cb7b', 'fileid': 119256, 'mime_type': 'application/pdf', 'filesize': 868463, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119256', 'objectid': 26679}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26679'}]",pub,['FP17'],other,disk0/00/01/36/68,1970-01-01 00:00:00.000002016,"[{'name': {'given': 'Kusuma', 'lineage': None, 'honourific': None, 'family': 'Adhianto'}, 'id': '.'}, {'id': '.dima.iqbal@fp.unila.ac,id', 'name': {'given': 'M Dima Iqbal', 'honourific': None, 'family': 'Hamdani', 'lineage': None}}, {'id': None, 'name': {'family': 'Sulastri', 'honourific': None, 'lineage': None, 'given': 'Sulastri'}}, {'id': None, 'name': {'given': 'Indah', 'honourific': None, 'family': 'Listiana', 'lineage': None}}]",,,,,,,,,,,,,,,,
1,"Kambing Saburai merupakan hasil perkawinan silang secara grading up antara kambing Boer jantan dan kambing Peranakan Etawah (PE) betina. Penelitian bertujuan untuk mengkaji performa produksi Kambing Saburai jantan pada dua wilayah sumber bibit yaitu di Kecamatan Gisting dan Sumberejo, Kabupaten Tanggamus, Provinsi Lampung.  Penelitian dilakukan melalui metode survai dengan mengamati 90 ekor Kambing Saburai jantan di Kecamatan Gisting dan 90 ekor Kambing Saburai jantan di Kecamatan Sumberejo, Kabupaten Tanggamus, Provinsi Lampung.  Sampel pengamatan ditentukan melalui metode purposive sampling.  Peubah yang diukur meliputi bobot lahir (BL), bobot sapih (BS), bobot umur satu tahun (BSt), pertambahan bobot badan harian (PBBH) prasapih dan pasca-sapih.  Data hasil pengamatan di Kecamatan Gisting dan Kecamatan Sumberejo dianalisis menggunakan uji t-student.  Hasil penelitian menunjukkan bahwa BL (3,42+0,28 kg), BS (16,22+3,77 kg), BSt (36,56+4,85 kg), PBBH prasapih (140+0,04 g/ekor/hari), PBBH pascasapih (70+0.02 g/ekor/hari) Kambing Saburai di Kecamatan Gisting berbeda tidak nyata (P>0,05) dengan Kambing Saburai di Kecamatan Sumberejo (BL 3,48+0,41 kg, BS 16,85+2,58 kg, BSt 38,30+5,35 kg, PBBH prasapih 150+0,03 g/ekor/hari, PBBH pascasapih 80+0,02 g/ekor/hari).",['SF'],archive,2016-11-08 03:47:30,show,,6,"Performan Produksi Kambing Saburai Jantan 
Pada Dua Wilayah Sumber Bibit Di Kabupaten Tanggamus",1080,2016-11-08 03:47:30,444,2016-11-08 03:47:30,http://repository.lppm.unila.ac.id/id/eprint/1080,public,Jurusan Peternakan FP UNS,"[{'main': 'makalah terbit.pdf', 'docid': 970, 'files': [{'filename': 'makalah terbit.pdf', 'hash': '98eaf6cfe74922962c716b8ffe8b1c5b', 'mtime': '2016-11-08 01:31:31', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 7154, 'filesize': 6361922, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/7154', 'objectid': 970}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/970', 'rev_number': 1, 'eprintid': 1080, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,['FP17'],article,disk0/00/00/10/80,1970-01-01 00:00:00.000002016,"[{'name': {'given': 'Kusuma', 'lineage': None, 'family': 'Adhianto', 'honourific': None}, 'id': '.'}, {'name': {'given': 'M Dima', 'lineage': None, 'family': 'Iqbal Hamdani', 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Sulastri', 'lineage': None, 'given': 'Sulastri'}, 'id': None}, {'name': {'honourific': None, 'family': 'Listiana', 'lineage': None, 'given': 'Indah'}, 'id': None}]",published,14.0,http://peternakan.fp.uns.ac.id/pages/jurnal-sains-peternakan.php,Sains Peternakan,1693 - 8828,22-29,TRUE,2.0,,,,,,,,
2,"Effect of Multi Nutrients Sauce (MNS) in ration of beef cattle on average daily gain (ADG) was studied on November 10th, 2015 up to December 09th, 2015 at Pulung Kencana village, Tulang Bawang Tengah, Subdistrict, Provinsi Tulang Bawang Barat. The experimental design used was complete randomized block design with three treatments P0 (basal diet), P1 (basal diet + 10% MNS), and P2 (Unila diet + 10% MNS). Result of this research indicated that ADG of beef cattle for P0, P1, P2 was 1,28 kg/head/day; 1,56 kg/head/day; 1,26 kg/head/day, respectively. Average of ration consumption based on dry matter were 9,08 kg/head/day; 9,24 kg/head/day; 9,11 kg/head/day, respectively. Efficiency of ration were 0,1403±0,0180 kg weight/kg ration; 0,1687±0,0234 kg weight/kg ration; 0,1385±0,0271 kg weight/kg ration, respectively. Income over feed cost (IOFC) were 2,76 ; 3,24 ; 3,18, respectively. It could be concluded that addition of 10% MNS in ration of beef cattle didn’t affect (P>0,05) on ADG, ration consumption, efficiency of ration, and IOFC. 

Keywords : Beef Cattle, Multi Nutrient Sauce, Average Daily Gain, Efficiency of Ration, Income Over Feed Cost",['SF'],archive,2020-06-16 07:02:30,show,,9,PENGARUH PENAMBAHAN MULTI NUTRIENT SAUCE PADA RANSUM TERHADAP PERTAMBAHAN BOBOT BADAN HARIAN SAPI POTONG,22484,2020-06-16 07:02:30,960,2020-06-16 07:02:30,http://repository.lppm.unila.ac.id/id/eprint/22484,public,Department of Animal Husbandry Faculty of Agriculture Lampung University,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 22484, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35900', 'rev_number': 2, 'format': 'text', 'pos': 2, 'files': [{'fileid': 206186, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-16 05:24:47', 'filename': 'Jurnal Sodikin - Erwanto.pdf', 'hash': '70dd73b5faed3314084e14b5d84c83da', 'datasetid': 'document', 'filesize': 589489, 'objectid': 35900, 'uri': 'http://repository.lppm.unila.ac.id/id/file/206186'}], 'main': 'Jurnal Sodikin - Erwanto.pdf', 'docid': 35900}]",pub,['FP17'],article,disk0/00/02/24/84,2016-08-05 00:00:00.000000000,"[{'id': None, 'name': {'given': 'Sodikin', 'honourific': None, 'family': 'Ali', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Erwanto', 'lineage': None, 'given': 'Erwanto'}, 'id': 'erwanto61@gmail.com'}, {'name': {'lineage': None, 'family': 'Kusuma', 'honourific': None, 'given': 'Adhianto'}, 'id': None}]",published,4.0,,Jurnal Ilmiah Peternakan Terpadu,,,TRUE,3.0,,,,,,,,
3,,['SF'],archive,2017-11-16 04:54:39,show,,7,DIFFERENCE OF CATION AND ANION DIETS ON LEUCOCYTES,5637,2017-11-16 04:54:39,1019,2017-11-16 04:54:39,http://repository.lppm.unila.ac.id/id/eprint/5637,public,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 5637, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/18582', 'rev_number': 1, 'main': 'DIFFERENCE OF CATION AND ANION DIETS ON LEUCOCYTES.pdf', 'docid': 18582, 'files': [{'datasetid': 'document', 'filesize': 1014780, 'fileid': 52667, 'mime_type': 'application/pdf', 'mtime': '2017-11-16 02:44:21', 'hash_type': 'MD5', 'filename': 'DIFFERENCE OF CATION AND ANION DIETS ON LEUCOCYTES.pdf', 'hash': 'e5faeb933034da070f85adf51d7b663c', 'objectid': 18582, 'uri': 'http://repository.lppm.unila.ac.id/id/file/52667'}]}]",pub,['FP17'],conference_item,disk0/00/00/56/37,2016-08-01 00:00:00.000000000,"[{'id': None, 'name': {'honourific': None, 'family': 'Fathul', 'lineage': None, 'given': 'Farida'}}, {'name': {'family': 'Widiastuti', 'honourific': None, 'lineage': None, 'given': 'E.L.'}, 'id': 'endang.linirin@fmipa.unila.ac.id'}]",published,,,,,134-141,TRUE,,Bandar Lampung,UISFC International Seminar Food Secure,23-24 August 2016,conference,paper,,,
4,,['SF'],archive,2017-11-16 04:54:26,show,,7,Oxygen saturation of lambs during estrous cycle within diets with different cation and anion ratio,5632,2017-11-16 04:54:26,1019,2017-11-16 04:54:26,http://repository.lppm.unila.ac.id/id/eprint/5632,public,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 5632, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18578', 'docid': 18578, 'main': 'Oxygen saturation of lambs during estrous cycle within diets with different cation and anion ratio.pdf', 'files': [{'datasetid': 'document', 'filesize': 902014, 'mime_type': 'application/pdf', 'fileid': 52639, 'filename': 'Oxygen saturation of lambs during estrous cycle within diets with different cation and anion ratio.pdf', 'hash': '2381cf8d70b736e4201c24225300b882', 'hash_type': 'MD5', 'mtime': '2017-11-16 02:32:31', 'objectid': 18578, 'uri': 'http://repository.lppm.unila.ac.id/id/file/52639'}]}]",pub,['FP17'],conference_item,disk0/00/00/56/32,1970-01-01 00:00:00.000002016,"[{'id': None, 'name': {'lineage': None, 'family': 'Fathul', 'honourific': None, 'given': 'Farida'}}, {'id': 'endang.linirin@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Widiastuti', 'honourific': None, 'given': 'E.L.'}}]",published,,,,,127-133,TRUE,,Bandar Lampung Indonesia,USR INTERNATIONAL SEMINAR ON FOOD SECURITY,23 – 24 August 2016,conference,paper,,,
5,"This study aims to determine the effect of the use of Multi Nutrients Sauce (MNS) ERO II in the ration on feed consumption and average daily gain of beef cattle.  The research was conducted October 30th, 2015 - December 6th, 2015 at Ngudi Makmur farmer group, Mulyo Asri village, Tulang Bawang Tengah district, Tulang Bawang Barat regency. Samples ration was analysed at the Laboratory of Nutrition and Feed Science.  Department of Animal Husbandry, Faculty of Agriculture, University of Lampung.  The experimental design used was a randomized block design (CRD) with three treatments and four blocks. The treatments were: 1. Basal diet; 2. Basal diet + 10% MNS; and 3. Unila diets + 10% MNS. Result of experiment showed that the addition of MNS ERO II significantly affected (P<0.05) on consumption, and average daily gain of beef cattle.",['SF'],archive,2017-03-14 03:07:56,show,,7,PENGARUH PENGGUNAAN MULTI NUTRIENTS SAUCE (MNS) ERO II DALAM RANSUM TERHADAP PERTAMBAHAN BOBOT TUBUH SAPI POTONG,1452,2017-03-14 03:07:56,444,2017-03-14 03:07:56,http://repository.lppm.unila.ac.id/id/eprint/1452,public,Jurusan Peternakan Unila,"[{'eprintid': 1452, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 1325, 'main': '2016 artikel sarina erwanto kusuma.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/9838', 'objectid': 1325, 'filesize': 455149, 'datasetid': 'document', 'hash': '09712d56a95f96642493f1f43518b20b', 'filename': '2016 artikel sarina erwanto kusuma.pdf', 'mtime': '2017-03-12 02:19:17', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 9838}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1325', 'rev_number': 1}]",pub,['FP17'],article,disk0/00/00/14/52,1970-01-01 00:00:00.000002016,"[{'id': None, 'name': {'given': 'Sarina', 'honourific': None, 'family': 'Karolina', 'lineage': None}}, {'id': None, 'name': {'given': 'Erwanto', 'family': 'Erwanto', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Adhianto', 'given': 'Kusuma'}, 'id': '.'}]",published,4.0,http://jurnal.fp.unila.ac.id/index.php/JIPT/index,JURNAL ILMIAH PETERNAKAN TERPADU,2303 1956,124-128,TRUE,2.0,,,,,,,,
6,"The experiment was conducted at the Animal Nutrition Laboratory and field laboratory, Animal Husbandry
faculty, Brawijaya University Malang for making the oil palm fruit fiber amoniasi and analysis of nutrient
content and digestibility in vitro is carried out from July to August 2011. The purpose of this study to
determine the effect of differences in the level of use urea and palm amoniasi as a forage substitute. To get
the optimum level of use of oil palm fruit fiber amoniasi that gives the best response to digestibility in vitro.
The results are expected to be used as information about the utilization of oil palm fruit waste as an
alternative to cattle feed. Materials on research are oil palm fruit fiber and urea as a feed ingredient
substitutions. The research method is experimental by design Factorial Randomized Block Design, study the
influence of the addition of urea level and duration of incubation in the oil palm fruit fiber for nutrient
content and digestibility in vitro. Variables measured, a research study nutrient content, digestibility of DM
(Dry matter) and digestibility of OM (Organic matter) of oil palm fruit fiber amoniasi. Data were analyzed
by variance and if the real test followed by Duncan. The results of the research showed that the addition of
urea level and duration of incubation significant effect (P <0.05) to 50.61% DM and 48.23 % OM which is
in P2. It can be concluded that use 50 % corn plant and 10% of oil palm fruit fiber and digestibility optimum
at DM and OM. Suggested the use of oil palm fruit fiber is to field research to know how impact in dairy
cattle.
Key words: Amoniasi, In Vitro, Oil Palm Fruit Fiber",['SF'],archive,2016-11-03 04:35:06,show,,6,"PENGARUH PENGGUNAAN SABUT BUAH KELAPA SAWIT AMONIASI DALAM RANSUM
SAPI PERAH TERHADAP KECERNAAN IN-VITRO",1039,2016-11-03 04:35:06,1111,2016-11-03 04:35:06,http://repository.lppm.unila.ac.id/id/eprint/1039,public,Jurusan Peternakan Unila,"[{'files': [{'fileid': 6724, 'mime_type': 'application/pdf', 'mtime': '2016-11-02 04:50:44', 'hash_type': 'MD5', 'filename': '1.pdf', 'hash': 'bf45861b7e0c8563f3f54a40af1b512f', 'datasetid': 'document', 'filesize': 35354, 'objectid': 929, 'uri': 'http://repository.lppm.unila.ac.id/id/file/6724'}], 'docid': 929, 'main': '1.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/929', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 1039, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,['FP17'],article,disk0/00/00/10/39,2016-05-02 00:00:00.000000000,"[{'name': {'family': 'Kusuma Wijaya', 'honourific': None, 'lineage': None, 'given': 'Agung'}}]",,4.0,http://jurnal.fp.unila.ac.id,JURNAL ILMIAH PETERNAKAN TERPADU,2303 1956,94-97,TRUE,2.0,,,,,,,,
7,"Research were to evaluate carrying capacity of palm oil by product including of forage among palm oil plant. The data were collected consist of secondary and primary data. The sampling were collected from among palm oil plant.  The research show that there were two methods of farmer to integrate of oil palm and animals. The first, animal in housed and the animal was grazed among oil palm plant. Each farmer had 4-5 cattle in housed method, and tend to fattening, in grazing method, farmer had 5-20 cattle. The method was efficien for breeding system of animal.",['SF'],archive,2019-08-01 06:50:14,show,UISFS Unila,7,Integration of Oil Palm Plant and Animal in Lampung Province,13670,2019-08-01 06:50:14,444,2019-08-01 06:50:14,http://repository.lppm.unila.ac.id/id/eprint/13670,public,LPPM Unila,"[{'main': '7. review K_Adhianto dkk UISFS.pdf', 'docid': 26681, 'files': [{'filesize': 1201465, 'datasetid': 'document', 'mtime': '2019-07-26 02:18:25', 'hash_type': 'MD5', 'filename': '7. review K_Adhianto dkk UISFS.pdf', 'hash': '72660480b04f629d13474dc5892541a2', 'fileid': 119275, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119275', 'objectid': 26681}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26681', 'eprintid': 13670, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,['FP17'],other,disk0/00/01/36/70,1970-01-01 00:00:00.000002016,"[{'id': '.', 'name': {'given': 'Muhtarudin', 'lineage': None, 'honourific': None, 'family': 'Muhtarudin'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Adhianto', 'given': 'Kusuma'}, 'id': '.'}, {'name': {'given': 'Liman', 'lineage': None, 'family': 'Liman', 'honourific': None}, 'id': '.'}]",,,,,,,,,,,,,,,,
8,"Research were to evaluate carrying capacity of palm oil by product including of forage among palm oil plant. The data were collected consist of secondary and primary data. The sampling were collected from among palm oil plant.  The research show that there were two methods of farmer to integrate of oil palm and animals. The first, animal in housed and the animal was grazed among oil palm plant. Each farmer had 4-5 cattle in housed method, and tend to fattening, in grazing method, farmer had 5-20 cattle. The method was efficien for breeding system of animal.",['SF'],archive,2019-08-12 07:19:29,show,UISFS Unila,7,Integration of Oil Palm Plant and Animal in Lampung Province,13784,2019-08-12 07:19:29,444,2019-08-12 07:19:29,http://repository.lppm.unila.ac.id/id/eprint/13784,public,LPPM Unila,"[{'eprintid': 13784, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 26799, 'main': 'Integration_of_Oil_Palm_Plant_and_Animal_in_Lampun.pdf', 'files': [{'objectid': 26799, 'uri': 'http://repository.lppm.unila.ac.id/id/file/120152', 'datasetid': 'document', 'filesize': 2108462, 'fileid': 120152, 'mime_type': 'application/pdf', 'mtime': '2019-08-09 01:19:26', 'hash_type': 'MD5', 'filename': 'Integration_of_Oil_Palm_Plant_and_Animal_in_Lampun.pdf', 'hash': 'f9ca950763c33b2ef41784611ec7512f'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26799', 'rev_number': 1}]",pub,['FP17'],other,disk0/00/01/37/84,1970-01-01 00:00:00.000002016,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Muhtarudin', 'given': 'Muhtarudin'}, 'id': '.'}, {'name': {'lineage': None, 'family': 'Adhianto', 'honourific': None, 'given': 'Kusuma'}, 'id': '.'}, {'id': '.', 'name': {'family': 'Liman', 'honourific': None, 'lineage': None, 'given': 'Liman'}}]",,,,,,,,,,,,,,,,
9,"The aims of the research were to evaluate carrying capacity of palm oil by product
including of forage among palm oil plant. The data were collected consisted of
secondary and primary data. Secondary data was collected from agriculture department.
Primary data was collected by dry weight range method. The samplings were collected
from forage among palm oil plant. Primary data and secondary data were combined to
evaluate the carrying capacity of forage.The research showed that there were two
methods of farmer to integrate of oil palm and animals. The first the animal cattle was
housed and secondary the animal was grazed among oil palm plant. Each farmer had
4—5 cattle in housed anime method. The cattle tend to fattening. In grazing method, the
farmer had 5—20 cattle. This method was efficient for breeding system of cattle. The
totally potency of forage from palm oil in Lampung Province was 670.852, 23
ton/years. The carrying capacity of the forage was 204.208,59 animals unit. If the
assumption of dry matter requirement of cattle was 9 kg/day, therefore, 1 ha of palm oil
plant had 3 animals unit for its carrying capacity. On the other hand, if the resource of
forage was only from among palm oil plant then the carrying capacity was 2.2 animals
unit. From field observation on forage in palm oil plant that non productive site (such as
in young plant palm) we found 20 species of plants, and 15 species of plant found in
plant oil palm productive site.",['SF'],archive,2016-11-03 04:34:52,show,,9,Integration of Oil Plan Plant and Animal in Lampung Province,1033,2016-11-03 04:34:52,444,2016-11-03 04:34:52,http://repository.lppm.unila.ac.id/id/eprint/1033,public,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/923', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/6679', 'objectid': 923, 'hash_type': 'MD5', 'mtime': '2016-11-02 02:42:11', 'hash': '83459319b24d5331c6079283795d01ae', 'filename': 'Makalah terbit.pdf', 'fileid': 6679, 'mime_type': 'application/pdf', 'filesize': 1658703, 'datasetid': 'document'}], 'main': 'Makalah terbit.pdf', 'docid': 923, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 1033}]",pub,['FP17'],conference_item,disk0/00/00/10/33,2016-08-01 00:00:00.000000000,"[{'name': {'lineage': None, 'family': 'Muhtarudin', 'honourific': None, 'given': 'Muhtarudin'}, 'id': '.'}, {'id': '.', 'name': {'lineage': None, 'honourific': None, 'family': 'Adhianto', 'given': 'Kusuma'}}, {'name': {'given': 'Liman', 'honourific': None, 'family': 'Liman', 'lineage': None}, 'id': '.'}, {'id': '.', 'name': {'honourific': None, 'family': 'Widodo', 'lineage': None, 'given': 'Yusuf'}}, {'name': {'honourific': None, 'family': 'Marga', 'lineage': None, 'given': 'Apriyansyah'}, 'id': None}]",,,http://uisfs.unila.ac.id/,,,219-224,TRUE,,Bandarlampung,The USR International Seminar on Food Security,23-25 Agustus 2016,conference,paper,,,
