,title,metadata_visibility,rev_number,status_changed,eprint_status,abstract,subjects,eprintid,date_type,publisher,documents,ispublished,contributors,full_text_status,uri,corp_creators,lastmod,userid,datestamp,creators,date,dir,type,divisions,pagerange,number,refereed,issn,publication,id_number,volume,pres_type,event_type,event_dates,event_location,event_title,official_url
0,Bukti Kehadiran Seminar SATEK 2011 Engky,show,7,2021-09-13 01:30:46,archive,Sertifikat,['T1'],33848,completed,UNILA,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/154087', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 298972, 'fileid': 400438, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-09-10 22:26:19', 'hash': '84bdbf6dcd8de8ba6b776b871274acb1', 'filename': 'Bukti Kehadiran Seminar SATEK 2011 Engky.pdf', 'objectid': 154087, 'uri': 'http://repository.lppm.unila.ac.id/id/file/400438'}], 'main': 'Bukti Kehadiran Seminar SATEK 2011 Engky.pdf', 'docid': 154087, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 33848}]",pub,"[{'name': {'given': 'Agus', 'lineage': None, 'family': 'Haryanto', 'honourific': None}, 'id': 'agus.haryanto@fp.unila.ac.id'}]",public,http://repository.lppm.unila.ac.id/id/eprint/33848,['Universitas Lampung'],2021-09-13 01:30:46,988,2021-09-13 01:30:46,"[{'name': {'lineage': None, 'family': 'Haryanto', 'honourific': None, 'given': 'Agus'}, 'id': 'agus.haryanto@fp.unila.ac.id'}]",1970-01-01 00:00:00.000002011,disk0/00/03/38/48,other,['FP18'],,,,,,,,,,,,,
1,"High Temperature Water Gas Shift Reaction over Nickel Catalysts for Hydrogen Production: Effect of Supports, GHSV, Metal Loading, and Dopant Materials",show,7,2021-01-20 03:11:02,archive,"The paper presents the recent advances of water-gas shift process using supported nickel catalysts. The effect
of different supports, nickel loading, gas hourly space velocity, dopant materials, on the catalyst activity, H2 yield, and H2 selectivity are discussed. Ceria promoted nickel catalyst supported on powder alumina (Ni/CeO2-Al2O3) demonstrated the best performance. The performance of this catalyst was affected by the amount of nickel loading. The addition of small amounts of cobalt or chromium as a dopant material resulted in a considerable increase of the catalyst performance. The prepared catalysts were also compared with a commercial catalyst (Shift Max 120). It was observed that either of the doped or undoped Ni/CeO2-Al2O3 catalysts revealed a much higher performance in term of activity, H2 yield, and H2 selectivity, as compared to a commercial one.",['TP'],27382,published,OMICS Publishing Group,"[{'security': 'public', 'placement': 1, 'eprintid': 27382, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/244949', 'objectid': 41389, 'filesize': 588169, 'datasetid': 'document', 'filename': '2011 JTC, High-temperature-water-gas-shift-reaction-over-nickel-catalysts_reduce.pdf', 'hash': '8a649cf9f3e7bb755085718a8d133aaa', 'mtime': '2021-01-20 02:41:48', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 244949}], 'main': '2011 JTC, High-temperature-water-gas-shift-reaction-over-nickel-catalysts_reduce.pdf', 'docid': 41389, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41389', 'rev_number': 2, 'format': 'text', 'pos': 1}]",pub,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'family': 'Haryanto', 'honourific': None, 'lineage': None}}]",public,http://repository.lppm.unila.ac.id/id/eprint/27382,['Universitas Lampung'],2021-01-20 03:11:02,988,2021-01-20 03:11:02,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'lineage': None, 'family': 'Haryanto', 'honourific': None}}]",1970-01-01 00:00:00.000002011,disk0/00/02/73/82,article,['FP18'],1000106-1000106,1.0,TRUE,2157-7544,Journal of Thermodynamics & Catalysis,http://dx.doi.org/10.4172/2157-7544.1000106,2.0,,,,,,
2,Palm oil mill effluent treatment and utilization to ensure the sustainability of palm oil industries,show,7,2021-03-18 04:22:23,archive,Hasil Penilaian Reviewer,['S1'],28456,completed,Fakultas Pertanian,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 28456, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42504', 'main': '2Cogasification Biortech.pdf', 'docid': 42504, 'files': [{'mime_type': 'application/pdf', 'fileid': 252800, 'hash': 'f90ba35161fdb754e6dd5d56318a5aed', 'filename': '2Cogasification Biortech.pdf', 'mtime': '2021-03-18 04:01:21', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 168890, 'objectid': 42504, 'uri': 'http://repository.lppm.unila.ac.id/id/file/252800'}]}]",pub,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'family': 'Haryanto', 'honourific': None, 'lineage': None, 'given': 'Agus'}}]",public,http://repository.lppm.unila.ac.id/id/eprint/28456,['Universitas Lampung'],2021-03-18 04:22:23,988,2021-03-18 04:22:23,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}}]",1970-01-01 00:00:00.000002011,disk0/00/02/84/56,other,['FP18'],,,,,,,,,,,,,
3,Pengaruh Penambahan Selimut Panci Terhadap Kinerja Energetik Tungku Biomasa,show,7,2020-03-30 01:50:37,archive,"The objective of this research was to study the effect of pan skirt on the energetic performance of biomass stove. The experiment was conducted by testing biomass stove with and without skirt to boil 5 kg water. Standard cold and hot test from Baldwin (1987) was used for this purpose. Four levels of skirt gap, namely 1, 2, 3, and 4 cm, and three levels of skirt height was combined and compared to no skirt wood stove. Results showed that skirt addition produced positive effect on the stove performance. Furthermore, it was revealed that the effect of skirt was influenced by its gap and its height. The higher and the closer the skirt the better was the stove. The best performance was resulted from a combination of 1 cm skirt gap by 12 cm height. With this skirt, the stove required 13,48 minute to boil 5 kg water with 0,713 kg of wood, 1,96 MJ/kg specific energy and 18,7% thermal efficiency at cold test. At hot test the values were 10,86 minute; 0,592 kg wood; 1,866 MJ/kg; and 22,2% respectively for boiling time, fuel requirement, specific
energy, and thermal efficiency.",['TJ'],18908,published,,"[{'security': 'public', 'placement': 1, 'eprintid': 18908, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 1266569, 'datasetid': 'document', 'mtime': '2020-03-28 05:56:58', 'hash_type': 'MD5', 'hash': '5fd70ac960b2ade2464e0fe57c3b4be6', 'filename': '8-ProsidingTakBerindex-05-Pengaruh_Penambahan_Selimut_Panci.pdf', 'fileid': 158654, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/158654', 'objectid': 32146}], 'main': '8-ProsidingTakBerindex-05-Pengaruh_Penambahan_Selimut_Panci.pdf', 'docid': 32146, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32146', 'rev_number': 1, 'format': 'text', 'pos': 1}]",pub,"[{'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'agus.haryanto@fp.unila.ac.id'}]",public,http://repository.lppm.unila.ac.id/id/eprint/18908,['University of Lampung'],2020-03-30 01:50:37,988,2020-03-30 01:50:37,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}}]",2011-11-29 00:00:00.000000000,disk0/00/01/89/08,conference_item,['FP18'],577-582,,TRUE,,,,,paper,conference,29-30 Novenber 2011,"Bandar Lampung, Indonesia",SEMINAR NASIONAL SAINS DAN TEKNOLOGI IV,
4,Analisis Energi Masukan-Keluaran pada Proses Produksi Kelapa Sawit (Elaesis guineensis Jacq.),show,7,2021-01-20 03:11:24,archive,"This study was performed to evaluate the input-otput energy for oil palm production and to identify the possibility to save energy consumption for activities related to oil palm production. Observation was conducted at PTPN VII Farm Unit of Rejosari, South Lampung. The energy inputs included human power, fuel and electricity as well as indirect energy resulted from the use of farm machinery, fertilizer, and pesticide. Energy outputs to be considered were resulted from full fruit bunch (FFB) consisted of crude palm oil (CPO), palm kernel oil (PKO), fibers, shell, empty fruit bunch, and trunk. The study revealed that total energy input of 57,63 GJ.ha-1 was required in oil palm production. Maintenance of productive plant consumed the highest energy, that was 33,06 GJ.ha-1 or 57,37 % of the total energy input. Based on energy sources, fertilizer was the most important input for oil palm production, accounted for 31,22 GJ.ha-1 (51,18 % of total energy input). The study also concluded that oil palm production generated energy output of 339,14 GJ.ha-1 with energy rasio of 5,88, energy productivity of 0.258 kg FFB per MJ, energy intensity of 3,87 MJ per kg FFB, and net energy gain of 281,51 GJ.ha-1.",['S1'],27385,published,Fakultas Teknologi Pertanian UGM,"[{'eprintid': 27385, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 41392, 'main': '2011 AGRITECH, ANALISIS ENERGI MASUKAN-KELUARAN PADA PROSES PRODUKSI KELAPA.pdf', 'files': [{'hash': 'eae23201eede778f2e78435b18c10aa9', 'filename': '2011 AGRITECH, ANALISIS ENERGI MASUKAN-KELUARAN PADA PROSES PRODUKSI KELAPA.pdf', 'mtime': '2021-01-20 02:49:00', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 244968, 'filesize': 97897, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/244968', 'objectid': 41392}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41392'}]",pub,"[{'name': {'given': 'Agus', 'lineage': None, 'honourific': None, 'family': 'Haryanto'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'agus.haryanto@fp.unila.ac.id'}]",public,http://repository.lppm.unila.ac.id/id/eprint/27385,['Universitas Lampung'],2021-01-20 03:11:24,988,2021-01-20 03:11:24,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'lineage': None, 'honourific': None, 'family': 'Haryanto'}}, {'id': 'budianto.lanya@fp.unila.ac.id', 'name': {'given': 'Budianto', 'family': 'Lanya', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Sugeng', 'lineage': None, 'family': 'Triyono', 'honourific': None}, 'id': 'sugeng.triyono@fp.unila.ac.id'}]",2011-08-01 00:00:00.000000000,disk0/00/02/73/85,article,['FP18'],153-160,3.0,TRUE,0216-0455,AGRITECH,https://doi.org/10.22146/agritech.9739,31.0,,,,,,
5,"Effect of Stove Types on In-kitchen Air Quality: Case Study at Way Isem Village, Lampung Province, Indonesia",show,6,2016-10-13 15:41:01,archive,"The objective of this research was to investigate in-kitchen air quality as related to stove utilization during cooking. The experiment was conducted at Way Isem, a village located in the North of Lampung Province, Indonesia. Nine homes using four different fuels or stoves participated in this experiment with a total of fifteen samples - five wood stoves, five kerosene stoves, four liquefied petroleum gas (LPG) stoves and one biogas stove. In-kitchen air quality was measured using five parameters, namely SO2, NO2, dust, PM10 and opacity. In-kitchen air was sampled using a High Volume Air Sampler apparatus equipped with a vacuum pump. The air was then absorbed using a RAC 5 gas sampler for further analysis. Results showed that SO2 content in the kitchen air for an hour of measurement ranged from 340 to 357 μg/Nm3, lower than the Indonesia standard of 900 μg/Nm3. NO2 content, ranged from 12 to 19 μg/Nm3, was also distinctly lower than the national standard of 400 μg/Nm3. Wood stoves, however, resulted in high concentrations of dust and PM10, which were 390 μg/Nm3 and 400 μg/Nm3, respectively. These numbers were higher than the national standards of 230 μg/Nm3 for dust and 150 μg/Nm3 for PM10.",['TP'],780,published,,"[{'files': [{'datasetid': 'document', 'filesize': 293648, 'mime_type': 'application/pdf', 'fileid': 4538, 'hash': '26dea27c16a782aee173b1ebab75c70b', 'filename': 'Paper 13 Effect of Stove pp. 181-186.pdf', 'hash_type': 'MD5', 'mtime': '2016-10-12 09:14:05', 'objectid': 673, 'uri': 'http://repository.lppm.unila.ac.id/id/file/4538'}], 'docid': 673, 'main': 'Paper 13 Effect of Stove pp. 181-186.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/673', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 780, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/780,"['University of Lampung', 'University of Lampung', 'IGES (Institute for Global Environmental Strategies)']",2016-10-13 15:41:01,988,2016-10-13 15:41:01,"[{'name': {'given': 'Udin', 'honourific': None, 'family': 'Hasanudin', 'lineage': None}}, {'name': {'given': 'Agus', 'lineage': None, 'honourific': None, 'family': 'Haryanto'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Romero', 'given': 'Jane'}}]",1970-01-01 00:00:00.000002011,disk0/00/00/07/80,article,['FP18'],181-186,,TRUE,1906-4918,Journal of Sustainable Energy & Environment 2 (),,2.0,,,,,,
6,"Click on the underlined title to access the document or go back to the Search Results screen to download the PDF version.

If you are not an ASABE member or if your employer has not arranged for access to the full-text, Click here for options.
Feasibility of Using Attenuated Total Reflectance Terahertz (ATR-THz) Spectroscopy for Quantitative and Qualitative Study of Vitamin C in Aqueous Solutions",show,9,2016-12-08 01:22:58,archive,"Vitamin C (ascorbic acid) is one of the water-soluble vitamins. It can be found widely in raw fruits, vegetables and other food products, such as juices. There is an increasing in the awareness of the health benefits of vitamin C as an essential nutrient and antioxidant. Therefore, there is a need to quantify vitamin C present in foods and pharmaceutical products for quality control and security purposes. In this study, the feasibility of using ATR-THz spectroscopy for quantitative study of vitamin C solution will be investigated. A number of 33 samples of vitamin C solution were prepared by dissolving vitamin C in distilled water in the concentration range 3-21%. The spectra of vitamin C solution were acquired using a terahertz-based Fourier Transform spectrometer (FARIS-1S, JASCO Co., Japan). This spectrometer was equipped with a high pressure of mercury lamp as light source and a pyroelectric sensor made from deuterated L-alanine triglycine sulfate (DLATGS) as detector. The spectral absorbance information from 450 cm-1 to 20 cm-1 was used for further analysis. In quantitative study, partial least squares regression (PLSR) was used to develop calibration model for determination of vitamin C concentration. Full cross-validation was used to validate the model. The result showed that using raw spectra, validation resulted in acceptable RPD value (RPD = 3.53). This study showed that ATR-THz spectroscopy method provides useful technique to quantify vitamin C concentration especially in monocomponent solution.",['S1'],1302,published,,"[{'main': 'asabe 2011.PDF', 'docid': 1177, 'files': [{'objectid': 1177, 'uri': 'http://repository.lppm.unila.ac.id/id/file/8729', 'fileid': 8729, 'mime_type': 'application/pdf', 'mtime': '2016-12-07 12:42:02', 'hash_type': 'MD5', 'filename': 'asabe 2011.PDF', 'hash': 'aa37f120fe4b32e241513ddc87f42701', 'datasetid': 'document', 'filesize': 3250813}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1177', 'rev_number': 2, 'eprintid': 1302, 'security': 'validuser', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published'}]",pub,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],restricted,http://repository.lppm.unila.ac.id/id/eprint/1302,,2016-12-08 01:22:58,337,2016-12-08 01:22:58,"[{'id': 'diding.sughandy@fp.unila.ac.id', 'name': {'given': 'Diding', 'lineage': None, 'honourific': None, 'family': 'Suhandy'}}]",1970-01-01 00:00:00.000002011,disk0/00/00/13/02,conference_item,['FP18'],,,TRUE,,,,,paper,conference,"August 7-11, 2011",Louisville Kentucky USA,ASABE 2011 Annual International Meeting,http://elibrary.asabe.org/abstract.asp?aid=38176
7,Prediction of vitamin C using FTIR-ATR terahertz spectroscopy combined with interval partial least squares (iPLS) regression,show,7,2016-12-08 01:22:52,archive,"In this study FTIR-ATR terahertz (THz) spectroscopy combined with interval PLS (iPLS) regression was used to measure concentration of vitamin C in aqueous solution. iPLS regression was used to select the efficient spectral regions and variables to develop calibration model. The performance of the iPLS model was then compared to that of full-spectrum PLS model. The result obtained by iPLS model with 5 PLS factors was superior than that of full-spectrum PLS model with 11 PLS factors when 7 spectral regions and 70 variables were selected. Prediction performance of vitamin C can be improved by using iPLS model with ratio prediction to deviation (RPD) value of 4.570. This work demonstrated that concentration of vitamin C in aqueous solution can be predicted by FTIR-ATR THz spectroscopy method, and iPLS regression method revealed its superiority in model calibration.",['S1'],1303,published,,"[{'eprintid': 1303, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 1178, 'main': 'SII diding.pdf', 'files': [{'fileid': 8738, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2016-12-07 12:53:31', 'hash': '72f64ac0a20ff4269c921f4264af73c4', 'filename': 'SII diding.pdf', 'datasetid': 'document', 'filesize': 308643, 'objectid': 1178, 'uri': 'http://repository.lppm.unila.ac.id/id/file/8738'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1178'}]",pub,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],public,http://repository.lppm.unila.ac.id/id/eprint/1303,,2016-12-08 01:22:52,337,2016-12-08 01:22:52,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Suhandy', 'given': 'Diding'}, 'id': 'diding.sughandy@fp.unila.ac.id'}]",1970-01-01 00:00:00.000002011,disk0/00/00/13/03,conference_item,['FP18'],,,TRUE,,,,,paper,conference,20-22 Dec. 2011,Kyoto Japan,"2011 IEEE/SICE International Symposium on System Integration (SII),",http://ieeexplore.ieee.org/document/6147446/
8,A Quantitative Study for Determination of Sugar Concentration Using Attenuated Total Reflectance Terahertz (ATR-THz) Spectroscopy,show,7,2016-12-08 01:22:54,archive,"The objective of our research was to use ATR-THz spectroscopy together with chemometric for quantitative study in food analysis. Glucose, fructose and sucrose are main component of sugar both in fresh and processed fruits. The use of spectroscopic-based method for sugar determination is well reported especially using visible, near infrared (NIR) and middle infrared (MIR) spectroscopy. However, the use of terahertz spectroscopy for sugar determination in fruits has not yet been reported. In this work, a quantitative study for sugars determination using attenuated total reflectance terahertz (ATR-THz) spectroscopy was conducted. Each samples of glucose, fructose and sucrose solution with different concentrations were prepared respectively and their absorbance spectra between wavenumber 20 and 450 cm-1 (between 0.6 THz and 13.5 THz) were acquired using a terahertz-based Fourier Transform spectrometer (FARIS-1S, JASCO Co., Japan). This spectrometer was equipped with a high pressure of mercury lamp as light source and a pyroelectric sensor made from deuterated L-alanine triglycine sulfate (DLTGS) as detector. Each spectrum was acquired using 16 cm-1 of resolution and 200 scans for averaging. The spectra of water and sugar solutions were compared and discussed. The results showed that increasing sugar concentration caused decreasing absorbance. The correlation between sugar concentration and its spectra was investigated using multivariate analysis. Calibration models for glucose, fructose and sucrose determination were developed using partial least squares (PLS) regression. The calibration model was evaluated using some parameters such as coefficient of determination (R2), standard error of calibration (SEC), standard error of prediction (SEP), bias between actual and predicted sugar concentration value and ratio prediction to deviation (RPD) parameter. The cross validation method was used to validate each calibration model. It is showed that the use of ATR-THz spectroscopy combined with appropriate chemometric can be a potential for a rapid determination of sugar concentrations.",['S1'],1299,published,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 1299, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1174', 'main': 'diding spie.pdf', 'docid': 1174, 'files': [{'fileid': 8714, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2016-12-07 04:45:29', 'hash': '95329ae947c0cf71e770fd88d1d74851', 'filename': 'diding spie.pdf', 'datasetid': 'document', 'filesize': 218642, 'objectid': 1174, 'uri': 'http://repository.lppm.unila.ac.id/id/file/8714'}]}]",pub,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],public,http://repository.lppm.unila.ac.id/id/eprint/1299,,2016-12-08 01:22:54,337,2016-12-08 01:22:54,"[{'name': {'lineage': None, 'family': 'Suhandy', 'honourific': None, 'given': 'Diding'}, 'id': 'diding.sughandy@fp.unila.ac.id'}]",1970-01-01 00:00:00.000002011,disk0/00/00/12/99,conference_item,['FP18'],802705-1- 802705-6,,TRUE,,,,,paper,conference,25 - 29 April 2011,"Orlando World Center Marriott Resort & Convention Center Orlando, Florida, United States",Sensing for Agriculture and Food Quality and Safety III,http://spie.org/Publications/Proceedings/Paper/10.1117/12.886183
9,KARAKTERISTIK DEFORMASI TANAH PADA PEMBENTUKAN LORONG PENGATUS DANGKAL  DI TANAH SAWAH JENUH,show,7,2019-05-02 04:16:36,archive,"Lorong pengatus merupakan salah satu alternatif yang dapat digunakan untuk mengatasi lamanya masa
tunggu tanam palawija di lahan sawah pada akhir musim penghujan akibat terlalu tingginya kadar lengas
tanah. Pembuatan lorong pengatus dangkal (di atas hard pan) diharapkan dapat mempercepat penurunan
kadar lengas tanah di lapisan olah sehingga sesuai untuk pertumbuhan awal palawija. Pembuatan lorong
pada jarak yang relatif dekat dengan tanah berresiko mengolah lapisan tanah di atas lorong. Salah satu faktor
yang berperngaruh terhadap keberhasilan pembuatan lorong pengatus dangkal adalah sifat fisik tanah.
Penelitian ini bertujuan untuk mengidentifikasi deformasi tanah yang terjadi pada pembentukan lorong
pengatus dangkal di tanah sawah yang dipersiapkan untuk penanaman palawija. Penelitian dilakukan pada
skala laboratorium dengan menggunakan soil bin pada 3 tanah dengan kandungan liat yang berbeda (GDN:
13,12%; MYD: 41.17% dan BYL: 53.63%). Penelitian dilakukan dengan melakukan observasi deformasi tanah
yang terjadi akibat pembentukan lorong pengatus. Hasil penelitian menunjukkan bahwa deformasi tanah
terbesar terjadi pada tanah dengan kandungan liat tertinggi (53.63%) dan terkecil pada tanah dengan
kandungan liat (13.12%).",['S1'],10856,published,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 10856, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23868', 'rev_number': 1, 'docid': 23868, 'main': 'Perteta Bandung 2011.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-02-28 09:08:38', 'hash': '9e50a30ff5dcbb41502e60168ecbee3b', 'filename': 'Perteta Bandung 2011.pdf', 'fileid': 99927, 'mime_type': 'application/pdf', 'filesize': 1871368, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/99927', 'objectid': 23868}]}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/10856,,2019-05-02 04:16:36,45,2019-05-02 04:16:36,"[{'name': {'given': 'Siti', 'family': 'Suharyatun', 'honourific': None, 'lineage': None}, 'id': 'siti.suharyatun@fp.unila.ac.id'}]",2011-12-06 00:00:00.000000000,disk0/00/01/08/56,conference_item,['FP18'],86-92,,FALSE,,,,,paper,conference,6-8 2011,Bandung,Seminar Nasional Perteta Bandung 2011,
