,pagerange,datestamp,userid,lastmod,uri,full_text_status,refereed,ispublished,number,documents,publisher,divisions,type,date,dir,publication,issn,creators,subjects,abstract,eprint_status,status_changed,volume,rev_number,metadata_visibility,title,date_type,eprintid,official_url,contact_email,id_number,pres_type,event_title,event_location,event_type,event_dates,corp_creators,related_url,contributors,place_of_pub,isbn,pages,funders,projects,succeeds,keywords,referencetext,output_media
0,23-30,2018-04-26 02:04:43,353,2018-04-26 02:04:43,http://repository.lppm.unila.ac.id/id/eprint/6103,public,FALSE,pub,1,"[{'eprintid': 6103, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': '1325-4190-1-PB.pdf', 'docid': 19013, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/56205', 'objectid': 19013, 'hash': 'f7cab8c20533836c9ee977d27f406ba5', 'filename': '1325-4190-1-PB.pdf', 'mtime': '2017-11-22 09:07:23', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 56205, 'filesize': 264476, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19013'}]",Jurusan Teknik Pertanian Fakultas Pertanian Unila,['FP18'],article,2017-06-16 00:00:00.000000000,disk0/00/00/61/03,Jurnal Teknik Pertanian Lampung,2302-559X,"[{'id': 'chandraafrian@gmail.com', 'name': {'given': 'Chandra', 'lineage': None, 'family': 'Afrian', 'honourific': None}}, {'name': {'given': 'Agus', 'lineage': None, 'honourific': None, 'family': 'Haryanto'}, 'id': 'agus.haryanto@fp.unila.ac.id'}, {'id': 'zul2007@gmail.com', 'name': {'given': 'Iskandar', 'lineage': None, 'honourific': None, 'family': 'Zulkarnain'}}, {'name': {'given': 'Udin', 'family': 'Hasanudin', 'honourific': None, 'lineage': None}, 'id': 'udinha65@gmail.com'}]",['S1'],"Penelitian ini bertujuan untuk mengetahui produksi biogas dari bahan campuran rumput gajah dan kotoran
sapi. Rumput gajah berumur 2 bulan yang diperoleh dari petani di Gedong Tataan (Pesawaran) dicacah
dengan panjang maksimum 5 cm. Kotoran sapi segar diambil dari Laboratorium di Jurusan Peternakan,
Universitas Lampung. Rumput gajah (25 kg) diaduk rata dengan kotoran sapi (25 kg). Campuran ini lalu
diencerkan dengan air pada tiga level pengenceran, yaitu 50 ℓ (P1), 75 ℓ (P2), dan 100 ℓ (P3). Campuran
dimasukkan ke dalam digester batch dari drum plastik dengan volume 220 liter dan ditutup rapat. Untuk
kontrol hanya digunakan 25 kg kotoran sapi yang diencerkan dengan 25 l air. Semua perlakukan dilakukan
dengan dua ulangan. Parameter yang diamati pada penelitian ini meliputi temperatur harian, pH awal dan
akhir substrat, kandungan TS dan VS, volume biogas, produktivitas biogas dan komposisi biogas. Hasil
penelitian menunjukan bahwa nilai pH awal semua perlakuan berada pada kisaran normal yaitu 7,73, 8,08,
8,00, 7,20 berturut-turut untuk P1, P2, P3 dan kontrol; sedangkan pH akhir berturut-turut adalah 4,50, 4,62,
6,82, 7,30. Suhu harian rata-rata hampir sama untuk semua perlakuan yaitu 33,1°C, 29,6°C, 31,2°C, dan
30,2°C. Total dari produksi biogas adalah 439,42 ℓ, 353,02 ℓ, 524.32 ℓ dan 519,27 ℓ berturut-turut untuk
P1, P2, P3, dan kontrol dengan produktivitas biogas secara berurutan adalah 42.20 ℓ/kgTS, 33.91 ℓ/kgTS,
50.38 ℓ/kgTS, 72.42 ℓ/kgTS dan produktivitas metana 6,85ℓ/kgVS, 13,38ℓ/kgVS, 69,62ℓ/kgVS dan
102,86ℓ/kgVS.
Kata Kunci: Biogas, kotoran sapi, rumput gajah, batch, produktivitas.",archive,2018-04-26 02:04:43,6.0,6,show,"PRODUCTION OF BIOGAS FROM A MIXTURE OF COWDUNG AND
ELEPHANT GRASS (Pennisetum purpureum)",completed,6103,,,,,,,,,,,,,,,,,,,,
1,161-170,2022-10-31 08:48:24,832,2022-10-31 08:48:24,http://repository.lppm.unila.ac.id/id/eprint/46124,public,TRUE,pub,3,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 46124, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184951', 'rev_number': 1, 'main': '6 Hidroponik organik (S3) GA.pdf', 'docid': 184951, 'files': [{'hash': '9a4d151bec23bd501fb63b5c479dfc10', 'filename': '6 Hidroponik organik (S3) GA.pdf', 'mtime': '2022-10-31 08:21:25', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 510091, 'filesize': 2449689, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/510091', 'objectid': 184951}]}]",Jurusan Teknik Pertanian Fakultas Pertanian Unila,['FP18'],article,2017-12-26 00:00:00.000000000,disk0/00/04/61/24,Jurnal Teknik Pertanian Lampung,2302-559X,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Agustin', 'given': 'Stefani Silvi'}, 'id': 'silvi.stefani15@gmail.com'}, {'id': 'sugeng.triyono@fp.unila.ac.id', 'name': {'family': 'Triyono', 'honourific': None, 'lineage': None, 'given': 'Sugeng'}}, {'id': 'mareli.telaumbanua@fp.unila.ac.id', 'name': {'given': 'Mareli', 'lineage': None, 'honourific': None, 'family': 'Telaumbanua'}}]",['S1'],"Industri tapioka dan kolam lele termasuk di kalangan industri pertanian yang membuang limbah cair yang belum
dimanfaatkan. Limbah cair ini sangat potensial dimanfaatkan sebagai sumber nutrisi untuk sistem hidroponik,
karena limbahnya mengandung bahan organik. Penelitian ini bertujuan untuk mengeksplorasi penggunaan limbah
cair untuk menanam sayuran organik dalam sistem hidroponik.  Bahan utama yang digunakan dalam penelitian
ini adalah limbah cair tapioka dari pabrik tapioka di Pesawaran, l imbah cair budidaya ikan dari Laboratorium
Lapangan Terpadu, Fakultas Pertanian, Universitas Lampung. Bahan lainnya termasuk benih sayuran dan bahan
kimia yang digunakan untuk analisis laboratorium (larutan standar amoniak 1000 ppm, NaOH, KI, dan HgI2).
Limbah kolam lele dan l imbah tapioka diapl ikasikan pada sistem hidroponik DFT. Parameter yang diamati
dalam penel itian ini meliputi pH, EC, TS, TSS, TFS, N-Ammonium, BOD
 dan pertumbuhan tanaman.  Hasil
penelitian menunjukkan bahwa limbah tapioka masing-masing memiliki pH dan EC yang paling tinggi (9,7 dan
2038 ìS/cm).  Limbah tapioka memiliki TS dan TFS yang tinggi (1672 mg/L dan 1496 mg/L) dan limbah
budidaya ikan lele memiliki nilai TSS dan N-Ammonium paling tinggi (372 mg/L dan 10,79 mg/L). Pertumbuhan
tanaman terbaik ditemukan pada penerapan limbah kolam lele. Pada sistem limbah kolam lele, tinggi tanaman
mencapai 12,92 cm/tanaman, dan biomassa tanaman yang dipanen adalah 10,46 gram/tanaman. Namun, dalam
sistem tersebut, sayuran menunjukkan pertumbuhan suboptimal, hal ini menunjukkan bahwa mereka menderita
kekurangan gizi.  Dengan demikian, sistem tidak menyuplai cukup nutrisi yang dibutuhkan oleh tanaman.
Kata kunci: ammonium, limbah cair, nutrisi, sayuran.
5",archive,2022-10-31 08:48:24,6.0,6,show,6.	SISTEM HIDROPONIK ORGANIK DENGAN MEMANFAATKAN LIMBAH EFFLUENT BIOGAS INDUSTRI TAPIOKA DAN LIMBAH KOLAM LELE,published,46124,https://jurnal.fp.unila.ac.id/index.php/JTP/article/view/1737/2158,sugeng.triyono@fp.unila.ac.id,-,,,,,,,,,,,,,,,,,
2,161-170,2022-10-19 02:37:54,832,2022-10-19 02:37:54,http://repository.lppm.unila.ac.id/id/eprint/45831,public,TRUE,pub,3,"[{'placement': 1, 'security': 'public', 'eprintid': 45831, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/507823', 'objectid': 184644, 'filesize': 1204322, 'datasetid': 'document', 'filename': '15 Hidroponik organik Lengkap.pdf', 'hash': '6ea0fc48613116e72278c03e17109aa4', 'hash_type': 'MD5', 'mtime': '2022-10-18 23:24:28', 'mime_type': 'application/pdf', 'fileid': 507823}], 'docid': 184644, 'main': '15 Hidroponik organik Lengkap.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184644', 'pos': 1, 'format': 'text'}]",Jurusan Teknik Pertanian Fakultas Pertanian Unila,['FP18'],article,2017-12-17 00:00:00.000000000,disk0/00/04/58/31,Jurnal Teknik Pertanian Lampung,2302-559X,"[{'name': {'given': 'Stefani Silvi', 'honourific': None, 'family': 'Agustin', 'lineage': None}, 'id': 'silvi.stefani15@gmail.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Triyono', 'given': 'Sugeng'}, 'id': 'sugeng.triyono@fp.unila.ac.id'}, {'name': {'given': 'Mareli', 'honourific': None, 'family': 'Telaumbanua', 'lineage': None}, 'id': 'mareli.telaumbanua@fp.unila.ac.id'}]",['S1'],"Tapioca industry and catfish ponds are among the agricultural industries that discharge liquid waste which has
not been utilized yet. The liquid waste is very potential to be utilized as nutrient sources for hydrophonic system,
because the waste contains organic materials. This research aims to explore the use of the liquid wastes for
growing organic vegetables in a hydroponics system. The main materials used in this research were tapioca
industry effluent from tapioca factory in Pesawaran and liquid waste of catfish pond from the Integrated Field
Laboratory, Faculty of Agriculture, University of Lampung. Other materials included vegetable seeds and chemicals
used for lab analysis (1000 ppm Ammoniac standard solution, NaOH, KI, and HgI2). Tapioca industry and catfish
pond wastes were applied on DFT hydrophonic systems. Parameters observed in this study included pH, EC, TS,
TSS, TFS, N-Ammonium, BOD5
 and plant growth. The results showed that tapioca waste had high pH and EC (9.7
and 2038 ìS/cm respectively). Solid content of tapioca waste was also quite high (1672 mg/L for TS and 1496
mg/L TFS), while The catfish pond waste had low concentrations of TSS (372 mg/L) and N-Ammonium (10,79
mg/L). The best growth of plants was found in the application of catfish pond waste, (plant height was 12,92 cm/
plant and biomass harvested was 10,46 grams/plant). However; in all systems, the vegetables showed suboptimal
growths, indicating that they suffered from nutrient deficiency. Thus, the systems did not supply enough nutrients
needed by plants. More frequently replacing of the wastes might be better solution for those systems.
Keywords: ammonium, liquid waste, nutrient, vegetable",archive,2022-10-19 02:37:54,6.0,6,show,"SISTEM HIDROPONIK ORGANIK DENGAN MEMANFAATKAN 
LIMBAH EFFLUENT BIOGAS INDUSTRI TAPIOKA DAN 
LIMBAH KOLAM LELE",published,45831,https://jurnal.fp.unila.ac.id/index.php/JTP/article/view/1729/2160,sugeng.triyono@fp.unila.ac.id,-,,,,,,,,,,,,,,,,,
3,189-196,2018-06-29 04:12:24,45,2018-06-29 04:12:24,http://repository.lppm.unila.ac.id/id/eprint/8248,public,TRUE,pub,3,"[{'placement': 1, 'security': 'public', 'eprintid': 8248, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/81894', 'objectid': 21297, 'hash': '36c197c410f272cc1b7e178e1dfee1ad', 'filename': 'Adrian.pdf', 'hash_type': 'MD5', 'mtime': '2018-06-29 02:49:51', 'mime_type': 'application/pdf', 'fileid': 81894, 'filesize': 871711, 'datasetid': 'document'}], 'main': 'Adrian.pdf', 'docid': 21297, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21297', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",Jurusan Teknik Pertanian Fakultas Pertanian Unila,['FP18'],article,2017-12-28 00:00:00.000000000,disk0/00/00/82/48,Jurnal Teknik Pertanian Lampung,2302-559X,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Andrian', 'given': 'Muchsin'}, 'id': 'mandiansonirala86@gmail.com'}, {'id': 'Shandiasmara@yahoo.com', 'name': {'lineage': None, 'family': 'Asmara', 'honourific': None, 'given': 'Sandi'}}, {'id': 'siti.suharyatun@fp.unila.ac.id', 'name': {'given': 'Siti', 'lineage': None, 'family': 'Suharyatun', 'honourific': None}}]",['S1'],"The palm oil frond contains 6.50% crude protein, 32.55% crude fiber, 4.47% crude fat, 93.4% dry matter and
56.00% TDN.  The result of analysis shows that the crude protein content of palm leaf midrib is quite low at 6.5%
with a high crude fiber of 32.55%, which can potentially be used as animal feed.  The main obstacle in the
util ization of oil palm buckling is its hard physical properties so it can not be directly util ized for animal feed.
Processing technology required palm oil to be used for animal feed, one of them with chopping technology",archive,2018-06-29 04:12:24,6.0,6,show,"PENGARUH KECEPATAN PUTAR TERHADAP UNJUK KERJA MESIN 
PENCACAH PELEPAH KELAPA SAWIT",published,8248,http://jurnal.fp.unila.ac.id/index.php/JTP/index,,10.2396,,,,,,,,,,,,,,,,,
4,,2018-08-03 07:48:48,353,2018-08-03 07:48:48,http://repository.lppm.unila.ac.id/id/eprint/8562,public,,unpub,,"[{'placement': 1, 'security': 'public', 'eprintid': 8562, 'mime_type': 'image/jpeg', 'language': 'en', 'files': [{'filesize': 1147441, 'datasetid': 'document', 'filename': 'Pengelolaan Limbah Kelapa sawit.jpg', 'hash': '3e510b49c952a3d595269a127ede305f', 'mtime': '2018-07-05 09:42:22', 'hash_type': 'MD5', 'mime_type': 'image/jpeg', 'fileid': 83952, 'uri': 'http://repository.lppm.unila.ac.id/id/file/83952', 'objectid': 21618}], 'docid': 21618, 'main': 'Pengelolaan Limbah Kelapa sawit.jpg', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21618', 'rev_number': 1, 'pos': 1, 'format': 'image'}]",,['FP18'],experiment,1970-01-01 00:00:00.000002017,disk0/00/00/85/62,,,"[{'name': {'given': 'Sandi', 'lineage': None, 'family': 'Asmara', 'honourific': None}, 'id': 'Shandiasmara@yahoo.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Banuwa', 'given': 'Irwan Sukri'}, 'id': 'irwanbanuwa@yahoo.com'}, {'name': {'given': '.', 'lineage': None, 'family': 'Purnomo', 'honourific': None}, 'id': 'purjomo@yahoo.com'}, {'name': {'given': 'Iskandar', 'lineage': None, 'family': 'Zulkarnain', 'honourific': None}, 'id': 'zul2007@gmail.com'}, {'id': 'agung.kusumawijaya@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Wijaya', 'lineage': None, 'given': 'Agung Kusuma'}}]",['S1'],"Pengelolaan Limbah pelepah kelapa Sawit sebagai Pakan ternak dan Kompos di Desa Kuala Sekampung, Kecamatan Sragi Lampung  Selatan. 

Kegiatan ini dilaksanakan bersama sama dengan petani (kegiatan Pengabdian Masyarakat)",archive,2018-08-03 07:48:48,,8,show,Pengabdian: Pengelolaan Limbah pelepah kelapa Sawit sebagai Pakan ternak dan Kompos di Desa Kuala Sekampung.,completed,8562,,,,,,,,,,,,,,,,,,,,
5,,2017-11-16 08:26:56,432,2017-11-16 08:26:56,http://repository.lppm.unila.ac.id/id/eprint/5737,public,TRUE,unpub,,"[{'eprintid': 5737, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation', 'main': 'BAHAN PRESENTASI UNSYIAH 2017.pptx', 'docid': 18683, 'files': [{'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation', 'fileid': 53872, 'filename': 'BAHAN PRESENTASI UNSYIAH 2017.pptx', 'hash': 'fd726e0636f8805ad6bea55f2cf83400', 'mtime': '2017-11-16 08:14:31', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 235470, 'objectid': 18683, 'uri': 'http://repository.lppm.unila.ac.id/id/file/53872'}], 'pos': 1, 'format': 'slideshow', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18683'}]",,['FP18'],conference_item,2017-11-04 00:00:00.000000000,disk0/00/00/57/37,,,"[{'id': 'Shandiasmara@yahoo.com', 'name': {'lineage': None, 'family': 'Asmara', 'honourific': None, 'given': 'Sandi'}}, {'id': 'blanya@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Lanya', 'given': 'Budianto'}}, {'id': None, 'name': {'honourific': None, 'family': 'Andika', 'lineage': None, 'given': 'Arif'}}]",['S1'],"LATAR BELAKANG
PENGOLAHAN TANAH MERUPAKAN HAL UTAMA DALAM BUDIDAYA TANAMAN PANGAN.
PENERAPAN MEKANISASI/ALSINTAN SANGAT DIPERLUKAN (TK makin sulit, lahan makin sempit, tuntutan kuantitas dan kualitas produksi meningkat).
PERLU MENGETAHUI KESESUAIAN PENERAPAN ALSINTAN DALAM USAHA TANI (TRAKTOR TANGAN).

TUJUAN 
UNTUK MENGETAHUI KINERJA TRAKTOR TANGAN QUICK G 1000 DALAM  MENGOLAH LAHAN KERING PADA BERBAGAI  RPM.",archive,2017-11-16 08:26:56,,10,show,KINERJA TRAKTOR TANGAN QUICK G 1000 BOXER DALAM MENGOLAH LAHAN KERING DI KECAMATAN TANJUNG BINTANG LAMSEL,completed,5737,,,,paper,Seminar Nasional Perteta Aceh 2017,Unsyiah Banda Aceh,conference,2-5 November 2017,,,,,,,,,,,,
6,,2017-11-16 09:00:34,432,2017-11-16 09:00:34,http://repository.lppm.unila.ac.id/id/eprint/5742,public,,unpub,,"[{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 5742, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18688', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 18688, 'uri': 'http://repository.lppm.unila.ac.id/id/file/53941', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 53941, 'filename': 'LAPORAN KEUANGAN UNGGULAN 2017.docx', 'hash': 'dfd153f57342f4a22a7169c438dcb3f4', 'mtime': '2017-11-16 08:34:04', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 169059}], 'docid': 18688, 'main': 'LAPORAN KEUANGAN UNGGULAN 2017.docx'}]",,['FP18'],experiment,2017-11-01 00:00:00.000000000,disk0/00/00/57/42,,,"[{'name': {'given': 'Sandi', 'lineage': None, 'family': 'Asmara', 'honourific': None}, 'id': 'Shandiasmara@yahoo.com'}, {'id': None, 'name': {'lineage': None, 'family': 'Lanya', 'honourific': None, 'given': 'Budianto'}}, {'name': {'family': 'Zakaria', 'honourific': None, 'lineage': None, 'given': 'Wan Abbas'}, 'id': None}, {'name': {'family': 'Novita', 'honourific': None, 'lineage': None, 'given': 'Dwi Dian'}, 'id': None}]",['S1'],Abstrak,archive,2017-11-16 09:00:34,,7,show,"MODEL  DAN STRATEGI  PERENCANAAN PEMBANGUNAN KETAHANAN PANGAN BERDASAR STATUS 
KERAWANAN WILAYAH
 (Studi Kasus Kabupaten Lamsel, Tanggamus dan Tulang Bawang)",completed,5742,,,,,,,,,['Unila'],,,,,,,,,,,
7,95-104,2018-08-03 07:39:50,499,2018-08-03 07:39:50,http://repository.lppm.unila.ac.id/id/eprint/8672,public,TRUE,pub,2,"[{'eprintid': 8672, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Jurnal defisit irigasi.pdf', 'docid': 21742, 'files': [{'datasetid': 'document', 'filesize': 384660, 'mime_type': 'application/pdf', 'fileid': 84623, 'filename': 'Jurnal defisit irigasi.pdf', 'hash': '7b7f26683485916253ba399371f961a8', 'hash_type': 'MD5', 'mtime': '2018-07-20 03:42:44', 'objectid': 21742, 'uri': 'http://repository.lppm.unila.ac.id/id/file/84623'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21742'}]",Jurusan Teknik Pertanian Fakultas Pertanian Unila,['FP18'],article,1970-01-01 00:00:00.000002017,disk0/00/00/86/72,Jurnal Teknik Pertanian Lampung,2302-559X,"[{'name': {'honourific': None, 'family': 'Bustomi', 'lineage': None, 'given': 'R.A.B'}, 'id': None}, {'id': 'zahabridwan@gmail.com', 'name': {'given': 'Ridwan', 'lineage': None, 'honourific': None, 'family': 'Ridwan'}}]",['S1'],"This research is intended to know the effect of irrigation deficit application during the flowering phase of gogo rice varieties Inpago 9. This research was conducted in plastic house of Integrated Field Laboratory of University of Lampung on October 2016 until March 2017. This research used complete randomized design (CRD) with 4 levels of treatment, namely ID1((0-20)-100)% AW, ID2((0-20)-80)% AW, ID3((0-20)-60)% AW, ID4((0-20)-40)% AW, with 5 replications. The results showed, the application of irrigation deficit on flowering phase was effected to the stover rice production, rice production and water use productivity. The highest stover rice weight achieved by the treatment of ID4((0-20)-40)% AW. The highest rice production with ID1((0-20)-100)% AW treatment with average production of 45.4 g/bucket. The highest crop water productivity by ID1((0-20)-100)% AW treatment with an average water productivity of 1.01 g/l..",archive,2018-08-03 07:39:50,6.0,6,show,Aplikasi irigasi defisit pada Fese Pembungaan Tanaman Padi Gogo (Oryza sativa L.) Varietas Inpago 9,published,8672,http://jurnal.fp.unila.ac.id/index.php/JTP/index,,,,,,,,,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JTP/index'}],,,,,,,,,,
8,65-75,2017-05-30 01:17:24,988,2017-05-30 01:17:24,http://repository.lppm.unila.ac.id/id/eprint/1880,public,TRUE,pub,,"[{'placement': 1, 'security': 'public', 'eprintid': 1880, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filename': 'SMIAP2 Fitri.pdf', 'hash': '6e7cc14f2e316b1fc6c5a304f0028d18', 'mtime': '2017-05-29 08:22:40', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 13135, 'filesize': 599770, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/13135', 'objectid': 1737}], 'main': 'SMIAP2 Fitri.pdf', 'docid': 1737, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1737', 'pos': 1, 'format': 'text'}]",,['FP18'],conference_item,1970-01-01 00:00:00.000002017,disk0/00/00/18/80,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Fitriani', 'given': 'Fitriani'}, 'id': None}, {'name': {'given': 'Agus', 'family': 'Haryanto', 'honourific': None, 'lineage': None}, 'id': 'agus.haryanto@fp.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Triyono', 'honourific': None, 'given': 'Sugeng'}, 'id': 'sugeng.triyono@fp.unila.ac.id'}]",['TP'],"Biodiesel is an alternative fuel made from vegetable oil or animal fat that can be used as a substitute for diesel fuel. Used cooking oil has potential as a raw material for making biodiesel because of its continuous availability compared to other feedstocks. The purpose of this study was to determine the production of biodiesel from waste cooking oil with the assistance of ultrasonic wave. The experiment was arranged in completely randomized design by two factors, namely reaction temperature and reaction time. Each factor consists of four levels, namely 40, 45, 50, 55oC for temperature and 1, 2, 3, 4 minutes for reaction times. All treatments were replicated by 3 repetitions. Analysis of variance was employed to understand the effect of each treatment factor. Results showed that there was no effect of factors on the biodiesel production as well as on its density and viscosity. Average biodiesel yield was 62.54 %. The biodiesel had an average density of 0.88 g/ml (complies SNI) and average viscosity of 4.93 cSt (complies SNI).",archive,2017-05-30 01:17:24,,8,show,"PRODUKSI BIODIESEL DARI MINYAK JELANTAH MELALUI
TRANSESTERIFIKASI DENGAN BANTUAN GELOMBANG ULTRASONIK",published,1880,http://smiap.unila.ac.id/,,,paper,Seminar Nasional sains Matematika Informatika dan Aplikasinya IV (SMAIP IV),"Universitas Lampung, Bandar Lampung",conference,27–28 Oktober 2016,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Agus', 'lineage': None, 'honourific': None, 'family': 'Haryanto'}}]",,,,,,,,,
9,,2021-09-13 01:30:01,988,2021-09-13 01:30:01,http://repository.lppm.unila.ac.id/id/eprint/33839,public,,pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 33839, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 154078, 'uri': 'http://repository.lppm.unila.ac.id/id/file/400373', 'datasetid': 'document', 'filesize': 2507783, 'fileid': 400373, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-09-10 21:58:25', 'hash': '50c78260fe1e58ff847a5043cdd3676e', 'filename': 'Bukti Kehadiran Seminar AESAP 2017 AH.pdf'}], 'main': 'Bukti Kehadiran Seminar AESAP 2017 AH.pdf', 'docid': 154078, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154078', 'format': 'text', 'pos': 1}]",AESAP,['FP18'],other,1970-01-01 00:00:00.000002017,disk0/00/03/38/39,,,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'lineage': None, 'honourific': None, 'family': 'Haryanto'}}]",['S1'],Tidak ada,archive,2021-09-13 01:30:01,,7,show,Bukti Kehadiran Seminar AESAP Agus H,completed,33839,,,,,,,,,['Universitas Lampung'],,"[{'name': {'honourific': None, 'family': 'Haryanto', 'lineage': None, 'given': 'Agus'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'agus.haryanto@fp.unila.ac.id'}]",,,,,,,,,
