,divisions,type,dir,date,creators,datestamp,pagerange,lastmod,userid,full_text_status,uri,refereed,ispublished,pres_type,documents,date_type,event_title,eprintid,event_location,subjects,abstract,status_changed,eprint_status,event_type,rev_number,metadata_visibility,event_dates,official_url,title,volume,issn,publication,id_number,publisher,number,contact_email,place_of_pub,contributors,related_url,corp_creators,book_title,pages,isbn,note
0,['FP19'],conference_item,disk0/00/00/38/76,2015-11-01 00:00:00.000000000,"[{'name': {'lineage': None, 'family': 'Astuti', 'honourific': None, 'given': 'Sussi'}, 'id': 'sussi.astuti@fp.unila.ac.id'}, {'id': None, 'name': {'family': 'Adawiyah', 'honourific': None, 'lineage': None, 'given': 'Rabiatul'}}]",2017-08-30 03:23:59,561-573,2017-08-30 03:23:59,625,public,http://repository.lppm.unila.ac.id/id/eprint/3876,TRUE,pub,paper,"[{'eprintid': 3876, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 3736, 'main': 'Hal 561-573_3.pdf', 'files': [{'filesize': 80095, 'datasetid': 'document', 'mtime': '2017-08-26 07:40:50', 'hash_type': 'MD5', 'hash': 'b90a49a8a68087278dab70aa27297b64', 'filename': 'Hal 561-573_3.pdf', 'fileid': 27134, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/27134', 'objectid': 3736}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3736', 'rev_number': 1}]",published,Seminar Nasional Pengabdian Kepada Masyarakat Universitas Lampung Tahun 2015,3876,"Emersia Hotel, Bandar Lampung",['S1'],"Posyandu Nusa Indah di Dusun II Mekarsari dan Posyandu Dahlia di Dusun III Candiwulan adalah dua Posyandu yang kegiatannya berjalan aktif di Desa Karanganyar Kecamatan Gedong Tataan Kabupaten Pesawaran. Tujuan kegiatan
pengabdian pemberdayaan kader Posyandu adalah : 1) Meningkatkan pemahaman kader terhadap antisipasi gagal tumbuh pada anak usia balita dengan penerapan konsep 2BS-AH (Beragam, Bergizi, Seimbang, Aman dan Halal), 2) Meningkatkan pemahaman kader terhadap kebutuhan gizi balita dan ibu hamil, 3)Meningkatkan tingkat kepatuhan ibu hamil untuk mengkonsumsi tablet Fe, 4)Meningkatkan  pengetahuan dan keterampilan kader  dalam pembuatan MP-ASI berbasis bahan pangan lokal, 5) Meningkatkan pengetahuan dan keterampilan kader dalam pembuatan biskuit berprotein tinggi 6)Meningkatkan pengetahuan dan keterampilan kader dalam pembuatan minuman fungsional berprotein tinggi, dan 7)Menambah tersedianya sarana dan prasarana dalam penyelenggaraan Posyandu. Hasil kegiatan pemberdayaan kader
posyandu menunjukkan rata-rata pengetahuan awal kader posyandu terhadap berbagai aspek yang disuluhkan sebesar 38,33%; rata-rata pengetahuan akhir kader posyandu terhadap berbagai aspek yang disuluhkan dan dilatihkan sebesar
97,67%; sehingga peningkatan hasil evaluasi akhir sebesar 59,34% (tergolong pada kategori sedang). Bantuan peralatan yang diberikan mampu menunjang kelancaran penyelenggaraan kegiatan posyandu Nusa Indah dan Dahlia.

Kata kunci: posyandu, kader posyandu, pemberdayaan",2017-08-30 03:23:59,archive,conference,7,show,4 November 2015,http://lemlit@unila.ac.id,Pemberdayaan Kader Posyandu Desa Karanganyar Kecamatan Gedong Tataan Kabupaten Pesawaran,,,,,,,,,,,,,,,
1,['FP19'],article,disk0/00/00/38/13,2015-03-01 00:00:00.000000000,"[{'id': 'sussi.astuti@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Astuti', 'given': 'Sussi'}}, {'id': None, 'name': {'honourific': None, 'family': 'Zulferiyenni', 'lineage': None, 'given': 'Zulferiyenni'}}, {'name': {'lineage': None, 'family': 'Yuningsih', 'honourific': None, 'given': 'Ni Nyoman'}, 'id': None}]",2017-08-14 06:37:20,25-37,2017-08-14 06:37:20,625,public,http://repository.lppm.unila.ac.id/id/eprint/3813,TRUE,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 3813, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3674', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/26707', 'objectid': 3674, 'filesize': 297758, 'datasetid': 'document', 'mtime': '2017-08-09 09:02:47', 'hash_type': 'MD5', 'hash': '0c12d72c6fea4edfad04e9d8ac9951b4', 'filename': 'Formulasi Sukrosa dan Sirup Glukosa -Permen Susu Kedelai.pdf', 'fileid': 26707, 'mime_type': 'application/pdf'}], 'docid': 3674, 'main': 'Formulasi Sukrosa dan Sirup Glukosa -Permen Susu Kedelai.pdf'}]",published,,3813,,['S1'],"The objective of this research was to study the effect formulation between sucrose and glucose syrup on chemical and sensory properties of soymilk candy. The research was
a single factor, arranged in a Complete Randomized Design with six replications. The factor was the formulation of sucrose and glucose syrup consisted of six levels, i.e. 100:0 (F1); 90:10 (F2); 80:20 (F3); 70:30 (F4); 60:40 (F5) and 50 : 50 (F6). The data were analyzed by using ANOVA and were tested with LSD test at 5% level of significant. The
results showed that the ratio of sucrose and glucose syrup significantly affected the chemical properties (moisture content, ash content and reducing sugar content) and sensory
(color, odor, taste, texture, and overall acceptance) of soymilk candy.  The best formulation was found on soymilk candy produced from 60% sucrose and 40% glucose syrup (F5) with the color score of 2,49 (yellow-brown), odor score of 2,34 (rather specific soymilk), taste score of 3,12 (rather sweet), texture score of 3,24 (rather soft), and the overall acceptance score at 3,05 (like). The best soymilk candy has moisture content of 8,21%, ash content of
1,38% and reducing sugar content of 8,18%. 

Keywords : sucrose, glucose syrup, soymilk candy",2017-08-14 06:37:20,archive,,6,show,,http://jurnal.fp.unila.ac.id/index.php/JTHP/article/view/1402/1288,"PENGARUH FORMULASI SUKROSA DAN SIRUP GLUKOSA TERHADAP 
SIFAT KIMIA DAN SENSORI PERMEN SUSU KEDELAI",20.0,ISSN 1410-3044 (Print) and ISSN 2302-4399 (Online),Jurnal Teknologi & Industri Hasil Pertanian,SSN 1410-3044 (Print) and ISSN 2302-4399 (Online),Jurusan Teknologi Hasil Pertanian Unila,1.0,,,,,,,,,
2,['FP19'],article,disk0/00/00/35/61,2015-10-07 00:00:00.000000000,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Hasanudin', 'given': 'U'}}, {'name': {'given': 'R', 'family': 'Sugiharto', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'family': 'Haryanto', 'honourific': None, 'given': 'A'}}, {'name': {'given': 'T', 'lineage': None, 'family': 'Setiadi', 'honourific': None}}, {'name': {'family': 'Fujie', 'honourific': None, 'lineage': None, 'given': 'K'}}]",2017-06-12 01:43:31,1089-1095,2017-06-12 01:43:31,486,public,http://repository.lppm.unila.ac.id/id/eprint/3561,TRUE,pub,,"[{'files': [{'datasetid': 'document', 'filesize': 278017, 'fileid': 24720, 'mime_type': 'application/pdf', 'mtime': '2017-06-11 00:36:50', 'hash_type': 'MD5', 'filename': 'Water Science and Tecnology Vol_72 No_7 October_2015 p_1089-1095.pdf', 'hash': '9fa8f5695130733c34b4f60c8242df73', 'objectid': 3428, 'uri': 'http://repository.lppm.unila.ac.id/id/file/24720'}], 'docid': 3428, 'main': 'Water Science and Tecnology Vol_72 No_7 October_2015 p_1089-1095.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3428', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3561, 'mime_type': 'application/pdf', 'language': 'en'}]",,,3561,,['TD'],"The purpose of this study was to evaluate the current condition of palm oil mill effluent (POME) treatment and utilization and to propose alternative scenarios to improve the sustainability of palm oil industries. The research was conducted through field survey at some palm oil mills in Indonesia, in which different waste management systems were used. Laboratory experiment was also carried out using a 5 m3 pilot-scale wet anaerobic digester. Currently, POME is treated through anaerobic digestion without or with methane capture followed by utilization of treated POME as liquid fertilizer or further treatment (aerobic process) to fulfill the wastewater quality standard. A methane capturing system was estimated to successfully produce renewable energy of about 25.4–40.7 kWh/ton of fresh fruit bunches (FFBs) and reduce greenhouse gas (GHG) emissions by about 109.41–175.35 kgCO2e/tonFFB (CO2e: carbon dioxide equivalent). Utilization of treated POME as liquid fertilizer increased FFB production by about 13%. A palm oil mill with 45 ton FFB/hour capacity has potential to generate about 0.95–1.52 MW of electricity. Coupling the POME-based biogas digester and anaerobic co-composting of empty fruit bunches (EFBs) is capable of adding another 0.93 MW. The utilization of POME and EFB not only increases the added value of POME and EFB by producing renewable energy, compost, and liquid fertilizer, but also lowers environmental burden.",2017-06-12 01:43:31,archive,,7,show,,,Palm Oil Mill Effluent Treatment and Utilization to Ensure the Sustainability of Palm Oil Industries,72.0,,Water Science and Technology,,IWA Publishing,7.0,udinha65@gmail.com,,,,,,,,
3,['FP19'],experiment,disk0/00/03/37/15,1970-01-01 00:00:00.000002015,"[{'id': 'srihidayati.unila@gmail.com', 'name': {'lineage': None, 'family': 'Hidayati', 'honourific': None, 'given': 'Sri'}}]",2021-08-29 07:54:50,,2021-08-29 07:54:50,1027,public,http://repository.lppm.unila.ac.id/id/eprint/33715,,unpub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 33715, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/153939', 'rev_number': 1, 'docid': 153939, 'main': 'laporan_akhir (4) 2015 CPO parit.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/399404', 'objectid': 153939, 'filesize': 452043, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-08-29 05:52:20', 'filename': 'laporan_akhir (4) 2015 CPO parit.pdf', 'hash': '9f225b6281821a5f38e8f44dff2db5a8', 'fileid': 399404, 'mime_type': 'application/pdf'}]}]",,,33715,,['S1'],"Laporan penelitian Hibah penelitian oleh dikti dengan dana 67,5 juta",2021-08-29 07:54:50,archive,,7,show,,https://simlitabmas.ristekbrin.go.id/main.aspx?page=23,Laporan penelitian :Optimasi Produksi Surfaktan Dari Cpo Parit Dan Minyak Jelantah Dari Sawitdan Uji Efektifitasnya Terhadap Pendesakan Minyak Bumi (Tahun III),,,,,,,,,,,,,,,
4,['FP19'],other,disk0/00/03/35/73,1970-01-01 00:00:00.000002015,"[{'id': 'srihidayati.unila@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Hidayati', 'given': 'Sri'}}]",2021-08-23 12:31:37,,2021-08-23 12:31:37,1027,public,http://repository.lppm.unila.ac.id/id/eprint/33573,,unpub,,"[{'eprintid': 33573, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 153696, 'main': 'sertifikat seminar APTA 2015.pdf', 'files': [{'filesize': 694033, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-08-23 09:48:19', 'hash': '50cd3f603f4ca8b47e2fa4a264b06a05', 'filename': 'sertifikat seminar APTA 2015.pdf', 'fileid': 398037, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/398037', 'objectid': 153696}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153696'}]",,,33573,,['S1'],Menjadi penyaji pada seminar Asosiasi Profesi Agroindustri tahun 2015 yang diselenggarakan oleh Universitas Trunojoyo di Surabaya,2021-08-23 12:31:37,archive,,7,show,,http://tip.trunojoyo.ac.id/semnas/wp-content/uploads,Sertifikat seminar APTA 2015 dengan judul makalah: Pengaruh suhu dan lama pemanasan terhadap metil ester sulfonat dari swit,,,,0,TIP Trunojoyo,,,Surabaya,,,,,,,
5,['FP19'],other,disk0/00/03/35/81,1970-01-01 00:00:00.000002015,"[{'name': {'honourific': None, 'family': 'Hidayati', 'lineage': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}]",2021-08-23 12:32:20,,2021-08-23 12:32:20,1027,public,http://repository.lppm.unila.ac.id/id/eprint/33581,,unpub,,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153702', 'main': 'laporan_akhir (4) 2015 CPO parit.pdf', 'docid': 153702, 'files': [{'hash': '9f225b6281821a5f38e8f44dff2db5a8', 'filename': 'laporan_akhir (4) 2015 CPO parit.pdf', 'mtime': '2021-08-23 10:05:10', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 398088, 'filesize': 452043, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/398088', 'objectid': 153702}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 33581, 'placement': 1, 'security': 'public'}]",,,33581,,['S1'],Penelitian tahun ke 2 hibah fundamental oleh ristek dikti dengan biaya 40 juta,2021-08-23 12:32:20,archive,,7,show,,https://simlitabmas.ristekbrin.go.id/main.aspx?page=23,laporan peneitian tahun ke 2: Optimasi Produksi Surfaktan Dari Cpo Parit Dan Minyak Jelantah Dari Sawitdan Uji Efektifitasnya Terhadap Pendesakan Minyak Bumi (Tahun II),,,,0,Ristekdikti,,,Jakarta,,,,,,,
6,['FP19'],article,disk0/00/00/16/27,2015-09-01 00:00:00.000000000,"[{'name': {'given': 'Sri', 'lineage': None, 'honourific': None, 'family': 'Hidayati'}, 'id': 'srihidayati.unila@gmail.com'}, {'id': None, 'name': {'given': 'otik', 'family': 'Nawansih', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Via', 'honourific': None, 'family': 'Vebiana', 'lineage': None}, 'id': None}]",2017-05-24 06:45:14,97-108,2017-05-24 06:45:20,1027,public,http://repository.lppm.unila.ac.id/id/eprint/1627,TRUE,pub,,"[{'eprintid': 1627, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Mikroalgae, sri hidayati.pdf', 'docid': 1491, 'files': [{'datasetid': 'document', 'filesize': 322746, 'fileid': 11265, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-05-19 07:05:57', 'hash': '33e9c23eab0f3cacf2d4fd846a6d57a9', 'filename': 'Mikroalgae, sri hidayati.pdf', 'objectid': 1491, 'uri': 'http://repository.lppm.unila.ac.id/id/file/11265'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1491', 'rev_number': 1}]",published,,1627,,['S1'],"Penelitian ini bertujuan menentukan dosis penambahan aluminium sulfat yang tepat dalam pemanenan Penelitian ini dilakukan dengan pemanenan mikroalga Nannochloropsis sp. yang ditumbuhkan dalam medium limbah cair karet remah (75% v/v) dalam reaktor terbuka dengan volume 5L selama 8 hari. Metode flokulasi yang dilakukan menggunakan alumunium sulfat Al2(SO4)3 dengan dosis 50, 100, 150, 200, 250, dan 300 mg/L serta 200 mg/L NaOH sebagai pembanding (kontrol). Hasil penelitian menunjukkan bahwa mikroalga Nannochloropsis sp. yang ditumbuhkan dalam limbah cair karet remah dan dipanen menggunakan flokulan aluminium sulfat Al2(SO4)3 dosis 150 mg/L dengan kepadatan sel 4055 x 104 sel/mL memiliki efisiensi flokulasi tertinggi yaitu sebesar 94,55%, biomassa kering 0,7060 g/L, dan kandungan minyak 23,24%.",2017-05-24 06:45:20,archive,,8,show,,http://jurnal.fp.unila.ac.id/index.php/JTHP,TEKNIK PEMANENAN MIKROALGA NANNOCHLOROPSIS sp. YANG DIKULTIVASI DALAM MEDIA LIMBAH CAIR KARET REMAH DENGAN FLOKULAN ALUMINIUM SULFAT,20.0,ISSN 1410-3044 (print) and ISSN 2304-4399 (online),Jurnal Teknologi Industri & Hasil Pertanian,ISSN 1410-3044 (print) and ISSN 2304-4399 (online),Jurusan Teknologi Hasil Pertanian Unila,2.0,,,,,,,,,
7,['FP19'],conference_item,disk0/00/00/16/93,2015-09-01 00:00:00.000000000,"[{'name': {'given': 'Sri', 'lineage': None, 'family': 'Hidayati', 'honourific': None}, 'id': 'srihidayati.unila@gmail.com'}, {'name': {'given': 'Pudji', 'honourific': None, 'family': 'Permadi', 'lineage': None}, 'id': '.'}]",2017-05-26 07:37:50,45-51,2017-05-26 07:37:50,1027,public,http://repository.lppm.unila.ac.id/id/eprint/1693,TRUE,pub,paper,"[{'docid': 1557, 'main': 'PROSIDING SEMNAS FKPTTPI 2015-1.pdf', 'files': [{'hash': '5016e76dabf8e5570d9c9de743a9b9c0', 'filename': 'PROSIDING SEMNAS FKPTTPI 2015-1.pdf', 'mtime': '2017-05-26 06:39:32', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 11656, 'filesize': 43063573, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/11656', 'objectid': 1557}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1557', 'rev_number': 1, 'eprintid': 1693, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",published,SEMINAR AGROINDUSTRI DAN LOKAKARYA NASIONAL Forum Komunikasi Pendidikan Tinggi – Teknologi Pertanian Indonesia,1693,Surabaya,['S1'],"Metyl Ester Sulfonat merupakan surfaktan anionik yang dapat diproduksi dari metil ester
kelapa sawit dan dapat berfungsi sebagai penurun tegangan antarmuka sehingga dapat
dimanfaatkan sebagai surfactant flooding dalam EOR. Suhu yang tinggi dapat
mempengaruhi penggunaan surfaktan sebagai surfactant flooding. Tujuan penelitian
adalah mengetahui pengaruh suhu dan lama pemanasan terhadap sifat kimia dan kinerja
MES dalam menurunkan tegangan permukaan dan tegangan antar muka. Suhu yang
digunakan adalah 100 dan 150oC dan lama pemanasan (8, 48, dan 72 jam). Hasil
penelitian menunjukkan bahwa peningkatan suhu dan lama pemanasan dapat menurunkan
bilangan asam dan stabilitas emulsi tetapi dapat meningkatkan nilai tegangan permukaan
dan tegangan antarmuka.
Kata Kunci: Metil Ester Sulfonat, Suhu, Lama Pemanasan",2017-05-26 07:37:50,archive,conference,8,show,2 – 3 september 2015,,Pengaruh Suhu dan Lama Pemanasan Terhadap Metil Ester Sulfonat dari Sawit,,,,,,,,,,,,,,,
8,['FP19'],other,disk0/00/02/70/52,1970-01-01 00:00:00.000002015,"[{'name': {'honourific': None, 'family': 'Hidayati', 'lineage': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}, {'name': {'family': 'Permadi', 'honourific': None, 'lineage': None, 'given': 'Pudji'}, 'id': '.'}]",2020-12-08 02:36:32,,2020-12-08 02:36:32,1027,public,http://repository.lppm.unila.ac.id/id/eprint/27052,,pub,,"[{'eprintid': 27052, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 41069, 'main': 'Turnitin 37. Pengaruh Suhu dan Lama Pemanasan Terhadap Metil Ester Sulfonat dari Sawit.pdf', 'files': [{'datasetid': 'document', 'filesize': 1607014, 'mime_type': 'application/pdf', 'fileid': 242542, 'hash': '487dee94e6a1bb8f8b008a0b28eb6add', 'filename': 'Turnitin 37. Pengaruh Suhu dan Lama Pemanasan Terhadap Metil Ester Sulfonat dari Sawit.pdf', 'hash_type': 'MD5', 'mtime': '2020-12-07 08:29:29', 'objectid': 41069, 'uri': 'http://repository.lppm.unila.ac.id/id/file/242542'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41069'}]",published,,27052,,['S1'],"Metyl Ester Sulfonat merupakan surfaktan anionik yang dapat diproduksi dari metil ester kelapa sawit dan dapat berfungsi sebagai penurun tegangan antarmuka sehingga dapat dimanfaatkan sebagai surfactant flooding dalam EOR. Suhu yang tinggi dapat mempengaruhi penggunaan surfaktan sebagai surfactant flooding. Tujuan penelitian adalah mengetahui pengaruh suhu dan lama pemanasan terhadap sifat kimia dan kinerja MES dalam menurunkan tegangan permukaan dan tegangan antar muka. Suhu yang digunakan adalah 100 dan 150oC dan lama pemanasan (8, 48, dan 72 jam). Hasil penelitian menunjukkan bahwa peningkatan suhu dan lama pemanasan dapat menurunkan bilangan asam dan stabilitas emulsi tetapi dapat meningkatkan nilai tegangan permukaan dan tegangan antarmuka. Kata Kunci: Metil Ester Sulfonat, Suhu, Lama Pemanasan",2020-12-08 02:36:32,archive,,7,show,,http://repository.lppm.unila.ac.id/1693/1/PROSIDING%20SEMNAS%20FKPTTPI%202015-1.pdf,similarity:Pengaruh Suhu dan Lama Pemanasan Terhadap Metil Ester Sulfonat dari Sawit,,,,PROSIDING SEMNAS FKPTTPI 2015-1.pdf 3 / 700,TIP Trunojoyo,,,SEminar FKPTPI 2015,,,,,,,
9,['FP19'],article,disk0/00/00/16/25,2015-04-01 00:00:00.000000000,"[{'name': {'lineage': None, 'family': 'Hidayati', 'honourific': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}, {'id': 'sapta@yahoo.com', 'name': {'honourific': None, 'family': 'Zuidar', 'lineage': None, 'given': 'Ahmad Sapta'}}, {'name': {'lineage': None, 'family': 'Diani', 'honourific': None, 'given': 'Astri'}, 'id': None}]",2017-05-24 06:43:29,196-204,2017-05-24 06:43:41,1027,public,http://repository.lppm.unila.ac.id/id/eprint/1625,TRUE,pub,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/11252', 'objectid': 1489, 'filesize': 833473, 'datasetid': 'document', 'mtime': '2017-05-19 06:39:11', 'hash_type': 'MD5', 'filename': 'Reaktor Sorbitol, 2015.pdf', 'hash': '7e9c30f4ac18ef68fa47bad3ecbc10ea', 'fileid': 11252, 'mime_type': 'application/pdf'}], 'docid': 1489, 'main': 'Reaktor Sorbitol, 2015.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1489', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 1625, 'mime_type': 'application/pdf', 'language': 'en'}]",published,,1625,,['S1'],"Sebuah penelitian tentang proses produksi biodegradable film dari nata de cassava dengan perlakuan konsentrasi sorbitol sebagai plastisizer 0% (S0), 3% (S1), 6% (S2), 9% (S3), 12% (S4) dan 15% (S5) menggunakan Rancangan Kelompok Acak Lengkap. Hasil penelitian menunjukkan bahwa konsentrasi terbaik yaitu sorbitol 9%, dengan hasil penampakan visual yaitu berwarna transparan berserabut putih, kuat tarik sebesar 11,76 MPa, persen perpanjangan sebesar 13,28%, kelarutan sebesar 72,08%. Film dapat terdegradasi selama 5 minggu.",2017-05-24 06:43:41,archive,,10,show,,http://ejournal.undip.ac.id/index.php/reaktor,APLIKASI SORBITOL PADA PRODUKSI BIODEGRADABLE FILM DARI NATA DE CASSAVA,15.0,0852-0798 e-ISSN. 2407-5973,Reaktor,SK No. 66b / DIKTI / Kep / 2011,Departemen teknik Kimia Undip,3.0,,,,,,,,,
