,dir,date,editors,type,divisions,publisher,documents,ispublished,refereed,full_text_status,uri,userid,lastmod,datestamp,eprintid,title,metadata_visibility,rev_number,status_changed,eprint_status,abstract,subjects,event_type,event_title,corp_creators,pres_type,creators,date_type,volume,official_url,id_number,issn,publication,pagerange,number,pages,patent_applicant,place_of_pub,event_location,event_dates,related_url,institution,department,monograph_type,contact_email,referencetext,keywords,projects,funders,contributors,succeeds
0,disk0/00/00/49/03,1970-01-01 00:00:00.000002017,"[{'name': {'given': 'Udin', 'lineage': None, 'family': 'Hasanudin', 'honourific': None}, 'id': 'udinha65@gmail.com'}, {'id': 'erwyld@yahoo.co.id', 'name': {'given': 'Erwin', 'lineage': None, 'family': 'Yuliadi', 'honourific': None}}, {'id': 'msyamshadi@yahoo.co.id', 'name': {'given': 'Muhammad Syamsoel', 'honourific': None, 'family': 'Hadi', 'lineage': None}}, {'name': {'given': 'Kukuh', 'lineage': None, 'honourific': None, 'family': 'Setiawan'}, 'id': 'kukuhsetiawan38@gmail.com'}]",book,"['FP1', 'FP25', 'FP2', 'FP24', 'FP19', 'FP22']",LPPM Universitas Lampung & Balitbangda Kabupaten Lampung Tengah,"[{'files': [{'objectid': 17833, 'uri': 'http://repository.lppm.unila.ac.id/id/file/47514', 'datasetid': 'document', 'filesize': 4090275, 'mime_type': 'application/pdf', 'fileid': 47514, 'filename': 'Buku Cassava.pdf', 'hash': '297a1ffab74adf857353a2cbf01306f0', 'hash_type': 'MD5', 'mtime': '2017-11-08 18:32:45'}], 'docid': 17833, 'main': 'Buku Cassava.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17833', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 4903, 'mime_type': 'application/pdf', 'language': 'en'}]",inpress,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/4903,1054,2017-11-10 13:57:07,2017-11-10 13:57:07,4903,"CASSAVA: BIBIT, PRODUKSI, MANFAAT, DAN PASCA PANEN",show,14,2017-11-10 13:57:07,archive,"Buku pedoman cassava ini terdiri atas empat bagian utama, yaitu bidang agronomi, system pemupukan, pengendalian hama dan penyakit cassava, manfaat dan pascapanen cassava. Bidang agronomi mendiskusikan tentang system penyediaan bibit, karakter berbagai varietas cassava dan system budidaya untuk produksi tinggi yang efektif dan berkelanjutan. Selanjutnya, cara pemberian pupuk yang baik dan benar untuk produksi tinggi dimasukkan ke dalam system pemupukan bersama dengan pemberian bahan organik untuk memperbaiki sifat tanah.  Cara pengendalian organisme pengganggu tanaman terpadu dibahas di dalam bagian pengendalian berbagai hama dan penyakit cassava. Terakhir adalah manfaat dan pascapanen cassava yang membahas tentang kegunaan cassava untuk kehidupan sehari-hari serta cara penyimpanan dan pengawetan tepung maupun prosesing.",['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,disk0/00/00/59/36,2017-05-01 00:00:00.000000000,,conference_item,['FP19'],,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/55090', 'objectid': 18853, 'filename': 'Artikel Semnas Lumbung Beras Siger 2017.pdf', 'hash': 'e7d9e9f69bad09724e8a9d55c89b9322', 'hash_type': 'MD5', 'mtime': '2017-11-17 15:00:24', 'mime_type': 'application/pdf', 'fileid': 55090, 'filesize': 350403, 'datasetid': 'document'}], 'docid': 18853, 'main': 'Artikel Semnas Lumbung Beras Siger 2017.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/18853', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 5936, 'mime_type': 'application/pdf', 'language': 'en'}]",inpress,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/5936,288,2017-11-24 07:38:37,2017-11-24 07:38:37,5936,"PENGEMBANGAN LUMBUNG BERAS SIGER DI DESA WAY
KANDIS – BANDAR LAMPUNG",show,7,2017-11-24 07:38:37,archive,"Beras siger merupakan produk beras dari bahan non padi dan memiliki bentuk menyerupai
beras padi. Beras siger yang dihasilkan umumnya berbentuk butiran berwarna putih dan
beraroma khas ubi kayu. Beras siger memiliki indeks glikemik sebesar 31 sehingga baik
sekali dikonsumsi bagi penderita diabetes. Oleh karena itu akan didirikan lumbung beras
siger berbahan dasar ubi kayu di Kelurahan Way Kandis, Kecamatan Tanjung Seneng,
Bandar Lampung. Kegiatan ini bertujuan untuk menjalin kerjasama antara perguruan tinggi,
Pemda, dan mitra UKM beras siger dalam mengembangkan lumbung beras siger di Desa
Way Kandis – Bandar Lampung. Keluaran akhir program IbDM ini adalah: terbentuknya
kerjasama penerapan teknologi, desa lumbung beras siger, kelembagaan usaha pembuatan
beras siger, jaringan pemasaran beras siger, dan kerjasama dengan instansi terkait.Beberapa
metode yang akan dilakukan dalam kegiatan ini adalah penyuluhan, pendidikan dan
pelatihan, produksi beras siger, pembimbingan, pendampingan, dan penelitian.
Kata kunci: beras siger, KWT Tirtaria, ubi kayu, Way Kandis",['Q1'],conference,Seminar NAsional Hasil-hasil pengabdian,"['Universitas LAmpung', 'Universitas Lampung', 'Universitas LAmpung']",speech,"[{'name': {'given': 'Harun', 'family': 'Al Rasyid', 'honourific': None, 'lineage': None}, 'id': 'harun.alrasyid@fp.unila.ac.id'}, {'name': {'given': 'Tanto Pratondo', 'lineage': None, 'family': 'Utomo', 'honourific': None}, 'id': 'tanto.utomo@fp.unila.ac.id'}, {'name': {'given': 'subeki', 'family': 'subeki', 'honourific': None, 'lineage': None}, 'id': 'subeki1968@fp.unila.ac.id'}]",,,,,,,,,,,,,,,,,,,,,,,,
2,disk0/00/01/77/43,2017-08-08 00:00:00.000000000,,article,['FP19'],Oriental Scientific Publishing Company,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/149630', 'objectid': 30861, 'filesize': 1073831, 'datasetid': 'document', 'filename': 'Comparison Effectiveness of Antidiabetic Activity Extract Herbal Mixture.pdf', 'hash': '6d3621fbef2f35498676bc978cfabf31', 'mtime': '2020-01-29 06:38:11', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 149630}], 'main': 'Comparison Effectiveness of Antidiabetic Activity Extract Herbal Mixture.pdf', 'docid': 30861, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30861', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17743, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/17743,871,2020-02-17 04:17:12,2020-02-17 04:17:12,17743,"Comparison Effectiveness of Antidiabetic Activity Extract Herbal Mixture of Soursop Leaves(Annona muricata), Bay Leaves (Syzygium polyanthum)  and Pegagan Leaves(Centella asiatica)",show,6,2020-02-17 04:17:12,archive,"Diabetes Mellitus (DM) is a degenerative disease that threatens global health. According World Health Organisation (WHO), Indonesia ranks 4th largest number of people with diabetes. Diabetes is a chronic metabolic disorder due to pancreas can not produce enough insulin or body can not use insulin, causing increasing blood sugar levels. The active ingredients like tannin, polyphenolic and acarbose in herbs have potential efectiveness as an antidiabetic and antioxidant.These herbs are being into alternative treatments that are often used in society as diabetic treatment. This study uses soursop leaves, bay leaves, and pegagan leaves extract. The leaves will be tested effectiveness as an antidiabetic and antioxidant with measuring effectiveness of enzymatic inhibition of ±-amylase, ±-glukosidase and total phenolic, that can affect blood sugar and oxidative stress conditions whiches experienced by patients with DM. Test result showedthat total phenol content obtained highest titer in soursop leavessingle extract, followed by a mixture of soursop leaves and pegagan leaves extract and lowest total phenol content obtained at a single extract of bayleaves. The highest potential effectiveness of anti-±-amylase similar with anti ±-glucosidase obtained in a single extract of soursop leaves, followed by a mixture of soursop leaves and bay leaves extract and lowest potential was measured in single extractpegagan leaves and bay leaves. High effectiveness potential in herbs preparation as anti ±-amylase, anti ±-glucosidase, and antioxidant activity of total phenol content will treatand inhibit the progression of glucose metabolic disorder due to metabolic abnormalities in patients with DM.",['S1'],,,,,"[{'id': 'nisaberawi0226@gmail.com', 'name': {'family': 'Berawi', 'honourific': None, 'lineage': None, 'given': 'Khairun Nisa'}}, {'name': {'given': 'Liana', 'lineage': None, 'honourific': None, 'family': 'Shidarti'}, 'id': None}, {'name': {'lineage': None, 'family': 'Nurdin', 'honourific': None, 'given': 'Samsu Udayana'}, 'id': 'samsu.udayana@fp.unila.ac.id'}]",published,10.0,http://biomedpharmajournal.org/,http://dx.doi.org/10.13005/bpj/1256,0974-6242,Biomedical & Pharmacology Journal,1481-1488,3,,,,,,,,,,,,,,,,
3,disk0/00/00/50/94,2017-08-01 00:00:00.000000000,,patent,['FP19'],,"[{'eprintid': 5094, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 18019, 'main': 'Paten lemigas.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/48705', 'objectid': 18019, 'filename': 'Paten lemigas.pdf', 'hash': 'c6a45f2d806c418d8c92f93ddd119f26', 'hash_type': 'MD5', 'mtime': '2017-11-10 06:38:11', 'mime_type': 'application/pdf', 'fileid': 48705, 'filesize': 47022, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/18019', 'rev_number': 1}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/5094,1027,2017-11-10 08:12:57,2017-11-10 08:12:57,5094,Metode pembuatan Surfaktan metil Ester Sulfonat untuk Aplikasi EOR,show,10,2017-11-10 08:12:57,archive,"Invensi ini berhubungan dengan produk dan metode pembuatan surfaktan metil ester sulfonat, khususnya berhubungan dengan proses pembuatan metil ester sulfonat (MES) dari minyak CPO dan formulasinya sebagai surfaktan untuk EOR. Surfaktan MES dipilih karena mempunyai nilai IFT yang memadai dan Indonesia kaya akan CPO sebagai bahan baku pembuatnya. Formulasi dilakukan untuk meningkatkan kinerja surfaktan sehingga memenuhi kriteria. Pembuatan surfaktan MES menggunakan bahan baku metil ester dari CPO  yang diperoleh dari minyak curah.  Pada invensi ini dilakukan uji pengaruh suhu reaksi, lama reaksi, dan rasio mol pereaksi dengan menggunakan NaHSO3 sebagai bahan pensulfonasi. Proses formulasi menghasilkan formula surfaktan RPE811 dengan kinerja mampu menurunkan tegangan antar muka mencapai 10-3 dyne/cm, kompatibel dengan air formulasi, nilai filtration ratio (FR) lebih kecil dari 1,2 dan stabil sampai 30 hari pada suhu 60oC. Pada uji core flooding dengan batuan standar Bentheimer mampu menghasilkan minyak sebesar  16,51%.",['S1'],,,,,"[{'name': {'given': 'Hestuti', 'honourific': None, 'family': 'Eni', 'lineage': None}, 'id': '.'}, {'name': {'lineage': None, 'family': 'Sugiardjo', 'honourific': None, 'given': 'Sugiardjo'}, 'id': None}, {'id': None, 'name': {'given': 'None', 'lineage': None, 'family': 'Suwartingsih', 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Usman', 'honourific': None, 'given': 'None'}}, {'id': None, 'name': {'lineage': None, 'family': 'Brioletty', 'honourific': None, 'given': 'Letty'}}, {'id': 'srihidayati.unila@gmail.com', 'name': {'given': 'Sri', 'lineage': None, 'honourific': None, 'family': 'Hidayati'}}, {'id': None, 'name': {'given': 'Novic', 'lineage': None, 'honourific': None, 'family': 'Ardyarini'}}, {'id': None, 'name': {'lineage': None, 'family': 'Lusyana', 'honourific': None, 'given': 'none'}}, {'name': {'given': 'Slamet', 'lineage': None, 'honourific': None, 'family': 'Handoko'}, 'id': None}, {'id': None, 'name': {'family': 'Setyawan', 'honourific': None, 'lineage': None, 'given': 'Daliya Indra'}}, {'name': {'family': 'Sukriya', 'honourific': None, 'lineage': None, 'given': ""Ikha Novita Ma'wa""}, 'id': None}]",published,,https://www.google.co.id/search?dcr=0&source=hp&ei=rEwFWonBCInWvAScwK7gAw&q=berita+paten%2C+ahmad+sapta+zuidar%2C+pulp&oq=berita&gs_l=psy-ab.1.0.35i39k1l2j0i131k1l2j0i67k1j0i131k1j0j0i131k1j0l2.1458.2518.0.6133.7.6.0.0.0.0.74.410.6.6.0....0...1.1.64.psy-ab..1.6.406.0...0.r4H0gi2nA0g,IDP000047559,,,,,1.0,BPPTMGB Lemigas,,,,,,,,,,,,,,
4,disk0/00/03/35/60,1970-01-01 00:00:00.000002017,,other,['FP19'],Dephumkam,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/153679', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/397916', 'objectid': 153679, 'filesize': 2600911, 'datasetid': 'document', 'filename': 'paten Sri lemigas.pdf', 'hash': '182d2708d2b2a65e67acd66d888bad5c', 'mtime': '2021-08-23 08:54:45', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 397916}], 'main': 'paten Sri lemigas.pdf', 'docid': 153679, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 33560}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/33560,1027,2021-08-23 12:30:23,2021-08-23 12:30:23,33560,Deskripsi paten Surfaktan untuk EOR,show,10,2021-08-23 12:30:23,archive,Surfaktan berbasis minyak sawit yatu metil ester sulfonat dapat dimanfaatkan untuk enhance oil recovery atau EOR,['S1'],,,,,"[{'id': '.', 'name': {'family': 'Eni', 'honourific': None, 'lineage': None, 'given': 'Hestuti'}}, {'id': None, 'name': {'lineage': None, 'family': 'Sugihardjo', 'honourific': None, 'given': 'None'}}, {'name': {'given': 'Letty', 'honourific': None, 'family': 'Brioletty', 'lineage': None}, 'id': None}, {'id': None, 'name': {'family': 'lumbantobing', 'honourific': None, 'lineage': None, 'given': 'J'}}, {'name': {'lineage': None, 'family': 'Hidayati', 'honourific': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}, {'id': None, 'name': {'given': 'none', 'honourific': None, 'family': 'Andyarini', 'lineage': None}}, {'id': None, 'name': {'given': 'none', 'honourific': None, 'family': 'Lusyana', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Handoko', 'given': 'Slamet'}, 'id': None}, {'name': {'given': 'Agus', 'lineage': None, 'honourific': None, 'family': 'Setyawati'}, 'id': None}, {'name': {'given': ""Ikha Novita Ma'wa"", 'family': 'Sukriya', 'honourific': None, 'lineage': None}, 'id': None}]",published,,https://pdki-indonesia.dgip.go.id/detail/P00201403381?type=patent&keyword=IDP000047559,IDP000047559,,,,,,,Jakarta,,,,,,,,,,,,,
5,disk0/00/04/48/51,1970-01-01 00:00:00.000002017,,other,['FP19'],Proceeding International Conference on Cassava,"[{'main': 'Using Cara Rubber as Natural Anti-Microbe in Reducing Contamination of in coli in Mackerel Tuna.pdf', 'docid': 166757, 'files': [{'objectid': 166757, 'uri': 'http://repository.lppm.unila.ac.id/id/file/484101', 'datasetid': 'document', 'filesize': 371831, 'fileid': 484101, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-09-09 03:47:25', 'hash': '0e1c8d1df28a68be82905bd2ec402bbd', 'filename': 'Using Cara Rubber as Natural Anti-Microbe in Reducing Contamination of in coli in Mackerel Tuna.pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166757', 'rev_number': 1, 'eprintid': 44851, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/44851,306,2022-09-12 01:12:50,2022-09-12 01:12:50,44851,"Using Ceara Rubber as Natural Anti-Microbe in Reducing Contamination of Staphylococcus aureus, Salmonella sp., Vibrio sp. and Escherichia coli in Mackerel Tuna Fish (Euthynnus affinis)",show,7,2022-09-12 01:12:50,archive,"Mackerel tuna fish is one of fishing results that be like by people because it have thick meat 
and contain high protein that be source omega 3 fatty acid. However, mackerel tuna fish is easy to be 
contaminated by microbes, so that causes in reducing quality. Microbe contamination can be reduced 
by using ceara rubber as an alternative a natural anti-microbe. Ceara rubber contains antimicrobial 
such as saponin active compound which reduces bacterial cell wall surface tension and inhibits 
enzyme activity. The objective of this research was to find out the inhibition ability and reduced 
amount of Staphylococcus aureus, Salmonella sp, Vibrio sp and Escherichia coli bacterias in mackerel 
tuna fish. This research was conducted in two stages. The first stage was preparing ceara rubber 
extract samples, bacteria isolation and mackerel tuna fish. The second stage was the research 
conduct including colony count test, inhibiting zone test and test of reduced counts of Staphylococcus 
aureus, Salmonella sp, Vibrio sp and Escherichia coli, with 25%. 50%, 75% and 100% ceara rubber 
extract concentrations. The results showed that ceara rubber extract produced the highest inhibition 
zone of 13.06 mm at Escherichia coli bacteria, and the followed by 12.78 mm at Salmonella sap, 
11.07 mm at Vibrio sap, and the smallest was 10.69 mm at Staphylococcus aureus. The reduced 
bacteria count results by 104
 dilution and ceara rubber extract were 1.68 x 106
 cfu/ml to Vibrio sp, 1.41 
x 106
 cfu/ml to Salmonella sap, 1.3 x 106
 cfu/ml to Staphylococcus aureus, and 1.01 x 106
 cfu/ml to 
Escherichia coli.",['S1'],,,,,"[{'name': {'given': 'Widya Rini', 'lineage': None, 'honourific': None, 'family': 'Hartati'}, 'id': None}, {'name': {'given': 'Dewi', 'family': 'Sartika', 'honourific': None, 'lineage': None}, 'id': 'dewikincai@yahoo.com'}, {'name': {'family': 'Suharyono', 'honourific': None, 'lineage': None, 'given': 'Suharyono'}, 'id': 'suharyono@fp.unila.ac.id'}]",published,,,,,,,,,,,,,,,,,,,,,,,
6,disk0/00/03/35/89,1970-01-01 00:00:00.000002017,,other,['FP19'],Ristekdikti,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153709', 'docid': 153709, 'main': 'laporan_akhir (6) 2017, isolasi ignin tahun 2.pdf', 'files': [{'filesize': 741566, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-08-23 10:16:33', 'filename': 'laporan_akhir (6) 2017, isolasi ignin tahun 2.pdf', 'hash': '252466dd4b2dafc4b4fdc6ef535e894b', 'fileid': 398140, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/398140', 'objectid': 153709}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 33589, 'placement': 1, 'security': 'public'}]",unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/33589,1027,2021-08-23 12:32:50,2021-08-23 12:32:50,33589,Laporan penelitian tahun2017 :Isolasi Dan Karakterisasi Lignin Dengan Metode Asam Dan  Basa Pada Liquor Tandan Kosong Kelapa Sawit Hasil  Pulping Formacell (Tahun II),show,7,2021-08-23 12:32:50,archive,"Penelitian yang dibiayai ristek dikti tahun 2017 dengan jumlah dana 71,67 juta",['S1'],,,,,"[{'name': {'lineage': None, 'family': 'Hidayati', 'honourific': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}]",,,https://simlitabmas.ristekbrin.go.id/main.aspx?page=23,0,,,,,,,Jakarta,,,,,,,,,,,,,
7,disk0/00/02/94/07,1970-01-01 00:00:00.000002017,,other,['FP19'],ARPN,"[{'placement': 1, 'security': 'public', 'eprintid': 29407, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 43538, 'uri': 'http://repository.lppm.unila.ac.id/id/file/260532', 'mime_type': 'application/pdf', 'fileid': 260532, 'filename': 'Effect of Acetic Acid.pdf', 'hash': '60dbf9e75764e0b783f21f65ce0e6757', 'hash_type': 'MD5', 'mtime': '2021-04-16 06:07:49', 'datasetid': 'document', 'filesize': 738253}], 'main': 'Effect of Acetic Acid.pdf', 'docid': 43538, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43538', 'pos': 1, 'format': 'text'}]",inpress,,public,http://repository.lppm.unila.ac.id/id/eprint/29407,1027,2021-04-16 06:27:50,2021-04-16 06:27:50,29407,Penilaian PAK 3 : EFFECT OF ACETIC ACID: FORMIC ACID RATIOON CHARACTERISTICS OF PULP FROM OIL PALM EMPTY FRUIT BUNCHES (OPEFB),show,8,2021-04-16 06:27:50,archive,"Penilaian 3 reviuwer: Prof Murhadi, Prof Novizar, Prof Imam Santoso",['S1'],,,,,"[{'name': {'lineage': None, 'family': 'Hidayati', 'honourific': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}]",,,http://www.arpnjournals.org/jeas/research_papers/rp_2017/jeas_0617_6131.pdf,/www.arpnjournals.org/jeas/research_papers/rp_2017/jeas_0617_6131.pdf,,,,,,,"ARPN, JEAS",,,,,,,,,,,,,
8,disk0/00/03/35/63,1970-01-01 00:00:00.000002017,,other,['FP19'],UBB,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/153686', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2021-08-23 09:30:17', 'filename': 'sertifikat BKS Barat 2017.pdf', 'hash': 'fe3f1eee7f49d60f528ad2d0554d7014', 'fileid': 397970, 'mime_type': 'application/pdf', 'filesize': 506114, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/397970', 'objectid': 153686}], 'main': 'sertifikat BKS Barat 2017.pdf', 'docid': 153686, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 33563}]",unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/33563,1027,2021-08-23 12:30:37,2021-08-23 12:30:37,33563,Sertifikat Seminar BKS Barat 2017 di Bangka Belitung dengan makalah Pemanfaatan Minyak Sawit merah untuk Produksi Mayonaise,show,7,2021-08-23 12:30:37,archive,menghadiri seminar dalam memperesentasikan makalah dengan judul: Pemanfaatan Minyak Sawit merah untuk Produksi Mayonaise,['S1'],,,,,"[{'id': 'srihidayati.unila@gmail.com', 'name': {'given': 'Sri', 'family': 'Hidayati', 'honourific': None, 'lineage': None}}]",,,http://ubb.ac.id/2018/01/17/prosiding-bks-ptn-ubb-2017,0,,,,,,,Pangkal Pinang,,,,,,,,,,,,,
9,disk0/00/03/35/66,1970-01-01 00:00:00.000002017,,other,['FP19'],IOP Conference Series: Materials Science and Engineering,"[{'main': 'sertifikat IC Star 2017.pdf', 'docid': 153689, 'files': [{'datasetid': 'document', 'filesize': 811755, 'fileid': 397989, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-08-23 09:36:38', 'hash': '0cf6b06f98fb1270be3677860c1aeccb', 'filename': 'sertifikat IC Star 2017.pdf', 'objectid': 153689, 'uri': 'http://repository.lppm.unila.ac.id/id/file/397989'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/153689', 'rev_number': 1, 'eprintid': 33566, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/33566,1027,2021-08-23 12:31:02,2021-08-23 12:31:02,33566,Sertifikat seminar internasional untuk IC Star 2017 dengan judul makalah: isolation and characterization of formacell lignin from oil empty fruit bunch,show,7,2021-08-23 12:31:02,archive,Mengikuti seminar internasional sebagai pemakalah pada IC Star 2017 yang diselenggarakan di Bandar Lampung tahun 2017,['S1'],,,,,"[{'id': 'srihidayati.unila@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Hidayati', 'given': 'Sri'}}]",published,,http://ic-star.unila.ac.id/?page_id=97,0,,,,,,,Bandar Lampung,,,,,,,,,,,,,
