,eprintid,metadata_visibility,rev_number,title,official_url,subjects,status_changed,eprint_status,dir,creators,publication,divisions,type,refereed,uri,full_text_status,documents,ispublished,datestamp,lastmod,userid,pres_type,event_title,event_location,abstract,event_type,event_dates,publisher,issn,date_type,succeeds,corp_creators,place_of_pub,pagerange,contact_email,volume,referencetext,id_number,number,book_title,isbn,series,projects,keywords,monograph_type,pages
0,32368,show,6,"Publikasi Penelitian Mahasiswa ""Penyimpanan Kolang-Kaling""",https://journal.trunojoyo.ac.id/agrointek,['S1'],2021-06-08 16:22:18,archive,disk0/00/03/23/68,"[{'id': None, 'name': {'lineage': None, 'family': 'Abdillah', 'honourific': None, 'given': 'Haidar Bani'}}, {'name': {'family': 'Nawansih', 'honourific': None, 'lineage': None, 'given': 'Otik'}, 'id': 'otiknawansih@yahoo.com'}, {'name': {'honourific': None, 'family': 'winanti', 'lineage': None, 'given': 'diki'}, 'id': 'dikiwinanti@fp.unila.ac.id'}, {'name': {'given': 'Novita', 'family': 'Herdiana', 'honourific': None, 'lineage': None}, 'id': 'novita.herdiana@fp.unila.ac.id'}]",Jurnal Agrointek,['FP19'],article,FALSE,http://repository.lppm.unila.ac.id/id/eprint/32368,public,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 32368, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146826', 'main': 'repository-agrointek-1.pdf', 'docid': 146826, 'files': [{'filesize': 887454, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-06-08 16:17:31', 'hash': 'f8ff524ac3d527be413a0b45e7a80093', 'filename': 'repository-agrointek-1.pdf', 'fileid': 383009, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/383009', 'objectid': 146826}]}]",submitted,2021-06-08 16:22:18,2021-06-08 16:22:18,2824,,,,,,,,,,,,,,,,,,,,,,,,,
1,16802,show,7,"SUBSTITUSI JAMUR TIRAM PUTIH (Pleurotus ostreatus)
DALAM PEMBUATAN BAKSO IKAN BELOSO (Saurida tumbil) : EVALUASI SIFAT KIMIA DAN SENSORI",,['S1'],2019-11-18 07:22:29,archive,disk0/00/01/68/02,"[{'id': 'sussi.astuti@fp.unila.ac.id', 'name': {'given': 'Sussi', 'honourific': None, 'family': 'Astuti', 'lineage': None}}, {'name': {'given': 'Sri', 'lineage': None, 'honourific': None, 'family': 'Setyani'}, 'id': 'setyani57@gmail.com'}, {'id': None, 'name': {'honourific': None, 'family': 'Suharyono', 'lineage': None, 'given': 'None'}}, {'name': {'given': 'Ria', 'lineage': None, 'family': 'Apriani', 'honourific': None}, 'id': None}]",,['FP19'],conference_item,FALSE,http://repository.lppm.unila.ac.id/id/eprint/16802,public,"[{'main': 'ARTIKEL BAKSO SUSSI DKK-SEMNAS TEKTAN VIII 2019.docx', 'docid': 29885, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/142797', 'objectid': 29885, 'hash': 'b121e1e55cfa00bf87fe749ee8005319', 'filename': 'ARTIKEL BAKSO SUSSI DKK-SEMNAS TEKTAN VIII 2019.docx', 'mtime': '2019-11-17 15:50:57', 'hash_type': 'MD5', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 142797, 'filesize': 76930, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29885', 'rev_number': 1, 'eprintid': 16802, 'security': 'public', 'placement': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en'}]",unpub,2019-11-18 07:22:29,2019-11-18 07:22:29,625,paper,"Seminar Nasional Teknologi Pertanian(TEKTAN VIII) Politeknik Negeri Lampung ""Peluang dan Tantangan Penelitian Pertanian Menuju Smart Agriculture""","Hotel Bukit Randu, Bandar Lampung","Tujuan penelitian untuk mendapatkan konsentrasi jamur tiram putih yang disubstitusi dalam pembuatan bakso ikan beloso dengan sifat kimia dan sensori sesuai SNI 7266:2014. Penelitian disusun dalam Rancangan Acak Kelompok Lengkap (RAKL) dengan enam perlakuan dan empat ulangan.  Perlakuan perbandingan daging ikan beloso dan jamur tiram putih terdiri dari enam taraf yaitu J1 (100% : 0%); J2 (90% : 10%); J3 (80% : 20%); J4 (70% : 30%); J5 (60% : 40%); dan J6 (50% : 50%). Kesamaan ragam data dianalisis dengan uji Bartlett dan kemenambahan data dengan uji Tuckey, selanjutnya dilakukan analisis sidik ragam untuk mengetahui pengaruh antar perlakuan. Data dianalisis lebih lanjut dengan Uji Beda Nyata Terkecil (BNT) pada taraf 5%.  Hasil penelitian menunjukkan bahwa bakso ikan beloso substitusi jamur tiram putih terbaik adalah perlakuan J3 (80% ikan beloso dan 20% jamur tiram putih). Bakso ikan beloso perlakuan terbaik (J3) menghasilkan kadar air sebesar 74,71%, kadar abu sebesar 1,96%, kadar protein sebesar 11,45%, daya mengikat air sebesar 58,43%, dan kadar serat sebesar 0,3%, warna dengan skor 3,78 (agak putih), aroma dengan skor 3,88 (khas ikan), rasa dengan skor 3,54 (khas ikan), tekstur dengan skor 3,68 (kenyal), dan penerimaan keseluruhan dengan skor 3,75 (suka). Kadar abu dan kadar protein bakso ikan substitusi jamur tiram putih terbaik telah memenuhi Standar Nasional Indonesia bakso ikan (SNI 7266 : 2014), namun kadar air bakso ikan substitusi jamur tiram putih terbaik belum memenuhi Standar Nasional Indonesia bakso ikan (SNI 7266 : 2014).

Kata kunci : bakso, ikan beloso, jamur tiram putih, substitusi",conference,7 November 2019,,,,,,,,,,,,,,,,,,,
2,9507,show,6,"SIFAT FISIK DAN SENSORI FLAKES PATI GARUT
DAN KACANG MERAH DENGAN PENAMBAHAN 
TIWUL SINGKONG",,['S1'],2018-11-05 07:40:37,archive,disk0/00/00/95/07,"[{'name': {'honourific': None, 'family': 'Astuti', 'lineage': None, 'given': 'Sussi'}, 'id': 'sussi.astuti@fp.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Suharyono', 'lineage': None, 'given': 'Suharyono'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Anayuka', 'given': 'ST Aisah'}, 'id': None}]",Jurnal Penelitian Pertanian Terapan,['FP19'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/9507,public,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 9507, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22546', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 93593, 'mime_type': 'application/pdf', 'fileid': 90580, 'filename': 'REVISI Ke-2 JURNAL FLAKES-SUSSI DKK-NOVEMBER 2018.pdf', 'hash': '6300cde497df35d161bd0beff540cb6a', 'hash_type': 'MD5', 'mtime': '2018-11-05 02:00:52', 'objectid': 22546, 'uri': 'http://repository.lppm.unila.ac.id/id/file/90580'}], 'main': 'REVISI Ke-2 JURNAL FLAKES-SUSSI DKK-NOVEMBER 2018.pdf', 'docid': 22546}]",submitted,2018-11-05 07:40:37,2018-11-05 07:40:37,625,,,,"Penelitian bertujuan untuk mengevaluasi sifat fisik dan sensori flakes pati garut dan kacang merah dengan penambahan tiwul singkong. Penelitian disusun secara tunggal dalam Rancangan Acak Kelompok Lengkap (RAKL) dengan satu faktor yaitu formulasi pati garut dan kacang merah dengan enam perlakuan dan empat  ulangan. Perlakuan faktor tunggal yaitu formulasi pati garut dan kacang merah dengan perbandingan 100% : 0% (F1); 90% : 10 % (F2); 80% : 20% (F3); 70% : 30% (F4); 60% : 40% (F5); dan 50% : 50% (F6). Data dianalisis sidik ragam dan dilanjutkan uji Beda Nyata Jujur (BNJ) pada taraf 5%. Hasil penelitian menunjukkan bahwa formulasi flakes terbaik adalah formulasi F6 (50% pati garut dan 50% kacang merah) yang menghasilkan tekstur (fisik) sebesar 1,47 kgf, sifat sensori flakes dengan skor tekstur sebesar 4,32 (renyah), skor warna sebesar 2,67 (coklat muda), skor rasa dan aroma sebesar 3,47 (agak berasa langu), dan skor penerimaan keseluruhan sebesar 3,87 (suka). Flakes formulasi terbaik memiliki kadar air sebesar 5,17%, kadar abu sebesar 2,81%, kadar protein sebesar 11,53%, kadar lemak sebesar 1,25%, kadar karbohidrat sebesar 79,24%, dan kadar serat kasar sebesar 2,55%.

Kata kunci : flakes, garut, kacang merah, tiwul singkong",,,Politeknik Negeri Lampung,1410-5020,submitted,,,,,,,,,,,,,,,,
3,39149,show,5,Lembar Hasil Penilaian Sejawat Sebidang Karya Ilmiah - Jurnal Ilmiah Nasional: JPPT Vol. 21 No. 1,,['S1'],2022-02-11 06:58:57,archive,disk0/00/03/91/49,"[{'id': 'esa.ghanim@fp.unila.ac.id', 'name': {'given': 'Esa Ghanim', 'family': 'Fadhallah', 'honourific': None, 'lineage': None}}]",,['FP19'],other,,http://repository.lppm.unila.ac.id/id/eprint/39149,public,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 39149, 'security': 'public', 'placement': 2, 'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160442', 'rev_number': 1, 'main': 'hasil peer review - egf.pdf', 'docid': 160442, 'files': [{'objectid': 160442, 'uri': 'http://repository.lppm.unila.ac.id/id/file/441257', 'datasetid': 'document', 'filesize': 655146, 'fileid': 441257, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-02-11 05:53:21', 'hash': 'ec0238f97664011c7d3191bfdd97f5c4', 'filename': 'hasil peer review - egf.pdf'}]}]",unpub,2022-02-11 06:58:57,2022-02-11 06:58:57,5609,,,,"Hasil Penilaian Sejawat Sebidang Karya Ilmiah - Jurnal Ilmiah Nasional: JPPT Vol. 21 No. 1, dengan judul karya ilmiah ""Karakeristik Sensori, Kimia dan Fisik Pempek dari Ikan Tenggiri dan Ikan Kiter pada Berbagai Formulasi""",,,THP FP Unila,,,36586.0,,,,,,,,,,,,,,,
4,49796,show,7,"Similarity Check by Turnitin (A Review of Potency of Cassava
Peel Waste and Seaweed Carrageenan as Environmentally Friendly Bioplastic)",,['S1'],2023-04-08 13:22:48,archive,disk0_bak/00/04/97/96,"[{'id': 'esa.ghanim@fp.unila.ac.id', 'name': {'family': 'Fadhallah', 'honourific': None, 'lineage': None, 'given': 'Esa Ghanim'}}]",,['FP19'],other,,http://repository.lppm.unila.ac.id/id/eprint/49796,public,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189434', 'docid': 189434, 'main': 'A Review of Potency of Cassava Peel Waste and Seaweed Carrageenan as Environmentally Friendly Bioplastic (2) (1).pdf', 'files': [{'objectid': 189434, 'uri': 'http://repository.lppm.unila.ac.id/id/file/539383', 'datasetid': 'document', 'filesize': 4205485, 'fileid': 539383, 'mime_type': 'application/pdf', 'mtime': '2023-04-06 11:00:35', 'hash_type': 'MD5', 'hash': 'b94b4c713d6d7f1e4d6883dbf30819eb', 'filename': 'A Review of Potency of Cassava Peel Waste and Seaweed Carrageenan as Environmentally Friendly Bioplastic (2) (1).pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 49796, 'placement': 1, 'security': 'public'}]",pub,2023-04-08 13:22:48,2023-04-08 13:22:48,5609,,,,,,,Turnitin,,,,,,,,,,,,,,,,,,
5,36106,show,11,PENGARUH PENAMBAHAN TEPUNG PORANG PADA PROSES PEMBUATAN MI IKAN PATIN SEBAGAI GELLING AGENT,,['Q1'],2021-11-11 08:43:53,archive,disk0/00/03/61/06,"[{'name': {'lineage': None, 'family': 'Herdiana', 'honourific': None, 'given': 'Novita'}, 'id': 'novita.herdiana@fp.unila.ac.id'}]","Fisheries of Wallacea Journal, Volume 2, No. 2, 2021",['FP19'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/36106,public,"[{'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157053', 'rev_number': 1, 'docid': 157053, 'main': 'Pembuatan mie porang.pdf', 'files': [{'datasetid': 'document', 'filesize': 126294, 'fileid': 418317, 'mime_type': 'application/pdf', 'mtime': '2021-11-11 07:29:00', 'hash_type': 'MD5', 'filename': 'Pembuatan mie porang.pdf', 'hash': '550643be60ff37db2ce161e098a33315', 'objectid': 157053, 'uri': 'http://repository.lppm.unila.ac.id/id/file/418317'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 36106, 'security': 'public', 'placement': 2}]",pub,2021-11-11 08:43:53,2021-11-11 08:43:53,549,,,,"Mi ikan patin berbasis tepung porang merupakan upaya diversifikasi pangan dengan memanfaatkan pangan lokal guna meningkatkan nilai tambah sekaligus nilai gizi mi basah.Penelitian ini bertujuan untuk mengetahui pengaruh penggunaan tepung porang dan ikan patin terhadap kualitas mi yang dihasilkan serta prospek pengembangannya.   Proporsi pengguaan tepung terigu, tepung porang, dan ikan patin yang digunakan adalah 85:5:10.  Mi ikan patin berbasis tepung porang yang dihasilkan memiliki warna keabu-abuan, aroma dan rasa yang normal, serta tekstur yang kenyal agak padat.   Analisis proksimat yang dilakukan   menunjukkan   bahwa   mi   ikan   patin   berbasis   tepung   porang mengandung kadar air 58%, kadar protein 11,5%, kadar lemak 5,5%, kadar abu
1,3%, kadar karbohidrat 23,7%, dan kadar serat 5%.   Mi ikan patin berbasis tepung  porang  berpotensi  untuk  dikembangkan  melalui  perencanaan  dan
pelaksanaan  strategi  yang  berdasarkan  atas  faktor  internal  (kekuatan  dan
kelemahan) dan faktor eksternal (peluang dan ancaman).",,,,,,,['Universitas Lampung'],,,,,,,,,,,,,,
6,36138,show,7,Potential for Management and Utilization of Lampung Province of Tofu Industrial Waste,,['Q1'],2021-11-11 08:41:29,archive,disk0/00/03/61/38,"[{'id': 'novita.herdiana@fp.unila.ac.id', 'name': {'given': 'Novita', 'lineage': None, 'honourific': None, 'family': 'Herdiana'}}, {'name': {'given': 'Udin', 'family': 'Hasanudin', 'honourific': None, 'lineage': None}, 'id': 'udinha65@gmail.com'}]",ulicoste,['FP19'],article,FALSE,http://repository.lppm.unila.ac.id/id/eprint/36138,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 36138, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157078', 'main': 'Makalah ULICOSTE.pdf', 'docid': 157078, 'files': [{'datasetid': 'document', 'filesize': 221314, 'mime_type': 'application/pdf', 'fileid': 418493, 'hash': '9593335fc5f54b6c565e6b1711375ace', 'filename': 'Makalah ULICOSTE.pdf', 'mtime': '2021-11-11 07:43:20', 'hash_type': 'MD5', 'objectid': 157078, 'uri': 'http://repository.lppm.unila.ac.id/id/file/418493'}]}]",inpress,2021-11-11 08:41:29,2021-11-11 08:41:29,549,,,,"Abstract. This study purposed to examine and determine the management and utilization techniques of tofu wastewater with the right technology. The method used in this research is Literature Review. The results of the studies that have been carried out are all journals showing that the management of tofu liquid waste is to reduce the levels of BOD, COD, TSS, minerals and pH to conform to water quality standards according to the Regulation of the Minister of the Environment of the Republic of Indonesia Number 5 of 2014 concerning Wastewater Quality Standards.  The management can be done naturally using materials that are around the environment including vetiver, chitosan, coconut shell charcoal, water jasmine and tamarind and modern management includes continuous electro-coagulation methods, aeration methods, batch system methods as well as a combination of aeration, precipitation and filtration methods so as to reduce environmental pollution caused by tofu waste.  In addition, the common use of tofu liquid waste is as an organic liquid fertilizer that can increase the economic value of the liquid waste and the use of liquid waste into biogas as an effort to fulfill sustainable development goals (SDGs) which are expected to improve the quality of sustainable life without causing environmental pollution.",,,,,,,['Universitas Lampung'],,,,,,,,,,,,,,
7,1816,show,7,Potential for Management and Utilization of Lampung Province of Tofu Industrial Waste,,['Q1'],2021-11-11 08:40:50,archive,disk0/00/00/18/16,"[{'name': {'given': 'Novita', 'lineage': None, 'honourific': None, 'family': 'Herdiana'}, 'id': 'novita.herdiana@fp.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Hasanudin', 'lineage': None, 'given': 'Udin'}, 'id': 'udinha65@gmail.com'}]",,['FP19'],conference_item,FALSE,http://repository.lppm.unila.ac.id/id/eprint/1816,public,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 1816, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157092', 'pos': 1, 'format': 'text', 'files': [{'fileid': 418581, 'mime_type': 'application/pdf', 'mtime': '2021-11-11 07:53:41', 'hash_type': 'MD5', 'hash': '9593335fc5f54b6c565e6b1711375ace', 'filename': 'Makalah ULICOSTE.pdf', 'datasetid': 'document', 'filesize': 221314, 'objectid': 157092, 'uri': 'http://repository.lppm.unila.ac.id/id/file/418581'}], 'docid': 157092, 'main': 'Makalah ULICOSTE.pdf'}]",inpress,2021-11-11 08:40:50,2021-11-11 08:40:50,549,speech,ULICOSS 2021,bandar lampung,"Abstract. This study purposed to examine and determine the management and utilization techniques of tofu wastewater with the right technology. The method used in this research is Literature Review. The results of the studies that have been carried out are all journals showing that the management of tofu liquid waste is to reduce the levels of BOD, COD, TSS, minerals and pH to conform to water quality standards according to the Regulation of the Minister of the Environment of the Republic of Indonesia Number 5 of 2014 concerning Wastewater Quality Standards.  The management can be done naturally using materials that are around the environment including vetiver, chitosan, coconut shell charcoal, water jasmine and tamarind and modern management includes continuous electro-coagulation methods, aeration methods, batch system methods as well as a combination of aeration, precipitation and filtration methods so as to reduce environmental pollution caused by tofu waste.  In addition, the common use of tofu liquid waste is as an organic liquid fertilizer that can increase the economic value of the liquid waste and the use of liquid waste into biogas as an effort to fulfill sustainable development goals (SDGs) which are expected to improve the quality of sustainable life without causing environmental pollution.",conference,31 AGUSTUS 2021,,,,,['Universitas Lampung'],,,,,,,,,,,,,,
8,43541,show,11,"The influence of cooked rice addition on the quality of Joruk, an Indonesian freshwater fermented fish",http://www.isisn.org/BR-16-4-2019.html,['S1'],2022-07-22 01:04:40,archive,disk0/00/04/35/41,"[{'id': 'dyah.koesoemawardani.fp.unila.ac.id', 'name': {'given': 'Dyah', 'lineage': None, 'honourific': None, 'family': 'Koesoemawardani'}}, {'id': 'novita.herdiana@fp.unila.ac.id', 'name': {'given': 'Novita', 'honourific': None, 'family': 'Herdiana', 'lineage': None}}, {'id': 'suharyono@fp.unila.ac.id', 'name': {'given': 'Suharyono', 'family': 'Suharyono', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Zaenal Hasly', 'honourific': None, 'lineage': None, 'given': 'Muhammad'}, 'id': None}, {'name': {'given': 'Mahrus', 'honourific': None, 'family': 'Ali', 'lineage': None}, 'id': 'mahrus.ali@fp.unila.ac.id'}]",,['FP19'],other,,http://repository.lppm.unila.ac.id/id/eprint/43541,public,"[{'docid': 165484, 'main': 'NilaireviewerBioscienceResearch.pdf', 'files': [{'objectid': 165484, 'uri': 'http://repository.lppm.unila.ac.id/id/file/475163', 'fileid': 475163, 'mime_type': 'application/pdf', 'mtime': '2022-07-21 03:01:51', 'hash_type': 'MD5', 'filename': 'NilaireviewerBioscienceResearch.pdf', 'hash': 'ce436434b862440eb3970d26e9753937', 'datasetid': 'document', 'filesize': 190542}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165484', 'rev_number': 1, 'eprintid': 43541, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}, {'main': '3443-3448-16(4)2019BR19-436.pdf', 'docid': 165485, 'files': [{'filesize': 861769, 'datasetid': 'document', 'filename': '3443-3448-16(4)2019BR19-436.pdf', 'hash': '15605972ede4edc68a6747d20472061a', 'mtime': '2022-07-21 03:06:14', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 475166, 'uri': 'http://repository.lppm.unila.ac.id/id/file/475166', 'objectid': 165485}], 'format': 'text', 'pos': 2, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165485', 'eprintid': 43541, 'security': 'public', 'placement': 2, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,2022-07-22 01:04:40,2022-07-22 01:04:40,994,,,,Lembar hasil Penilaian Peer Review Jurnal Internasional BIOSCIENCE RESEARCH JOURNAL,,,Innovative Scientific Information & Services Network,,,,['Universitas Lampung'],,,,,,,,,,,,,,
9,2234,show,16,Mengolah singkong menjadi geblek ikan,https://issuu.com/lampungpost0/docs/lampung_post_senin__21_november_2016,['S1'],2017-06-02 02:22:22,archive,disk0/00/00/22/34,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Koesoemawardani', 'given': 'Dyah'}}, {'name': {'lineage': None, 'family': 'Suryani', 'honourific': None, 'given': 'Ani'}}, {'name': {'given': 'M', 'family': 'Fakih', 'honourific': None, 'lineage': None}}]",Mengolah singkong menjadi geblek ikan,['FP19'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/2234,none,,pub,2017-06-02 02:20:23,2017-06-02 02:22:22,994,,,,"Kabupaten Pringsewu merupakan salah satu sentra geblek.  Geblek diproduksi masyarakat di Desa Adiluwih Kecamatan Adiluwih.  Untuk meningkatkan mutu geblek, dosen Universitas Lampung yaitu Dyah Koesoemawardani, Ani Suryani dan M. Fakih melakukan kegiatan IbM (iptek bagi masyarakat).  Adapun IbM yang dilakukan melalui pembinaan pengolahan geblek dengan menambahkan ikan untuk meningkatkan mutunya. Penambahan ikan dalam proses pengolahan geblek dapat memeperbaiki tekstur, dan dapat meningkatkan nilai jual geblek ikan dengan kemasan yang lebih baik serta menarik.",,,Koran Lampung Post,,,,,,,,,,,,,,,,,,
