,corp_creators,lastmod,userid,pagerange,datestamp,publisher,documents,ispublished,refereed,uri,full_text_status,type,book_title,divisions,creators,dir,eprint_status,status_changed,abstract,subjects,title,official_url,place_of_pub,metadata_visibility,rev_number,eprintid,date_type,publication,number,volume,related_url,issn,id_number,contributors,isbn
0,['Universitas Lampung'],2018-06-26 08:07:27,288,206-216,2018-06-26 08:07:27,Universitas Bandar Lampung,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20910', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/70323', 'objectid': 20910, 'hash': '8b71ff074bee094e29e67457fd1dac7f', 'filename': 'Harun Bunga Rampai.pdf', 'mtime': '2018-06-26 07:25:48', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 70323, 'filesize': 322209, 'datasetid': 'document'}], 'docid': 20910, 'main': 'Harun Bunga Rampai.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 7880}]",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/7880,public,book_section,Bunga Rampai Pemikiran Anggota Dewan Riset Daerah (DRD) Provinsi Lampung,['FP22'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Al Rasyid', 'given': 'Harun'}, 'id': 'harun.alrasyid@fp.unila.ac.id'}]",disk0/00/00/78/80,archive,2018-06-26 08:07:27,"Tulisan ini secara umum membahas pentingnya pengembangan
agroindustri di pedesaan dan secara khusus pengembangan industri beras
siger. Agroindustri adalah kegiatan mengubah atau mentransformasi
bahan baku hasil pertanian menjadi produk yang siap diperdagangkan dan
dikonsumsi guna menghasilkan nilai tambah (Added Value).
Agroindustri merupakan generasi ketiga pembangunan pertanian,
sehingga peranannya sangat penting sebagai pasar bagi produk-produk
pertanian dan memacu pembangunan pertanian menuju kesejahteraan
petani. Salah satu agroindustri yang potensial untuk dikembangkan di Provinsi Lampung adalah agroindustri beras siger. Hal ini bertitiktolak dari keadaan bahwa: (1) Lampung merupakan penghasil ubi kayu terbesar di Indonesia, (2) agroindustri berbasis ubikayu didominasi oleh industri tapioka, sehingga agribisnis ubikayu sangat rentan, (3) sebagai usaha pengawetan ubi kayu, dan (4) tidak semua petani di lampung menghasikan beras padi, sehingga memproduksi beras siger dapat dijadikan sebagai
alternatif guna memenuhi kebutuhan bahan pangan pokok.","['S1', 'T1']","PEMBANGUNAN AGROINDUSTRI PEDESAAN
DAN BERAS SIGER DI PROPINSI LAMPUNG
MENUJU KESEJAHTERAAN PETANI",http://publikasi.ubl.ac.id/index.php/Monograf/catalog/view/13/17/129-1,Bandar Lampung,show,8,7880,published,,,,,,,,
1,,2019-05-16 03:46:26,1048,1-6,2019-05-16 03:46:26,IOP Publishing,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/25923', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 25923, 'uri': 'http://repository.lppm.unila.ac.id/id/file/114066', 'fileid': 114066, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-05-15 08:33:36', 'hash': '4e15aeb538656f8c5ad4d3aed40e0c2f', 'filename': 'Kamahara_2018_IOP_Conf._Ser.%3A_Mater._Sci._Eng._334_012009.pdf', 'datasetid': 'document', 'filesize': 537482}], 'main': 'Kamahara_2018_IOP_Conf._Ser.%3A_Mater._Sci._Eng._334_012009.pdf', 'docid': 25923, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 12940}]",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/12940,public,article,,['FP22'],"[{'id': 'udinha65@gmail.com', 'name': {'given': 'Udin', 'family': 'Hasanudin', 'honourific': None, 'lineage': None}}]",disk0/00/01/29/40,archive,2019-05-16 03:46:26,"Abstract. Biomass waste generated from palm oil mill can be considered not only as the
feedstock of renewable energy but also as the nutrient-rich resources to produce organic
fertilizer. This study explored the appropriate resource management towards resilient palm oil
production by applying material flow analysis. This study was conducted based on two palm
oil mills in Lampung, Indonesia. The results showed that the empty fruit bunch (EFB) has the
largest potential in terms of amount and energy among the biomass waste. The results also
showed that the palm oil mills themselves had already self-managed their energy consumption
thatwas obtained from palm kernel shell and palm press fiber. Finally, this study recommended
the several utilization options of EFB for improvement of soil sustainability to contribute
towards resilient palm oil production.",['TD'],"Material flow analysis for resource management
towards resilient palm oil production",https://iopscience.iop.org,,show,6,12940,published,IOP Conference Series: Materials Science and Engineering,12009.0,334.0,[{'url': 'https://iopscience.iop.org/article/10.1088/1757-899X/334/1/012009'}],,,,
2,,2022-09-12 01:13:42,306,,2022-09-12 01:13:42,JTIHP Universitas Lampung,"[{'eprintid': 44862, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 166769, 'main': 'jpg2pdf (3) (1).pdf', 'files': [{'filename': 'jpg2pdf (3) (1).pdf', 'hash': '848fdecd4de5825ff460d0e19029fd62', 'mtime': '2022-09-09 04:06:40', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 484177, 'filesize': 393001, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/484177', 'objectid': 166769}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166769'}]",pub,,http://repository.lppm.unila.ac.id/id/eprint/44862,public,other,,['FP22'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Hidayati', 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}, {'name': {'honourific': None, 'family': 'Sartika', 'lineage': None, 'given': 'Dewi'}, 'id': 'dewikincai@yahoo.com'}, {'id': None, 'name': {'given': 'Suharyono', 'honourific': None, 'family': 'Suharyono', 'lineage': None}}]",disk0/00/04/48/62,archive,2022-09-12 01:13:42,,['S1'],Peer Rivew pendugaan umur simpan coklat instan kemasan plastik propilen menggunakan pendekatan model arhenius,,,show,7,44862,,,,,,,,,
3,,2021-09-20 01:06:08,1017,,2021-09-20 01:06:08,LPPM Unila,"[{'security': 'public', 'placement': 1, 'eprintid': 33954, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 412020, 'fileid': 401252, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-09-17 04:55:32', 'hash': 'eaaf44a58c7d61bfeeea370fcb6d37f8', 'filename': 'Berita acara ujian terbuka samsul Rizal.pdf', 'objectid': 154196, 'uri': 'http://repository.lppm.unila.ac.id/id/file/401252'}], 'main': 'Berita acara ujian terbuka samsul Rizal.pdf', 'docid': 154196, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154196', 'rev_number': 1, 'format': 'text', 'pos': 1}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/33954,public,other,,['FP22'],"[{'name': {'family': 'Kustyawati', 'honourific': None, 'lineage': None, 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}]",disk0/00/03/39/54,archive,2021-09-20 01:06:08,,['S1'],"Bukti Persyaratan Tambahan sebagai CoPromotor S3 :Berita Acara Ujian Terbuka, September 2021",,,show,7,33954,,,,,,,,,
4,,2021-10-07 00:53:34,1017,,2021-10-07 00:53:34,LPPM Unila,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154877', 'rev_number': 1, 'docid': 154877, 'main': 'BUKTI PROMOTOR.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/404721', 'objectid': 154877, 'hash_type': 'MD5', 'mtime': '2021-10-06 14:08:59', 'filename': 'BUKTI PROMOTOR.pdf', 'hash': '51c338d84bb561181b66ee577f599603', 'fileid': 404721, 'mime_type': 'application/pdf', 'filesize': 1374918, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 34364, 'placement': 1, 'security': 'public'}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/34364,public,other,,['FP22'],"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'given': 'Maria Erna', 'lineage': None, 'family': 'Kustyawati', 'honourific': None}}]",disk0/00/03/43/64,archive,2021-10-07 00:53:34,,['S1'],"Bukti Sebagai Co_Promotor S3: Judul, Lembar Pengesahan, SK Penugasan",,,show,7,34364,,,,,,,,,
5,,2021-09-28 04:43:14,1017,,2021-09-28 04:43:14,LPPM Unila,"[{'security': 'public', 'placement': 1, 'eprintid': 34192, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/403304', 'objectid': 154692, 'filesize': 1087589, 'datasetid': 'document', 'filename': 'Klarifikasi_Karil_Efek fermenentasi...pdf', 'hash': 'cf90c48763ea93f2b3dab0020eaa9c91', 'mtime': '2021-09-28 04:22:25', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 403304}], 'main': 'Klarifikasi_Karil_Efek fermenentasi...pdf', 'docid': 154692, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154692', 'format': 'text', 'pos': 1}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/34192,public,other,,['FP22'],"[{'name': {'lineage': None, 'family': 'Kustyawati', 'honourific': None, 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}]",disk0/00/03/41/92,archive,2021-09-28 04:43:14,,['S1'],"Klarifikasi Karya Ilmiah, Judul: Efek fermentasi dengan Saccharomyces cerevisiae terhadap karakterisitik biokimia tapioka.",,,show,8,34192,,,,,,,,,
6,,2021-09-22 01:04:52,1017,,2021-09-22 01:04:52,LPPM Unila,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 34061, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154495', 'main': 'Review_AJFAR_72577.pdf', 'docid': 154495, 'files': [{'datasetid': 'document', 'filesize': 292285, 'fileid': 402160, 'mime_type': 'application/pdf', 'mtime': '2021-09-22 00:38:58', 'hash_type': 'MD5', 'hash': 'abc6fe7d3f09589de56ea5fea2f51867', 'filename': 'Review_AJFAR_72577.pdf', 'objectid': 154495, 'uri': 'http://repository.lppm.unila.ac.id/id/file/402160'}]}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/34061,public,other,,['FP22'],"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'given': 'Maria Erna', 'lineage': None, 'family': 'Kustyawati', 'honourific': None}}]",disk0/00/03/40/61,archive,2021-09-22 01:04:52,,['S1'],Komunikasi Review Manuscript AJFAR_72577,,,show,7,34061,,,,,,,,,
7,,2021-09-16 09:08:24,1017,,2021-09-16 09:08:24,LPPM Unila,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/154176', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/401116', 'objectid': 154176, 'filesize': 203207, 'datasetid': 'document', 'hash': 'bec25f0b2749502e8124c194c1b14b4c', 'filename': 'Komunikasi_Hindawi_TheGrowth.pdf', 'hash_type': 'MD5', 'mtime': '2021-09-16 08:25:27', 'mime_type': 'application/pdf', 'fileid': 401116}], 'main': 'Komunikasi_Hindawi_TheGrowth.pdf', 'docid': 154176, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 33937}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/33937,public,other,,['FP22'],"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'given': 'Maria Erna', 'lineage': None, 'family': 'Kustyawati', 'honourific': None}}]",disk0/00/03/39/37,archive,2021-09-16 09:08:24,,['S1'],"Komunikasi dengan Intern J of Food Sci: The growth of yeast and fungi, the formation of beta-glucan, and the antibacterial activities during soybean fermentation in producing tempeh",,,show,7,33937,,,,,,,,,
8,,2021-09-20 01:06:13,1017,,2021-09-20 01:06:13,LPPM Unila,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154198', 'docid': 154198, 'main': 'Komunikasi dengan J Food Quality.pdf', 'files': [{'fileid': 401266, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-09-17 07:12:50', 'filename': 'Komunikasi dengan J Food Quality.pdf', 'hash': 'b697d5d033017166bd846d0120d6b06b', 'datasetid': 'document', 'filesize': 630864, 'objectid': 154198, 'uri': 'http://repository.lppm.unila.ac.id/id/file/401266'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 33956, 'placement': 1, 'security': 'public'}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/33956,public,other,,['FP22'],"[{'name': {'given': 'Maria Erna', 'family': 'Kustyawati', 'honourific': None, 'lineage': None}, 'id': 'maria.erna@fp.unila.ac.id'}]",disk0/00/03/39/56,archive,2021-09-20 01:06:13,,['S1'],Komunikasi dengan J of Food Quality: Quality and Shelf Life of White Shrimp (Litopenaeus vannamei) Processed with High-Pressure Carbon Dioxide (HPCD) at Subcritical and Supercritical States,,,show,7,33956,,,,,,,,,
9,,2021-09-16 09:08:38,1017,,2021-09-16 09:08:38,LPPM Unila,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 33943, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154182', 'rev_number': 1, 'docid': 154182, 'main': 'Komunikasi_Agritech2013.pdf', 'files': [{'objectid': 154182, 'uri': 'http://repository.lppm.unila.ac.id/id/file/401159', 'mime_type': 'application/pdf', 'fileid': 401159, 'hash': '60c2e8bbe16278ebffe8800420aebc88', 'filename': 'Komunikasi_Agritech2013.pdf', 'hash_type': 'MD5', 'mtime': '2021-09-16 09:03:58', 'datasetid': 'document', 'filesize': 299592}]}]",unpub,,http://repository.lppm.unila.ac.id/id/eprint/33943,public,other,,['FP22'],"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Kustyawati', 'lineage': None, 'given': 'Maria Erna'}}]",disk0/00/03/39/43,archive,2021-09-16 09:08:38,,['S1'],"Komunikasi dengan Jurnal AGRITECH, 2013: Efek fermentasi dengan Saccharomyces cerevisiae terhadap karakteristik biokimia tapioka.",,,show,7,33943,,,,,,,,,
