,title,rev_number,metadata_visibility,status_changed,eprint_status,subjects,abstract,eprintid,ispublished,documents,publisher,uri,full_text_status,lastmod,userid,datestamp,creators,date,dir,type,divisions,event_type,date_type,event_title,pagerange,corp_creators,refereed,pres_type,contributors,official_url,volume,issn,publication,number,id_number,editors,pages,isbn,place_of_pub
0,"SImilarity Check ""The Behavior of Ammonium Exchange (Q/I) in Soil, Nitrogen and Carbon Uptake, and Mung Beans (Vigna Radiata L.) Yields as Affected by Tillage and Fertilization at the Sixth Planting Period in Ultisol Soil""",7,show,2023-04-10 00:56:25,archive,['S1'],"Ultisol soil has a low organic matter content, CEC, and pH, causing an insufficient buffering capacity for N nutrients, especially NH4+. The objective of this study was to determine the effect of tillage and fertilization on the quantity and intensity (Q/I) of Ammonium (CRNH40, PBCNH4+, NH40, KG) in the soil, plant N and C uptake, and mung bean yields at the sixth growing season in ultisols. This study was arranged in a 2 × 2 factorial in a Randomized Block Design (RBD). The first factor was the tillage system (T), namely minimum tillage (T0) and intensive tillage (T1). The second factor was the fertilization (P), namely without fertilizer application (P0), and with fertilizer application (NPK 200 kg ha-1 + 1 Mg ha-1 chicken manure) (P1). Each treatment was replicated four times. The results showed that the application of NPK fertilizer significantly affected the mung bean yield, mung bean plant Nitrogen and Carbon uptake at harvest time. While, the intensive tillage had a very significant effect on increasing the N uptake compared to the minimum tillage. Minimum tillage and fertilization increased Q/I parameters (PBCNH4+, KG, CRNH40, and NH40). The parameter of Q/I (CRNH40) was significantly correlated with mung bean plant N and C uptake. PBCNH4+ and KG were significantly correlated with mung bean yields.",49937,unpub,"[{'security': 'public', 'placement': 1, 'eprintid': 49937, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/540559', 'objectid': 189609, 'hash_type': 'MD5', 'mtime': '2023-04-08 23:09:10', 'filename': 'Similarity check JTS 27-3.pdf', 'hash': 'e4ffcca3d30bbda0328904cd5bc42f24', 'fileid': 540559, 'mime_type': 'application/pdf', 'filesize': 1122014, 'datasetid': 'document'}], 'docid': 189609, 'main': 'Similarity check JTS 27-3.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189609', 'rev_number': 1, 'format': 'text', 'pos': 1}]",-,http://repository.lppm.unila.ac.id/id/eprint/49937,public,2023-04-10 00:56:25,4314,2023-04-10 00:56:25,"[{'id': 'septi.nurulaini@gmail.com', 'name': {'family': 'Aini', 'honourific': None, 'lineage': None, 'given': 'Septi Nurul'}}]",2023-04-09,disk0_bak/00/04/99/37,other,['FP23'],,,,,,,,,,,,,,,,,,
1,The phytoremediation potential of several plants in heavy metal-polluted tropical soils,8,show,2023-05-12 03:37:06,archive,['Q1'],"A significant number of plants were suggested potential to alleviate toxic levels of heavy metals in soils through phytoremediation. This research was to study the phytoremediation potential of several plants in heavy-metal polluted tropical soils.  Soil samples were collected from experimental plots amended in 1998 with 0, 15, and 60 Mg industrial waste ha-1.  The soil samples were planted in a glass-house experiment with 3 different plants i.e caisim (Brassica chinensis var. Parachinensis), water spinach (Ipomoea aquatica), and lettuce (Lactuca sativa).   Plant parts (roots and shoots) and soil samples were harvested after a 4-week growth period and analyzed for Zn.  The results show that the growth of plants was depressed by the increase in the soil Zn as affected by waste treatment, with water spinach being the most progressive and producing the greatest biomass.  All plants significantly decreased the concentration of Zn in soils, with water spinach decreased the most significantly.  The absorption of Zn increased with the soil Zn (high linear R2).  Zinc was accumulated greater in plant roots than that in shoots.  All plants were good Zn phytostabilizators.",51457,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51457, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/248677', 'main': '2023 AIP Conf Series ICALS 2021 A.pdf', 'docid': 248677, 'files': [{'objectid': 248677, 'uri': 'http://repository.lppm.unila.ac.id/id/file/609601', 'datasetid': 'document', 'filesize': 1050563, 'mime_type': 'application/pdf', 'fileid': 609601, 'hash': 'ff7ecbbd2632df7285d32d83cda707ae', 'filename': '2023 AIP Conf Series ICALS 2021 A.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-12 02:16:33'}]}]",,http://repository.lppm.unila.ac.id/id/eprint/51457,public,2023-05-12 03:37:06,1056,2023-05-12 03:37:06,"[{'name': {'honourific': None, 'family': 'Aini', 'lineage': None, 'given': 'Septi Nurul'}, 'id': 'septi.nurulaini@gmail.com'}, {'id': None, 'name': {'given': 'Gianluigi', 'honourific': None, 'family': 'Silva', 'lineage': None}}, {'name': {'family': 'Bucharie', 'honourific': None, 'lineage': None, 'given': 'Henrie'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Salam', 'given': 'Abdul Kadir'}, 'id': 'abdul.kadir@fp.unila.ac.id'}]",2023-01-13,disk0_bak/00/05/14/57,conference_item,['FP23'],conference,published,"AIP Conference Proceeding 2583, 2023",1-9,['University of Lampung'],TRUE,paper,"[{'name': {'given': 'Abdul Kadir', 'honourific': None, 'family': 'Salam', 'lineage': None}}]",,,,,,,,,,
2,"The Behavior of Phosphorus Adsorption on Soil in the
Geological Formation of Ranau Tuff Using the Langmuir
Isothermic Model to Support Food Security",7,show,2023-04-10 00:56:25,archive,['S1'],"In tropical soils, phosphorus (P) adsorption is one of the main processes that control the availability of P for
plant growth. Soils that develop from volcanic material have a high P uptake as the mineral composition contains a lot of
active colloids of Fe and Al which play a crucial role to adsorb P in soil complex. Soils which have a high capacity of P
adsorption, potentially decrease the efficiency of P fertilizers into the soil as it is unavailable for plant growth. Langmuir
Isothermic Model is a mathematical model that can be used to determine the capacity adsorption (Xmax) and the relative
energy (K L) of phosphorus in the soil. This study was therefore aimed to obtain the information on the maximum
phosphorus absorption capacity in the soil samples of Tufa Ranau Geological Formation (TRGF). The basic information
from this research provided the valuable information of P nutrients management in the soil to support the efficiency of P
fertilizer and food security. Soil samples were collected from TRGF area at three zones in West Lampung Regency (1. ±
40 km; 2. ± 30 km; and 3. ± 20 km in the southern area of Lake Ranau). Soil samples were collected from two deph of
soils (0 – 20 cm and 20 – 40 cm). This research was an experimental study that has been conducted in the Laboratory of
Soil Science, Faculty of Agriculture, University of Lampung to analysis the behavior of P adsorption with Langmuir
Isothermic Model. Then the Student-t test was performed to see the difference between the maximum absorption of
phosphorus and the relative energy of phosphorus adsorption in each treatment. The results showed that soil in Balik Bukit
has a maximum adsorption P value (Xmax) which is higher than that of the soil in Sekincau and Batu Brak on TRGF. The
high value of X max is because Balik Bukit may have to do with a high Fe content of 35.95 mg kg-1, since Fe is one of the
causes of high P sorption in the soil. The relative energy of phosphorus adsorption value (K L) in subsurface horizons is
relatively higher than that of in surface horizon so that P in subsurface horizons is relatively difficult to be available when
compared to surface horizons, because the higher K L value makes P more difficult to be available to plants.",49938,unpub,"[{'docid': 189610, 'main': 'Similarity check Prosiding AIP.pdf', 'files': [{'objectid': 189610, 'uri': 'http://repository.lppm.unila.ac.id/id/file/540566', 'fileid': 540566, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-04-08 23:32:07', 'hash': 'a07901d6728e3739a08a2386fd17a8f7', 'filename': 'Similarity check Prosiding AIP.pdf', 'datasetid': 'document', 'filesize': 932719}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189610', 'rev_number': 1, 'eprintid': 49938, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",-,http://repository.lppm.unila.ac.id/id/eprint/49938,public,2023-04-10 00:56:25,4314,2023-04-10 00:56:25,"[{'id': 'septi.nurulaini@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Aini', 'given': 'Septi Nurul'}}, {'name': {'family': 'astriana rahmi Setiawati', 'honourific': None, 'lineage': None, 'given': 'astriana Rahmi Setiawati'}, 'id': 'astriana.rahmi@fp.unila.ac.id'}, {'id': 'dedy.prasetyo@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Dedy Prasetyo', 'given': 'Dedy Prasetyo'}}]",2023-04-09,disk0_bak/00/04/99/38,other,['FP23'],,,,,,,,,,,,,,,,,,
3,"Similarity check "" Aggregate Stability and Root Biomass Affected by Soil Tillage and Mulching in Green Nut Cultivation (Vigna radiata L.)""",7,show,2023-04-11 04:02:35,archive,['S1'],"The bare intensife tillage applied on agricultural land can drastically reduce soil quality. One of the efforts to prevent it is by applying mulch and conservation tillage. The objective of this study was to determine the effect of minimum tillage and mulch on soil aggregate stability and root biomass. This study was designed in the field using a randomized block design (RBD) with 2 factors and 4 repetitions. The first factor was tillage (minimum tillage (T1) and intensife tillage (T2)). The second factor was mullch (without mulch (M1) and 5 Mg mulch ha-1 (M2)). The aggregate stability was determinate using water-drop method (WDM). The results showed that the minimum tillage affected the increasing soil aggregate stability of the 6 mm and 3 mm diameter aggregate before land preparation and after harvesting, except, the 3 mm diameter aggregate before land preparation. The minimum tillage also increased root biomass during the vegetative period of the plant. The treatment of 5 Mg mulch ha-1 affected in increasing the soil aggregate stability of 3 mm diameter aggregate after harvest but not the soil of 6 mm diameter aggregate. No interaction was found between the minimum tillage and 5 Mg mulch ha-1 on soil aggregate stability and root biomass.",50181,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 50181, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189883', 'pos': 1, 'format': 'text', 'files': [{'objectid': 189883, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542461', 'datasetid': 'document', 'filesize': 2006487, 'mime_type': 'application/pdf', 'fileid': 542461, 'filename': 'Similarity cek Prociding int 2018.pdf', 'hash': '5b6f08d8aaa7a969ed19cdef8ebd33cf', 'hash_type': 'MD5', 'mtime': '2023-04-11 02:03:01'}], 'docid': 189883, 'main': 'Similarity cek Prociding int 2018.pdf'}]",-,http://repository.lppm.unila.ac.id/id/eprint/50181,public,2023-04-11 04:02:35,514,2023-04-11 04:02:35,"[{'name': {'family': 'Novpriansyah', 'honourific': None, 'lineage': None, 'given': 'Hery'}, 'id': 'hery.novpriansyah@fp.unila.ac.id'}, {'id': 'afandi.1964@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Afandi', 'honourific': None, 'given': '.'}}]",2023-04-04,disk0_bak/00/05/01/81,other,['FP23'],,,,,,,,,,,,,,,,,,
4,"Similarity check ""Soil erosion at pineapple plantations in Indonesia under the climate change issue""",7,show,2023-04-11 04:02:49,archive,['S1'],"Global climate change triggered the heavy and extreme rainfall in forms of intensity, pattern, duration, amount, and frequency. This condition strongly influences the occurrence of soil erosion, especially in the humid tropic region. The purpose of this research is to analyse the soil erosion rate under pineapple cultivation in Central Lampung, Indonesia. The results show rainfall erosivity using Bols equation is around 2109-3211 metric ton/h/ha. Soil erodibility is ranging 0.007-0.080 was categorized low to very low due to the amount of sand and silt is too low. The Slope also categorized low around 1-4%. The crop factor value is around 0.01-1. The rate of erosion in pineapple was 2016 is 1.51 ton/ha/year until 15 ton/ha/year; that value is under standard permissible erosion (18.5-25 ton/ha/year).",50193,unpub,"[{'security': 'public', 'placement': 1, 'eprintid': 50193, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 1396377, 'fileid': 542543, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-04-11 02:45:51', 'hash': '7ec9e694ebf57a75c8eb73566a3876ef', 'filename': 'Similarity check Afandi_2020_IOP_Conf._Ser. _Earth_Environ._Sci._423_012013.pdf', 'objectid': 189895, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542543'}], 'main': 'Similarity check Afandi_2020_IOP_Conf._Ser. _Earth_Environ._Sci._423_012013.pdf', 'docid': 189895, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189895', 'format': 'text', 'pos': 1}]",-,http://repository.lppm.unila.ac.id/id/eprint/50193,public,2023-04-11 04:02:49,514,2023-04-11 04:02:49,"[{'id': 'hery.novpriansyah@fp.unila.ac.id', 'name': {'given': 'Hery', 'honourific': None, 'family': 'Novpriansyah', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Wiharso', 'given': 'Didin'}, 'id': 'dewerahman@yahoo.com'}]",2023-04-11,disk0_bak/00/05/01/93,other,['FP23'],,,,,,,,,,,,,,,,,,
5,"PELATIHAN PEMBUATAN PGPR UNTUK BAHAN PENGAYA BIOCHAR SEBAGAI MEDIA TUMBUH BIBIT KAKAO DI DESA SIDOMULYO, KABUPATEN TANGGAMUS",6,show,2023-04-13 00:36:18,archive,['S1'],"Plant growth promoting bacteria (PGPR) merupakan sekumpulan mikroba bermanfaat bagi pertumbuhan tanaman dan sebagai bahan pengaya biochar untuk bahan media tanam. Di Desa Sidomulyo mayoritas bekerja sebagai petani perkebunan diantaranya kakao. Bibit kakao diusahakan sendiri oleh petani dengan metode stek. Kualitas bibit kakao dapat ditingkatkan dengan menggunakan media tanam yang tepat misalnya memanfaatkan PGPR dan biochar. PGPR berasal dari sumberdaya hayati lokal seperti akar bambu, sedangkan biochar berasal dari sekam padi. Kegiatan pelatihan dilakukan dengan metode ceramah, praktik pembuatan PGPR, dan demplot. Perlakuan yang digunakan sebagai demoplot antara lain: Kontrol, aplikasi PGPR, Biochar, dan kombinasi PGPR-biochar. Masing-masing perlakuan diulang 3 kali ulangan sehingga didapatkan 12 unit percobaan. Variabel yang diamati antara lain tinggi tanaman dan pH media tanam. Kegiatan dilaksanaan 22 Agustus 2022, dengan jumlah peserta sebanyak 15 petani. Hasil evaluasi pretest dan postest menunjukkan peningkatan pemahaman yang signifikan mengenai PGPR dari 13% menjadi 80%. Monitoring hasil pembuatan PGPR dinyatakan berhasil dengan indikator produk berbau seperti tape setelah 14 hari fermentasi. Hasil demplot menunjukkan bahwa perkembangan tinggi tanaman pada perlakuan biochar lebih baik dibandingkan dengan perlakuan lainnya. Nilai pH tanah pada perlakuan aplikasi biochar lebih baik dibandingkan perlakuan yang lainnya",50423,pub,,Abditani : Jurnal Pengabdian Masyarakat,http://repository.lppm.unila.ac.id/id/eprint/50423,none,2023-04-13 00:36:18,4315,2023-04-13 00:36:18,"[{'id': 'dedy.prasetyo@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Prasetyo', 'lineage': None, 'given': 'Dedy'}}, {'name': {'given': 'Rusdi', 'lineage': None, 'honourific': None, 'family': 'Evizal'}, 'id': 'rusdi.evizal@fp.unila.ac.id'}, {'id': 'liska.mutiara@fp.unila.ac.id', 'name': {'given': 'Liska Mutiara', 'lineage': None, 'honourific': None, 'family': 'Septiana'}}]",2023-04-10,disk0_bak/00/05/04/23,article,['FP23'],,published,,100-105,,TRUE,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",https://abditani.jurnalpertanianunisapalu.com/index.php/abditani,6.0,2622-4682,"PELATIHAN PEMBUATAN PGPR UNTUK BAHAN PENGAYA BIOCHAR SEBAGAI MEDIA TUMBUH BIBIT KAKAO DI DESA SIDOMULYO, KABUPATEN TANGGAMUS",1.0,,,,,
6,"Pelatihan Pembuatan PGPR untuk Bahan Pengaya Biochar sebagai Media Tumbuh Bibit Kakao di Desa Sidomulyo, Kabupaten Tanggamus",6,show,2023-04-15 13:39:05,archive,['SB'],"Plant growth promoting bacteria (PGPR) merupakan sekumpulan mikroba bermanfaat bagi pertumbuhan tanaman dan sebagai bahan pengaya biochar untuk bahan media tanam. Di Desa Sidomulyo mayoritas bekerja sebagai petani perkebunan diantaranya kakao. Bibit kakao diusahakan sendiri oleh petani dengan metode stek. Kualitas bibit kakao dapat ditingkatkan dengan menggunakan media tanam yang tepat misalnya memanfaatkan PGPR dan biochar. PGPR berasal dari sumberdaya hayati lokal seperti akar bambu, sedangkan biochar berasal dari sekam padi. Kegiatan pelatihan dilakukan dengan metode ceramah, praktik pembuatan PGPR, dan demplot. Perlakuan yang digunakan sebagai demoplot antara lain: Kontrol, aplikasi PGPR, Biochar, dan kombinasi PGPR-biochar. Masing-masing perlakuan diulang 3 kali ulangan sehingga didapatkan 12 unit percobaan. Variabel yang diamati antara lain tinggi tanaman dan pH media tanam. Kegiatan dilaksanaan 22 Agustus 2022, dengan jumlah peserta sebanyak 15 petani. Hasil evaluasi pretest dan postest menunjukkan peningkatan pemahaman yang signifikan mengenai PGPR dari 13% menjadi 80%. Monitoring hasil pembuatan PGPR dinyatakan berhasil dengan indikator produk berbau seperti tape setelah 14 hari fermentasi. Hasil demplot menunjukkan bahwa perkembangan tinggi tanaman pada perlakuan biochar lebih baik dibandingkan dengan perlakuan lainnya. Nilai pH tanah pada perlakuan aplikasi biochar lebih baik dibandingkan perlakuan yang lainnya",50561,pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/545196', 'objectid': 190260, 'filesize': 242045, 'datasetid': 'document', 'mtime': '2023-04-15 11:47:13', 'hash_type': 'MD5', 'hash': 'b594d2ab7bb6f9868b70e9b937b9ab19', 'filename': '214-Article Text-738-1-10-20230410 abditani.pdf', 'fileid': 545196, 'mime_type': 'application/pdf'}], 'main': '214-Article Text-738-1-10-20230410 abditani.pdf', 'docid': 190260, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190260', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 50561, 'language': 'en', 'mime_type': 'application/pdf'}]",Fakultas Pertanian Universitas Alkhairaat Palu,http://repository.lppm.unila.ac.id/id/eprint/50561,public,2023-04-15 13:39:05,978,2023-04-15 13:39:05,"[{'id': 'dedy.prasetyo@fp.unila.ac.id', 'name': {'given': 'Dedy', 'honourific': None, 'family': 'Prasetyo', 'lineage': None}}, {'id': 'rusdi.evizal@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Evizal', 'honourific': None, 'given': 'Rusdi'}}, {'name': {'lineage': None, 'family': 'Septiana', 'honourific': None, 'given': 'Liska Mutiara'}, 'id': 'liska.mutiara@fp.unila.ac.id'}]",2023-04-10,disk0_bak/00/05/05/61,article,['FP23'],,published,,100-105,,TRUE,,,https://abditani.jurnalpertanianunisapalu.com/index.php/abditani/article/view/214,6.0,2622-4682,Abditani Jurnal Pengabdian Masyarakat,1.0,https://doi.org/10.31970/abditani.v6i1.214,,,,
7,Pengantar Ilmu KIMIA TANAH,7,show,2023-05-12 07:07:58,archive,['Q1'],,51482,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 51482, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/248808', 'rev_number': 1, 'docid': 248808, 'main': '1-KT (Internet).pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/609878', 'objectid': 248808, 'hash_type': 'MD5', 'mtime': '2023-05-12 03:57:54', 'hash': '296f23a8c41cb9a98a40a0ae0558986a', 'filename': '1-KT (Internet).pdf', 'fileid': 609878, 'mime_type': 'application/pdf', 'filesize': 2600535, 'datasetid': 'document'}]}]",Global Madani Press,http://repository.lppm.unila.ac.id/id/eprint/51482,public,2023-05-12 07:07:58,1056,2023-05-12 07:07:58,"[{'id': 'abdul.kadir@fp.unila.ac.id', 'name': {'given': 'Abdul Kadir', 'lineage': None, 'family': 'Salam', 'honourific': None}}]",2023-04-01,disk0_bak/00/05/14/82,book,['FP23'],,published,,,['University of Lampung'],TRUE,,"[{'name': {'lineage': None, 'family': 'Salam', 'honourific': None, 'given': 'Abdul Kadir'}}]",,,,,,,"[{'name': {'given': 'Abdul Kadir', 'family': 'Salam', 'honourific': None, 'lineage': None}, 'id': 'abdul.kadir@fp.unila.ac.id'}]",191.0,9786239568825.0,Bandar Lampung
8,The soil available-potassium enrichment by several potential tropical weeds,8,show,2023-05-12 03:37:22,archive,['Q1'],"Plant nutrient release from soil minerals is reported to be speeded at lower soil pH, which is also governed by the acidifying effect of vegetation roots.  This research was to investigate the effects of several tropical weeds on the available K in two tropical soils with distinct properties.  Five potential weeds including Asystacia gangetica, Arachis pintoi, Widelia sp., Paspalum conjugatum and Pennisetum purpureum were grown in the soil samples contained in polybags.  The soil available K was depleted by weeds except in soils planted with A. pintoi as indicated by the positive values of the change in the available K after two monthss growing period, suggesting that A. Pintoi root was more effective than the other four weeds in enhancing the soil available K.  The effectiveness of weeds in enhancing the soil available K were: A. Pintoi > A. gangetica > Widelia sp. > P. conjugatum > P. purpureum.",51465,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/248717', 'docid': 248717, 'main': '2023 AIP Conf Series ICALS 2021 B.pdf', 'files': [{'hash': '961d1c3f7b1b92d258938fac0db1bf79', 'filename': '2023 AIP Conf Series ICALS 2021 B.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-12 02:46:31', 'mime_type': 'application/pdf', 'fileid': 609684, 'filesize': 1835626, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/609684', 'objectid': 248717}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51465, 'placement': 1, 'security': 'public'}]",,http://repository.lppm.unila.ac.id/id/eprint/51465,public,2023-05-12 03:37:22,1056,2023-05-12 03:37:22,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Salam', 'given': 'Abdul Kadir'}, 'id': 'abdul.kadir@fp.unila.ac.id'}, {'id': 'nanik.sriyani@fp.unila.ac.id', 'name': {'given': 'Nanik', 'lineage': None, 'family': 'Sriyani', 'honourific': None}}, {'name': {'given': 'Shiamita Kusuma', 'family': 'Dewi', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'muhajir.utomo@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Utomo', 'honourific': None, 'given': 'Muhajir'}}]",2023-01-13,disk0_bak/00/05/14/65,article,['FP23'],,published,,1-8,['University of Lampung'],TRUE,,"[{'name': {'given': 'Abdul Kadir', 'lineage': None, 'honourific': None, 'family': 'Salam'}}]",,2583.0,,AIP Conference Proceeding 2583,,,,,,
9,"SImilarity Check "" Lime-enhanced phytoextraction of copper and zinc by land spinach (Ipomoea reptans Poir.) from tropical soils contaminated with heavy metals""",7,show,2023-04-08 13:26:39,archive,['S1'],Phytoextraction and liming were suggested to decrease the concentrations of heavy metals in contaminated soils. This research was to study the effects of liming and phytoextraction by land spinach in lowering the soil concentrations of Cu and Zn in heavy-metal contaminated tropical soils. Soil samples collected from a 22-years-old experimental field one- time amended with heavy-metal-containing waste at 0-60 Mg ha−1 were treated with lime at 0-5 Mg ha−1 and planted with land spinach in a glass-house experiment. After 4 weeks the soil and plant Cu and Zn were analyzed. The results show that the 60 Mg waste ha−1 significantly increased the soil concentrations of Cu and Zn and depressed the land spinach growth. Land spinach slightly lowered the soil concentrations of Cu and Zn in unlimed soils at waste levels ≤15 Mg ha−1. Liming significantly lowered the soil concentrations of Cu and Zn and improved the growth and Cu-Zn uptake of land spinach but attenuated the effect of land spinach in decreasing the soil concentrations of Cu and Zn. The Cu-Zn uptake of land spinach was well-correlated with the soil concentrations of Cu and Zn.,49859,unpub,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 49859, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189504', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/539858', 'objectid': 189504, 'filename': 'SImilarity check Rachman et al 2022 AIP.pdf', 'hash': '4a63e42b754bbcbfc2eee8f5155b0b62', 'mtime': '2023-04-07 07:42:14', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 539858, 'filesize': 822246, 'datasetid': 'document'}], 'docid': 189504, 'main': 'SImilarity check Rachman et al 2022 AIP.pdf'}]",-,http://repository.lppm.unila.ac.id/id/eprint/49859,public,2023-04-08 13:26:39,5,2023-04-08 13:26:39,"[{'id': 'supriatin.1979@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Supriatin', 'honourific': None, 'given': 'Supriatin'}}]",2023-04-07,disk0_bak/00/04/98/59,other,['FP23'],,,,,,,,,,,,,,,,,,
