,uri,full_text_status,refereed,ispublished,number,documents,publisher,datestamp,pagerange,userid,lastmod,date,dir,publication,creators,issn,divisions,type,rev_number,volume,metadata_visibility,title,official_url,subjects,abstract,status_changed,eprint_status,related_url,date_type,eprintid,corp_creators,id_number,event_dates,event_type,event_title,event_location,pres_type
0,http://repository.lppm.unila.ac.id/id/eprint/35328,public,TRUE,pub,2.0,"[{'placement': 1, 'security': 'public', 'eprintid': 35328, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'fileid': 412318, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-11-06 12:29:27', 'hash': '518e2bdb371ae0c0026f74a2ce1759e5', 'filename': '1320-Article Text-1710-1-10-20210910_4.pdf', 'datasetid': 'document', 'filesize': 223428, 'objectid': 156130, 'uri': 'http://repository.lppm.unila.ac.id/id/file/412318'}], 'docid': 156130, 'main': '1320-Article Text-1710-1-10-20210910_4.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156130', 'pos': 1, 'format': 'text'}]",Ganaya,2021-11-06 13:59:35,326-338,609,2021-11-06 13:59:35,2021-09-10 00:00:00.000000000,disk0/00/03/53/28,Jurnal Ilmu Sosial dan Humaniora,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Ambarwati', 'given': 'Kiki'}}, {'id': 'indahlistiana@yahoo.com', 'name': {'honourific': None, 'family': 'Listiana', 'lineage': None, 'given': 'Indah'}}, {'name': {'lineage': None, 'family': 'Nikmatullah', 'honourific': None, 'given': 'Dewangga'}, 'id': None}]",2615-0913 (E),['FP26'],article,6,4.0,show,"Dana Desa Dan Pengaruhnya Terhadap Pendapatan Asli Desa 
Di Kabupaten Pesawaran",http://jayapanguspress.penerbit.org/index.php/ganaya,['H1'],"The Birth of the Village Law No. 6 of 2014 concerning Villages makes villages have an important role for regional autonomy, and village fund policies. With the existence of village funds as a source of village income originating from APBN transfers, sources of village original income (PADes) can be optimally supported if management is carried out properly. This study aims to determine the effect of village funds on PADes and analyze the use of village funds for village development activities. The study was conducted in a survey in 12 villages using descriptive analysis and paired sample T test. The results showed that there was no difference in PADes before and after village funds were 
given. This means that the presence or absence of village funds given to villages does not affect the increase in PADes received. 70 percent of villages in Pesawaran Regency the amount of PADes received is still zero or even decreased from the previous year. The management of village funds still has many shortcomings, both in the form of transparency to orderly rules ranging from independent villages to underdeveloped villages. 90 percent of villages utilize village funds for physical development activities and only Sukaraja Village (independent villages) which is larger utilize village funds for community development/ empowerment activities.",2021-11-06 13:59:35,archive,"[{'url': 'http://jayapanguspress.penerbit.org/index.php/ganaya', 'type': 'pub'}]",published,35328,,,,,,,
1,http://repository.lppm.unila.ac.id/id/eprint/39544,public,,pub,,"[{'files': [{'datasetid': 'document', 'filesize': 2654032, 'fileid': 444100, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-02-18 22:00:39', 'hash': '24cc23b941b4be53732053f2e2ac1b7b', 'filename': 'FIX PENILAIAN DANA DESA.pdf', 'objectid': 160823, 'uri': 'http://repository.lppm.unila.ac.id/id/file/444100'}], 'main': 'FIX PENILAIAN DANA DESA.pdf', 'docid': 160823, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160823', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 39544, 'language': 'en', 'mime_type': 'application/pdf'}]",Jurnal Ilmu Sosial dan Humaniora,2022-02-19 10:24:41,,609,2022-02-19 10:24:41,1970-01-01 00:00:00.000002021,disk0/00/03/95/44,,"[{'id': None, 'name': {'given': 'Kiki', 'family': 'Ambarwati', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Nikmatullah', 'honourific': None, 'lineage': None, 'given': 'Dewangga'}, 'id': 'dewangga.nikmatullah@fp.unila.ac.id'}, {'id': 'indahlistiana@yahoo.com', 'name': {'honourific': None, 'family': 'Listiana', 'lineage': None, 'given': 'Indah'}}]",,['FP26'],other,7,,show,"FIX PEER REVIEW_Dana Desa Dan Pengaruhnya Terhadap Pendapatan Asli Desa 
Di Kabupaten Pesawaran",,['S1'],FIX PEER REVIEW Jurnl Ilmu Sosial dan Humaniora,2022-02-19 10:24:41,archive,,,39544,,,,,,,
2,http://repository.lppm.unila.ac.id/id/eprint/46734,public,TRUE,pub,1.0,"[{'docid': 185647, 'main': 'Kondisi Sosial Ekonomi Buruh Pengrajin Batu Bata Di Kelurahan Campang Raya Kecamatan Sukabumi Kota B.pdf', 'files': [{'filename': 'Kondisi Sosial Ekonomi Buruh Pengrajin Batu Bata Di Kelurahan Campang Raya Kecamatan Sukabumi Kota B.pdf', 'hash': '9185b50f8f440bca2c6e4ae0df18726c', 'mtime': '2022-11-18 05:41:54', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 514719, 'filesize': 782592, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/514719', 'objectid': 185647}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185647', 'eprintid': 46734, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Universitas Sebelas Maret,2022-12-19 07:17:26,218-231,930,2022-12-19 07:17:26,1970-01-01 00:00:00.000002021,disk0/00/04/67/34,Jurnal Analisa Sosiologi,"[{'id': None, 'name': {'given': 'ghietha putri', 'family': 'Aroem', 'honourific': None, 'lineage': None}}, {'id': 'tb_sijati@yahoo.com', 'name': {'honourific': None, 'family': 'Hasanuddin', 'lineage': None, 'given': 'Tubagus'}}]",2615-0778,['FP26'],article,7,10.0,show,"KONDISI SOSIAL EKONOMI
BURUH PENGRAJIN BATU BATA
DI KELURAHAN CAMPANG RAYA
KECAMATAN SUKABUMI
KOTA BANDAR LAMPUNG",,"['H1', 'S1']","The limited job field encourages the society to look for other alternatives by
utilizing the existing environmental conditions to satisfy the needs of their
families. One of the work as a brick worker. Research aims to know the
socioeconomic conditions of brick workers from November- Desember
2019. This research used qualitatif descriptive methods. The respondents
were bricker workers which was determined purposively amounted to 15
people. The results of this research show that bricker workers have a
productive age (100%) ,the formal education is still low(67%), the average
household net income per month of Rp 3.320.000,- − Rp 3.433.000,- with
per-capital income per month of Rp 1.106.000,- −Rp 1.147.000,- has not
fulfilled the standard UMR in Bandar Lampung city.of Rp 2.445.141,-.
Qualitatively, based on perceptions, 66.7% of bricker workers said that the
income they earned was still insufficient to fulfill their daily needs. The
conditions and housing facilities are still inadequate.

Keywords: Brick Worker, household, income",2022-12-19 07:17:26,archive,[{'url': 'https://jurnal.uns.ac.id/jas/article/view/42172'}],published,46734,"['Universitas Lampung', 'Universitas Lampung']",,,,,,
3,http://repository.lppm.unila.ac.id/id/eprint/46739,public,TRUE,pub,1.0,"[{'docid': 185652, 'main': 'The Performance of Kerupuk Bawang Agroindustry.pdf.pdf', 'files': [{'objectid': 185652, 'uri': 'http://repository.lppm.unila.ac.id/id/file/514744', 'datasetid': 'document', 'filesize': 851707, 'mime_type': 'application/pdf', 'fileid': 514744, 'filename': 'The Performance of Kerupuk Bawang Agroindustry.pdf.pdf', 'hash': 'bd89464db537000b9d36f0a04104eb18', 'hash_type': 'MD5', 'mtime': '2022-11-18 06:18:53'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185652', 'eprintid': 46739, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",Fakultas Ekonomi dan Bisnis Universitas Lampung,2022-12-19 07:17:41,1-5,930,2022-12-19 07:17:41,1970-01-01 00:00:00.000002021,disk0/00/04/67/39,IJEBE,"[{'id': None, 'name': {'given': 'ANLS', 'family': 'Ayu Nirmala Lutfi Syarief', 'honourific': None, 'lineage': None}}, {'id': 'tb_sijati@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Hasanuddin', 'given': 'Tubagus'}}]",26156873,['FP26'],article,6,4.0,show,"THE PERFORMANCE OF KERUPUK BAWANG AGROINDUSTRY IN
BANDARLAMPUNG CITY
(CASE STUDY OF ONION CRACKER WINDA PUTRI IN BANDARLAMPUNG CITY)",,['S1'],"The purposes of this research are to analyze :1) the performance of agribusiness system of onion cracker
household agroindustry , 2) the production process, added value and income of agroindustry onion cracker 3)
marketing of product onion cracker and 4) the role of support services facilities. this research used to case study at
onion cracker agroindustry in tanjung senang sub-district bandar lampung city. the research was conducted in
january - february 2018 and data analysis used to qualitative and quantitative method. the results showed that the
procurement of raw materials had not fulfilled price component. (1) the performance of the agroindustry was not
good because it had not fulfilled the flexibility component. (2) the production process is going well and agroindustry
revenue was considered good because the value of r/c ratio was > 1 and given added value and income was positive.
(3) the marketing strategy of the agroindustry has used the 4p marketing mix component, which is the product, price
is good, while for the place and promotion component, it has not been used optimally. the marketing chains consisted
of two channels. (4) the provided support services of this agroindustry were bank, information and communication
technology, transportation, and market procurement process of raw materials that correspond to six right on (time,
place, quality, quantity, type, and price).
Keywords: agroindustry, onion cracker, performance",2022-12-19 07:17:41,archive,[{'url': 'https://ijebe.feb.unila.ac.id/index.php/ijebe/article/download/77/60'}],published,46739,"['Universitas Lampung', 'Universitas Lampung']",,,,,,
4,http://repository.lppm.unila.ac.id/id/eprint/32676,public,,pub,,"[{'eprintid': 32676, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 148456, 'main': 'Jurnal Nasional_Pemahaman dan Persepsi Penyuluh Perikanan Terhadap Penggunaan Teknologi Informasi dan Komunikasi dalam Penyuluhan di Kota Bandar Lampung.pdf', 'files': [{'fileid': 386605, 'mime_type': 'application/pdf', 'mtime': '2021-06-18 05:44:37', 'hash_type': 'MD5', 'hash': 'e76343721828238b7bfd51b376e3c42f', 'filename': 'Jurnal Nasional_Pemahaman dan Persepsi Penyuluh Perikanan Terhadap Penggunaan Teknologi Informasi dan Komunikasi dalam Penyuluhan di Kota Bandar Lampung.pdf', 'datasetid': 'document', 'filesize': 2283564, 'objectid': 148456, 'uri': 'http://repository.lppm.unila.ac.id/id/file/386605'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/148456', 'rev_number': 1}]",Jurnal Penelitian dan Pengabdian Kepada Masyarakat,2021-06-18 07:58:34,,301,2021-06-18 07:58:34,2021-01-01 00:00:00.000000000,disk0/00/03/26/76,,"[{'id': None, 'name': {'given': 'ANLS', 'lineage': None, 'family': 'Ayu Nirmala Lutfi Syarief', 'honourific': None}}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'family': 'Helvi Yanfika', 'honourific': None, 'lineage': None, 'given': 'HY'}}, {'id': None, 'name': {'honourific': None, 'family': 'Abdul Mutolib', 'lineage': None, 'given': 'Mutolib, Abdul'}}]",,['FP26'],other,8,,show,Hasil Review_Pemahaman dan Persepsi Penyuluh Perikanan Terhadap Penggunaan Teknologi Informasi dan Komunikasi dalam Penyuluhan di Kota Bandar Lampung,https://elearning2.unisba.ac.id/index.php/ethos/article/view/6433,['S1'],Hasil Review Jurnal Penelitian dan Pengabdian Kepada Masyarakat,2021-06-18 07:58:34,archive,[{'url': 'https://elearning2.unisba.ac.id/index.php/ethos/article/view/6433'}],,32676,,,,,,,
5,http://repository.lppm.unila.ac.id/id/eprint/32623,public,TRUE,pub,1.0,"[{'main': '6433-27697-1-PB.pdf', 'docid': 148244, 'files': [{'objectid': 148244, 'uri': 'http://repository.lppm.unila.ac.id/id/file/386097', 'datasetid': 'document', 'filesize': 186513, 'fileid': 386097, 'mime_type': 'application/pdf', 'mtime': '2021-06-16 07:28:56', 'hash_type': 'MD5', 'filename': '6433-27697-1-PB.pdf', 'hash': '8f0c5a620220a65972be6162f1b0d9c7'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148244', 'rev_number': 1, 'eprintid': 32623, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",Universitas Islam Bandung,2021-06-17 08:04:55,53-62,301,2021-06-17 08:04:55,2021-01-01 00:00:00.000000000,disk0/00/03/26/23,Ethos: Jurnal Penelitian dan Pengabdian Masyarakat,"[{'name': {'given': 'ANLS', 'lineage': None, 'honourific': None, 'family': 'Ayu Nirmala Lutfi Syarief'}, 'id': None}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'given': 'HY', 'lineage': None, 'honourific': None, 'family': 'Helvi Yanfika'}}, {'id': None, 'name': {'given': 'Mutolib, Abdul', 'lineage': None, 'honourific': None, 'family': 'Abdul Mutolib'}}]",1693-699x,['FP26'],article,6,9.0,show,Pemahaman dan Persepsi Penyuluh Perikanan Terhadap Penggunaan Teknologi Informasi dan Komunikasi dalam Penyuluhan di Kota Bandar Lampung,https://elearning2.unisba.ac.id/index.php/ethos/article/view/6433,['S1'],"Penelitian ini bertujuan untuk mengetahui ketenagaan penyuluh perikanan, pemahaman internet oleh penyuluh dan persepsi penyuluh perikanan terhadap penggunaan teknologi informasi dan komunikasi dalam penyuluhan. Penelitian ini dilakukan di Kota Bandar Lampung. Pengambilan sampel dalam penelitian ini
menggunakan teknik purposive sampling. Penyuluh perikanan yang ada di Kota Bandar Lampung berjumlah 12 orang. Jenis data yang digunakan dalam penelitian ini adalah data primer dan sekunder. Metode yang digunakan dalam penelitian ini
adalah metode analisis deskriptif kualitatif. Hasil penelitian diperoleh bahwa ketenagaan penyuluh masih belum memenuhi idealnya di setiap kecamatan yang ada di Kota Bandar Lampung. Pemahaman internet penyuluh perikanan di Kota Bandar Lampung masih cukup rendah. Begitu pula persepsi penyuluh terhadap penggunaan teknologi informasi dan komunikasi dilihat dari tujuan penggunann TIK dalam kategori baik. Persepsi penyuluh terhadap penggunaan teknologi informasi dan komunikasi dilihat dari manfaat TIK dalam kegiatan penyuluhan
dikategorikan baik. Lain halnya dengan persepsi penyuluh terhadap penggunaan teknologi informasi dan komunikasi dilihat dari pelaksanaan penyuluhan menggunakan TIK dalam kategori kurang baik.",2021-06-17 08:04:55,archive,[{'url': 'https://elearning2.unisba.ac.id/index.php/ethos/article/view/6433'}],,32623,,,,,,,
6,http://repository.lppm.unila.ac.id/id/eprint/41865,public,TRUE,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/163533', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 163533, 'uri': 'http://repository.lppm.unila.ac.id/id/file/462173', 'datasetid': 'document', 'filesize': 314320, 'mime_type': 'application/pdf', 'fileid': 462173, 'hash': 'c016ec42cfd53ff33900f580acfc2416', 'filename': '10007-Article Text-47480-1-10-20211229.pdf', 'mtime': '2022-05-25 23:55:01', 'hash_type': 'MD5'}], 'docid': 163533, 'main': '10007-Article Text-47480-1-10-20211229.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 41865}]",,2022-05-30 01:44:01,436-450,609,2022-05-30 01:44:01,2021-12-01 00:00:00.000000000,disk0/00/04/18/65,KnE Social Sciences,"[{'id': None, 'name': {'honourific': None, 'family': 'Cathrin', 'lineage': None, 'given': 'Shely'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Wikandaru', 'given': 'Reno'}}, {'name': {'given': 'Indah', 'family': 'Listiana', 'honourific': None, 'lineage': None}, 'id': 'indahlistiana@yahoo.com'}, {'name': {'honourific': None, 'family': 'Ratnasari', 'lineage': None, 'given': 'Devi'}, 'id': None}, {'name': {'lineage': None, 'family': 'Warsidah', 'honourific': None, 'given': 'Warsidah'}, 'id': None}, {'name': {'honourific': None, 'family': 'Widyoningsih', 'lineage': None, 'given': 'Widyoningsih'}, 'id': None}, {'id': None, 'name': {'given': 'M. Bahtiar', 'family': 'Arif', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Astrid Veranita', 'honourific': None, 'family': 'Indah', 'lineage': None}, 'id': None}]",,['FP26'],article,11,,show,"Harmonization of the Education Curriculum at
Pesantren Al Falah Gorontalo: An Educational
Philosophy Study",,['S1'],"Pesantren (Islamic boarding schools) have become character-building institutions trusted by the Indonesian people; however, as educational institutions, pesantren must adapt to the national education curriculum which can be challenging. The purpose of this study was to critically identify and analyze the implementation of the educational curriculum at the pesantren Al Falah Gorontalo, based on the educational philosophy point of view. A qualitative approach was employed, using the hermeneutics method. Interpretation, description, synthetic analysis, internal coherence, holistic, reflection, and heuristics were used. The results indicated that the pesantren Al Falah Gorontalo combined two educational curriculums. Analysis from the educational philosophy perspective found that the implementation of education was based on essentialism educational philosophical ideas, which assume that education is full of flexibility and helps students to adhere to noble values, spiritual characteristics, and human guidance to achieve a more noble life.",2022-05-30 01:44:01,archive,,,41865,,,,,,,
7,http://repository.lppm.unila.ac.id/id/eprint/41466,public,,pub,,"[{'docid': 163100, 'main': 'Preview Penilaian_Keikutsertaan Prog AUTP.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/459282', 'objectid': 163100, 'filename': 'Preview Penilaian_Keikutsertaan Prog AUTP.pdf', 'hash': '00fb67350145d46df4a81c3c95ea7b73', 'hash_type': 'MD5', 'mtime': '2022-04-26 14:46:57', 'mime_type': 'application/pdf', 'fileid': 459282, 'filesize': 323278, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163100', 'rev_number': 1, 'eprintid': 41466, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",Jurnal Komunikasi dan Penyuluhan Pertanian,2022-05-11 07:29:30,,719,2022-05-11 07:29:30,2021-12-01 00:00:00.000000000,disk0/00/04/14/66,,"[{'id': '-', 'name': {'family': 'Ditha', 'honourific': None, 'lineage': None, 'given': 'Maria'}}, {'name': {'given': 'Dame Trully', 'lineage': None, 'honourific': None, 'family': 'Gultom'}, 'id': 'trully.dame@yahoo.co.id'}, {'id': 'sumaryo.gitosaputro@fp.unila.ac.id', 'name': {'given': 'Sumaryo', 'lineage': None, 'family': 'Gitosaputro', 'honourific': None}}]",,['FP26'],other,7,,show,Hasil Peer Review_Keikutsertaan Program Asuransi Usaha Tani Padi (AUTP) di Pekon Tulung Agung Kecamatan Gading Rejo Kabupaten Pringsewu,,['S1'],Hasil Peer Review Jurnal Komunikasi dan Penyuluhan Pertanian,2022-05-11 07:29:30,archive,,,41466,,,,,,,
8,http://repository.lppm.unila.ac.id/id/eprint/48560,public,TRUE,pub,1.0,"[{'main': 'Hubungan Performa Kerja Petani Dengan Produktivitas Padi.pdf', 'docid': 187873, 'files': [{'filesize': 76238, 'datasetid': 'document', 'mtime': '2023-02-25 07:46:50', 'hash_type': 'MD5', 'hash': '37e53e367c3fc057163debf58920f5dd', 'filename': 'Hubungan Performa Kerja Petani Dengan Produktivitas Padi.pdf', 'fileid': 529583, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/529583', 'objectid': 187873}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187873', 'eprintid': 48560, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]","Magister Penyuluhan dan Komunikasi Pertanian, Fakultas Pertanian Universitas Lampung",2023-02-27 01:01:39,28-35,930,2023-02-27 01:01:39,2021-06-01 00:00:00.000000000,disk0_bak/00/04/85/60,Suluh Pembangunan: Journal of Extension and Development,"[{'name': {'honourific': None, 'family': 'Fajar', 'lineage': None, 'given': 'Surya'}, 'id': None}, {'name': {'given': 'Tubagus', 'honourific': None, 'family': 'Hasanuddin', 'lineage': None}, 'id': 'tb_sijati@yahoo.com'}, {'id': 'indahlistiana@yahoo.com', 'name': {'given': 'Indah', 'lineage': None, 'family': 'Listiana', 'honourific': None}}]",ISSN (online) 2686-1488,['FP26'],article,6,3.0,show,"Hubungan Performa Kerja Petani Dengan Produktivitas Padi     
di Desa Sidosari Kecamatan Natar Kabupaten Lampung Selatan",,['S1'],"Penelitian ini bertujuan untuk mengetahui hubungan performa kerja petani dan produktivitas
masyarakat petani di Kecamatan Natar Kabupaten Lampung Selatan. Penelitian ini dilakukan di Desa
Sidosari Kecamatan Natar Kabupaten Lampung Selatan pada bulan Oktober 2020 sampai Januari
2021. Dua puluh petani sebagai responden dipilih dengan metode Accidental sampling. Metode
analisis yang digunakan dalam penelitian ini adalah metode analisis  deskriptif kuantitatif, sedangkan
pengujian hipotesis dilakukan menggunakan uji statistik non parametrik korelasi Rank Spearman.
Hasil penelitian menunjukkan bahwa Terdapat hubungan yang nyata antara performa kerja dengan
produktivitas pada masyarakat petani di Desa Sidosari Kecamatan Natar Kabupaten Lampung Selatan
dengan nilai koefisien korelasi 0,503*, memiliki tingkat korelasi yang kuat dengan arah hubungan
positif dan signifikan. Jika performa kerja petani meningkat maka produktivitas masyarakat petani
padi di Desa Sidosari Kecamatan Natar Kabupaten Lampung Selatan juga meningkat.
 
Kata kunci: petani, performa kerja petani, produktivitas",2023-02-27 01:01:39,archive,,published,48560,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,,,,,
9,http://repository.lppm.unila.ac.id/id/eprint/36675,public,TRUE,pub,1.0,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/422412', 'objectid': 157592, 'filesize': 156476, 'datasetid': 'document', 'mtime': '2021-11-13 13:39:42', 'hash_type': 'MD5', 'hash': 'd5d4a9956c399b749532b955683c05c0', 'filename': '71-Article Text-309-1-10-20211010.pdf', 'fileid': 422412, 'mime_type': 'application/pdf'}], 'main': '71-Article Text-309-1-10-20211010.pdf', 'docid': 157592, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157592', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 36675, 'language': 'en', 'mime_type': 'application/pdf'}]",,2021-11-14 02:05:41,44-52,494,2021-11-14 02:05:41,1970-01-01 00:00:00.000002021,disk0/00/03/66/75,Suluh Pembangunan : Journal of Extension and Development,"[{'name': {'given': 'Rabyatul', 'honourific': None, 'family': 'Hadawiyah', 'lineage': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Nurmayasari', 'lineage': None, 'given': 'Indah'}, 'id': 'indahnurma1@gmail.com'}, {'name': {'given': 'Begem', 'honourific': None, 'family': 'Viantimala', 'lineage': None}, 'id': None}]",,['FP26'],article,6,3.0,show,"Motivasi Pemuda Tani Bekerja di Sektor Pertanian
di Pekon Padang Cahya Kecamatan Balik Bukit
Kabupaten Lampung Barat
Motivation of Youth Farmers to Work in Agricultural Sector in Padang
Cahaya Village, Balik Bukit Sub-district, West Lampung Regency",,['H1'],"Menurunnya jumlah tenaga kerja di sektor pertanian merupakan ancaman bagi keberlangsungan
pembangunan pertanian. Partisipasi pemuda di bidang pertanian sangat dibutuhkan. Tujua penelitian ini
adalah mengetahui tingkat motivasi pemuda tani untuk bekerja di sektor pertanian dan faktoR apa saja
yang berhubungan dengan motivasi mereka. Penelitian dilakukan di Desa Padang Cahaya Kecamatan
Balik Bukit Kabupaten Lampung Barat. Ada 72 responden pemuda yang bekerja di bidang pertanian
dan diwawancarai menggunakan kuesioner terstruktur. Data dianalisis secara deskriptif. Berdasarkan
penelitian tingkat motivasi pemuda tani untuk bekerja di sektor pertanian termasuk dalam kategori
tinggi. Faktor yang berhubungan dengan motivasi mereka bekerja di bidang pertanian adalah
pendidikan, pendapatan, dan luas lahan.
Kata kunci: Motivasi, Pemuda tani, Pendidikan",2021-11-14 02:05:41,archive,,published,36675,,,,,,,
