,eprintid,date_type,related_url,eprint_status,status_changed,abstract,subjects,title,official_url,metadata_visibility,rev_number,volume,type,keywords,divisions,creators,issn,publication,dir,date,lastmod,userid,datestamp,pagerange,documents,publisher,ispublished,number,refereed,full_text_status,uri,id_number,pres_type,event_title,event_location,event_dates,event_type,patent_applicant,corp_creators
0,933,published,"[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JHT/article/view/291', 'type': 'pub'}]",archive,2016-10-26 03:36:06,"his study objective is to determine the contribution of private forest management on farmers total income. This study was conducted in March-May 2012 in the Buana Sakti Village, Sub District of Batanghari, District of Lampung Timur. The number of respondent of this study were 40 private forest farmers. Data were collected by direct field observation, interview, and literature review. Data were then analyzed using qualitative and quantitative analysis methods. The results revealed that the average area of private forest owned by farmers were 0,98 ha. The private forest were managed by monoculture, polyculture and agroforestry system. In monoculture system the farmers planted Acacia mangium, in polyculture system the farmers planted Acacia mangium and Hevea brasiliensis while in agroforesty system the farmers combine their land with Acacia mangium, with honey enterprises. The results showed that private forest contribute Rp 17.619.649 every year (70,54%) of the total farmers household income of Rp 24.984.774 every year.",['SD'],Contribution of Private Forest on Farmers Income in Buana Sakti Village Sub District of Batanghari District of Lampung Timur,http://jurnal.fp.unila.ac.id/index.php/JHT/,show,7,1.0,article,"contributions, farmers income, private forest.",['FP5'],"[{'id': None, 'name': {'honourific': None, 'family': 'Aminah', 'lineage': None, 'given': 'Lina Nur'}}, {'name': {'family': 'Qurniati', 'honourific': None, 'lineage': None, 'given': 'Rommy'}, 'id': None}, {'id': 'wahyu.hidayat@fp.unila.ac.id', 'name': {'given': 'Wahyu', 'honourific': None, 'family': 'Hidayat', 'lineage': None}}]",2339-0913,Sylva Lestari,disk0/00/00/09/33,2013-09-01 00:00:00.000000000,2016-10-26 03:36:06,144,2016-10-26 03:36:06,47-54,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 933, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/826', 'rev_number': 2, 'docid': 826, 'main': 'Wahyu Hidayat-Contribution of private forest on farmers income in Buana Sakti Village Sub District of Batanghari District of Lampung Timur.pdf', 'files': [{'datasetid': 'document', 'filesize': 2210443, 'fileid': 5855, 'mime_type': 'application/pdf', 'mtime': '2016-10-26 02:39:57', 'hash_type': 'MD5', 'filename': 'Wahyu Hidayat-Contribution of private forest on farmers income in Buana Sakti Village Sub District of Batanghari District of Lampung Timur.pdf', 'hash': '200b2118ddc8707f00944489576289ca', 'objectid': 826, 'uri': 'http://repository.lppm.unila.ac.id/id/file/5855'}]}]",Jurusan Kehutanan Fakultas Pertanian Universitas Lampung,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/933,,,,,,,,
1,10680,published,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JHT/article/view/292/285'}],archive,2019-01-31 07:22:40,"Agroforestri merupakan sistem pengelolaan dan pemanfaatan lahan dengan
mengkombinasikan tanaman kehutanan dengan tanaman pertanian dan atau ternak untuk
mendapatkan hasil produksi yang optimal (Indriyanto, 2006). Sistem agroforestri dengan
pola kebun campuran yang terdiri dari beragam jenis tanaman membentuk suatu komposisi
tanaman yang berbeda-beda sehingga memberikan pendapatan yang bervariasi dari tempat
satu ke tempat yang lainnya. Penelitian ini bertujuan untuk : (1) mengidentifikasi komposisi
tanaman agroforestri berdasarkan INP dan pengaruhnya terhadap pendapatan, (2)
menganalisis kontribusi komposisi produk agroforestri terhadap pendapatan total rumah
tangga petani. Metode pengambilan data untuk komposisi jenis menggunakan purposive
sampling sedangkan untuk responden petani menggunakan stratified random sampling.
Analisis data menggunakan metode analisis deskriptif kuantitatif. Hasil penelitian
menunjukkan bahwa komposisi tanaman yang memberikan kontribusi terbesar dari ketiga
fisiografi yaitu atas, tengah, dan bawah diperoleh pada komposisi IX yang terletak di
fisiografi bawah yaitu sebesar Rp 23.127.404,-/ha/th dengan INP tertinggi kakao sebesar
94,86%. Besarnya rata-rata pendapatan total petani dari tiap sumber pendapatan untuk sistem
agroforestri Rp 36.992.171/ha/th dan untuk non agroforestri sebesar Rp 9.312.500/th.
Besarnya kontribusi dari sistem agroforestri terhadap pendapatan petani Desa Pesawaran
Indah sebesar 91,44%, berarti bahwa agroforestri memberikan kontribusi yang besar terhadap
pendapatan rumah tangga petani",['SD'],"KOMPOSISI TANAMAN AGROFORESTRI DAN KONTRIBUSINYA TERHADAP
PENDAPATAN RUMAH TANGGA DI DESA PESAWARAN INDAH KABUPATEN
PESAWARAN LAMPUNG",http://jurnal.fp.unila.ac.id/index.php/JHT/article/view/292/285,show,9,1.0,article,,['FP5'],"[{'name': {'given': 'Marlica Tri', 'honourific': None, 'family': 'Asmi', 'lineage': None}, 'id': None}, {'name': {'given': 'Rommy', 'family': 'Qurniati', 'honourific': None, 'lineage': None}, 'id': 'rommy.qurniati@fp.unila.ac.id'}, {'name': {'given': 'Dwi', 'lineage': None, 'honourific': None, 'family': 'Haryono'}, 'id': 'dwih_unila@yahoo.com'}]",ISSN 2339-0913,Jurnal Sylva Lestari,disk0/00/01/06/80,2013-09-01 00:00:00.000000000,2019-01-31 07:22:40,466,2019-01-31 07:22:40,55-64,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 10680, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23684', 'main': '2013-Marlica Tri Asmi-komposisi tanaman agroforestri dan kontribusi pendapatan di pesawaran indah.pdf', 'docid': 23684, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/98669', 'objectid': 23684, 'filesize': 251758, 'datasetid': 'document', 'mtime': '2019-01-31 04:38:41', 'hash_type': 'MD5', 'hash': '10ab215b8b9e5f3637d76712d11edfd5', 'filename': '2013-Marlica Tri Asmi-komposisi tanaman agroforestri dan kontribusi pendapatan di pesawaran indah.pdf', 'fileid': 98669, 'mime_type': 'application/pdf'}]}, {'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23685', 'pos': 2, 'format': 'text', 'files': [{'filename': 285, 'hash': '5d8a48108a8b93b8b641e603f3448f7b', 'mtime': '2019-01-31 04:39:16', 'hash_type': 'MD5', 'mime_type': 'application/xml', 'fileid': 98672, 'filesize': 24046, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/98672', 'objectid': 23685}], 'main': 285, 'docid': 23685, 'content': 'published', 'mime_type': 'application/xml', 'language': 'id', 'placement': 2, 'security': 'public', 'eprintid': 10680}]",Universitas Lampung,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/10680,http://dx.doi.org/10.23960/jsl1155-64,,,,,,,
2,3986,published,,archive,2017-10-19 04:44:25,,['SD'],Local knowledge community in the selection of  shelter trees in dusung nutmeg: case study on hutumury village in ambon city,,show,7,,conference_item,,['FP5'],"[{'name': {'given': 'Iskar', 'lineage': None, 'family': 'Bone', 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Salampessy', 'lineage': None, 'given': 'Messalina Lovinia'}, 'id': 'meis_forester@yahoo.com'}, {'id': 'indragumay@yahoo.com', 'name': {'given': 'Indra Gumay', 'lineage': None, 'family': 'Febryano', 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Siahaya', 'honourific': None, 'given': 'Martha E'}}]",,,disk0/00/00/39/86,1970-01-01 00:00:00.000002013,2017-10-19 04:44:25,591,2017-10-19 04:44:25,178-184,"[{'main': 'Local Knowledge Community.pdf', 'docid': 3842, 'files': [{'hash_type': 'MD5', 'mtime': '2017-09-28 09:12:47', 'hash': '96d711825c8aa950022a61bf7a8536fd', 'filename': 'Local Knowledge Community.pdf', 'fileid': 27890, 'mime_type': 'application/pdf', 'filesize': 1015293, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/27890', 'objectid': 3842}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3842', 'eprintid': 3986, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",,pub,,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3986,,paper,International spices conference,Ambon,19-21 Agustus 2013,conference,,
3,39750,published,,archive,2022-02-23 01:16:45,,['SD'],Kisah Sukses Pejuang Kehutanan Indonesia,,show,8,,patent,,['FP5'],"[{'name': {'given': 'Bainah Sari', 'lineage': None, 'family': 'Dewi', 'honourific': None}}]",,,disk0/00/03/97/50,2013-11-03 00:00:00.000000000,2022-02-23 01:16:45,469,2022-02-23 01:16:45,,"[{'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161026', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 445802, 'filename': 'Kisah Sukses Pejuang Kehutanan Indonesia.pdf', 'hash': 'f30d5dc6f049c9954d9568293f591493', 'hash_type': 'MD5', 'mtime': '2022-02-22 11:35:05', 'datasetid': 'document', 'filesize': 183543, 'objectid': 161026, 'uri': 'http://repository.lppm.unila.ac.id/id/file/445802'}], 'docid': 161026, 'main': 'Kisah Sukses Pejuang Kehutanan Indonesia.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 39750}]",,pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/39750,EC00201974192,,,,,,Menteri Hukum dan Hak Asasi Manusia Direktur Jenderal Kekayaan Intelektual,
4,940,published,,archive,2016-10-27 02:32:26,"The objective of this research was to evaluate the effect of preservative treatment of strands on the properties of oriented strand board (OSB) made from Paraserianthes falcataria, Maesopsis eminii and Acacia mangium strands. Prior to OSB manufacturing, strands were treated with chromium copper boron (CCB) soaking with concentration of 2% for 6 h. Three (3) layers OSB bonded with 7% of methylene diphenyl isocyanate (MDI) resin were produced with the core layer orientation perpendicular to the face and back layers. The results indicated that soaking strand with CCB significantly decreased the water absorption (WA) and thickness swelling (TS) values of OSB after immersed in water for 24 hours. Preservative treatment significantly decreased the mechanical properties of OSB (modulus of rupture/MOR parallel, modulus of elasticity/MOE parallel and internal bond/IB). Almost all board met the requirement of CSA 0437.0 standard for grade O-1 OSB panels, except board made from P. falcataria treated with preservative which did not achieve the requirement of TS, MOE in parallel direction, and IB. Preservative treatment strongly affected the durability of OSB. Soaking strand with CCB increased the resistance of OSB against termites attack 13.0 times higher than control board.",['SD'],"Physical, Mechanical, and Durability Properties of OSB Prepared from CCB Treated Fast Growing Tree Species Strands",http://www.mapeki.org/jitkt/,show,7,11.0,article,"chromium copper boron, fast growing tree species, methylene diphenyl isocyanate, oriented strand board.",['FP5'],"[{'name': {'given': 'Wahyu', 'lineage': None, 'family': 'Hidayat', 'honourific': None}, 'id': 'wahyu.hidayat@fp.unila.ac.id'}, {'name': {'given': 'Anne', 'family': 'Carolina', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'given': 'Fauzi', 'honourific': None, 'family': 'Febrianto', 'lineage': None}, 'id': None}]",1693-3834,Jurnal  Ilmu dan Teknologi Kayu Tropis,disk0/00/00/09/40,2013-01-01 00:00:00.000000000,2016-10-27 02:32:26,144,2016-10-27 02:32:26,55-61,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/833', 'rev_number': 2, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/5933', 'objectid': 833, 'filesize': 286709, 'datasetid': 'document', 'mtime': '2016-10-26 05:19:47', 'hash_type': 'MD5', 'hash': '600109f98f9bc3b7a0f61aedda166e60', 'filename': 'Wahyu Hidayat-Physical, Mechanical, and Durability Properties of OSB Prepared from CCB Treated fast Growing Tree Species Strands.pdf', 'fileid': 5933, 'mime_type': 'application/pdf'}], 'docid': 833, 'main': 'Wahyu Hidayat-Physical, Mechanical, and Durability Properties of OSB Prepared from CCB Treated fast Growing Tree Species Strands.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 940}]",Masyarakat Peneliti Kayu Indonesia,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/940,,,,,,,,
5,22974,published,"[{'type': 'pub', 'url': 'http://ejournalmapeki.org/index.php/JITKT/article/view/104'}]",archive,2020-07-06 01:49:23,"Lembar Hasil Penilaian Sejawat Sebidang/ Peer Review 
Karya Ilmiah: Jurnal Ilmiah Nasional","['S1', 'SD']","Physical, Mechanical, and Durability Properties of OSB Prepared from CCB Treated Fast Growing Tree Species Strands",http://ejournalmapeki.org/index.php/JITKT,show,9,11.0,article,,['FP5'],"[{'name': {'given': 'Wahyu', 'lineage': None, 'honourific': None, 'family': 'Hidayat'}, 'id': 'wahyu.hidayat@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Anne', 'lineage': None, 'honourific': None, 'family': 'Carolina'}}, {'name': {'honourific': None, 'family': 'Febrianto', 'lineage': None, 'given': 'Fauzi'}, 'id': None}]",1693-3834,Jurnal Ilmu dan Teknologi Kayu Tropis,disk0/00/02/29/74,2013-01-01 00:00:00.000000000,2020-07-06 01:49:23,144,2020-07-06 01:49:23,55-61,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/36519', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/210634', 'objectid': 36519, 'mtime': '2020-07-01 16:28:33', 'hash_type': 'MD5', 'filename': 'J. Nasional - Physical, Mechanical, and Durability .pdf', 'hash': '602d85fd0ce2df4db9ae8c20fbaf11f5', 'fileid': 210634, 'mime_type': 'application/pdf', 'filesize': 1490881, 'datasetid': 'document'}], 'main': 'J. Nasional - Physical, Mechanical, and Durability .pdf', 'docid': 36519, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 22974}]",Masyarakat Peneliti Kayu Indonesia,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/22974,,,,,,,,
6,42066,published,,archive,2022-06-03 01:21:05,"Lutung Jawa (Trachypithecus auratus) merupakan salah satu primata endemik Pulau Jawa 
yang berstatus rentan dan termasuk salah satu jenis satwa yang terdaftar dalam Appendiks II 
dokumen CITES (dibatasi perdagangannya). Penelitian ini dilakukan untuk mengetahui 
perilaku makan lutung Jawa dan keragaman vegetasi pakan dari lutung Jawa agar bisa 
menekan penurunan populasi lutung Jawa di alam liar yang diakibatkan oleh perusakan 
habitat. Penelitian dilakukan pada bulan Maret-April 2012 di Situ Sangiang Taman Nasional 
Gunung Ciremai, Kabupaten Majalengka, Provinsi Jawa Barat. Metode yang digunakan 
adalah scan animal sampling untuk mengetahui perilaku makan dan purposive sampling 
untuk mengetahui keragaman vegetasi pakan. Hasil yang didapat waktu makan lutung Jawa
adalah pada kisaran pukul 07.00-11.00; 13.00-14.00; dan15.00-17.00, tempat lutung makan 
adalah di strata atas pohon (>15 meter), jenis yang sering dimakan adalah jenis haripingku
(Dysoxylum densiflorum). Jenis tumbuhan pakan yang lain adalah hantap (Sterculia 
oblongata), kigambir (Uncaria gambir), nangsi (Villebrunea rubescens), kiara (Ficus 
globosa), hamirung (Vernonea arborea), mara (Macaranga tanarius), tisuk (Hibiscus 
macrophyllus), kiara koneng (Ficus annulata Bl.), mahoni (Swietenia mahagoni), saninten 
(Castanopsis argentea), dan nunuk (*tidak teridentifikasi).
Kata kunci : lutung Jawa, perilaku makan, Taman Nasional Gunung Ciremai",['SD'],"STUDI PERILAKU MAKAN DAN ANALISIS VEGETASI PAKAN LUTUNG JAWA 
(Trachypithecus auratus) DI TAMAN NASIONAL GUNUNG CIREMAI",http://dx.doi.org/10.23960/jsl1117-22,show,6,1.0,article,,['FP5'],"[{'name': {'given': 'Iqbal Amiruddin', 'family': 'Ihsanu', 'honourific': None, 'lineage': None}, 'id': 'iqbal_ihsan91@yahoo.com'}, {'id': 'aslulila@yahoo.com', 'name': {'lineage': None, 'family': 'Setiawan', 'honourific': None, 'given': 'Agus'}}, {'id': 'ely.jazdzyk@yahoo.com', 'name': {'honourific': None, 'family': 'Rustiati', 'lineage': None, 'given': 'Elly L.'}}]",2339-0913,Sylva Lestari,disk0/00/04/20/66,2013-09-01 00:00:00.000000000,2022-06-03 01:21:05,826,2022-06-03 01:21:05,17-22,"[{'security': 'public', 'placement': 1, 'eprintid': 42066, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'hash': '3abc49beb6f19163891d02f01830dc4c', 'filename': 'Studi Perilaku Makan Dan Analisis Vegetasi Pakan Lutung Jawa.pdf', 'mtime': '2022-06-02 22:52:14', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 463856, 'filesize': 115896, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/463856', 'objectid': 163764}], 'docid': 163764, 'main': 'Studi Perilaku Makan Dan Analisis Vegetasi Pakan Lutung Jawa.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163764', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Jurusan Kehutanan FP Unila,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/42066,Vol. 1 No. 1. September 2013 (17—22),,,,,,,
7,39870,published,[{'url': 'http://repository.lppm.unila.ac.id/cgi/users/home?screen=EPrint::Edit&eprintid=39870&stage=core#t'}],archive,2022-03-01 07:28:41,"Lutung Jawa (Trachypithecus auratus) merupakan salah satu primata endemik Pulau Jawa yang berstatus rentan dan termasuk salah satu jenis satwa yang terdaftar dalam Appendiks II dokumen CITES (dibatasi perdagangannya). Penelitian ini dilakukan untuk mengetahui perilaku makan lutung Jawa dan keragaman vegetasi pakan dari lutung Jawa agar bisa menekan penurunan populasi lutung Jawa di alam liar yang diakibatkan oleh perusakan habitat. Penelitian dilakukan pada bulan Maret-April 2012 di Situ Sangiang Taman Nasional Gunung Ciremai, Kabupaten Majalengka, Provinsi Jawa Barat. Metode yang digunakan adalah scan animal sampling untuk mengetahui perilaku makan dan purposive sampling
untuk mengetahui keragaman vegetasi pakan. Hasil yang didapat waktu makan lutung Jawa adalah pada kisaran pukul 07.00-11.00; 13.00-14.00; dan15.00-17.00, tempat lutung makan adalah di strata atas pohon (>15 meter), jenis yang sering dimakan adalah jenis haripingku (Dysoxylum densiflorum). Jenis tumbuhan pakan yang lain adalah hantap (Sterculia oblongata), kigambir (Uncaria gambir), nangsi (Villebrunea rubescens), kiara (Ficus globosa), hamirung (Vernonea arborea), mara (Macaranga tanarius), tisuk (Hibiscus macrophyllus), kiara koneng (Ficus annulata Bl.), mahoni (Swietenia mahagoni), saninten (Castanopsis argentea), dan nunuk (*tidak teridentifikasi).",['SD'],"STUDI PERILAKU MAKAN DAN ANALISIS VEGETASI PAKAN LUTUNG JAWA
(Trachypithecus auratus) DI TAMAN NASIONAL GUNUNG CIREMAI",https://doi.org/10.23960/jsl1117-22,show,6,1.0,article,,['FP5'],"[{'name': {'family': 'Iqbal Amiruddin Ihsanu', 'honourific': None, 'lineage': None, 'given': 'Iqbal'}, 'id': 'iqbal_ihsan91@yahoo.com'}, {'id': 'aslulila@yahoo.com', 'name': {'lineage': None, 'family': 'Agus Setiawan', 'honourific': None, 'given': 'Agus'}}, {'name': {'family': 'Elly Lestari Rustiati', 'honourific': None, 'lineage': None, 'given': 'Elly'}, 'id': None}]",ISSN 2549-5747,Jurnal Sylva Lestari,disk0/00/03/98/70,2013-09-01 00:00:00.000000000,2022-03-01 07:28:41,826,2022-03-01 07:28:41,17-22,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161152', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/446699', 'objectid': 161152, 'hash': '3abc49beb6f19163891d02f01830dc4c', 'filename': 'Studi Perilaku Makan Dan Analisis Vegetasi Pakan Lutung Jawa.pdf', 'mtime': '2022-03-01 04:32:32', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 446699, 'filesize': 115896, 'datasetid': 'document'}], 'docid': 161152, 'main': 'Studi Perilaku Makan Dan Analisis Vegetasi Pakan Lutung Jawa.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 39870}]",Universitas Lampung,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/39870,Vol. 1 No. 1. September 2013 (17—22),,,,,,,
8,938,published,"[{'type': 'pub', 'url': 'http://jurnal.fp.unila.ac.id/index.php/JHT/article/view/289'}]",archive,2016-10-27 02:32:22,"Honey consumption in Indonesia 10 gr/capital/year, nevertheleses the honey production only 3 gr/capital/year (Murtidjo, 2011). Due to the highest demand of honey so it is needed honey bee entrerprises. The purpose of this research was to know on financial feasibility of the Apis cerana Fabr. honey bee enterprises. The research was conducted at Sub Village Sidomukti Village Buana Sakti Sub District Batanghari East Lampung on March -- April 2012 used method interview with questionnaires and observation directly used R/C Ratio and BEP (Break Event Point). The results showed that the Apis Cerana Fabr. honey bee enterprises in Sub Village Sidomukti using stup and glodok (traditional stup). Based on economic life stup and glodok for two years so financially viable honey bee enterprises performed using stup media with the value of R/C ratio> 1 is 1,616 with number to be produced to reach the break event point were 75 stup or at price Rp Rp 174.807,94/stup so the honey bee farmers will get benefit of Apis cerana Fabr. honey bee enterprises.",['SD'],Financial Analysis of Honey Bee (Apis cerana Fabr.) Enterprises at Sub Village Sidomukti Village Buana Sakti Sub District Batanghari East Lampung,http://jurnal.fp.unila.ac.id/index.php/JHT,show,7,1.0,article,"Apis cerana Fabr., financial analysis, honeybee.",['FP5'],"[{'name': {'given': 'Nurpine', 'lineage': None, 'honourific': None, 'family': 'Nadeak'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Qurniati', 'honourific': None, 'given': 'Rommy'}}, {'name': {'given': 'Wahyu', 'lineage': None, 'family': 'Hidayat', 'honourific': None}, 'id': 'wahyu.hidayat@fp.unila.ac.id'}]",2339-0913,Sylva Lestari,disk0/00/00/09/38,2013-09-01 00:00:00.000000000,2016-10-27 02:32:22,144,2016-10-27 02:32:22,65-74,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/5919', 'objectid': 831, 'filesize': 2449159, 'datasetid': 'document', 'filename': 'Wahyu Hidayat-Financial analysis of agroforestri cropping patterns in Pesawaran Indah Village Padang Cermin Sub District Pesawaran District Lampung.pdf', 'hash': 'd0462124a5170b1dcb8555e97aed22d9', 'mtime': '2016-10-26 05:05:06', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 5919}], 'docid': 831, 'main': 'Wahyu Hidayat-Financial analysis of agroforestri cropping patterns in Pesawaran Indah Village Padang Cermin Sub District Pesawaran District Lampung.pdf', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/831', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 938, 'mime_type': 'application/pdf', 'language': 'en'}]",Jurusan Kehutanan Fakultas Pertanian Universitas Lampung,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/938,,,,,,,,
9,22973,published,"[{'type': 'pub', 'url': 'https://jurnal.fp.unila.ac.id/index.php/JHT/article/view/288'}]",archive,2020-07-06 01:49:14,"Lembar Hasil Penilaian Sejawat Sebidang/ Peer Review 
Karya Ilmiah: Jurnal Ilmiah Nasional","['S1', 'SD']",Manajemen Penangkaran Lebah Madu (Apis cerana Fabr.) di Desa Buana Sakti Kecamatan Batanghari Kabupaten Lampung Timur,http://jurnal.fp.unila.ac.id/index.php/JHT,show,9,1.0,article,,['FP5'],"[{'name': {'given': 'Apriyanita Pitri', 'lineage': None, 'honourific': None, 'family': 'Ningrum'}, 'id': None}, {'name': {'family': 'Hilmanto', 'honourific': None, 'lineage': None, 'given': 'Rudi'}, 'id': 'rudi.hilmanto@fp.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hidayat', 'given': 'Wahyu'}, 'id': 'wahyu.hidayat@fp.unila.ac.id'}]",ISSN 2339-0913,Jurnal Sylva Lestari,disk0/00/02/29/73,2013-01-01 00:00:00.000000000,2020-07-06 01:49:14,144,2020-07-06 01:49:14,23-28,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 22973, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36518', 'rev_number': 1, 'main': 'J. Nasional - Manajemen Penangkaran.pdf', 'docid': 36518, 'files': [{'datasetid': 'document', 'filesize': 1468325, 'mime_type': 'application/pdf', 'fileid': 210630, 'hash': 'e9db1dd3698cc5e40eae1d7335d99626', 'filename': 'J. Nasional - Manajemen Penangkaran.pdf', 'hash_type': 'MD5', 'mtime': '2020-07-01 16:26:53', 'objectid': 36518, 'uri': 'http://repository.lppm.unila.ac.id/id/file/210630'}]}]",Universitas Lampung,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/22973,10.23960/jsl1123-28,,,,,,,
