,date_type,eprintid,metadata_visibility,volume,rev_number,official_url,title,abstract,subjects,related_url,status_changed,eprint_status,id_number,date,dir,issn,creators,publication,divisions,type,refereed,full_text_status,uri,publisher,documents,number,ispublished,pagerange,datestamp,lastmod,userid,place_of_pub,corp_creators,editors,book_title,pages,isbn,monograph_type,pres_type,event_dates,event_type,event_location,event_title
0,published,51155,show,11.0,8,https://sylvalestari.fp.unila.ac.id/index.php/JHT/article/view/647,Influence of Puspa Wood and Coconut Trunk Combination on the Characteristics of Cross-Laminated Timber Bonded with Polyurethane Adhesive,"The purpose of this study was to evaluate the characteristic of cross-laminated timber (CLT) made from puspa (Schima wallichii) wood, coconut (Cocos nucifera) trunk, and their combination using a polyurethane (PU) adhesive. The manufacturing of CLT begins with the characterization of the adhesive and wood materials used in this study. The CLT panels are made with dimensions of 100 cm × 30 cm × 3.6 cm. The laminate was organized into three layers with the face/core/back, namely puspa wood (PPP), coconut trunk (CCC), and their combination (PCP and CPC), perpendicular to each other using polyurethane adhesive with a glue spread of 160 g.m-2. The physical and mechanical properties of the CLT were assessed according to the JAS 3079 (2019) standard. The results showed that the polyurethane adhesive used in this study could cure optimally at a temperature of 30°C for 200 minutes. Puspa wood and coconut trunk had different physical and chemical properties but had similar wettability to polyurethane adhesives. The physical and mechanical characteristics of coconut CLT were better than puspa CLT. Based on the overall test results, the puspa hybrid CLT is better than the single wood species of the CLT. In contrast to coconut hybrid CLT, the single CLT of CCC was better than its hybrid CLT.

Keywords: Coconut trunk, cross-laminated timber, layer combination, polyurethane adhesive, puspa wood","['S1', 'SD']","[{'url': 'https://sylvalestari.fp.unila.ac.id/index.php/JHT/article/view/647', 'type': 'pub'}]",2023-05-08 02:05:54,archive,10.23960/jsl.v11i1.647,2023-01-01 00:00:00.000000000,disk0_bak/00/05/11/55,2549-5747,"[{'name': {'given': 'Siti', 'lineage': None, 'honourific': None, 'family': 'Aisyah'}, 'id': None}, {'name': {'given': 'Yusuf Sudo', 'family': 'Hadi', 'honourific': None, 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'Muhammad Adly Rahandi', 'lineage': None, 'honourific': None, 'family': 'Lubis'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Baskara', 'given': 'Muhammad Iqbal Adi'}, 'id': None}, {'name': {'given': 'Rita Kartika', 'family': 'Sari', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'wahyu.hidayat@fp.unila.ac.id', 'name': {'given': 'Wahyu', 'lineage': None, 'family': 'Hidayat', 'honourific': None}}]",Jurnal Sylva Lestari,['FP5'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/51155,"Department of Forestry, Faculty of Agriculture, University of Lampung","[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51155, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190877', 'rev_number': 1, 'main': '2023_Influence of Puspa Wood and Coconut Trunk Combination.pdf', 'docid': 190877, 'files': [{'mime_type': 'application/pdf', 'fileid': 549825, 'hash': '8ff0feb4057c06ea242614e4696531df', 'filename': '2023_Influence of Puspa Wood and Coconut Trunk Combination.pdf', 'mtime': '2023-05-07 03:24:07', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 2079672, 'objectid': 190877, 'uri': 'http://repository.lppm.unila.ac.id/id/file/549825'}]}]",1.0,pub,136-162,2023-05-08 02:05:54,2023-05-08 02:05:54,144,,,,,,,,,,,,
1,published,51162,show,18.0,8,https://www.iieta.org/journals/ijdne/paper/10.18280/ijdne.180218,Production and Characterization of Bio-Briquettes from the Cassava Stems and Bamboo Charcoal Bonded with Organic Adhesive,"This study aimed to determine the effects of a materials combination used by the waste biomass of bamboo and cassava stem mixed with a tapioca adhesive on the quality of charcoal briquettes. The briquettes were made with a combination of the raw materials between the cassava stem and bamboo of 75%:25%, 50%:50%, and 25%:75%. Then, the used charcoal materials were mixed with three tapioca concentrations of 8%, 10%, and 12%. The characteristics of the charcoal briquettes, such as density, moisture content, shatter resistance index, calorific value, combustion rate, and compressive strength were observed. The charcoal briquettes with a high percentage of bamboo combination showed to increase the calorific value and the compressive strength but decreased the rate of combustion. In contrast, the low concentration of tapioca glue increased the density, compressive strength, and shatter resistance index but decreased the combustion rate. It was revealed that the used material combination and the adhesive content affected various properties of charcoal briquettes. Therefore, it can be suggested that the materials combination of bamboo and cassava stems waste can be utilized for making briquettes with a low percentage of tapioca adhesive.","['S1', 'SD']","[{'type': 'pub', 'url': 'https://www.iieta.org/journals/ijdne/paper/10.18280/ijdne.180218'}]",2023-05-08 02:06:31,archive,10.18280/ijdne.180218,2023-04-01 00:00:00.000000000,disk0_bak/00/05/11/62,1755-7437,"[{'id': 'Shandiasmara@yahoo.com', 'name': {'given': 'Sandi', 'lineage': None, 'family': 'Asmara', 'honourific': None}}, {'id': None, 'name': {'given': 'Tamrin', 'lineage': None, 'family': 'Tamrin', 'honourific': None}}, {'id': None, 'name': {'given': 'Fijriani Juli Kartika', 'lineage': None, 'honourific': None, 'family': 'Purba'}}, {'id': None, 'name': {'lineage': None, 'family': 'Suri', 'honourific': None, 'given': 'Intan Fajar'}}, {'id': 'wahyu.hidayat@fp.unila.ac.id', 'name': {'family': 'Hidayat', 'honourific': None, 'lineage': None, 'given': 'Wahyu'}}]",International Journal of Design and Nature and Ecodynamics,['FP5'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/51162,International Information and Engineering Technology Association (IIETA),"[{'docid': 190884, 'main': '2023_Production and Characterization of Bio-Briquettes from the Cassava Stems and Bamboo.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/549887', 'objectid': 190884, 'hash_type': 'MD5', 'mtime': '2023-05-07 04:07:01', 'filename': '2023_Production and Characterization of Bio-Briquettes from the Cassava Stems and Bamboo.pdf', 'hash': 'b7a825d07a2454e94c0ca8caabdd853e', 'fileid': 549887, 'mime_type': 'application/pdf', 'filesize': 1170827, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190884', 'eprintid': 51162, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",2.0,pub,407-413,2023-05-08 02:06:31,2023-05-08 02:06:31,144,,,,,,,,,,,,
2,completed,52134,show,,10,,Bukti Menerima Hibah Penelitian Total Rp100 juta lebih,Kontrak Skema Penelitian Multisdisiplin 2022 dan Penelitian Pascasarjana 2021  Samsul Bakri,"['GE', 'H1', 'RA', 'SD']",,2023-06-13 03:13:02,archive,,1970-01-01 00:00:00.000002023,disk0_bak/00/05/21/34,,"[{'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'given': 'Samsul', 'honourific': None, 'family': 'Bakri', 'lineage': None}}]",,['FP5'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/52134,LPPM Unila,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/252285', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 252285, 'uri': 'http://repository.lppm.unila.ac.id/id/file/617717', 'datasetid': 'document', 'filesize': 3022678, 'mime_type': 'application/pdf', 'fileid': 617717, 'filename': 'SUMMARY BUKTI 2 KONTRAK PENELITIAN_compressed.pdf', 'hash': '49351d56d8679292c67c203065fed43b', 'hash_type': 'MD5', 'mtime': '2023-06-13 02:48:22'}], 'docid': 252285, 'main': 'SUMMARY BUKTI 2 KONTRAK PENELITIAN_compressed.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 52134}]",,unpub,,2023-06-13 03:13:02,2023-06-13 03:13:02,753,,,,,,,,,,,,
3,published,50889,show,14.0,7,https://www.pnrjournal.com/index.php/home/issue/view/35,A Simple Model To Estimate Carbon Stock Based On River Discharge: Supporting The Next Implementation Of Redd+ In Indonesia Under Paris Agreement Regime,"Land covers is the main determinant of river discharge rate of a watershed. The land cover, on the other hand, also contain the carbon stock accumulated above ground over watershed. This relation is very useful in carbon stock monitoring to support Paris Agreement implementation especially for tropical countries where the MRV activities are commonly very expensive. In this research the ordinary least square models were employed at significant level of 95%. First model was the river discharge, [YD], as the function of rainfall [RAIN] (mm/year) and the acreage of land covers area (ha) namely the forest [FREST], shrub [SRHB], plantation [PLNT], up land crop [UPLND], mix farming [MIXFM], and settlement [SETL]. The second model was to express the carbon stock [YC] (ton/ha) as the function of the [YD]. Data series of [RAIN], [YD] and lands covers of 2011, 2014, 2017 covering 3 watershed (Way Pengubuan, Way Bulok, and Way Besai) lies at Lampung Province, Republic of Indonesia. We employed Minitab 16 for parameter model estimation. The simple models achieved for river discharge was [YD]i=13,612.00 +0.1192[RAIN]I -238,00[FREST]i-129,08[SRHB]i-107.46[PLNT]i-184.16[SETL]i-131.08[UPLND]i-30.97[MIXFM]i-127.01[PADY]i with P=0.000 and R.Sq (adjt) =96.6%; and the carbon stock expressed by [Yc]i=17.2237 - 0.0212 [YD]i with P=0.0006 and the Rsq(adjt)= 0.5283",['SD'],,2023-05-02 01:42:56,archive,DOI: 10.47750/pnr.2023.14.02.179,2023-02-01 00:00:00.000000000,disk0_bak/00/05/08/89,"09769234, 22297723","[{'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'given': 'Samsul', 'honourific': None, 'family': 'Bakri', 'lineage': None}}, {'id': None, 'name': {'given': 'Dian', 'lineage': None, 'honourific': None, 'family': 'Aprianto'}}, {'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'family': 'Abidin', 'honourific': None, 'lineage': None, 'given': 'Zainal'}}, {'id': 'sbyuwono_unila@yahoo.com', 'name': {'family': 'Yuwono', 'honourific': None, 'lineage': None, 'given': 'Slamet Budi'}}, {'name': {'given': 'Melya', 'family': 'Riniarti', 'honourific': None, 'lineage': None}, 'id': 'melya.riniarti@fp.unila.ac.id'}, {'id': 'hari.kaskoyo@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Kaskoyo', 'given': 'Hari'}}, {'name': {'lineage': None, 'family': 'Artika', 'honourific': None, 'given': 'Emi'}, 'id': None}]",Journal of Pharmaceutical Negative Results,['FP5'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/50889,Walter Kluwer Mediknow Publications,"[{'files': [{'objectid': 190603, 'uri': 'http://repository.lppm.unila.ac.id/id/file/547804', 'datasetid': 'document', 'filesize': 320156, 'mime_type': 'application/pdf', 'fileid': 547804, 'hash': '445251070db7385b41ce86e100118d4a', 'filename': 'Simple model samsul dkk 2023.pdf', 'mtime': '2023-05-01 10:12:33', 'hash_type': 'MD5'}], 'main': 'Simple model samsul dkk 2023.pdf', 'docid': 190603, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190603', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 50889, 'language': 'en', 'mime_type': 'application/pdf'}]",2.0,pub,1404-1416,2023-05-02 01:42:56,2023-05-02 01:42:56,933,,,,,,,,,,,,
4,completed,48542,show,,10,,"7% SIMILARITY OF PAPER ENTITLE ""SIMPLE MODEL...""","ONLY 7% SIMILARITY OF PAPER ENTITLE ""SIMPLE MODEL...""","['GB', 'GE', 'SD']",,2023-02-24 02:43:09,archive,,1970-01-01 00:00:00.000002023,disk0_bak/00/04/85/42,,"[{'name': {'lineage': None, 'family': 'Bakri', 'honourific': None, 'given': 'Samsul'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'given': 'Dian', 'honourific': None, 'family': 'Aprianto', 'lineage': None}, 'id': None}, {'id': 'sbyuwono_unila@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Yuwono', 'given': 'Slamet Budi'}}, {'name': {'lineage': None, 'family': 'Riniarti', 'honourific': None, 'given': 'Melya'}, 'id': 'melya.riniarti@fp.unila.ac.id'}, {'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Kaskoyo', 'honourific': None, 'given': 'Hari'}, 'id': 'hari.kaskoyo@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Emi', 'honourific': None, 'family': 'Artika', 'lineage': None}}]",,['FP5'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/48542,"Association of Indian pharmacist-AIP, Published by ResearchTrentz","[{'security': 'public', 'placement': 1, 'eprintid': 48542, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'hash_type': 'MD5', 'mtime': '2023-02-23 15:40:50', 'filename': 'Samsul Bakri SIMILIRATY.pdf', 'hash': '9eb33b1226f6a345ca4e7aaa870ed524', 'fileid': 529433, 'mime_type': 'application/pdf', 'filesize': 364302, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/529433', 'objectid': 187842}], 'main': 'Samsul Bakri SIMILIRATY.pdf', 'docid': 187842, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187842', 'format': 'text', 'pos': 1}]",,unpub,,2023-02-24 02:43:09,2023-02-24 02:43:09,753,,,,,,,,,,,,
5,completed,48544,show,,8,,"7% Similarity paper berjudul: ""Simple Model...""",Abstract,['SD'],,2023-02-24 02:43:14,archive,,1970-01-01 00:00:00.000002023,disk0_bak/00/04/85/44,,"[{'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Bakri', 'honourific': None, 'given': 'Samsul'}}, {'name': {'given': 'Dian', 'family': 'Aprianto', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Yuwono', 'lineage': None, 'given': 'Slamet Budi'}, 'id': 'sbyuwono_unila@yahoo.com'}, {'id': 'melya.riniarti@fp.unila.ac.id', 'name': {'given': 'Melya', 'lineage': None, 'honourific': None, 'family': 'Riniarti'}}, {'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'honourific': None, 'family': 'Abidin'}}, {'name': {'given': 'Hari', 'lineage': None, 'honourific': None, 'family': 'Kaskoyo'}, 'id': 'hari.kaskoyo@fp.unila.ac.id'}, {'name': {'given': 'Emi', 'lineage': None, 'family': 'Artika', 'honourific': None}, 'id': None}]",,['FP5'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/48544,LPPM Unila,"[{'main': 'Samsul Bakri SIMILIRATY.pdf', 'docid': 187844, 'files': [{'objectid': 187844, 'uri': 'http://repository.lppm.unila.ac.id/id/file/529451', 'datasetid': 'document', 'filesize': 364302, 'fileid': 529451, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-02-23 16:48:06', 'hash': '9eb33b1226f6a345ca4e7aaa870ed524', 'filename': 'Samsul Bakri SIMILIRATY.pdf'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187844', 'eprintid': 48544, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,unpub,,2023-02-24 02:43:14,2023-02-24 02:43:14,753,,,,,,,,,,,,
6,completed,48543,show,,8,,"Bukti Korespondensi Paper Berjudul ""Simple Model...""",Abstract,['SD'],,2023-02-24 02:43:11,archive,,2023-01-01 00:00:00.000000000,disk0_bak/00/04/85/43,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Bakri', 'given': 'Samsul'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'family': 'Aprianto', 'honourific': None, 'lineage': None, 'given': 'Dian'}, 'id': None}, {'id': 'sbyuwono_unila@yahoo.com', 'name': {'given': 'Slamet Budi', 'honourific': None, 'family': 'Yuwono', 'lineage': None}}, {'name': {'given': 'Melya', 'lineage': None, 'family': 'Riniarti', 'honourific': None}, 'id': 'melya.riniarti@fp.unila.ac.id'}, {'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}, {'id': 'hari.kaskoyo@fp.unila.ac.id', 'name': {'given': 'Hari', 'lineage': None, 'honourific': None, 'family': 'Kaskoyo'}}, {'name': {'lineage': None, 'family': 'Artika', 'honourific': None, 'given': 'Emi'}, 'id': None}]",,['FP5'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/48543,LPPM Unila,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/187843', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 570471, 'mime_type': 'application/pdf', 'fileid': 529443, 'filename': 'BUKTI KORESPONDENSI SIMPLE MODEL.pdf', 'hash': '6ad45bf047b4e828942c18d665372ecd', 'hash_type': 'MD5', 'mtime': '2023-02-23 16:40:38', 'objectid': 187843, 'uri': 'http://repository.lppm.unila.ac.id/id/file/529443'}], 'docid': 187843, 'main': 'BUKTI KORESPONDENSI SIMPLE MODEL.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 48543}]",,unpub,,2023-02-24 02:43:11,2023-02-24 02:43:11,753,,,,,,,,,,,,
7,,52045,show,,10,,7% Similarity,"Paper entitel ""Measuring the Sustainability of Ecotourism...""","['G1', 'GC', 'SD']",,2023-05-29 01:33:15,archive,,2023-05-01 00:00:00.000000000,disk0_bak/00/05/20/45,,"[{'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'given': 'Samsul', 'lineage': None, 'honourific': None, 'family': 'Bakri'}}, {'name': {'family': 'Buchari', 'honourific': None, 'lineage': None, 'given': 'Henrie'}, 'id': 'henrie.buchari@fp.unila.ac.id'}, {'id': 'endang.linirin@fmipa.unila.ac.id', 'name': {'family': 'Widiastuti', 'honourific': None, 'lineage': None, 'given': 'Endang Linirin'}}, {'id': None, 'name': {'given': 'parjito', 'family': 'Parjito', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Sitorus', 'lineage': None, 'given': 'Siti Herwati'}}]",,['FP5'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/52045,Horizon Research Publishing Company,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251826', 'rev_number': 1, 'main': '7% Similarity_Mesaruring the Sustainability.pdf', 'docid': 251826, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/616667', 'objectid': 251826, 'hash_type': 'MD5', 'mtime': '2023-05-28 14:40:53', 'hash': 'a16508fe9c14ecc5f92f9f3773d481d3', 'filename': '7% Similarity_Mesaruring the Sustainability.pdf', 'fileid': 616667, 'mime_type': 'application/pdf', 'filesize': 165407, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 52045, 'security': 'public', 'placement': 1}]",,pub,,2023-05-29 01:33:15,2023-05-29 01:33:15,753,,,,,,,,,,,,
8,published,48917,show,,8,,"8% Similarity of paper entitel ""Water polution and Water Qulaity...""","he Way Kuripan River is an important water resource in Bandar Lampung City. However,
its quality deteriorates continuously due to land use change accompanied by housing expansion and
open areas. This study aims at analyzing its water quality and pollution level based on the present
land-use zoning. Three zones are determined based on the dominant land use covering the riverbank
sides. Water sampling was carried out at nine settling points (3 samples per zone) to measure the level of
BOD5, COD, TSS, Escherichia coli contends, and also Pollution Index (PI), as well as the Biodegradable
Index (BI). The results showed that the water has been experiencing pollution for grade-C river overall
data. However, based on the zoning, all of the parameters of the upstream sides are below quality
standard (QS), while at the middle stream, the BOD5 has exceeded QS (21.9-26.4 mg/L), whereas
at the downstream, the parameters of BOD5, COD, and Escherichia coli have exceeded from the QS.
The PI and BI values indicated moderately polluted downstream, with the average biodegradable.
For this reason, paying attention to land use change is important to assess the level of river pollution.
The study results also found that organic matter from domestic is the primary pollutant of the river.
Therefore controlling the upstream in accordance with regional spatial planning regulations and
followed by a conservation movement as well as change people’s behavior to be more caring about
environmental management for catchment areas are the urgent actions for restoring and improving
the river water quality.","['GE', 'SD']",,2023-03-13 03:21:02,archive,,2023-01-16 00:00:00.000000000,disk0_bak/00/04/89/17,,"[{'name': {'given': 'Samsul', 'honourific': None, 'family': 'Bakri', 'lineage': None}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Yushananta', 'lineage': None, 'given': 'Prayudhy'}, 'id': ': prayudhiyushananta@poltekkes-tjk.ac.id'}]",,['FP5'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/48917,Hard Publisher,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 48917, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188358', 'rev_number': 1, 'docid': 188358, 'main': 'similarity Water Polution pdf-153432-87896(2).pdf', 'files': [{'objectid': 188358, 'uri': 'http://repository.lppm.unila.ac.id/id/file/532385', 'datasetid': 'document', 'filesize': 5586849, 'fileid': 532385, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-03-12 10:25:38', 'hash': '2aa65f8c9e47230b4cc94ebc2aacb26c', 'filename': 'similarity Water Polution pdf-153432-87896(2).pdf'}]}]",,pub,,2023-03-13 03:21:02,2023-03-13 03:21:02,753,,,,,,,,,,,,
9,published,48578,show,,8,"http://www.pjoes.com/Water-Pollution-and-Water-Quality-Assessment-nof-the-Way-Kuripan-River-in-Bandar,153432,0,2.html",PJOES_Water Quality_Bakri_Yushananta,8% Similarity_PJOES_Water Quality_Bakri_Yushananta,"['GE', 'SD']",,2023-02-27 01:02:15,archive,10.15244/pjoes/153432,2023-01-16 00:00:00.000000000,disk0_bak/00/04/85/78,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Bakri', 'given': 'Samsul'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'family': 'Yushananta', 'honourific': None, 'lineage': None, 'given': 'Prayudhy'}, 'id': ': prayudhiyushananta@poltekkes-tjk.ac.id'}]",,['FP5'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/48578,HARD,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187888', 'docid': 187888, 'main': 'SIMILARITY pdf-153432-87896(2).pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/529684', 'objectid': 187888, 'filesize': 5586849, 'datasetid': 'document', 'filename': 'SIMILARITY pdf-153432-87896(2).pdf', 'hash': '2aa65f8c9e47230b4cc94ebc2aacb26c', 'mtime': '2023-02-26 00:02:44', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 529684}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 48578, 'security': 'public', 'placement': 1}]",,pub,,2023-02-27 01:02:15,2023-02-27 01:02:15,753,Polandia,,,,,,,,,,,
