,date_type,eprintid,rev_number,metadata_visibility,title,subjects,status_changed,eprint_status,dir,date,creators,divisions,type,full_text_status,uri,ispublished,publisher,documents,datestamp,lastmod,userid,pagerange,refereed,pres_type,event_title,abstract,event_type,official_url,event_location,event_dates,publication,contributors,corp_creators,issn,volume
0,published,49703,8,show,"ANALISIS PERUBAHAN SIFAT FISIKA BATUAN RESERVOAR TERHADAP 
ALIRAN PANAS BUMI UNTUK MENENTUKAN LAPISAN GAS BUMI DI 
DAERAH ‘X’ SUMATERA SELATAN","['Q1', 'QE']",2023-04-06 00:53:42,archive,disk0_bak/00/04/97/03,1970-01-01 00:00:00.000002009,"[{'name': {'given': 'Ordas', 'lineage': None, 'honourific': None, 'family': 'Dewanto'}, 'id': 'ordas.dewanto@eng.unila.ac.id'}]",['FT1'],other,public,http://repository.lppm.unila.ac.id/id/eprint/49703,pub,"Lembaga Penelitian dan Pengabdian Kepada Masyarakat, Universitas Lampung","[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189341', 'rev_number': 1, 'main': 'UNDANGAN DAN SERTIFIKAT, ANALISIS PERUBAHAN SIFAT FISIKA BATUAN RESERVOAR TERHADAP  (09).pdf', 'docid': 189341, 'files': [{'objectid': 189341, 'uri': 'http://repository.lppm.unila.ac.id/id/file/538663', 'fileid': 538663, 'mime_type': 'application/pdf', 'mtime': '2023-04-05 10:19:17', 'hash_type': 'MD5', 'hash': '0dc22dca48225ed6050e883df8c082a0', 'filename': 'UNDANGAN DAN SERTIFIKAT, ANALISIS PERUBAHAN SIFAT FISIKA BATUAN RESERVOAR TERHADAP  (09).pdf', 'datasetid': 'document', 'filesize': 689413}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 49703, 'security': 'public', 'placement': 1}]",2023-04-06 00:53:42,2023-04-06 00:53:42,946,,,,,,,,,,,,,,
1,published,33445,9,show,"ANALISIS PERUBAHAN SIFAT FISIKA BATUAN RESERVOAR TERHADAP 
ALIRAN PANAS BUMI UNTUK MENENTUKAN LAPISAN GAS BUMI DI 
DAERAH ‘X’ SUMATERA SELATAN","['Q1', 'QC', 'QE']",2021-08-18 01:17:38,archive,disk0/00/03/34/45,2009-10-05 00:00:00.000000000,"[{'id': 'ordas.dewanto@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Dewanto', 'honourific': None, 'given': 'Ordas'}}]",['FT1'],conference_item,public,http://repository.lppm.unila.ac.id/id/eprint/33445,pub,,"[{'placement': 1, 'security': 'public', 'eprintid': 33445, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'fileid': 396686, 'mime_type': 'application/pdf', 'mtime': '2021-08-17 12:00:19', 'hash_type': 'MD5', 'filename': '30. Prosiding Ordas Dewanto, Seminar Sehari Hasil-Hasil Penelitian & Pengabdian, Okt 2009.pdf', 'hash': '0868127a3b997436b27ff45e332876f3', 'datasetid': 'document', 'filesize': 421017, 'objectid': 153191, 'uri': 'http://repository.lppm.unila.ac.id/id/file/396686'}], 'main': '30. Prosiding Ordas Dewanto, Seminar Sehari Hasil-Hasil Penelitian & Pengabdian, Okt 2009.pdf', 'docid': 153191, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153191', 'pos': 1, 'format': 'text'}]",2021-08-18 01:17:38,2021-08-18 01:17:38,946,89-97,TRUE,lecture,"Prosiding Seminar Sehari Hasil-Hasil Penelitian & Pengabdian Kepada Masyarakat, Oktober 2009","Masalah serius yang dihadapi bangsa Indonesia adalah penyediaan energi sepuluh tahun ke 
depan, diperkirakan bahan bakar migas bumi masih akan tetap menjadi sumber energi primer
yang belum tergantikan, khususnya untuk memenuhi kebutuhan sektor transportasi dan
industri. Terbentuknya gas bumi tersebut melalui suatu proses reaksi alam tingkat tinggi, 
dimana material organik mengalami perubahan khusus dalam suatu batuan organik (reservoar
mengandung zat organik). Peran utama dari proses tersebut adalah adanya pengaruh kuat
dari energi panas bumi, yang secara langsung mempengaruhi material organik yang berada
dalam batuan reservoar tertentu. Sungguh luar biasa, energi panasbumi mempunyai peran
penting terhadap proses pembentukan gas bumi dan membantu proses pengolahan secara
alam. 
Untuk mengetahui lapisan gas bumi pada cekungan Sumatera Selatan perlu dilakukan evaluasi 
terhadap kondisi reservoar, yaitu dengan menentukan dan menganalisis parameter reservoar 
tersebut. Penentuan dan analisis parameter reservoar dilakukan dengan dua metode, yaitu
core analysis di laboratorium dan log interpretation di lapangan. Perubahan sifat-sifat fisika 
batuan yang terjadi akibat aktivitas geologi alam, akan mempengaruhi proses pembentukan
gas bumi. Perilaku perubahan tersebut dianalisis agar dapat dipakai untuk memprediksi 
sumber energi tersebut.",conference,https://seminarpenelitiandanpengabdian.000webhostapp.com/PROSIDING.pdf,,,,,,,
2,published,42921,8,show,ANALISIS PERUBAHAN SIFAT FISIKA BATUAN RESERVOAR TERHADAP ALIRAN PANAS BUMI UNTUK MENENTUKAN LAPISAN GAS BUMI DI DAERAH ‘X’ SUMATERA SELATAN,"['Q1', 'QE']",2022-07-05 02:22:25,archive,disk0/00/04/29/21,2009-10-01 00:00:00.000000000,"[{'name': {'given': 'Ordas', 'family': 'Dewanto', 'honourific': None, 'lineage': None}, 'id': 'ordasdewanto@gmail.com'}]",['FT1'],other,public,http://repository.lppm.unila.ac.id/id/eprint/42921,pub,"Lembaga Penelitian dan Pengabdian Kepada Masyarakat, Universitas Lampung","[{'eprintid': 42921, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '30. Plagiarism Checker X, Prosiding Ordas Dewanto, Seminar Sehari Hasil-Hasil Penelitian & Pengabdian, Okt 2009.pdf', 'docid': 164706, 'files': [{'objectid': 164706, 'uri': 'http://repository.lppm.unila.ac.id/id/file/469979', 'mime_type': 'application/pdf', 'fileid': 469979, 'hash': '23bebf0aade00957c3de405a3c02201c', 'filename': '30. Plagiarism Checker X, Prosiding Ordas Dewanto, Seminar Sehari Hasil-Hasil Penelitian & Pengabdian, Okt 2009.pdf', 'hash_type': 'MD5', 'mtime': '2022-07-05 01:48:08', 'datasetid': 'document', 'filesize': 166556}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164706'}]",2022-07-05 02:22:25,2022-07-05 02:22:25,946,,,,,"Masalah serius yang dihadapi bangsa Indonesia adalah penyediaan energi sepuluh tahun ke depan, diperkirakan bahan bakar migas bumi masih akan tetap menjadi sumber energi primer yang belum tergantikan, khususnya untuk memenuhi kebutuhan sektor transportasi dan industri.  Terbentuknya gas bumi  tersebut melalui suatu proses reaksi alam tingkat tinggi, dimana material organik mengalami perubahan khusus dalam suatu batuan organik (reservoar mengandung zat organik).  Peran utama dari proses tersebut adalah adanya pengaruh kuat dari energi panas bumi, yang secara langsung mempengaruhi material organik yang berada dalam batuan reservoar tertentu.  Sungguh luar biasa, energi panasbumi mempunyai peran penting terhadap proses pembentukan gas bumi dan membantu proses pengolahan secara alam.    Untuk mengetahui lapisan gas bumi pada cekungan Sumatera Selatan perlu dilakukan evaluasi terhadap kondisi reservoar, yaitu dengan menentukan dan menganalisis parameter reservoar tersebut.  Penentuan dan analisis parameter reservoar dilakukan dengan dua metode, yaitu core analysis di laboratorium dan log interpretation di lapangan.  Perubahan sifat-sifat fisika batuan yang terjadi akibat aktivitas geologi alam, akan mempengaruhi proses pembentukan gas bumi.  Perilaku perubahan tersebut dianalisis agar dapat dipakai untuk memprediksi sumber energi tersebut.",,https://seminarpenelitiandanpengabdian.000webhostapp.com/PROSIDING.pdf,,,,,,,
3,published,43351,8,show,Analisis Perubahan Sifat Fisika Batuan Reservoar Terhadap Aliran Panas Bumi Untuk Menentukan Lapisan Gas Bumi Di Daerah ‘X’ Sumatera Selatan,"['Q1', 'QE']",2022-07-18 07:34:47,archive,disk0/00/04/33/51,2009-10-10 00:00:00.000000000,"[{'name': {'given': 'Ordas', 'lineage': None, 'honourific': None, 'family': 'Dewanto'}, 'id': 'ordasdewanto@gmail.com'}]",['FT1'],other,public,http://repository.lppm.unila.ac.id/id/eprint/43351,pub,"Lembaga Penelitian dan Pengabdian Kepada Masyarakat, Universitas Lampung","[{'files': [{'filename': '30. Prosiding Ordas Dewanto, Seminar Sehari Hasil-Hasil Penelitian & Pengabdian, Okt 2009.pdf', 'hash': '9b5438bd342ff5946c065e18098fc574', 'mtime': '2022-07-18 04:21:11', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 473550, 'filesize': 1512193, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/473550', 'objectid': 165217}], 'docid': 165217, 'main': '30. Prosiding Ordas Dewanto, Seminar Sehari Hasil-Hasil Penelitian & Pengabdian, Okt 2009.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165217', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 43351, 'mime_type': 'application/pdf', 'language': 'en'}]",2022-07-18 07:34:47,2022-07-18 07:34:47,946,,,,,"Masalah serius yang dihadapi bangsa Indonesia adalah penyediaan energi sepuluh tahun ke 
depan, diperkirakan bahan bakar migas bumi masih akan tetap menjadi sumber energi primer
yang belum tergantikan, khususnya untuk memenuhi kebutuhan sektor transportasi dan
industri. Terbentuknya gas bumi tersebut melalui suatu proses reaksi alam tingkat tinggi, 
dimana material organik mengalami perubahan khusus dalam suatu batuan organik (reservoar
mengandung zat organik). Peran utama dari proses tersebut adalah adanya pengaruh kuat
dari energi panas bumi, yang secara langsung mempengaruhi material organik yang berada
dalam batuan reservoar tertentu. Sungguh luar biasa, energi panasbumi mempunyai peran
penting terhadap proses pembentukan gas bumi dan membantu proses pengolahan secara
alam. 
Untuk mengetahui lapisan gas bumi pada cekungan Sumatera Selatan perlu dilakukan evaluasi 
terhadap kondisi reservoar, yaitu dengan menentukan dan menganalisis parameter reservoar 
tersebut. Penentuan dan analisis parameter reservoar dilakukan dengan dua metode, yaitu
core analysis di laboratorium dan log interpretation di lapangan. Perubahan sifat-sifat fisika 
batuan yang terjadi akibat aktivitas geologi alam, akan mempengaruhi proses pembentukan
gas bumi. Perilaku perubahan tersebut dianalisis agar dapat dipakai untuk memprediksi 
sumber energi tersebut.",,https://seminarpenelitiandanpengabdian.000webhostapp.com/PROSIDING.pdf,,,,,,,
4,published,49702,8,show,"MENENTUKAN UMUR FORMASI SUMUR A DAN B UNTUK ESTIMASI 
TERBENTUKNYA MINYAK BUMI DALAM BATUAN SEDIMEN","['Q1', 'QE']",2023-04-06 00:53:38,archive,disk0_bak/00/04/97/02,1970-01-01 00:00:00.000002009,"[{'name': {'honourific': None, 'family': 'Dewanto', 'lineage': None, 'given': 'Ordas'}, 'id': 'ordas.dewanto@eng.unila.ac.id'}]",['FT1'],other,public,http://repository.lppm.unila.ac.id/id/eprint/49702,pub,"Lembaga Penelitian dan Pengabdian Kepada Masyarakat, Universitas Lampung","[{'eprintid': 49702, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'UNDANGAN DAN SERTIFIKAT, MENENTUKAN UMUR FORMASI SUMUR A DAN B UNTUK ESTIMASI TERBENTUKNYA MINYAK BUMI DALAM BATUAN SEDIMEN (O9).pdf', 'docid': 189340, 'files': [{'objectid': 189340, 'uri': 'http://repository.lppm.unila.ac.id/id/file/538652', 'datasetid': 'document', 'filesize': 1967818, 'fileid': 538652, 'mime_type': 'application/pdf', 'mtime': '2023-04-05 10:01:40', 'hash_type': 'MD5', 'filename': 'UNDANGAN DAN SERTIFIKAT, MENENTUKAN UMUR FORMASI SUMUR A DAN B UNTUK ESTIMASI TERBENTUKNYA MINYAK BUMI DALAM BATUAN SEDIMEN (O9).pdf', 'hash': 'fdb41b23843b36c6b71356388d03d1f7'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189340'}]",2023-04-06 00:53:38,2023-04-06 00:53:38,946,,,,,,,,,,,,,,
5,published,33456,9,show,"MENENTUKAN UMUR FORMASI SUMUR A DAN B UNTUK ESTIMASI 
TERBENTUKNYA MINYAK BUMI DALAM BATUAN SEDIMEN","['Q1', 'QC', 'QE']",2021-08-18 01:18:04,archive,disk0/00/03/34/56,2009-11-16 00:00:00.000000000,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Dewanto', 'given': 'Ordas'}, 'id': 'ordas.dewanto@eng.unila.ac.id'}]",['FT1'],conference_item,public,http://repository.lppm.unila.ac.id/id/eprint/33456,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 33456, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153252', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 500642, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-08-17 23:12:21', 'hash': '331bdedc7efa207cfffd46c88290ac7b', 'filename': '31. Prosiding Dr. Ordas Dewanto, SEMINAR NASIONAL SAINS MIPA DAN APLIKASINYA, FMIPA UNILA 16 NOV 2009.pdf', 'fileid': 396819, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/396819', 'objectid': 153252}], 'main': '31. Prosiding Dr. Ordas Dewanto, SEMINAR NASIONAL SAINS MIPA DAN APLIKASINYA, FMIPA UNILA 16 NOV 2009.pdf', 'docid': 153252}]",2021-08-18 01:18:04,2021-08-18 01:18:04,946,1121-1128,TRUE,lecture,"Seminar Nasional Sains MIPA Dan Aplikasinya, FMIPA Unila, 16-17 November 2009","Para ahli geologi minyak bumi berpendapat, bahwa langkah terakhir dalam sejarah pembentukan 
minyak bumi terjadi dalam atau dekat reservoar pada waktu atau setelah migrasi primer selesai, 
dan terdiri dari suatu urutan perubahan purna-diagenesa yang menghasilkan hidrokarbon dari 
senyawa yang lebih berat dengan berat molekul rendah. Penentuan waktu dalam sejarah geologi 
mengenai kapan minyak bumi terbentuk, bukan saja penting dari segi ilmiah akan tetapi juga dari 
segi ekonomi (Dewanto dkk, 2008). Batuan dengan litologi yang sama dan berada pada 
kedalaman yang sama, mempunyai harga porositas yang belum tentu sama, karena umur batuan 
tersebut tidak sama, artinya bahwa waktu terbentuknya batuan sedimen tidak bersamaan. 
Terjadinya perbedaan umur yang mempengaruhi porositas ini, juga akan berpengaruh terhadap 
harga konduktivitas panas pada zat/material tersebut. Pengaruh harga porositas terhadap 
konduktivitas panas batuan akan mempengaruhi terbentuknya minyak bumi dalam suatu batuan 
reservoar (Dewanto, 2004). Penentuan umur formasi dalam hubungannya dengan terbentuknya 
minyak bumi, ditentukan berdasarkan prinsip dasar TTI diintegrasikan dengan pengertian dasar 
heat flow yang menunjukkan banyaknya kalori per satuan luas per satuan waktu. Umur batuan 
formasi dihitung berdasarkan kasus sederhana Lopatin-Waples, dimana waktu sedimentasi 
diperlukan untuk mencapai perbedaan temperature 5-20
O
C (Dewanto, 2005). Dari hasil penelitian 
diperoleh bahwa waktu yang diperlukan untuk terbentuknya minyak bumi di sekitar sumur A dan 
B adalah 4 sampai dengan 6 juta tahun dengan kedalaman dan formasi yang berbeda.",conference,https://prosidingsemnasmipadanaplikasinya16-17nov2009.000webhostapp.com/Prosiding_Semnas_MIPA_dan_Aplikasinya_16-17_Nov_2009.pdf,,,,,,,
6,published,43571,8,show,Menentukan Umur Formasi Sumur A Dan B Untuk Estimasi Terbentuknya Minyak Bumi Dalam Batuan Sedimen,"['Q1', 'QE']",2022-07-22 01:04:44,archive,disk0/00/04/35/71,2009-11-17 00:00:00.000000000,"[{'id': 'ordas.dewanto@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Dewanto', 'honourific': None, 'given': 'Ordas'}}]",['FT1'],other,public,http://repository.lppm.unila.ac.id/id/eprint/43571,pub,Fakultas Matematika dan Ilmu Pengetahuan Alam Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 43571, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165517', 'main': '31. Prosiding Dr. Ordas Dewanto, SEMINAR NASIONAL SAINS MIPA DAN APLIKASINYA, FMIPA UNILA 16 NOV 2009.pdf', 'docid': 165517, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/475397', 'objectid': 165517, 'filesize': 1547934, 'datasetid': 'document', 'mtime': '2022-07-21 08:07:38', 'hash_type': 'MD5', 'hash': '1ac65126b833d972bb40d3f26ad756ea', 'filename': '31. Prosiding Dr. Ordas Dewanto, SEMINAR NASIONAL SAINS MIPA DAN APLIKASINYA, FMIPA UNILA 16 NOV 2009.pdf', 'fileid': 475397, 'mime_type': 'application/pdf'}]}]",2022-07-22 01:04:44,2022-07-22 01:04:44,946,,,,,"Para ahli geologi minyak bumi berpendapat, bahwa langkah terakhir dalam sejarah pembentukan 
minyak bumi terjadi dalam atau dekat reservoar pada waktu atau setelah migrasi primer selesai, 
dan terdiri dari suatu urutan perubahan purna-diagenesa yang menghasilkan hidrokarbon dari 
senyawa yang lebih berat dengan berat molekul rendah. Penentuan waktu dalam sejarah geologi 
mengenai kapan minyak bumi terbentuk, bukan saja penting dari segi ilmiah akan tetapi juga dari 
segi ekonomi (Dewanto dkk, 2008). Batuan dengan litologi yang sama dan berada pada 
kedalaman yang sama, mempunyai harga porositas yang belum tentu sama, karena umur batuan 
tersebut tidak sama, artinya bahwa waktu terbentuknya batuan sedimen tidak bersamaan. 
Terjadinya perbedaan umur yang mempengaruhi porositas ini, juga akan berpengaruh terhadap 
harga konduktivitas panas pada zat/material tersebut. Pengaruh harga porositas terhadap 
konduktivitas panas batuan akan mempengaruhi terbentuknya minyak bumi dalam suatu batuan 
reservoar (Dewanto, 2004). Penentuan umur formasi dalam hubungannya dengan terbentuknya 
minyak bumi, ditentukan berdasarkan prinsip dasar TTI diintegrasikan dengan pengertian dasar 
heat flow yang menunjukkan banyaknya kalori per satuan luas per satuan waktu. Umur batuan 
formasi dihitung berdasarkan kasus sederhana Lopatin-Waples, dimana waktu sedimentasi 
diperlukan untuk mencapai perbedaan temperature 5-20
O
C (Dewanto, 2005). Dari hasil penelitian 
diperoleh bahwa waktu yang diperlukan untuk terbentuknya minyak bumi di sekitar sumur A dan 
B adalah 4 sampai dengan 6 juta tahun dengan kedalaman dan formasi yang berbeda.",,https://prosidingsemnasmipadanaplikasinya16-17nov2009.000webhostapp.com/Prosiding_Semnas_MIPA_dan_Aplikasinya_16-17_Nov_2009.pdf,,,,,,,
7,published,48646,7,show,Coal Bed Methane Sebagai Energi Alternatif Baru dan Upaya Pemantauan Proses Produksinya,['T1'],2023-02-28 07:55:04,archive,disk0_bak/00/04/86/46,1970-01-01 00:00:00.000002009,"[{'id': 'muhsarkowi@gmail.com', 'name': {'given': 'Muh', 'family': 'Sarkowi', 'honourific': None, 'lineage': None}}]",['FT1'],conference_item,public,http://repository.lppm.unila.ac.id/id/eprint/48646,pub,,"[{'eprintid': 48646, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 187995, 'main': 'PaperFullCBM-Sarkowi1.pdf', 'files': [{'mtime': '2023-02-28 04:14:07', 'hash_type': 'MD5', 'hash': '5f4e79ca267efe54c142af21781e348e', 'filename': 'PaperFullCBM-Sarkowi1.pdf', 'fileid': 530304, 'mime_type': 'application/pdf', 'filesize': 4337462, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/530304', 'objectid': 187995}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187995', 'rev_number': 1}]",2023-02-28 07:55:04,2023-02-28 07:55:04,816,,TRUE,paper,Seminar Nasional Sains MIPA dan Aplikasinya Tahun 2009 FMIPA Universitas Lampung,"Coal bed metane (CBM) adalah gas methane yang yang terjebak pada lapisan batubara. Gas methane ini terbentuk oleh proses biologis melalui aktifitas mikroba atau proses thermal akibat kenaikan suhu pada kedalaman lapisan batubara. CBM kerap dinilai sebagai masalah bagi operasi penambangan batubara dan merupakan gas penyerap radiasi inframerah yang kuat serta merupakan gas penyebab efek rumah kaca. Perkembangan teknologi menunjukkan bahwa CBM justru bisa dimanfaatkan sebagai sumber energi alternatif baru.di Indonesia CBM sampai saat ini belum dimanfaatkan, padahal potensi cadangan CBM di Indonesia terbesar di dunia yaitu 450 TCF jauh lebih besar dibandingkan dengan cadangan gas alam sebesar 196 TCF. Eksploitasi CBM dimulai dari rekayasa reservoir CBM dengan metode dewatering sehingga terjadi penurunan tekanan pada reservoir sehingga gas CBM dapat keluar. Proses rekayasa reservoir merupakan hal yang sangat penting karena berperan dalam produksi CBM.Proses dewatering dan produksi harus dipantau untuk mengetahui: pergerakan air dan daerah yang mengalami pengurangan air pada reservoir CBM, sehingga efektifitas proses pengurasan air dapat diketahui. Pada penelitian ini diusulkan metode microgravity 4D untuk memantau proses rekayasa reservoir dan proses pengurasan air pada reservoir CBM. Harapanya metode 4D Microgravity dapat digunakan untuk mendukung proses eksplorasi dan eksploitasi CBM",conference,,Bandar Lampung,16 November 2009,,,,,
8,published,50814,7,show,Coal Bed Methane Sebagai Energi Alternatif Baru dan Upaya Pemantauan Proses Produksinya,['T1'],2023-04-28 02:06:12,archive,disk0_bak/00/05/08/14,1970-01-01 00:00:00.000002009,"[{'name': {'family': 'Sarkowi', 'honourific': None, 'lineage': None, 'given': 'Muh'}, 'id': 'muhsarkowi@gmail.com'}]",['FT1'],conference_item,public,http://repository.lppm.unila.ac.id/id/eprint/50814,pub,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190524', 'pos': 1, 'format': 'text', 'files': [{'fileid': 547287, 'mime_type': 'application/pdf', 'mtime': '2023-04-27 23:26:22', 'hash_type': 'MD5', 'filename': 'PaperFullCBM-Sarkowi1.pdf', 'hash': '5f4e79ca267efe54c142af21781e348e', 'datasetid': 'document', 'filesize': 4337462, 'objectid': 190524, 'uri': 'http://repository.lppm.unila.ac.id/id/file/547287'}], 'main': 'PaperFullCBM-Sarkowi1.pdf', 'docid': 190524, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 50814}]",2023-04-28 02:06:12,2023-04-28 02:06:12,816,999-1004,TRUE,lecture,Seminar Nasional Sains MIPA dan Aplikasinya Tahun 2009 FMIPA Universitas Lampung,"Coal Bed Methane (CBM) adalah gas methane yang terjebak pada lapisan batubara. Gas methane ini terbentuk oleh proses biologis melalui aktifitas mikroba atau proses thermal akibat kenaikan suhu pada kedalaman lapisan batubara. CBM kerap dinilai sebagai masalah bagi operasi penambangan batubara dan merupakan gas penyerap radiasi infra merah yang kuat serta merupakan gas penyebab efek rumah kaca. Perkembangan teknologi menunjukkan bahwa CBM justru bisa dimanfaatkan sebagai sumber energi alternatif  baru. DI Indonesaia CBM sampai saat ini belum dimanfaatkan, padahal potensi cadangan CBM di Indonesia terbesar di dunia yaitu 450 TCF jauh lebih besar dibandingkan dengan cadangan gas alam sebesar 196 TCF. Eksploitasi CBM dimulai dari rekayasa reservoir CBM dengan metode dewatering sehingga terjadi penurunan tekanan reservoir sehingga gas CBM dapat keluar. Proses dewatering harus dipantau untuk mengetahui: pergerakan air dan daerah yang mengalami pengurangan air pada reservoir CBM, sehingga efektifitas proses pengurasan air dapat diketahui. Pada penelitian ini diuslkan metode 4D microgravity untuk memantau proses rekayasa reservoir dan proses pengurasan air pada reservoir CBM. Harapannya metode 4D microgravity dapat digunakan untuk mendukung proses eksplorasi dan eksploitasi CBM",conference,https://docplayer.info/48172033-Prosi-siding-sn-smap-09-daftar-isi.html,Bandar Lampung,16 - 17 November 2009,,,,,
9,completed,50921,7,show,Similiriry Paper Coal Bed Methane Sebagai Energi Alternatif Baru dan Upaya Pemantauan Proses Produksinya,['AC'],2023-05-02 07:35:05,archive,disk0_bak/00/05/09/21,1970-01-01 00:00:00.000002009,"[{'name': {'lineage': None, 'family': 'Sarkowi', 'honourific': None, 'given': 'Muh'}, 'id': 'muhsarkowi@gmail.com'}]",['FT1'],other,public,http://repository.lppm.unila.ac.id/id/eprint/50921,unpub,Sarkowi,"[{'eprintid': 50921, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 190635, 'main': '12-CBM.pdf', 'files': [{'fileid': 548096, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-05-02 03:34:17', 'hash': '4604c983dee0e191a6c1dda0a58dad35', 'filename': '12-CBM.pdf', 'datasetid': 'document', 'filesize': 2472350, 'objectid': 190635, 'uri': 'http://repository.lppm.unila.ac.id/id/file/548096'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190635', 'rev_number': 1}]",2023-05-02 07:35:05,2023-05-02 07:35:05,816,,,,,Similiriry Paper Coal Bed Methane Sebagai Energi Alternatif Baru dan Upaya Pemantauan Proses Produksinya,,,,,,,,,
