,title,metadata_visibility,rev_number,status_changed,eprint_status,abstract,subjects,eprintid,date_type,documents,publisher,ispublished,refereed,uri,full_text_status,corp_creators,lastmod,userid,datestamp,creators,publication,date,dir,type,divisions,volume,official_url,event_type,event_title,pagerange,pres_type,number,event_location,event_dates,related_url,projects,funders,issn,contributors,contact_email,isbn,book_title,series,pages,id_number,place_of_pub
0,"STRIPPING FILTER IMPLEMENTATION FOR INTERPRETATION TIME-LAPSE
MICROGRAVITY DATA KAMOJANG FIELD 2006-2007",show,6,2018-07-03 09:50:10,archive,"Filter stripping equation were derived from a prims
model that was developed from Cordell’s (1985) and
Aina’s (1994) equations. Simulation of synthetic data
at filter stripping uses parameters of a model giving a
large error. Therefore, filter stripping needs to be
modified. The modification is done by adding a
weighted factor (Ω) in the filter stripping equation.
Weighted factor (Ω) range from 0.3 -0.7 related to
complexity of object model. Growing complicated
object model then weighted factor value getting
smaller, and also do on contrary. Result show the
addition of weighted factor can reduce error to 20-
50%.
Implementation stripping filter can separate
microgravity anomalies as a result of reservoir mass
deficit due to exploiting of vapor and or addition of
reservoir mass from geothermal injection wells from
gravity anomaly as result of lowering of water table.
Deficit district (dry-out) is show by negative
microgravity time-lapse anomaly (-) and addition
mass of injection water at reservoir (recharge) is
show by positive microgravity time-lapse anomaly
(+). Negative microgravity time-lapse anomaly is
represented as negative change of density anomaly ( -
) and positive microgravity time-lapse anomaly (+) is
as positive change of density.
Based on time-lapse anomaly microgravity maps
between period of July 07 to June 06, negative
concentration anomaly locates in western field that is
around rim structures. This can be related to activity
of production wells in the area. Based on 3D cross
section map at depth of 1100 m (+400 m asl), this
area is represented by negative density from – 0.02
up to – 0.04 gram/cm3. This also proves that injection
amounts through injection well in the area is not
effective. Positive anomaly is represented by
accumulation of injection water from injection well
and or accumulation of water meteoric flowing
through faults.",['QC'],8341,published,"[{'files': [{'objectid': 21389, 'uri': 'http://repository.lppm.unila.ac.id/id/file/82555', 'datasetid': 'document', 'filesize': 1572536, 'fileid': 82555, 'mime_type': 'application/pdf', 'mtime': '2018-07-01 13:32:27', 'hash_type': 'MD5', 'hash': '4bba01bb3993a9b566dd5af01ce6c8db', 'filename': 'PROCEEDINGS IGW 2013.pdf'}], 'docid': 21389, 'main': 'PROCEEDINGS IGW 2013.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21389', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 8341, 'language': 'en', 'mime_type': 'application/pdf'}]","Magister Geothermal, ITB",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8341,public,"['Geophysical Engineering, University of Lampung']",2018-07-03 09:50:10,662,2018-07-03 09:50:10,"[{'id': 'zaenudin7209@gmail.com', 'name': {'lineage': None, 'family': 'Ahmad', 'honourific': None, 'given': 'Zaenudin'}}]","PROCEEDINGS, 2nd ITB Geothermal Workshop 2013",2013-03-04 00:00:00.000000000,disk0/00/00/83/41,article,['FT1'],,,,,,,,,,,,,,,,,,,,,
1,CAPROCK AND RESERVOIR INTERPRETATIO OF ARJUNO-WELIRANG GEOTHERMAL SYSTEM FROM 2D MT AND 3D GRAVITY MODEL,show,8,2018-07-03 09:50:08,archive,"This study was conducted to model the geothermal system Arjuno-Welirang northern part from the MT and gravity data. MT modeling done in 2D and gravity in 3D. From 2D MT model
of North-South trending shows model 2 layer resistivity, ie resistivity low (<10 Ohm.m) associated with basalt lava rock with clay mineral alteration and an alleged caprock. And layer with moderate resistivity (60-100 Ohm.m) associated with the Lower Quaternary andesite-old who is the reservoir system.
Distribution of Bouguer anomaly reflects the lithology of rock on the surface. Relatively low anomalies in the North (25-28 mGal) allegedly associated with pyroclastic flows. High anomaly in the South (> 43 mGal) associated with Mount
Anjasmoro products spread to the South West section with the composition of andesitic-basaltic lava. 28-40 mGal anomalies are thought to relate to Lava Welirang I spread toward the center of the North with the composition of basalt lava. From 3D models Bouguer anomaly inversion results show a layer with a density of 1.49 gr/cm3 - 2.4 gr/cm3 with clay type material which is suspected
as caprock, located at a depth of 900 m - 2100 m DBMTS. There is a low density anomaly associated with Coban Hotspring. And layer with a density of 2.4 gr/cm3 - 3.0 gr/cm3 an alleged andesite reservoir, is at a depth of about ≥ 1.5 km DBMT.",['QC'],8342,published,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21390', 'docid': 21390, 'main': 'PROCEEDINGS IIGCE 2013-1.pdf', 'files': [{'datasetid': 'document', 'filesize': 445242, 'fileid': 82561, 'mime_type': 'application/pdf', 'mtime': '2018-07-01 13:39:30', 'hash_type': 'MD5', 'hash': 'e5f830fef7f95088f7df283bd9a0aa20', 'filename': 'PROCEEDINGS IIGCE 2013-1.pdf', 'objectid': 21390, 'uri': 'http://repository.lppm.unila.ac.id/id/file/82561'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 8342, 'placement': 1, 'security': 'public'}]",Asosiasi Panasbumi Indonesia (API),pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8342,public,"['Geophysical Engineering, University of Lampung', 'Geophysical Engineering, University of Lampung', 'Geophysical Engineering, University of Lampung', 'Geophysical Engineering, University of Lampung', 'PSDG ESDM Bandung', 'PSDG ESDM Bandung']",2018-07-03 09:50:08,662,2018-07-03 09:50:08,"[{'id': 'zaenudin7209@gmail.com', 'name': {'given': 'Zaenudin', 'lineage': None, 'honourific': None, 'family': 'Ahmad'}}, {'id': None, 'name': {'lineage': None, 'family': 'Ferra Nidya', 'honourific': None, 'given': 'FN'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Suharno', 'given': 'Suharno'}, 'id': 'suharno@eng.unila.ac.id'}, {'id': 'rustadi_2007@yahoo.com', 'name': {'given': 'Rustadi', 'honourific': None, 'family': 'Rustadi', 'lineage': None}}, {'id': None, 'name': {'given': 'AS', 'honourific': None, 'family': 'Asep S', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Ahmad Zarkasyi', 'honourific': None, 'given': 'AZ'}, 'id': None}]","PROCEEDINGS, 13th Indonesia International GEOTHERMAL Convention & Exhibition 2013",2013-06-12 00:00:00.000000000,disk0/00/00/83/42,article,['FT1'],13.0,,,,,,,,,,,,,,,,,,,,
2,"Pengaruh Material Clay (Kaolinite/Illite) Terhadap Maturasi dan Potensi 
Material Organik Untuk Dasar Pengolahan Material Serpih Sebagai Energi Alternatif Pengganti BBM",show,9,2021-08-18 01:18:01,archive,"Material serpih atau material organik sejenisnya, masuk dalam kategori kerogen tipe II. Untuk mengembangkan dan 
membantu proses pengolahan atau pemanfaatan material organik tersebut, maka sangat perlu dilakukan penelitian yang lebih 
spesifik tentang material serpih berupa kelompok senyawa siklik/alifatik yang berakumulasi di dalam material clay tersebut. 
Material clay yang mengandung kaolinite/illite tentunya akan sangat mempengaruhi material organik tersebut, misalnya 
jumlah kandungan organik karbon dalam clay dan kematangan termalnya. Pengukuran tingkat kematangan termal material 
clay-organik dilakukan berdasarkan harga temperatur maksimum (Tmax) dari analisis pirolisis. Hasil dari analisis 
menunjukkan bahwa material clay dengan volume yang lebih besar dari pada material organik ternyata sangat berperan besar 
dalam proses maturasi. Kemudian jenis material clay yang didominasi oleh material karbonat, hasilnya menunjukkan 
penurunan pada proses maturasi. Selain itu ditentukan juga tipe material serpih menggunakan data pirolisis rock-eval. 
Kombinasi antara indeks hidrogen (HI) dan Tmax pada diagram van Krevelen menunjukkan kerogen tipe II yang lebih 
cenderung berpotensi sebagai minyak dan gas.","['Q1', 'QD', 'QE']",33455,published,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 33455, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153246', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 153246, 'uri': 'http://repository.lppm.unila.ac.id/id/file/396805', 'datasetid': 'document', 'filesize': 187733, 'mime_type': 'application/pdf', 'fileid': 396805, 'hash': '0e26a02cf0547de712b0e042af887849', 'filename': '34. Article Ordas Dewanto, Bambang Soegijono, Suharso, PROSIDING SEMINAR NASIONAL FISIKA (E-JOURNAL) UNJ 2013.pdf', 'hash_type': 'MD5', 'mtime': '2021-08-17 22:57:51'}], 'main': '34. Article Ordas Dewanto, Bambang Soegijono, Suharso, PROSIDING SEMINAR NASIONAL FISIKA (E-JOURNAL) UNJ 2013.pdf', 'docid': 153246}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/33455,public,,2021-08-18 01:18:01,946,2021-08-18 01:18:01,"[{'name': {'family': 'Dewanto', 'honourific': None, 'lineage': None, 'given': 'Ordas'}, 'id': 'ordas.dewanto@eng.unila.ac.id'}, {'name': {'family': 'sugijono', 'honourific': None, 'lineage': None, 'given': 'bambang'}, 'id': None}, {'id': 'suharso@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Suharso', 'lineage': None, 'given': 'Suharso'}}]",,2013-06-01 00:00:00.000000000,disk0/00/03/34/55,conference_item,['FT1'],,http://journal.unj.ac.id/unj/index.php/prosidingsnf/issue/view/571,conference,Seminar Nasional Fisika (E-Journal) SNF2013,62-66,other,,,,,,,,,,,,,,,
3,"Magnetic Survey within Penantian Geothermal Area in Pasema Air Keruh, South Sumatra",show,8,2018-07-03 09:50:11,archive,"Magnetic survey has been conducted within
Penantian geothermal area of Pasema Air Keruh, Empat
Lawang District, South Sumatra Province. The purpose of
the survey is to determine the subsurface geological
structures that act as a migration path to the surface of the geothermal fluid. Total magnetic field anomaly data
obtained is transformed into a flat surface, and reduced to
the pole, then carried upward continuation. The result is a
regional magnetic field anomaly, which describes the
existence of subsurface geological structures in the
Penantian geothermal area.",['QC'],8340,published,"[{'security': 'public', 'placement': 1, 'eprintid': 8340, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 21388, 'uri': 'http://repository.lppm.unila.ac.id/id/file/82547', 'datasetid': 'document', 'filesize': 58448658, 'fileid': 82547, 'mime_type': 'application/pdf', 'mtime': '2018-07-01 13:22:05', 'hash_type': 'MD5', 'filename': 'Proceeding Basic Science Internt-2013.pdf', 'hash': '8c0b2dfa825eb3389c29ad286ce1a027'}], 'main': 'Proceeding Basic Science Internt-2013.pdf', 'docid': 21388, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21388', 'format': 'text', 'pos': 1}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8340,public,"['Physics Departement, Unsri', 'Physics Departement, UGM', 'Physics Departement, UGM', 'Geophysical Engineering, University of Lampung', 'Geophysical Engineering, University of Lampung']",2018-07-03 09:50:11,662,2018-07-03 09:50:11,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Frinsyah', 'given': 'Virgo'}, 'id': None}, {'id': None, 'name': {'family': 'Wahyudi', 'honourific': None, 'lineage': None, 'given': 'W'}}, {'name': {'given': 'WS', 'family': 'Wiwit Suryanto', 'honourific': None, 'lineage': None}, 'id': 'ws@ugm.ac.id'}, {'name': {'given': 'Suharno', 'lineage': None, 'honourific': None, 'family': 'Suharno'}, 'id': 'suharno@eng.unila.ac.id'}, {'id': 'zaenudin7209@gmail.com', 'name': {'given': 'Zaenudin', 'lineage': None, 'honourific': None, 'family': 'Ahmad'}}]",The Third Basic Science International Conference - 2013,2013-04-01 00:00:00.000000000,disk0/00/00/83/40,article,['FT1'],,,,,,,P20-2,,,,,,,,,,,,,,
4,ANALISISSTRUKTUR PATAHANDAERAH PANASBUMI LAHENDONG-TOMPASOSULAWESI UTARA BERDASARKAN DATA SECOND VERTICAL DERIVATIVE (SVD) ANOMALI GAYABERAT,show,7,2023-02-28 03:25:21,archive,"This study describe the research of fault structure in Lahendong –Tompaso geothermal field,  North  Sulawesi. Gravity  research  has  been  done  in  the  area  of  geothermal prospectto know the limit of fault structure based on Second Vertical Derivative (SVD)techniqueandBouguer anomaly analysis.From the Bouguer anomaly in this field, high anomaly in the north and the east field are related to the heat source, the low anomaly is about  Linau  lake,  Lahendong  and  Tompaso  which  was  probably  the  prospect  of geothermalreservoir  in  this  area.  Manifestations  of  geothermal  research  areas  such  as hot springs associated with the presence of a normal fault.This normal faultassociated also with the possibility of geothermal resrvoir.",['T1'],48641,published,"[{'security': 'public', 'placement': 1, 'eprintid': 48641, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 187990, 'uri': 'http://repository.lppm.unila.ac.id/id/file/530260', 'datasetid': 'document', 'filesize': 7055960, 'fileid': 530260, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-02-28 03:18:24', 'hash': '7b4096372a114c721045c2c8fe3fdb3c', 'filename': 'Satek-Intan-Sarkowi-Tamposo.pdf'}], 'docid': 187990, 'main': 'Satek-Intan-Sarkowi-Tamposo.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187990', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/48641,public,,2023-02-28 03:25:21,816,2023-02-28 03:25:21,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Lestari', 'given': 'Intan'}}, {'name': {'lineage': None, 'family': 'Sarkowi', 'honourific': None, 'given': 'Muh'}, 'id': 'muhsarkowi@gmail.com'}]",,2013-11-01 00:00:00.000000000,disk0_bak/00/04/86/41,conference_item,['FT1'],,https://docplayer.info/30089847-Analisis-struktur-patahan-daerah-panasbumi-lahendong-tompaso-sulawesi-utara-berdasarkan-data-second-vertical-derivative-svd-anomali-gayaberat.html,conference,Seminar Nasional Sains &Teknologi VLembaga Penelitian Universitas Lampung19-20 November 2013,212-223,paper,,Bandar Lampung,19 November 2013,,,,,,,,,,,,
5,Analisis Struktur Patahan Daerah Panas Bumi Lahendong Tompaso Sulawesi Utara Berdasarkan Data Second Vertical Gradient (SVD) Anomali Gaya Berat,show,8,2023-04-28 02:06:07,archive,"This study describe the research of fault structure in Lahendong –Tompaso geothermal field,  North  Sulawesi. Gravity  research  has  been  done  in  the  area  of  geothermal prospectto know the limit of fault structure based on Second Vertical Derivative (SVD)techniqueandBouguer anomaly analysis.From the Bouguer anomaly in this field, high anomaly in the north and the east field are related to the heat source, the low anomaly is about  Linau  lake,  Lahendong  and  Tompaso  which  was  probably  the  prospect  of geothermalreservoir  in  this  area.  Manifestations  of  geothermal  research  areas  such  as hot springs associated with the presence of a normal fault.This normal faultassociated also with the possibility of geothermal resrvoir",['T1'],50812,published,"[{'files': [{'objectid': 190522, 'uri': 'http://repository.lppm.unila.ac.id/id/file/547268', 'datasetid': 'document', 'filesize': 7055960, 'mime_type': 'application/pdf', 'fileid': 547268, 'hash': '7b4096372a114c721045c2c8fe3fdb3c', 'filename': 'Satek-Intan-Sarkowi-Tamposo.pdf', 'hash_type': 'MD5', 'mtime': '2023-04-27 23:07:01'}], 'main': 'Satek-Intan-Sarkowi-Tamposo.pdf', 'docid': 190522, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190522', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 50812, 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/50812,public,,2023-04-28 02:06:07,816,2023-04-28 02:06:07,"[{'id': None, 'name': {'honourific': None, 'family': 'Lestari', 'lineage': None, 'given': 'Intan'}}, {'name': {'family': 'Sarkowi', 'honourific': None, 'lineage': None, 'given': 'Muh'}, 'id': 'muhsarkowi@gmail.com'}]",,2013-11-01 00:00:00.000000000,disk0_bak/00/05/08/12,conference_item,['FT1'],,https://docplayer.info/30089847-Analisis-struktur-patahan-daerah-panasbumi-lahendong-tompaso-sulawesi-utara-berdasarkan-data-second-vertical-derivative-svd-anomali-gayaberat.html,conference,Seminar Nasional Sains & Teknologi V,212-223,paper,,Bandar Lampung,19-20 November 2013,,,,,,,,,,,,
6,ANALISIS DATA GRAVITY UNTUK MENENTUKAN STRUKTUR BAWAH PERMUKAAN DAERAH MANIFESTASI PANASBUMI DI LERENG SELATAN GUNUNG UNGARAN,show,7,2020-06-12 05:00:17,archive,The geothermal  manifestations  such  as fumaroles  on  the  southernof  the  mountain Ungaran  in Gedongsongo  and  surrounding  encourage  geophysical  survey  by  gravity methods. This  study  aims  to interpretthe  subsurface structureconditionssuch  as reservoirand geological structures that control the manifestation in the area.This study has  been identified  using  data  processing  second  vertical  derivative  and  3D  inversion modelling  Bouguer  Anomaly.Bouguer  anomalyvaluehas low  anomaly  less  than  27 mGal in the northern area of research and high anomaly over 27 mGal in the northeast-southwest  areaof  research.   Large  structures  from  north  to  south  region  control  these manifestations. Geothermal  reservoir  area  has  a  density  value  is  lower  than  the surrounding area because the reservoir associated with fault structures,['T1'],22333,published,"[{'placement': 1, 'security': 'public', 'eprintid': 22333, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 224915, 'datasetid': 'document', 'hash': '9fa26b0ebd8144e0a7e50adfec09d01c', 'filename': 'Paper-ANALISIS DATA GRAVITY UNTUK MENENTUKAN ...Meilisa dan Muh. - PDF Download Gratis.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-12 04:24:49', 'mime_type': 'application/pdf', 'fileid': 205260, 'uri': 'http://repository.lppm.unila.ac.id/id/file/205260', 'objectid': 35749}], 'main': 'Paper-ANALISIS DATA GRAVITY UNTUK MENENTUKAN ...Meilisa dan Muh. - PDF Download Gratis.pdf', 'docid': 35749, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35749', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/22333,public,,2020-06-12 05:00:17,816,2020-06-12 05:00:17,"[{'id': None, 'name': {'given': 'Melisa', 'honourific': None, 'family': 'Melisa', 'lineage': None}}, {'name': {'given': 'Muh', 'lineage': None, 'family': 'Sarkowi', 'honourific': None}, 'id': 'sarkov323@yahoo.com'}]",,2013-11-13 00:00:00.000000000,disk0/00/02/23/33,conference_item,['FT1'],,https://docplayer.info/32254585-Analisis-data-gravity-untuk-menentukan-struktur-bawah-permukaan-daerah-manifestasi-panasbumi-di-lereng-selatan-gunung-ungaran-meilisa-dan-muh.html,conference,Seminar Nasional Sains & Teknologi VLembaga Penelitian Universitas Lampung,181-193,paper,,Bandar Lampung Indonesia,12-13 November 2013,[{'url': 'https://docplayer.info/32254585-Analisis-data-gravity-untuk-menentukan-struktur-bawah-permukaan-daerah-manifestasi-panasbumi-di-lereng-selatan-gunung-ungaran-meilisa-dan-muh.html'}],,,,,,,,,,,
7,INTERPRETASI KUALITATIF SUHU PERMUKAAN DI POTENSI PANASBUMI WAY RATAI LAMPUNG,show,8,2019-05-02 04:17:33,archive,"Near-surface temperature mapping survey has been conducted in the area of Way Ratai
geothermal prospects. The tools used in this study is the temperature sticks.
Temperature mapping results showed a trend towards horizontal temperature will
decrease measurement time getting away from geothermal manifestations.
Temperatures were calculated in the study area ranged from 27.9 ° C to 61.0 ° C. As for
the vertical temperature gradient is obtained increasing the depth of the measured
temperature increases.","['QE', 'T1']",11129,published,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/24123', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 101712, 'filename': 'satek V nandi karyanto.pdf', 'hash': 'a420be110fef16c3ed0f607bc6c3685f', 'mtime': '2019-04-10 21:15:50', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 755884, 'objectid': 24123, 'uri': 'http://repository.lppm.unila.ac.id/id/file/101712'}], 'docid': 24123, 'main': 'satek V nandi karyanto.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 11129}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/11129,public,['Universitas Lampung'],2019-05-02 04:17:33,827,2019-05-02 04:17:33,"[{'id': 'nandi.haerudin@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Nandi Haerudin', 'lineage': None, 'given': 'NH'}}]",,1970-01-01 00:00:00.000002013,disk0/00/01/11/29,conference_item,['FT1'],,http://repository.lppm.unila.ac.id,conference,SATEK V,280-287,speech,,Bandarlampung,19-20 Nopember 2013,,['HIBAH BERSAING'],['RISEK_DIKTI'],,,,,,,,,
8,Radon and Thoron Analysis of Soil Gas Survey Case Study of Rajabasa Geothermal Field,show,9,2017-02-06 01:10:25,archive,"Radon and Thoron concentration of soil gas was measured by Scintrex Radon detector RDA 200 in the
Rajabasa geothermal field, South Lampung regency, Indonesia. This study is aimed todeterminethe buried fault
zoneunder theoverburdenlayer. The survey areacovers three geothermal manifestations in the southern part of
Rajabasageothermalfield. The result indicates fault system trending SW-NE (N 60o E) and SSW-NNE (N 8o E). The
contour map of Radon concentration performed high value in the three manifestations which was included survey area;
those are 123 cpm in Gunung Botak hot spring, 145 cpm in Kunjir fumarole and 382 cpm about 300 m from Bulakan
(Way Belerang) fumarole. Three manifestations were connected by two fault. The first fault passed begin from Gunung
Botak directed to Kunjir and the other across the first fault from SSW to Bulakan. The contour map of Radon and
Thoron ratio indicated that the second fault system is not only indicate the presence of the fault /fracture zones but also
show the extension of the faults/fractures from the depth to the surface.","['QC', 'QE', 'TA', 'TN']",1426,published,"[{'eprintid': 1426, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'AIP Scopus_Nandi.pdf', 'docid': 1300, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/9646', 'objectid': 1300, 'filesize': 1106977, 'datasetid': 'document', 'mtime': '2017-02-02 06:24:38', 'hash_type': 'MD5', 'hash': '09803a646a82725d41d298deee902773', 'filename': 'AIP Scopus_Nandi.pdf', 'fileid': 9646, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1300', 'rev_number': 1}]",AIP Publishing LLC,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1426,public,,2017-02-06 01:10:25,827,2017-02-06 01:10:25,"[{'id': 'nandi.haerudin@eng.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Nandi Haerudin', 'given': 'NH'}}, {'id': 'pwahyudi@yahoo.com', 'name': {'given': 'WH', 'honourific': None, 'family': 'Wahyudi', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Wiwit Suryanto', 'lineage': None, 'given': 'WS'}, 'id': 'ws@ugm.ac.id'}]",AIP Conf. Proc.,2013-09-20 00:00:00.000000000,disk0/00/00/14/26,article,['FT1'],1554.0,http://proceedings.aip.org/dbt/dbt.jsp?KEY=APCPCS&Volume=1554&Issue=1,,,218-221,,,,,,,,1551-7616,,,,,,,,
9,"INTERPRETATION OF CURIE POINT DEPTH AND THERMAL GRADIENT 
BASED ON MAGNETIC ANOMALY DATA AT SOUTHERN SUMATRA 
GEOTHERMAL AREA",show,8,2022-07-06 01:15:11,archive,"Curie  point  depth  (CPD)  is  Curie  temperature  depth  where  magnetic  mineral  lost  its  magneticity. 
Curie  temperature  generally  higher  on  mafic  frozen  rock  than  on  any  other  rock.  because  of  its 
higher  titano-magnetic  content.  The  magnetic  field  induction  value  depends  on  rock  minerals,  so  it 
can  be  used  to  determine  the  depth  of   the  rock.  Magnetic  field  anomaly  are  series  of  signals 
magnitude  as  the  respon  of  rock  composing  material  under  the  surface.  Power  spectrum  application 
for  that  signals  magnitude  can  be  used  to  determine  lower  surface  rock  mass  depth  including  CPD 
and thermal gradient. Tectonic activity along Sumatra Fault System (SFS) allow the emergence of 
CPD  depth  variation  and   thermal  gradient.  Southern  Sumatera  as  part  of  this  system  become  the 
focus of this research, because it has geothermal potential indicated by numbers of fluid manifest 
distribution  on  the  surface.  Result  of  thermal  gradient  analysis  obtained  from  CPD  variation 
informed that value of thermal gradient was 4 0-7 50
C/km on shallow CPD area ( 8-15 km). That area 
divided Sumatera  island and  extended  to North  West – South  East direction. Geologically,  southern 
Sumatera  also part  of  magmatic  arc  area  as  the  SFS  product, so it is possibly become geothermal 
prospect  area","['TA', 'TN']",42972,,"[{'eprintid': 42972, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 164786, 'main': '2013 UPN Interpretation Gab-X.pdf', 'files': [{'objectid': 164786, 'uri': 'http://repository.lppm.unila.ac.id/id/file/470432', 'datasetid': 'document', 'filesize': 4255558, 'mime_type': 'application/pdf', 'fileid': 470432, 'filename': '2013 UPN Interpretation Gab-X.pdf', 'hash': 'ae183ad9ec51ddc73aa5c843a58a36da', 'hash_type': 'MD5', 'mtime': '2022-07-05 09:40:30'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164786', 'rev_number': 1}]",Seminar Nasional Kebumian-VII,pub,,http://repository.lppm.unila.ac.id/id/eprint/42972,public,"['Teknik Geofisika, FT UNILA']",2022-07-06 01:15:11,886,2022-07-06 01:15:11,"[{'name': {'lineage': None, 'family': 'Rasimeng', 'honourific': None, 'given': 'Syamsurijal'}, 'id': 'syamsurijal.rasimeng@eng.unila.ac.id'}]",,1970-01-01 00:00:00.000002013,disk0/00/04/29/72,other,['FT1'],,,,,,,,,,,,,,"[{'name': {'given': 'Syamsurijal', 'honourific': None, 'family': 'Rasimeng', 'lineage': None}, 'id': 'syamsurijal.rasimeng@eng.unila.ac.id'}]",,,,,,,
