,refereed,uri,full_text_status,pres_type,documents,ispublished,pagerange,datestamp,userid,lastmod,date,dir,creators,divisions,keywords,type,contact_email,metadata_visibility,rev_number,event_type,referencetext,title,event_dates,abstract,subjects,status_changed,eprint_status,event_location,date_type,eprintid,event_title,related_url,official_url,succeeds,volume,number,publisher,publication,issn
0,TRUE,http://repository.lppm.unila.ac.id/id/eprint/50302,public,paper,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 50302, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190002', 'rev_number': 1, 'docid': 190002, 'main': 'prosiding international - malahayati - analysis wave - 2009c-raz.pdf', 'files': [{'fileid': 543314, 'mime_type': 'application/pdf', 'mtime': '2023-04-11 14:02:54', 'hash_type': 'MD5', 'filename': 'prosiding international - malahayati - analysis wave - 2009c-raz.pdf', 'hash': '54f783e9ab6fbaa02f05391948fbb325', 'datasetid': 'document', 'filesize': 3474899, 'objectid': 190002, 'uri': 'http://repository.lppm.unila.ac.id/id/file/543314'}]}]",pub,30-35,2023-04-12 07:39:11,491,2023-04-12 07:39:11,2009-04-15 00:00:00.000000000,disk0_bak/00/05/03/02,"[{'id': None, 'name': {'given': 'Rina', 'lineage': None, 'family': 'Febrina', 'honourific': None}}, {'id': 'ahmad.zakaria@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Zakaria', 'given': 'Ahmad'}}]",['FT4'],"analysis diffraction effects, submerged breakwater, 2-D hyperbolic wave equation",conference_item,ahmad.zakaria@eng.unila.ac.id,show,8,conference,"[1] A. C. Reynold, Boundary conditions for the
numerical solution of wave propagation
problems, Geophysics 43(6), pp 1099-1110,
1978.
[2] D. K. Mihardja, S. Hadi, Model matematika
numerik untuk simulasi gerak pasang-surut,
Pusat Penelitian dan Pengembangan
Oceanografi LIPI, Jakarta, 1989.
[3] Ahmad Zakaria, Numerical modelling of wave
propagation using higher order finite-difference
formulas, Thesis (Ph.D), Curtin University of
Technology, Perth, W.A., 2003.
[4] S. Nelamani and B.V. Sumalatha, Wave
reflection, run-up, run-down and pressure on
seawalls defended by an offshore breakwater, J.
Indian Inst. Sci, 86, pp 15-31, 2006.
[5] Wamsly, Hans Hanson, and Nicholas C. Kraus,
Wave transmission at detached breakwaters for
shoreline response modeling, U.S. Army Corps of Engineers, ERDC/CHL CHETN-II-45,March 2002.
[6] Lee E. Harris and Todd Barber, Artificial reefs
for beach and reef restoration, FIT Department
of Marine & Environmental Systems and Reff
Ball Foundation.
[7] U.S. Army Corps of Engineers, Coastal
Engoneering Manual (SPM) Volume 1, Coastal
Engineering Research Center, Department of the
Army, Waterways Experiment Station, PO Box
631, Vickburg, Mississippi 391180, pp. 2-94,
1984.",Analysis Wave Diffraction Using 2D Hyperbola Equation,15-17 April 2009,"Wind waves has high impact on the coastal area, either to the shoreline or to the structure of the buildings in the
coastal area. To protect the coastal area from the waves, the coast needs a protection structure such as
breakwater. Aims of the structure are to reduce and to destroy the wave energy.
The aims of the research are to see the natural phenomenon of the surface wave propagation, and how is the
impact of the wave propagation if it is happen in the reality, the same as the condition of the simulation as the
scenario planned. In this research, the wave equation that we used for the modeling of wave propagation that
pass through the submerged breakwater was a 2-D Hyperbolic wave equation.
Breakwater can be modelled numerically to study and to investigate dispersion effects. Based on results of this
research concluded that the energy of the wave can be reduced significantly by submerged breakwater, so the
coastal area can be protected.",['TA'],2023-04-12 07:39:11,archive,Malahayati University,published,50302,On Green Technology and Engineering,,,,,,,,
1,TRUE,http://repository.lppm.unila.ac.id/id/eprint/28013,public,paper,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42048', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/249487', 'objectid': 42048, 'filesize': 7173873, 'datasetid': 'document', 'mtime': '2021-02-22 00:31:51', 'hash_type': 'MD5', 'hash': 'a1a65db96e99722639d20174a6c4c727', 'filename': 'isi.pdf', 'fileid': 249487, 'mime_type': 'application/pdf'}], 'main': 'isi.pdf', 'docid': 42048, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 28013}, {'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/249489', 'objectid': 42049, 'mtime': '2021-02-22 00:32:04', 'hash_type': 'MD5', 'hash': '7a486481da95070b5bb3db3a1bf739da', 'filename': 'Judul FSTPT 2009.pdf', 'fileid': 249489, 'mime_type': 'application/pdf', 'filesize': 1090123, 'datasetid': 'document'}], 'main': 'Judul FSTPT 2009.pdf', 'docid': 42049, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42049', 'rev_number': 1, 'pos': 2, 'format': 'text', 'placement': 2, 'security': 'public', 'eprintid': 28013, 'mime_type': 'application/pdf', 'language': 'en'}, {'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42050', 'pos': 3, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/249491', 'objectid': 42050, 'filename': 'Daf Isi FSTPT 2009.pdf', 'hash': 'b3fe64d1a56711afed5ed25584afd8b4', 'hash_type': 'MD5', 'mtime': '2021-02-22 00:32:11', 'mime_type': 'application/pdf', 'fileid': 249491, 'filesize': 938126, 'datasetid': 'document'}], 'main': 'Daf Isi FSTPT 2009.pdf', 'docid': 42050, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 3, 'security': 'public', 'eprintid': 28013}]",pub,,2021-02-22 02:37:06,354,2021-02-22 02:37:06,2009-11-01 00:00:00.000000000,disk0/00/02/80/13,"[{'id': 'rahayu.sulistyorini@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Sulistyorini', 'honourific': None, 'given': 'Rahayu'}}]",['FT4'],,conference_item,,show,10,conference,,"Pengembangan Model kombinasi Gravity, Multinomial logit dan Equilibrium assignment",13-14 November 2009,,['TA'],2021-02-22 02:37:06,archive,"Surabaya, Indonesia",published,28013,Simposium XII FSTPT Universitas Kristen Petra,"[{'url': 'https://www.scribd.com/doc/218342752/makalah-simposium-xii-fstpt-pdf'}, {'url': 'https://rswua.wordpress.com/2009/05/27/simposium-xii-forum-studi-antar-perguruan-tinggi-fstpt-14-november-2009/'}]",,,,,,,
2,TRUE,http://repository.lppm.unila.ac.id/id/eprint/27992,public,paper,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 27992, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42011', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 344411, 'mime_type': 'application/pdf', 'fileid': 249317, 'filename': 'ayu_ozt_ade.pdf', 'hash': 'b4b63a4dd08e2fc08b9d86d8be40016a', 'mtime': '2021-02-21 00:22:16', 'hash_type': 'MD5', 'objectid': 42011, 'uri': 'http://repository.lppm.unila.ac.id/id/file/249317'}], 'docid': 42011, 'main': 'ayu_ozt_ade.pdf'}]",pub,,2021-02-22 02:36:40,354,2021-02-22 02:36:40,1970-01-01 00:00:00.000002009,disk0/00/02/79/92,"[{'id': 'rahayu.sulistyorini@eng.unila.ac.id', 'name': {'given': 'Rahayu', 'family': 'Sulistyorini', 'honourific': None, 'lineage': None}}, {'id': 'Ofyar@trans.si.itb.ac.id', 'name': {'honourific': None, 'family': 'Tamin', 'lineage': None, 'given': 'Ofyar Z'}}, {'id': 'ade@trans.itb.ac.id', 'name': {'honourific': None, 'family': 'sjafruddin', 'lineage': None, 'given': 'ade'}}]",['FT4'],,conference_item,,show,8,conference,,The Development of Combined Gravity-Multinomial Logit Estimated from Traffic Count Under Equilibrium Condition,16-19 November 2009,"The model examined was the Gravity (GR) model combined with the MultiNomial-Logit (MNL) model. Non-Linear-Least- Squares (NLLS) estimation methods were used to calibrate the parameter of the combined model. Three of the stages of this process (four steps model), trip distribution, modal split and traffic assignment, combine to estimate expected O-D demands, and as such, are of relevance to this research. Iterative solution algorithms, that are modifications of the Newton Raphson and Elimination Gauss-Jourdan techniques, are proposed to solve each of the model formulations. The procedure described here assumes that the observed network is at equilibrium assignment condition. In other words, the observed link flows and travel times represent the (observed) equilibrium conditions. The objective of the solution approach is to find an O-D matrix such that when this matrix is assigned to the network, the resulting O-D travel times will be equal to the observed O-D travel times.",['TA'],2021-02-22 02:36:40,archive,"Surabaya, Indonesia",published,27992,"Proceeding of 8th International Conference of Eastern Asia Society for Transportation Studies, 2009",[{'url': 'https://doi.org/10.11175/eastpro.2009.0.94.0'}],https://www.jstage.jst.go.jp/browse/eastpro/2009/0/_contents/-char/en?from=1,,,,,,
3,TRUE,http://repository.lppm.unila.ac.id/id/eprint/27991,public,paper,"[{'files': [{'filesize': 6995121, 'datasetid': 'document', 'mtime': '2021-02-20 23:54:21', 'hash_type': 'MD5', 'filename': 'Isi.pdf', 'hash': 'a1d732c85b9a7290133770ff81642e87', 'fileid': 249306, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/249306', 'objectid': 42008}], 'main': 'Isi.pdf', 'docid': 42008, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42008', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 27991, 'language': 'en', 'mime_type': 'application/pdf'}, {'eprintid': 27991, 'placement': 2, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Daf Isi SIBE 2009.pdf', 'docid': 42009, 'files': [{'hash_type': 'MD5', 'mtime': '2021-02-20 23:54:27', 'filename': 'Daf Isi SIBE 2009.pdf', 'hash': '7f3cd86fed220dc215d2e430f1d5abf0', 'fileid': 249308, 'mime_type': 'application/pdf', 'filesize': 1067563, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/249308', 'objectid': 42009}], 'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42009', 'rev_number': 1}, {'eprintid': 27991, 'placement': 3, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 42010, 'main': 'Judul SIBE 2009.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/249310', 'objectid': 42010, 'filesize': 1258920, 'datasetid': 'document', 'hash': 'a99fd750d7607aa1786e9d1a630390d4', 'filename': 'Judul SIBE 2009.pdf', 'mtime': '2021-02-20 23:54:37', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 249310}], 'pos': 3, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42010', 'rev_number': 1}]",pub,118-124,2021-02-22 02:36:36,354,2021-02-22 02:36:36,2009-11-02 00:00:00.000000000,disk0/00/02/79/91,"[{'name': {'given': 'Rahayu', 'lineage': None, 'family': 'Sulistyorini', 'honourific': None}, 'id': 'rahayu.sulistyorini@eng.unila.ac.id'}, {'id': 'Ofyar@trans.si.itb.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Tamin', 'given': 'Ofyar Z'}}, {'name': {'given': 'ade', 'lineage': None, 'honourific': None, 'family': 'sjafruddin'}, 'id': None}]",['FT4'],,conference_item,,show,9,conference,,The Development of The Combined Model (Trip Distribution-Mode Choice-Route Choice) Based on Traffic Volume,2-3 November 2019,,['TA'],2021-02-22 02:36:36,archive,"Bandung, Indonesia",published,27991,Iternational conference on sustainable infrastructure in developing countries,[{'url': 'https://ftsl.itb.ac.id/international-conference-on-sustainable-infrastructure-and-built-environment-sibe-2009/'}],http://www.sibe-2009.org/,,,,,,
4,TRUE,http://repository.lppm.unila.ac.id/id/eprint/27993,public,paper,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 27993, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42012', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 465200, 'datasetid': 'document', 'hash': '9567df6080a5d54e4d78bda1ea5bd6c8', 'filename': '2009_113.pdf', 'hash_type': 'MD5', 'mtime': '2021-02-21 00:47:58', 'mime_type': 'application/pdf', 'fileid': 249325, 'uri': 'http://repository.lppm.unila.ac.id/id/file/249325', 'objectid': 42012}], 'main': '2009_113.pdf', 'docid': 42012}]",pub,,2021-02-22 02:36:42,354,2021-02-22 02:36:42,1970-01-01 00:00:00.000002009,disk0/00/02/79/93,"[{'name': {'given': 'Rahayu', 'lineage': None, 'family': 'Sulistyorini', 'honourific': None}, 'id': 'rahayu.sulistyorini@eng.unila.ac.id'}, {'id': 'nindyo_ck@yahoo.co.id', 'name': {'given': 'nindyo cahyo', 'family': 'kresnanto', 'honourific': None, 'lineage': None}}]",['FT4'],,conference_item,,show,7,conference,,The Process to Get Convergence of Balancing Factor in Gravity Model,16-19 November 2009,"The development of techniques for calibrating the trip distribution models to obtain O-D matrices is well advanced. Therefore, the study of transportation demand should be implemented with distribution of trips in origins and destinations. The first step to study trip distribution is to divide physical space under investigation into mutually exclusive zones or locations. Calibration of the gravity model involves adjusting the friction factor with Newton-Raphson Method. An important consideration in developing the gravity model is ""balancing"" productions and attractions. Balancing means that the total productions and attractions for a study area are equal. The objective of this paper is to present the pattern of balancing factor in Gravity to achieve convergence with any beta values as input, using Matlab program. It is shown, by way of exponential as friction factor and using Double Constraint Gravity as balancing factor, we could see that the bigger beta value as input, the longer iteration to achieve convergence.",['TA'],2021-02-22 02:36:42,archive,"Surabaya, Indonesia",published,27993,"Proceedings of the Eastern Asia Society for Transportation Studies, Vol.7, 2009",[{'url': 'https://doi.org/10.11175/eastpro.2009.0.113.0'}],https://www.jstage.jst.go.jp/browse/eastpro/2009/0/_contents/-char/en?from=2,,,,,,
5,TRUE,http://repository.lppm.unila.ac.id/id/eprint/27990,public,paper,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/42005', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 249292, 'filename': 'Isi.pdf', 'hash': 'efba52c71dfd60345558c928c00f4b93', 'hash_type': 'MD5', 'mtime': '2021-02-20 23:24:37', 'datasetid': 'document', 'filesize': 6962928, 'objectid': 42005, 'uri': 'http://repository.lppm.unila.ac.id/id/file/249292'}], 'docid': 42005, 'main': 'Isi.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 27990}, {'docid': 42006, 'main': 'Daf Isi HKTS 2009.pdf', 'files': [{'fileid': 249294, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-02-20 23:24:43', 'filename': 'Daf Isi HKTS 2009.pdf', 'hash': 'f0969bdf81fc53a7be200cb28b338c9e', 'datasetid': 'document', 'filesize': 578403, 'objectid': 42006, 'uri': 'http://repository.lppm.unila.ac.id/id/file/249294'}], 'format': 'text', 'pos': 2, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42006', 'eprintid': 27990, 'security': 'public', 'placement': 2, 'language': 'en', 'mime_type': 'application/pdf'}, {'eprintid': 27990, 'placement': 3, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Judul HKTS 2009.pdf', 'docid': 42007, 'files': [{'objectid': 42007, 'uri': 'http://repository.lppm.unila.ac.id/id/file/249296', 'datasetid': 'document', 'filesize': 1136849, 'fileid': 249296, 'mime_type': 'application/pdf', 'mtime': '2021-02-20 23:24:48', 'hash_type': 'MD5', 'hash': '7aec58ab50463c01214578d6c9110557', 'filename': 'Judul HKTS 2009.pdf'}], 'pos': 3, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42007', 'rev_number': 1}]",pub,573-582,2021-02-22 02:36:32,354,2021-02-22 02:36:32,2009-12-10 00:00:00.000000000,disk0/00/02/79/90,"[{'id': 'Ofyar@trans.si.itb.ac.id', 'name': {'given': 'Ofyar Z', 'lineage': None, 'honourific': None, 'family': 'Tamin'}}, {'id': 'rahayu.sulistyorini@eng.unila.ac.id', 'name': {'family': 'Sulistyorini', 'honourific': None, 'lineage': None, 'given': 'Rahayu'}}]",['FT4'],,conference_item,,show,9,conference,,Public transport demand estimation by calibrating the combined trip distribution-mode choice (TDMC) Model from passenger count,10-12 December 2009,"The conventional method to estimate the O-D matrices require very large surveys and very expensive. The need for inexpensive methods, which require low-cost data, generally called as 'unconventional method'. The development of techniques for calibrating the trip distribution models from traffic volumes to obtain the O-D matrices is well advanced. However, the previous research still in a burden condition of ""All or Nothing"" which is not realistic for some congested road networks in urban area. So, the main objective and contribution of this research is the estimation of origin-destination matrices by calibrating the combined gravity with multinomial logit under equilibrium assignment. The estimation methods, namely: Non-Linear-Least-Squares (NLLS) will be used to estimate the parameters of transport demand models. The combined model and its calibration method have been implemented. The model was able to obtain the calibrated parameters which can then be used for forecasting purposes. The advantageous and the applicability of the model are given.",['TA'],2021-02-22 02:36:32,archive,Hongkong,published,27990,proceeding of the 14th HKTS International Conference,,https://www.researchgate.net/publication/282728863_,,,,,,
6,TRUE,http://repository.lppm.unila.ac.id/id/eprint/49237,public,paper,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 49237, 'security': 'public', 'placement': 3, 'format': 'text', 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188783', 'rev_number': 1, 'docid': 188783, 'main': 'sn smap 1- tsunami - 2009b.pdf', 'files': [{'filesize': 879867, 'datasetid': 'document', 'hash': '87585b1f438d7d72f0688a1cd5046d89', 'filename': 'sn smap 1- tsunami - 2009b.pdf', 'hash_type': 'MD5', 'mtime': '2023-03-24 10:00:21', 'mime_type': 'application/pdf', 'fileid': 534895, 'uri': 'http://repository.lppm.unila.ac.id/id/file/534895', 'objectid': 188783}]}]",pub,235-246,2023-03-27 00:54:18,491,2023-03-27 00:54:18,2009-11-16 00:00:00.000000000,disk0_bak/00/04/92/37,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Zakaria', 'given': 'Ahmad'}, 'id': 'ahmad.zakaria@eng.unila.ac.id'}]",['FT4'],"model numerik, pendekatan beda hingga, gelombang tsunami",conference_item,ahmad.zakaria@eng.unila.ac.id,show,11,workshop,,Simulasi Perambatan Gelombang tsunami akibat meletusnya Gunung Anak Krakatau,16 - 17 November 2009,,['TA'],2023-03-27 00:54:18,archive,Bandar Lampung,published,49237,Seminar Nasional Sains MIPA dan Aplikasinya,,,49226.0,,,,,
7,TRUE,http://repository.lppm.unila.ac.id/id/eprint/49194,public,paper,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/188710', 'rev_number': 1, 'format': 'text', 'pos': 7, 'files': [{'mime_type': 'application/pdf', 'fileid': 534491, 'hash': 'a036298c5a78903ab7b6345ac9b6ff12', 'filename': 'sn smap 1 - pengembangan program - 2009a.pdf', 'hash_type': 'MD5', 'mtime': '2023-03-23 07:27:32', 'datasetid': 'document', 'filesize': 3524880, 'objectid': 188710, 'uri': 'http://repository.lppm.unila.ac.id/id/file/534491'}], 'main': 'sn smap 1 - pengembangan program - 2009a.pdf', 'docid': 188710, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 7, 'eprintid': 49194}]",pub,7-12,2023-03-24 01:31:42,491,2023-03-24 01:31:42,2009-11-01 00:00:00.000000000,disk0_bak/00/04/91/94,"[{'id': 'ahmad.zakaria@eng.unila.ac.id', 'name': {'given': 'Ahmad', 'honourific': None, 'family': 'Zakaria', 'lineage': None}}]",['FT4'],,conference_item,,show,7,conference,,Studi Pengembangan Program Aplikasi Berbasis Web untuk Analysis Komponen Gelombang Pasang Surut menggunakan PHP Script,17 - 19 November 2009,,['TA'],2023-03-24 01:31:42,archive,FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM UNIVERSITAS LAMPUNG,published,49194,SEMINAR NASIONAL SAINS MIPA DAN APLIKASINYA 2009,,http://fmipa.unila.ac.id/,695.0,,,,,
8,TRUE,http://repository.lppm.unila.ac.id/id/eprint/49221,public,paper,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 49221, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/188756', 'rev_number': 1, 'docid': 188756, 'main': 'prosiding international - malahayati - dispersion effect - 2009a.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/534776', 'objectid': 188756, 'filename': 'prosiding international - malahayati - dispersion effect - 2009a.pdf', 'hash': '94e87b3ead474cfe6059b8522e0c0a43', 'hash_type': 'MD5', 'mtime': '2023-03-24 02:52:47', 'mime_type': 'application/pdf', 'fileid': 534776, 'filesize': 3361896, 'datasetid': 'document'}]}]",pub,19-24,2023-03-27 00:53:37,491,2023-03-27 00:53:37,2009-04-15 00:00:00.000000000,disk0_bak/00/04/92/21,"[{'name': {'given': 'Ahmad', 'family': 'Zakaria', 'honourific': None, 'lineage': None}, 'id': 'ahmad.zakaria@eng.unila.ac.id'}]",['FT4'],"dispersion effects, parabolic wave equation, finite difference, mangrove",conference_item,ahmad.zakaria@eng.unila.ac.id,show,7,conference,"[1] A. C. Reynold, Boundary conditions for the
numerical solution of wave propagation
problems, Geophysics 43(6), pp 1099-
1110, 1978.
[2] D. K. Mihardja, S. Hadi, Model
matematika numerik untuk simulasi gerak
pasang-surut, Pusat Penelitian dan
Pengembangan Oceanografi LIPI, Jakarta,
1989.
[3] Ahmad Zakaria, Numerical modelling of
wave propagation using higher order finitedifference
formulas, Thesis (Ph.D), Curtin
University of Technology, Perth, W.A.,
2003.
[4] S. Nelamani and B.V. Sumalatha, Wave
reflection, run-up, run-down and pressure on
seawalls defended by an offshore
breakwater, J. Indian Inst. Sci, 86, pp 15-31,
2006.
[5] Wamsly, Hans Hanson, and Nicholas C.
Kraus, Wave transmission at detached
breakwaters for shoreline response
modeling, U.S. Army Corps of Engineers,
ERDC/CHL CHETN-II-45, March 2002.
[6] Lee E. Harris and Todd Barber, Artificial
reefs for beach and reef restoration, FIT
Department of Marine & Environmental
Systems and Reff Ball Foundation.",Study Dispersion Effects of Wave Propagation over Mangrove Models in Shallow Water using 2-D Hyperbolic Wave Equation,17 - 17 April 2009,"The aim of this research is to study dispersion effects of wave propagation over mangrove models in shallow
water environments. This numerical modeling of wave propagation is using two dimensional parabolic wave
equation. In this study, numerical solution of the parabolic wave equation is using finite difference method.
For solving the 2nd order derivatives of the wave equation, the finite-difference method is one of several
methods using discrete approximations that can be used to calculate linear combination of approximation of
the function, at grid points. Second order of accuracies explicit finite-difference method are employed to
simulate wave propagation.
The mangroves were modeled in other to dissipate waves propagate over them. To reduce reflections from
non physical boundaries, Reynolds boundary condition method was used. A line source was used to model
wave sources. Ricker wavelet is used as a line source. In the environment setup of the model, assumed the
waves propagate in shallow water with the depth (d) is equal to 5 meter. Results of this research present wave
propagation and dispersion effects, at location before and after the mangrove models. The results present the
dispersion effects of the mangroves clearly. If results with the different scenarios or different situation are
compared, where the model was using full mangroves with the narrow channel, present more dispersions and
more dissipated than only using a half of the mangroves. It is concluded that wave propagation over
mangroves can be modeled numerically, to study and to investigate dispersion effects of the mangroves as
green breakwaters.",['TA'],2023-03-27 00:53:37,archive,Universitas Malahayati,,49221,International Conference 2009 on Green Technology and Engineering,,,,,,,,
9,TRUE,http://repository.lppm.unila.ac.id/id/eprint/48005,public,,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187171', 'rev_number': 1, 'docid': 187171, 'main': 'Study Velocities and Dispersion (Q1).pdf', 'files': [{'mtime': '2023-01-25 03:54:37', 'hash_type': 'MD5', 'filename': 'Study Velocities and Dispersion (Q1).pdf', 'hash': '109f4b0fc6aab34819324dcaf9ec08fd', 'fileid': 525007, 'mime_type': 'application/pdf', 'filesize': 684371, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/525007', 'objectid': 187171}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 48005, 'placement': 1, 'security': 'public'}]",pub,,2023-01-25 06:20:58,491,2023-01-25 06:20:58,1970-01-01 00:00:00.000002009,disk0_bak/00/04/80/05,"[{'id': 'ahmad.zakaria@eng.unila.ac.id', 'name': {'given': 'Ahmad', 'lineage': None, 'family': 'Zakaria', 'honourific': None}}]",['FT4'],,article,,show,6,,,"Study Velocities and Dispersion Effects of Wave Propagation over
Mangrove Models using 2-D Non-Linear and Compressional Wave
Equations",,"Most  researches  to modeling wave propagation in shallow water  are using two class  of  waves,  non linear
shallow water  wave equation as  gravity wave equation,  and simple wave equation as  compressional  wave
equation. In this research, wave propagation over mangrove models was conducted. The aim of this research
were to study velocities  and dispersion effects  of wave propagation where propagate toward the mangrove
models. The first order accuracy of the explicit finite-difference method was used to approximate the gravity
wave equation and the second order accuracy of the explicit finite-difference method. It was used to approximate
the compressional  wave equation. Variety of water depths,  5 m up to 100 m are used to simulate the wave
propagation. Results of non linear wave propagation also are compared with a result  of compressional  wave
propagation.  The mangrove  models  are  employed  for  different  water  depths and different  wave equations.
Results of this research present that if the water depths increase from 5 m up to 100 m, the wave velocity will be
increases significantly. For the same values of water depth, equal to 5 m, compressional waves propagate faster
than gravity waves. For deeper water depths, the dispersion effects are less than for shallow water depths.  
KEYWORDS: velocities, dispersion effects, mangrove models, gravity and compresional waves",['TA'],2023-01-25 06:20:58,archive,,published,48005,,,,,2.0,1.0,ILRAM,International Journal Of Science Engineering and Technology,1985-3785
