,event_location,date_type,eprintid,event_title,metadata_visibility,rev_number,event_type,title,event_dates,abstract,subjects,status_changed,eprint_status,date,dir,creators,divisions,type,refereed,full_text_status,uri,documents,pres_type,ispublished,datestamp,lastmod,userid,contact_email,official_url,publisher,pagerange,id_number,related_url,volume,number,issn,publication,funders,referencetext,keywords,place_of_pub,projects,contributors,corp_creators,succeeds,patent_applicant,pages,isbn,series,book_title,output_media
0,Bandar Lampung,published,41253,ULICoSTE 2020  ( IOP Conf. Series: Earth and Environmental Science 739 (2021) 012035),show,8,conference,Vibration problem due to railway loading,18-19 November 2020,"Abstract. Train is one of transportation mode is increasingly polular in Indonesia nowdays,
although in developed countries this transportation has long been a very advanced mode of
mass transportation. Problems due to railroad tracks adjacent to densely populated settlements
cannot be avoided. Problems such as noise levels can interfere with the health and comfort of
the environment, vibrations in the surrounding environment due to passing trains cause some
damage to civilian buildings such as residents' houses and high rise buildings as well. This field
study shows the potential problem due to mass train loading (Babaranjang) in Bandar
Lampung.",['TA'],2022-04-12 01:40:51,archive,1970-01-01 00:00:00.000002020,disk0/00/04/12/53,"[{'id': 'fikri.alami@eng.unila.ac.id', 'name': {'given': 'FIKRI', 'lineage': None, 'honourific': None, 'family': 'ALAMI'}}, {'id': 'lusmelia.afriani@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Afriani', 'honourific': None, 'given': 'Lusmeilia'}}]",['FT4'],conference_item,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/41253,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162895', 'rev_number': 1, 'main': '25. Dok Lengkap_Vibration problem due to railway loading.pdf', 'docid': 162895, 'files': [{'datasetid': 'document', 'filesize': 2426043, 'mime_type': 'application/pdf', 'fileid': 458035, 'filename': '25. Dok Lengkap_Vibration problem due to railway loading.pdf', 'hash': '5ec4fcd56f3cdb61075ae54ca99a3116', 'mtime': '2022-04-13 02:34:15', 'hash_type': 'MD5', 'objectid': 162895, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458035'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 41253, 'security': 'public', 'placement': 1}]",speech,pub,2022-04-12 01:40:51,2022-04-13 02:34:15,808,,,,,,,,,,,,,,,,,,,,,,,,
1,"Radisson Hotel Main Hall, Bandar Lampung, Indonesia",submitted,26116,"The 1st Universitas Lampung International Conference on Science, Technology and Environment 2020",show,7,conference,FRP AS POTENTIAL SOLUTION FOR VIBRATION PROBLEM IN CONCRETE SLAB,18-19 November 2020,"Vibration is a common problem in concrete slab system when designed using ultimate strength capacity which producing slim structure. Although this elemen strong enough to sustain the loads, however another problem emerges because vibration of the element is not anticipated during the design. This study was selected from experimental data conducted on two story buildings system. Thin slab member of 120 mm in two story building showed vibration problem during service life. Two sensors was located on slab and middle beam to study behavior of slab system due to human activity load. Numerical study was elaborated in this research for comparison. Strengthening of the slab using Fiber reinforced polymer (FRP) was applied to the slab system to reduce detrimental effect of  vibration on slab.",['TA'],2020-11-19 11:37:33,archive,2020-11-18 00:00:00.000000000,disk0/00/02/61/16,"[{'id': 'fikri.alami@eng.unila.ac.id', 'name': {'family': 'ALAMI', 'honourific': None, 'lineage': None, 'given': 'FIKRI'}}, {'id': 'masdar.helmi@eng.unila.ac.id', 'name': {'family': 'Helmi', 'honourific': None, 'lineage': None, 'given': 'Masdar'}}, {'id': 'vera.agustriana@eng.unila.ac.id', 'name': {'given': 'Vera A.', 'honourific': None, 'family': 'Noorhidana', 'lineage': None}}]",['FT4'],conference_item,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/26116,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 26116, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/39957', 'rev_number': 1, 'docid': 39957, 'main': 'FRP as Potential ...pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-18 15:43:25', 'hash': 'a654941598c43425c2f83db94163f386', 'filename': 'FRP as Potential ...pdf', 'fileid': 235525, 'mime_type': 'application/pdf', 'filesize': 928802, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/235525', 'objectid': 39957}]}]",paper,submitted,2020-11-19 11:37:33,2020-11-19 11:37:33,399,fikri.alami@eng.unila.ac.id,https://ulicoste.unila.ac.id/home,,,,,,,,,,,,,,,,,,,,,,
2,,published,41331,,show,7,,Kerawanan Longsor Pada Lereng Tanah Lunak dan Penanganannya,,Buku,['TA'],2022-04-14 03:13:57,archive,1970-01-01 00:00:00.000002020,disk0/00/04/13/31,"[{'name': {'honourific': None, 'family': 'Afriani', 'lineage': None, 'given': 'Lusmeilia'}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}]",['FT4'],book,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/41331,"[{'main': 'Dok Lengkap_Buku_Kerawanan Longsor pada Lereng Tanah Lunak dan Penanganannya.pdf', 'docid': 162921, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/458249', 'objectid': 162921, 'filesize': 2517299, 'datasetid': 'document', 'mtime': '2022-04-14 03:10:56', 'hash_type': 'MD5', 'hash': '0a20c0775be0f5213f4c1755cb9cef00', 'filename': 'Dok Lengkap_Buku_Kerawanan Longsor pada Lereng Tanah Lunak dan Penanganannya.pdf', 'fileid': 458249, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162921', 'eprintid': 41331, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,2022-04-14 03:13:57,2022-04-14 03:13:57,808,,,Penerbit Lakeisha,,,,,,,,,,,,,,,,,,,,,
3,University of Malahayati Bandar Lampung,published,41236,International Conference on Engineering Science and Technology 2019   IOP Conf. Series: Materials Science and Engineering 807 (2020) 012008,show,10,conference,Modification Compression Strength of Test Machine by Using Control System on Compaction Energy,29 - 30 Agustus 2019,"Abstract. Soil compaction for specific construction is determined soil density tests. Several
methods have been developed by previous researches and the prominent method is soil
density. Several types of soil compaction method in the field, namely compaction method
using vibration machine, impact, and pressure. In laboratories, soil compaction test was
performed by using a hammer which uses human strength to solidify soil. An experimental
investigation was conducted to explore a new modification related to compression strength
test machine with energy compaction control system control system the energy of
compaction. Researchers tried to design and make a soil compactor with a different mould
measures from the standard Proctor method to modified method.  The special of this new tool
is that it can measure the compaction energy from each layer and dry density values. This
research used different pressures as much as 1.67 N/mm
2
 - 20 N/mm
2
, every load conducted
for sandy clay and silt samples. The values of dry density obtained from this research were
between 1.59 kN/m3 - 1.68 kN/m3 and the value is higher compared with the value obtained
from experiments using the Standard Proctor system. Meanwhile, the soil compaction results
in the laboratory by using a new modification compression strength test machine with energy
compaction control system can be an option of heavy equipment which can be used in the
field.",['TA'],2022-04-12 01:45:53,archive,1970-01-01 00:00:00.000002020,disk0/00/04/12/36,"[{'name': {'given': 'Lusmeilia', 'family': 'Afriani', 'honourific': None, 'lineage': None}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}, {'id': 'idharmahadi.adha@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Adha', 'given': 'Idharmahadi'}}, {'name': {'honourific': None, 'family': 'Juansyah', 'lineage': None, 'given': 'Yan'}, 'id': 'juansyah1@yahoo.com'}, {'id': None, 'name': {'given': 'Rina', 'honourific': None, 'family': 'Febrina', 'lineage': None}}]",['FT4'],conference_item,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/41236,"[{'security': 'public', 'placement': 1, 'eprintid': 41236, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 162749, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457397', 'datasetid': 'document', 'filesize': 1299799, 'fileid': 457397, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-12 00:47:09', 'filename': '17. Dok_Lengkap_IOP Conf Series_Modification Compression.pdf', 'hash': '7592deb7822ff975f60361d6b9872adb'}], 'docid': 162749, 'main': '17. Dok_Lengkap_IOP Conf Series_Modification Compression.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162749', 'rev_number': 1, 'format': 'text', 'pos': 1}]",speech,pub,2022-04-12 01:22:44,2022-04-12 01:45:53,808,,,,1-12,,,,,,,,,,,,,,,,,,,,
4,,published,41150,,show,8,,"Similarity Check Result Artikel Jurnal Internasional Terindex Q3 dari artikel Soil Shrinkage and
Consolidation Study on Flood
Embankments in Swamp
irrigation Areas (Case Study:
Tulang Bawang - Indonesia)",,"Cek sililarity dari Artikel berjudul Soil Shrinkage and
Consolidation Study on Flood
Embankments in Swamp
irrigation Areas (Case Study:
Tulang Bawang - Indonesia)",['TA'],2022-04-07 00:49:02,archive,2020-11-01 00:00:00.000000000,disk0/00/04/11/50,"[{'name': {'given': 'Lusmeilia', 'family': 'Afriani', 'honourific': None, 'lineage': None}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}, {'name': {'given': 'Gatot', 'family': 'Gatot Eko Susilo', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'given': 'sri', 'lineage': None, 'honourific': None, 'family': 'Nawangrini'}, 'id': None}, {'id': 'one_iswan@ymail.com', 'name': {'given': 'iswan', 'family': 'Iswan', 'honourific': None, 'lineage': None}}]",['FT4'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/41150,"[{'eprintid': 41150, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 162609, 'main': 'Plagiarisme Artikel Q3_Soil Shrinkage_LA.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/456771', 'objectid': 162609, 'filename': 'Plagiarisme Artikel Q3_Soil Shrinkage_LA.pdf', 'hash': '330344c3c83088850933f629732ae122', 'hash_type': 'MD5', 'mtime': '2022-04-06 15:12:53', 'mime_type': 'application/pdf', 'fileid': 456771, 'filesize': 2484319, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162609', 'rev_number': 1}]",,pub,2022-04-07 00:49:02,2022-04-07 00:49:02,808,,http://www.hrpub.org/journals/jour_archive.php?id=48,Horizon Research Publishing Corporation,,Vol. 8 No. 6,,,,,,,,,,,,,,,,,,,
5,University of Malahayati Bandar Lampung,published,21880,"International Conference on Engineering Science and Technology 2019 29-30 August 2019, Lampung, Indonesia",show,8,conference,Modification Compression Strength of Test Machine by Using Control System on Compaction Energy,29 - 30 Agustus 2019,"Soil compaction for specific construction is determined soil density tests. Several
methods have been developed by previous researches and the prominent method is soil
density. Several types of soil compaction method in the field, namely compaction method
using vibration machine, impact, and pressure. In laboratories, soil compaction test was
performed by using a hammer which uses human strength to solidify soil. An experimental
investigation was conducted to explore a new modification related to compression strength
test machine with energy compaction control system control system the energy of
compaction. Researchers tried to design and make a soil compactor with a different mould
measures from the standard Proctor method to modified method. The special of this new tool
is that it can measure the compaction energy from each layer and dry density values. This
research used different pressures as much as 1.67 N/mm2
- 20 N/mm2
, every load conducted
for sandy clay and silt samples. The values of dry density obtained from this research were
between 1.59 kN/m3 - 1.68 kN/m3 and the value is higher compared with the value obtained
from experiments using the Standard Proctor system. Meanwhile, the soil compaction results
in the laboratory by using a new modification compression strength test machine with energy
compaction control system can be an option of heavy equipment which can be used in the
field.",['TA'],2020-06-04 17:07:56,archive,2020-04-22 00:00:00.000000000,disk0/00/02/18/80,"[{'name': {'given': 'Lusmeilia', 'honourific': None, 'family': 'Afriani', 'lineage': None}, 'id': 'lusmeilia.afriani@eng.unila.ac.id'}, {'name': {'given': 'Adha', 'family': 'Idharmahadi', 'honourific': None, 'lineage': None}, 'id': 'idharmahadiadha@yahoo.com'}, {'name': {'family': 'Juansyah', 'honourific': None, 'lineage': None, 'given': 'Yan'}, 'id': 'juansyah1@yahoo.com'}, {'id': None, 'name': {'given': 'Rina', 'lineage': None, 'honourific': None, 'family': 'Febrina'}}]",['FT4'],conference_item,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/21880,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 21880, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35308', 'format': 'text', 'pos': 1, 'files': [{'objectid': 35308, 'uri': 'http://repository.lppm.unila.ac.id/id/file/202233', 'fileid': 202233, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-04 15:54:55', 'filename': 'Afriani_2020_IOP_Conf._Ser.__Mater._Sci._Eng._807_012008.pdf', 'hash': '9b56f5493f71ae1611774bf81dd5a20b', 'datasetid': 'document', 'filesize': 722287}], 'docid': 35308, 'main': 'Afriani_2020_IOP_Conf._Ser.__Mater._Sci._Eng._807_012008.pdf'}]",paper,pub,2020-06-04 17:07:56,2020-06-04 17:07:56,808,,https://iopscience.iop.org/issue/1757-899X/807/1,,1-12,,"[{'url': 'https://iopscience.iop.org/article/10.1088/1757-899X/807/1/012008', 'type': 'pub'}]",,,,,,,,,,,,,,,,,,
6,,published,41202,,show,6,,The investigation of avalanche patterns on railroad tracks with steep slopes,,"This study aims to investigate the pattern of landslides on the cliffs forming the
railway with steep slopes. This research was conducted at Rejosari Natar Station, South
Lampung Regency, Lampung Province. The point of observation is at STA 30 + 250. The data
in this study were divided into primary and secondary data. Primary data is the data that is
directly obtained in the field by taking soil samples which are then processed in the laboratory.
The secondary data is the soil characteristics data of the railroad structure starting from the rail
load, rail bearings, ballast layers, sub-ballast layers, and sub-grade. These will be used as input
in conducting railroad analysis using Plaxis modelling. Plaxis modeling requires these
variables and parameters to be analyzed based on the amount of vertical settlement, total stress,
and safety factor values that occur due to rail loads. Reserach found that the value of the soil
safety factor was <1.25. This means that the soil condition is in a critical condition for collapse
and the ground will experience landslides which can endanger the safety of the passing trains.
For this reason, improvements are needed in the soil that will experience landslides. 
Keywords: Avalance, pattern, railroad, track",['TA'],2022-04-12 01:21:37,archive,1970-01-01 00:00:00.000002020,disk0/00/04/12/02,"[{'id': 'lusmelia.afriani@eng.unila.ac.id', 'name': {'given': 'Lusmeilia', 'family': 'Afriani', 'honourific': None, 'lineage': None}}, {'id': 'iswan.1972@eng.unila.ac.id', 'name': {'given': 'Iswan', 'lineage': None, 'family': 'Iswan', 'honourific': None}}]",['FT4'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/41202,"[{'eprintid': 41202, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 162683, 'main': '1. Dok Lengkap_Jur Nas Terakreditasi_The investigation of avalanche patterns on railroad tracks with steep slopes.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/457182', 'objectid': 162683, 'hash': 'f6af6a886b4f9513acbebdfc91f8019c', 'filename': '1. Dok Lengkap_Jur Nas Terakreditasi_The investigation of avalanche patterns on railroad tracks with steep slopes.pdf', 'mtime': '2022-04-11 06:13:34', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 457182, 'filesize': 2745658, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162683'}]",,pub,2022-04-12 01:21:37,2022-04-12 01:21:37,808,,,Badan Penerbitan Jurnal Fakultas Teknik Universitas Brawijaya,119-125,,,III,2.0,2620-6218,Civil and Environmental Science Journal (Civense),,,,,,,,,,,,,,
7,,published,26119,,show,6,,"The investigation of avalanche patterns on railroad tracks
with steep slopes",,"This study aims to investigate the pattern of landslides on the cliffs forming the
railway with steep slopes. This research was conducted at Rejosari Natar Station, South
Lampung Regency, Lampung Province. The point of observation is at STA 30 + 250. The data
in this study were divided into primary and secondary data. Primary data is the data that is
directly obtained in the field by taking soil samples which are then processed in the laboratory.
The secondary data is the soil characteristics data of the railroad structure starting from the rail
load, rail bearings, ballast layers, sub-ballast layers, and sub-grade. These will be used as input
in conducting railroad analysis using Plaxis modelling. Plaxis modeling requires these
variables and parameters to be analyzed based on the amount of vertical settlement, total stress,
and safety factor values that occur due to rail loads. Reserach found that the value of the soil
safety factor was <1.25. This means that the soil condition is in a critical condition for collapse
and the ground will experience landslides which can endanger the safety of the passing trains.
For this reason, improvements are needed in the soil that will experience landslides.",['TA'],2020-11-19 03:03:51,archive,2020-10-01 00:00:00.000000000,disk0/00/02/61/19,"[{'name': {'given': 'Lusmeilia', 'lineage': None, 'honourific': None, 'family': 'Afriani'}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}, {'id': 'one_iswan@ymail.com', 'name': {'given': 'iswan', 'honourific': None, 'family': 'Iswan', 'lineage': None}}]",['FT4'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/26119,"[{'eprintid': 26119, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 39961, 'main': '79-257-2-PB_artikel_Lusmeilia dkk_S4.pdf', 'files': [{'filesize': 601696, 'datasetid': 'document', 'hash': 'bf407bbba54ae63c53a740955a6171e3', 'filename': '79-257-2-PB_artikel_Lusmeilia dkk_S4.pdf', 'mtime': '2020-11-18 16:55:02', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 235546, 'uri': 'http://repository.lppm.unila.ac.id/id/file/235546', 'objectid': 39961}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39961'}]",,pub,2020-11-19 03:03:51,2020-11-19 03:03:51,808,,https://civense.ub.ac.id/index.php/civense/article/view/79,UB (Universitas Brawijaya),119-125,DOI: https://doi.org/10.21776/ub.civense.2020.00302.7,,3,2.0,,Civil And Environment Science Journal,,,,,,,,,,,,,,
8,,published,38375,,show,8,,The investigation of avalanche patterns on railroad tracks with steep slopes,,Similarity Cek,"['T1', 'TA']",2022-01-26 06:20:51,archive,1970-01-01 00:00:00.000002020,disk0/00/03/83/75,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Afriani', 'given': 'Lusmeilia'}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}, {'id': 'one_iswan@ymail.com', 'name': {'family': 'Iswan', 'honourific': None, 'lineage': None, 'given': 'iswan'}}]",['FT4'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/38375,"[{'security': 'public', 'placement': 1, 'eprintid': 38375, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/435043', 'objectid': 159471, 'hash': 'aa7d03390eb55d1c26989130ffcf6aa9', 'filename': 'Plagiarisme_Jurnal Shinta 4 (1)_The investigation of avalanche patterns on railroad tracks with steep slopes.pdf', 'mtime': '2022-01-26 04:51:17', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 435043, 'filesize': 2859500, 'datasetid': 'document'}], 'docid': 159471, 'main': 'Plagiarisme_Jurnal Shinta 4 (1)_The investigation of avalanche patterns on railroad tracks with steep slopes.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/159471', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,pub,2022-01-26 06:20:51,2022-01-26 06:20:51,808,,,Civil and Enviromental Science Journal,,,,,,,,,,,,,,,,,,,,,
9,,published,27142,,show,6,,Soil Shrinkage and Consolidation Study on Flood Embankments in Swamp irrigation Areas (Case Study: Tulang Bawang - Indonesia),,"Research in this paper discusses shrinking and consolidation of flood embankments soil in swamp irrigation areas. The flood embankments are made from swampy soil materials. The focus of this research is the reduction of dyke embankment height that occurs due to soil shrinkage and soil consolidation. Investigations about the time of consolidation and land subsidence that occurred on the embankment at certain periods after the embankment established were also carried out in this study. The research sites are some swamp irrigation areas in the Tulang Bawang Watershed, around North-East Lampung, Indonesia. This research was carried out by conducting laboratory tests on soil samples and field observations on the reduction in height of flood embankments in the study area. The research shows that the main cause of total decrease on the embankment is due to linear shrinkage, consolidation of soil under the embankment, an immediate subsidence, and the subsidence of the embankment themselves. Their contribution to total decrease of embankment is 42.51%, 34.48%, 18.32%, and 4.62%, respectively. Results also indicate that the ratio between the percentage of embankment consolidation in downstream area happen faster than the one in upstream area of the river.",['TA'],2020-12-28 01:45:24,archive,2020-12-01 00:00:00.000000000,disk0/00/02/71/42,"[{'name': {'given': 'Lusmeilia', 'lineage': None, 'family': 'Afriani', 'honourific': None}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}, {'id': 'gatot89@yahoo.ca', 'name': {'lineage': None, 'family': 'Susilo', 'honourific': None, 'given': 'Gatot Eko'}}, {'name': {'given': 'iswan', 'lineage': None, 'family': 'Iswan', 'honourific': None}, 'id': 'one_iswan@ymail.com'}, {'id': None, 'name': {'honourific': None, 'family': 'Nawangrini', 'lineage': None, 'given': 'Sri'}}]",['FT4'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/27142,"[{'eprintid': 27142, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 41162, 'main': 'CEA7-14820674.pdf', 'files': [{'filesize': 647934, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-12-24 16:34:30', 'hash': 'ecf092af31ade23a9511dbcbeb857f2e', 'filename': 'CEA7-14820674.pdf', 'fileid': 243286, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/243286', 'objectid': 41162}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41162', 'rev_number': 1}]",,pub,2020-12-28 01:45:24,2020-12-28 01:45:24,808,,http://www.hrpub.org/journals/jour_archive.php?id=48,hrpub,1225-1233,DOI: 10.13189/cea.2020.080607.,,8,6.0,,Civil Engineering and Architecture 8,,,,,,,,,,,,,,
