,volume,rev_number,metadata_visibility,title,official_url,subjects,abstract,eprint_status,status_changed,date_type,eprintid,full_text_status,uri,refereed,number,ispublished,publisher,documents,datestamp,pagerange,lastmod,userid,dir,date,publication,issn,creators,divisions,type,corp_creators,contact_email,event_location,event_title,event_type,event_dates,succeeds,pres_type,contributors,funders,related_url,id_number,projects,patent_applicant,pages,referencetext,keywords,series,place_of_pub,isbn
0,10.0,6,show,Rancang Bangun Alat Monitoring Arus dan Tegangan Berbasis Mikrokontroler dengan SMS Gateway,https://electrician.unila.ac.id/index.php/ojs/article/view/215,['TK'],"Intisari—Banyak daerah di Indonesia yang belum terjangkau PLN terutama daerah terpencil. Kondisi ini yang mendorong masyarakat untuk membangun sistem pembangkit listrik sendiri seperti Pembangkit Listrik Tenaga Mikrohidro dan Pembangkit Listrik Tenaga Surya. Oleh karena pembangkit ini memanfaatkan kondisi alam maka energi yang dihasilkan juga sangat bergantung dengan alam, maka dibutuhkan alat untuk menggabungkan pembangkit listrik alternatif ini menjadi satu jaringan untuk menambah kehandalan jaringan. Dengan cara menghibridkan pembangkit alternatif maka menambah kehandalan dari jaringan, namun jaringan yang sudah hibrid butuh dimonitoring untuk memantau arus dan tegangan yang ada pada jaringan tersebut.Monitoring arus dan tegangan dari system hybrid dibuatlah alat monitoring arus dan tegangan berbasis mikrokontroler dengan sms gateway untuk mempermudah monitoring arus dan tegangan. Arus dan tegangan akan dimonitoring secara berkala melalui jaringan telekomunikasi melewati sms setiap 5 menit.Kata kunci —SMS, PLN, PLTMH, PLTS, Monitoring. Abstract —Many areas in Indonesia which have not been reached PLN particularly remote areas. These conditions which encourage people to build their own power generation systems such as micro hydro power plant and Solar Power. Therefore, these plants utilize natural conditions, the energy generated is also very dependent on the nature, it is necessary tool to combine alternative power generation is becoming one network to increase network reliability. By way of an alternative plant menghibridkan then add to the reliability of the network, but the network already hybrids need to be monitored to the current and voltage monitor that exist on the network.Monitoring current and voltage in a hybrid system made of current and voltage monitoring tool based microcontroller with sms gateway to facilitate monitoring of current and voltage. Current and voltage to be monitored on a regular basis via telecommunications networks pass through sms every 5 minutes.Keywords—SMS, PLN, Solar Power Plant, Micro Hydro Power Plant, Monitoring.",archive,2020-02-17 03:43:29,published,17474,public,http://repository.lppm.unila.ac.id/id/eprint/17474,TRUE,2.0,pub,Universitas Lampung,"[{'files': [{'datasetid': 'document', 'filesize': 790147, 'mime_type': 'application/pdf', 'fileid': 147785, 'filename': 'Rancang Bangun Alat Monitoring Arus dan Tegangan Berbasis Mikrokontroler dengan SMS Gateway.pdf', 'hash': '9a7479632f563a3596585ef9895660c7', 'hash_type': 'MD5', 'mtime': '2020-01-03 07:31:26', 'objectid': 30601, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147785'}], 'main': 'Rancang Bangun Alat Monitoring Arus dan Tegangan Berbasis Mikrokontroler dengan SMS Gateway.pdf', 'docid': 30601, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30601', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 17474, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-02-17 03:43:29,87-98,2020-02-17 03:43:29,484,disk0/00/01/74/74,2016-05-01 00:00:00.000000000,ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,1978-6042,"[{'name': {'given': 'Fitriandi', 'honourific': None, 'family': 'Afrizal', 'lineage': None}, 'id': None}, {'name': {'family': 'Endah', 'honourific': None, 'lineage': None, 'given': 'Komalasari'}, 'id': 'endah.komalasari@eng.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Herri', 'given': 'Gusmedi'}, 'id': 'herri.gusmedi@eng.unila.ac.id'}]",['FT5'],article,,,,,,,,,,,,,,,,,,,,
1,10.0,6,show,Studi Pemasangan Step Voltage Regulator dengan Model Injeksi Daya pada Jaringan Menengah 20 KV Penyulang Katu Gardu Induk Menggala,https://electrician.unila.ac.id/index.php/ojs/article/view/218,['TK'],"Intisari---Penyulang Katu GI Menggala PT. PLN (Persero) Distribusi Lampung memiliki panjang saluran sekitar 158 km dengan maksimum beban yang terukur dari GI Menggala sekitar 4,6 MW dan terdiri dari 119 Bus. Kondisi ini mengakibatkan penyulang ini mengalami profil tegangan yang melanggar ketentuan +/- 5% sebagaimana yang dinyatakan dalam Aturan Penyambungan atau Grid Code. Untuk memperbaiki kondisi ini, salah satunya adalah dengan pemasangan step voltage regulator. Dalam penelitian ini, SVR dimodelkan sebagai injeksi daya yang kemudian dikombinasikan dengan persamaan aliran daya. SVR yang dijadikan obyek dalam penelitian ini adalah dari Type B dimana pemasangan SVR Type B dipasang di dekat sumber. Metode analisa aliran daya yang digunakan dalam penelitian ini adalah Metode Newton-Raphson. Hasil penelitian menunjukkan peningkatan tegangan akibat kontrol yang dilakukan oleh SVR. Sebelum pemasangan SVR, tegangan pada Bus 5 Penyulang Katu adalah 16,9828 kV. Setelah pemasangan SVR, terdapat peningkatan sebesar 1,3837 kV sehingga menjadi 18,3665 kV. Namun demikian, pemasangan SVR saja belum dapat memperbaiki profil tegangan secara keseluruhan akibat terlalu jauhnya drop tegangan di Penyulang Katu ini. Sehingga posisi tap maksimum SVR tidak mampu mengkompensasi tegangan yang jauh di bawah 0.95 p.u. yang terjadi di Penyulang Katu. Hasil perhitungan dilakukan dengan menggunakan perangkat lunak yang dikembangkan sendiri dan dibandingkan dengan perangkat lunak komersil yaitu ETAP. Selisih hasil perhitungan berada dalam kisaran 0.0108%.Kata kunci---aliran daya, step voltage regulator, tegangan jatuh , tap SVR . Abstract---Katu feeder of GI Menggala PT. PLN (Persero) Distribusi Lampung is about 158 km length with a maximum measured load from GI Menggala of about 4.6 MW and consists of 119 Buses. These conditions make the feeder suffers voltage profile that violates the limit of +/- 5% as stated in the Connection Code or the Grid Code. In order to correct this condition, installation of a step voltage regulator (SVR) is required. In this thesis, the SVR is modeled as a power injection and combined into the power flow equations. SVR of this research is of Type B where installation this type of SVR is near the source. Power flow analysis method used in this research is the Newton-Raphson method. The results showed an increase in voltage due to the control exercised by the SVR. Before mounting SVR, the voltage on Bus 5 of feeder Katu is 16.9828 kV. After SVR installation, the voltage becomes 18.3665 kV. However, the installation of SVR alone can not fix the overall voltage profile due to the large voltage drop along this feeder although the SVR was set to maximum tap position. The result of the calculation is done by using a self-developed software and compared to a commercial software i.e. ETAP. The difference in calculation results are within the range of 0.0108%.Keywords---power flow, step voltage regulators, voltage drop, tap SVR.",archive,2020-02-17 03:43:26,published,17475,public,http://repository.lppm.unila.ac.id/id/eprint/17475,TRUE,2.0,pub,Universitas Lampung,"[{'files': [{'filesize': 490100, 'datasetid': 'document', 'mtime': '2020-01-03 07:35:45', 'hash_type': 'MD5', 'filename': 'Studi Pemasangan Step Voltage Regulator dengan Model Injeksi Daya pada Jaringan Menengah 20 KV Penyulang Katu Gardu Induk Menggala.pdf', 'hash': 'fdf28b76e23b79ea61e5e4601c4fd9f4', 'fileid': 147791, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147791', 'objectid': 30602}], 'main': 'Studi Pemasangan Step Voltage Regulator dengan Model Injeksi Daya pada Jaringan Menengah 20 KV Penyulang Katu Gardu Induk Menggala.pdf', 'docid': 30602, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30602', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 17475, 'mime_type': 'application/pdf', 'language': 'en'}]",2020-02-17 03:43:26,130-139,2020-02-17 03:43:26,484,disk0/00/01/74/75,2016-05-01 00:00:00.000000000,ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,1978-6042,"[{'name': {'lineage': None, 'family': 'Binsar', 'honourific': None, 'given': 'Daniel Sandi'}, 'id': None}, {'id': 'plgsekip@eng.unila.ac.id', 'name': {'given': 'Hakim', 'lineage': None, 'family': 'Lukmanul', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Herri', 'lineage': None, 'given': 'Gusmedi'}, 'id': 'herri.gusmedi@eng.unila.ac.id'}]",['FT5'],article,,,,,,,,,,,,,,,,,,,,
2,,7,show,"PENEMPATAN SVC (STATIC VAR COMPENSATOR) UNTUK
MEMPERBAIKI PROFIL TEGANGAN PADA JARINGAN TRANSMISI
PT. PLN LAMPUNG",,['TK'],"Abstrak – Sistem kelistrikan merupakan salah satu kebutuhan bagi kehidupan masyarakat modern
dalam mendukung keberlangsungan aktifitas masyarakat. Peningkatan beban pada sistem tenaga
listrik dapat menimbulkan jatuh tegangan dan nilai rugi daya yang besar. Dalam tugas akhir ini
digunakan SVC (Static Var Compensator) yang merupakan salah satu FACTS devices, yang
berfungsi menyerap atau menginjeksikan daya reaktif untuk memperbaiki profil tegangan pada
sistem transmisi. Tugas akhir ini adalah studi kasus yang diterapkan pada saluran transmisi PLN
24 bus wilayah Lampung dengan menggunakan metode Newton-Raphson pada simulasi
MATLAB.
Hasil penelitian menunjukkan bahwa dengan menerapkan SVC pada weak bus pada sistem
transmisi maka profil tegangan dapat diperbaiki dalam batas yang diizinkan. Penempatan SVC
pada weak bus 7 (Manggala) memperbaiki profil tegangan pada weak bus 7 (Manggala) dan bus 8
(Gumawang) naik sebesar 1.35% dan 1.45% dari 0.9283p.u dan 0.9012p.u menjadi 0.941p.u dan 0.9145p.u, penempatan SVC pada weak bus bus 8 (Gumawang) memperbaiki profil tegangan pada weak bus 7 (Manggala) dan bus 8 (Gumawang) naik sebesar 6.18% dan 9,88% dari 0.9283p.u dan
0.9012p.u menjadi 0.9895p.u dan 1p.u.

Kata kunci : SVC (Static Var Compensator), Flexible AC Transmission Systems (FACTS), Metode Newton-Raphson, Perbaikan Profil Tegangan, Transmisi PLN Lampung",archive,2017-06-05 01:49:51,,2985,public,http://repository.lppm.unila.ac.id/id/eprint/2985,FALSE,,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 2985, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2877', 'rev_number': 1, 'docid': 2877, 'main': '542-1052-1-SM.pdf', 'files': [{'objectid': 2877, 'uri': 'http://repository.lppm.unila.ac.id/id/file/20692', 'datasetid': 'document', 'filesize': 811410, 'fileid': 20692, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-06-02 03:33:40', 'hash': '895a4811d3e78fa86fc77ce380e93d42', 'filename': '542-1052-1-SM.pdf'}]}]",2017-06-05 01:49:51,,2017-06-05 01:49:51,656,disk0/00/00/29/85,2016-08-01 00:00:00.000000000,JITET Jurnal Informatika dan Teknik Elektro,2303-0577,"[{'id': 'despa@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Despa', 'honourific': None, 'given': 'Dikpride'}}, {'name': {'given': 'Herri', 'honourific': None, 'family': 'Gusmedi', 'lineage': None}, 'id': 'herri.gusmedi@eng.unila.ac.id'}]",['FT5'],article,['Arya Wiguna B'],,,,,,,,,,,,,,,,,,,
3,10.0,7,show,Perbaikan Tahanan Pentanahan dengan Menggunakan Bentonit Teraktivasi,https://electrician.unila.ac.id/index.php/ojs/article/view/193,['TK'],"Intisari — Salah satu hal yang mempengaruhi tahanan pentanahan adalah tahanan jenis tanah. Tahanan jenis tanah dipengaruhi oleh beberapa hal yaitu struktur tanah, temperatur, pengaruh kandungan air (kelembaban), dan pengaruh kandungan kimia dalam tanah. Dalam penelitian ini untuk menurunkan tahanan pentanahan dilakukan penambahan bentonit kedalam tanah, tetapi sebelum digunakan bentonit terlebih dulu diaktivasi. Tujuan dari penelitian ini adalah untuk Mengetahui perubahan besar tahanan pentanahan yang diberikan bentonit yang belum teraktivasi dan sudah teraktivasi. Pentanahan yang diberikan bentonit teraktivasi memiliki nilai tahanan pentanahan lebih kecil dibandingkan saat diberikan bentonit yang belum teraktivasi. Persentasi perubahan bentonit yang telah teraktivasi yaitu sebesar 79,97%-85,24% sedangkan persentasi perubahan tahanan pentanahan saat diberikan bentonit yang belum teraktivasi sebesar 22,84%-85,25%. Kata kunci — Tahanan pentanahan, tahanan jenis tanah, aktivasi bentonit Abstract — One of the things that affect the grounding resistance is soil resistivity. Soil resistivity is influenced by several things: the structure of the soil, the temperature, the influence of the water content (moisture), and the effect of chemical constituents in the soil. In this research to lose custody grounding the addition of bentonite into the ground, but before use bentonite first in activation. The aim of this study is to know the major changes grounding given bentonite which has not been activated and has been activated .Grounding were given activated bentonite has a grounding resistance value is smaller than when given bentonite which has not been activated .Percentage changes that have been activated bentonite in the amount of 79,97%-85,24% whereas the percentage change in resistance grounding when given bentonite which has not been activated by 22,84%-85,25%. Keywords— Grounding, Soil Resistivity, Activation of bentonite",archive,2020-02-17 03:43:31,published,17473,public,http://repository.lppm.unila.ac.id/id/eprint/17473,TRUE,1.0,pub,Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 17473, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30600', 'rev_number': 1, 'main': 'Perbaikan Tahanan Pentanahan dengan Menggunakan Bentonit Teraktivasi.pdf', 'docid': 30600, 'files': [{'fileid': 147778, 'mime_type': 'application/pdf', 'mtime': '2020-01-03 07:26:21', 'hash_type': 'MD5', 'filename': 'Perbaikan Tahanan Pentanahan dengan Menggunakan Bentonit Teraktivasi.pdf', 'hash': '6d32efbef9aa5c12dbc063062411499a', 'datasetid': 'document', 'filesize': 520127, 'objectid': 30600, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147778'}]}]",2020-02-17 03:43:31,44-53,2020-02-17 03:43:31,484,disk0/00/01/74/73,2016-01-01 00:00:00.000000000,ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,1978-6042,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Devy', 'given': 'Andini'}, 'id': None}, {'name': {'family': 'Yul', 'honourific': None, 'lineage': None, 'given': 'Martin'}, 'id': 'yul.martin@eng.unila.ac.id'}, {'name': {'given': 'Gusmedi', 'lineage': None, 'family': 'Herri', 'honourific': None}, 'id': 'herri.gusmedi@eng.unila.ac.id'}]",['FT5'],article,,,,,,,,,,,,,,,,,,,,
4,,7,show,"Penilaian Karya Ilmiah Untuk Artikel ""Design of Frequency Generator and Amplifier Level Converter Using 300nm CMOS Technology for Electro Capacitive Cancer Therapy (ECCT) Standard Operation Mode System""",https://ieeexplore.ieee.org/document/7886751,['TK'],,archive,2020-11-16 03:07:15,,25422,public,http://repository.lppm.unila.ac.id/id/eprint/25422,,,pub,Institute of Electrical and Electronics Engineers (IEEE),"[{'files': [{'datasetid': 'document', 'filesize': 1778867, 'mime_type': 'application/pdf', 'fileid': 229530, 'filename': '11. Penilaian_Karya_Ilmiah_Design of Frequency Generator and Amplifier Level Converter.pdf', 'hash': '08e0afc17d44086534809e04e0b06117', 'hash_type': 'MD5', 'mtime': '2020-11-16 02:58:22', 'objectid': 39211, 'uri': 'http://repository.lppm.unila.ac.id/id/file/229530'}], 'main': '11. Penilaian_Karya_Ilmiah_Design of Frequency Generator and Amplifier Level Converter.pdf', 'docid': 39211, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39211', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 25422, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-11-16 03:07:15,,2020-11-16 03:07:15,663,disk0/00/02/54/22,2016-11-01 00:00:00.000000000,,,"[{'name': {'family': 'Fitriawan', 'honourific': None, 'lineage': None, 'given': 'Helmy'}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}]",['FT5'],other,,helmy.fitriawan@eng.unila.ac.id,,,,,,,,,,,,,,,,,,
5,,7,show,"Penilaian Karya Ilmiah Untuk Artikel ""Neural Networks for Lampung Characters Handwritten Recognition""",https://ieeexplore.ieee.org/document/7808365,['TK'],,archive,2020-11-16 02:56:53,,25415,public,http://repository.lppm.unila.ac.id/id/eprint/25415,,,pub,Institute of Electrical and Electronics Engineers (IEEE),"[{'files': [{'objectid': 39204, 'uri': 'http://repository.lppm.unila.ac.id/id/file/229477', 'mime_type': 'application/pdf', 'fileid': 229477, 'filename': '9. Penilaian_Karya_Ilmiah_Neural Networks for Lampung Characters Handwritten Recognition.pdf', 'hash': '704effd9826dc3e7db348a01a456c1ab', 'hash_type': 'MD5', 'mtime': '2020-11-16 02:50:03', 'datasetid': 'document', 'filesize': 1711229}], 'main': '9. Penilaian_Karya_Ilmiah_Neural Networks for Lampung Characters Handwritten Recognition.pdf', 'docid': 39204, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39204', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 25415, 'mime_type': 'application/pdf', 'language': 'en'}]",2020-11-16 02:56:53,,2020-11-16 02:56:53,663,disk0/00/02/54/15,2016-07-01 00:00:00.000000000,,,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'given': 'Helmy', 'lineage': None, 'honourific': None, 'family': 'Fitriawan'}}]",['FT5'],other,,helmy.fitriawan@eng.unila.ac.id,,,,,,,,,,,,,,,,,,
6,,7,show,"Similarity Index Untuk Artikel ""Design of Frequency Generator and Amplifier Level Converter Using 300nm CMOS Technology for Electro Capacitive Cancer Therapy (ECCT) Standard Operation Mode System""",https://ieeexplore.ieee.org/document/7886751,['TK'],,archive,2020-11-11 07:40:48,,24940,public,http://repository.lppm.unila.ac.id/id/eprint/24940,,,pub,Institute of Electrical and Electronics Engineers (IEEE),"[{'security': 'public', 'placement': 1, 'eprintid': 24940, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/225832', 'objectid': 38683, 'filesize': 1194711, 'datasetid': 'document', 'hash': '29d071ed54882b2883351be4c9cb371c', 'filename': '11. Design_of_Frequency_Generator_and_Amplifier_Level_.pdf', 'mtime': '2020-11-11 07:31:26', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 225832}], 'docid': 38683, 'main': '11. Design_of_Frequency_Generator_and_Amplifier_Level_.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38683', 'format': 'text', 'pos': 1}]",2020-11-11 07:40:48,,2020-11-11 07:40:48,663,disk0/00/02/49/40,2016-11-01 00:00:00.000000000,,,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'given': 'Helmy', 'family': 'Fitriawan', 'honourific': None, 'lineage': None}}]",['FT5'],other,,helmy.fitriawan@eng.unila.ac.id,,,,,,,,,,,,,,,,,,
7,,7,show,"Similarity Index Untuk Artikel ""Neural Networks for Lampung Characters Handwritten Recognition""",https://ieeexplore.ieee.org/document/7808365,['TK'],,archive,2020-11-11 07:40:31,,24929,public,http://repository.lppm.unila.ac.id/id/eprint/24929,,,pub,Institute of Electrical and Electronics Engineers (IEEE),"[{'eprintid': 24929, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 38672, 'main': '9. Neural_Networks_for_Lampung_Characters_Handwritten.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 225758, 'filename': '9. Neural_Networks_for_Lampung_Characters_Handwritten.pdf', 'hash': '41a98719d912942651f1adc086363376', 'mtime': '2020-11-11 06:49:47', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 1097186, 'objectid': 38672, 'uri': 'http://repository.lppm.unila.ac.id/id/file/225758'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38672', 'rev_number': 1}]",2020-11-11 07:40:31,,2020-11-11 07:40:31,663,disk0/00/02/49/29,2016-07-01 00:00:00.000000000,,,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'given': 'Helmy', 'family': 'Fitriawan', 'honourific': None, 'lineage': None}}]",['FT5'],other,,helmy.fitriawan@eng.unila.ac.id,,,,,,,,,,,,,,,,,,
8,,7,show,Neural Networks for Lampung Characters Handwritten Recognition,,"['QA75', 'TK']","Character recognition technique associates a symbolic identity with the image of a character. Different characters and languages have different structures and features. Lampung character and language are different with any other languages. We have developed Lampung handwritten character recognition using back-propagation neural networks. However since some Lampung characters have similar features, hierarchical network system was performed to optimize the training and recognition algorithm. The experiment results give reasonable results of the recognition rate for the training set. 86.5% of basic characters and more than 97% for characters with tone marks can be recognised.",archive,2020-11-16 06:06:36,published,25461,public,http://repository.lppm.unila.ac.id/id/eprint/25461,TRUE,,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/39263', 'rev_number': 1, 'format': 'text', 'pos': 7, 'files': [{'datasetid': 'document', 'filesize': 3101081, 'fileid': 229829, 'mime_type': 'application/pdf', 'mtime': '2020-11-16 05:19:17', 'hash_type': 'MD5', 'hash': '232f044251c7a168d57aae9178801073', 'filename': '9. Neural Networks for Lampung Characters_2016.pdf', 'objectid': 39263, 'uri': 'http://repository.lppm.unila.ac.id/id/file/229829'}], 'main': '9. Neural Networks for Lampung Characters_2016.pdf', 'docid': 39263, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 7, 'eprintid': 25461}]",2020-11-16 06:06:36,485-488,2020-11-16 06:06:36,663,disk0/00/02/54/61,1970-01-01 00:00:00.000002016,,,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Fitriawan', 'honourific': None, 'given': 'Helmy'}}, {'id': None, 'name': {'given': 'Ariyanto', 'family': 'Ariyanto', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'given': 'Hendri', 'lineage': None, 'family': 'Setiawan', 'honourific': None}}]",['FT5'],conference_item,"['Faculty of Engineering, University of Lampung']",,"Kuala Lumpur, Malaysia",2016 International Conference on Computer & Communication Engineering,conference,26-27 Juli 2016,2842.0,paper,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Helmy Fitriawan', 'given': 'Helmy'}}, {'name': {'given': 'Helmy Fitriawan', 'lineage': None, 'honourific': None, 'family': 'Helmy Fitriawan'}}, {'name': {'honourific': None, 'family': 'Helmy Fitriawan', 'lineage': None, 'given': 'Helmy Fitriawan'}}, {'name': {'given': 'Helmy Fitriawan', 'lineage': None, 'family': 'Helmy Fitriawan', 'honourific': None}}]",,,,,,,,,,,
9,11.0,8,show,A STUDY ON REACTIVE POWER ALLOCATION FOR ELECTRICAL POWER DISTRIBUTION SYSTEM WITH LOW VOLTAGE PROFILE,http://www.arpnjournals.com/jeas/,['TK'],"Due to its long feeder line with high R/X ratio, a distribution system suffers from low voltage profile at its load nodes. This work studies reactive power allocation for this type of problem. A linear programming-based optimal power flow is proposed to solve this problem by finding minimal amount of installation of new reactive power support devices while maintaining voltage at each load bus within the ±5% deviation. The proposed approach was tested on 11-bus test system and a real-world distribution feeder in Indonesia with 119 buses and 106 load points. This actual feeder experiences voltage magnitude below the 0.95 p.u limit. Simulation results show that some load points of this feeder require installation of new reactive power support devices to maintain their voltage to be above the 0.95 p.u. limit.",archive,2016-11-07 01:17:31,published,1072,public,http://repository.lppm.unila.ac.id/id/eprint/1072,TRUE,7.0,pub,Asian Research Publishing Network,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/963', 'rev_number': 2, 'pos': 1, 'format': 'text', 'files': [{'objectid': 963, 'uri': 'http://repository.lppm.unila.ac.id/id/file/7089', 'datasetid': 'document', 'filesize': 407630, 'mime_type': 'application/pdf', 'fileid': 7089, 'hash': 'bd9419d643394cf93de46293c14b2ab5', 'filename': 'jeas_0416_4022.pdf', 'mtime': '2016-11-06 13:42:16', 'hash_type': 'MD5'}], 'main': 'jeas_0416_4022.pdf', 'docid': 963, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 1072}]",2016-11-07 01:17:31,4767-4771,2016-11-07 01:17:31,610,disk0/00/00/10/72,2016-04-10 00:00:00.000000000,ARPN Journal of Engineering and Applied Sciences,1819-6608,"[{'name': {'given': 'Lukmanul', 'lineage': None, 'family': 'Hakim', 'honourific': None}, 'id': 'plgsekip@eng.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Murdika', 'honourific': None, 'given': 'Umi'}, 'id': 'umi.murdika@eng.unila.ac.id'}, {'id': 'herri.gusmedi@eng.unila.ac.id', 'name': {'given': 'Herri', 'lineage': None, 'family': 'Gusmedi', 'honourific': None}}, {'name': {'given': 'Syamsuri', 'honourific': None, 'family': 'Zaini', 'lineage': None}, 'id': None}]",['FT5'],article,,plgsekip@eng.unila.ac.id,,,,,,,"[{'id': 'plgsekip@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Lukmanul', 'lineage': None, 'family': 'Hakim', 'honourific': None}}, {'id': 'umi.murdika@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Umi', 'lineage': None, 'family': 'Murdika', 'honourific': None}}, {'id': 'herri.gusmedi@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'family': 'Gusmedi', 'honourific': None, 'lineage': None, 'given': 'Herri'}}, {'name': {'honourific': None, 'family': 'Zaini', 'lineage': None, 'given': 'Syamsuri'}, 'id': None, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]","['Kementrian Riset, Teknologi, dan Pendidikan Tinggi']","[{'url': 'http://www.arpnjournals.org/jeas/research_papers/rp_2016/jeas_0416_4022.pdf', 'type': 'pub'}]",jeas_0416_4022,['Hibah Fundamental'],,,,,,,
