,eprintid,isbn,title,place_of_pub,metadata_visibility,rev_number,eprint_status,status_changed,subjects,creators,pages,dir,date,type,divisions,documents,publisher,ispublished,refereed,uri,full_text_status,userid,lastmod,datestamp,pres_type,event_location,event_title,event_type,event_dates,abstract,issn,publication,official_url,date_type,pagerange,number,volume,id_number,related_url,funders,contact_email,projects,contributors,corp_creators,patent_applicant,succeeds,referencetext
0,11986,978-602-5940-94-1,English: Writing Skills - Paragraph Development,Bandar Lampung,show,7,archive,2019-05-09 03:12:46,['PE'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'lineage': None, 'family': 'Agustian', 'honourific': None}}]",121.0,disk0/00/01/19/86,2018-12-01 00:00:00.000000000,book,['FT6'],"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 11986, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24975', 'main': 'acover buku.pdf', 'docid': 24975, 'files': [{'mtime': '2019-05-08 01:50:58', 'hash_type': 'MD5', 'filename': 'acover buku.pdf', 'hash': '235752ab0f425f3608e30330d2ccd9f6', 'fileid': 107428, 'mime_type': 'application/pdf', 'filesize': 741302, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/107428', 'objectid': 24975}]}]",Aura Publishing,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/11986,public,390,2019-05-09 03:12:46,2019-05-09 03:12:46,,,,,,,,,,,,,,,,,,,,,,,
1,28313,,SK Penerima Hibah Penelitian Kemristekdikti Tahun 2018,,show,7,archive,2021-03-10 02:13:15,['TP'],"[{'name': {'lineage': None, 'family': 'Agustian', 'honourific': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}]",,disk0/00/02/83/13,1970-01-01 00:00:00.000002018,other,['FT6'],"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 28313, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42357', 'format': 'text', 'pos': 1, 'files': [{'objectid': 42357, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251768', 'datasetid': 'document', 'filesize': 941084, 'fileid': 251768, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-03-09 08:30:07', 'hash': '9a47d05cae5daf7e11e0629776ae13d5', 'filename': '1 Pemenang Hibah Penelitian Kompetitif Kemristekdikti Tahun 2018 rev.pdf'}], 'docid': 42357, 'main': '1 Pemenang Hibah Penelitian Kompetitif Kemristekdikti Tahun 2018 rev.pdf'}]",FT Unila,unpub,,http://repository.lppm.unila.ac.id/id/eprint/28313,public,390,2021-03-10 02:13:15,2021-03-10 02:13:15,,,,,,,,,,,,,,,,,,,,,,,
2,18957,,Similarity Check: Turnitin The Optimised Statistical Model for Enzymatic Hydrolysis of Tapioca by Glucoamylase Immobilised on Mesostructured Cellular Foam Silica,,show,7,archive,2020-04-06 01:18:51,['TP'],"[{'name': {'honourific': None, 'family': 'Agustian', 'lineage': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}]",,disk0/00/01/89/57,2018-12-01 00:00:00.000000000,other,['FT6'],"[{'eprintid': 18957, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Turnitin ECTJ JAG.pdf', 'docid': 32199, 'files': [{'mime_type': 'application/pdf', 'fileid': 159092, 'hash': 'b02aa10d293b865cb055f4828f3ccb0c', 'filename': 'Turnitin ECTJ JAG.pdf', 'hash_type': 'MD5', 'mtime': '2020-04-05 04:56:32', 'datasetid': 'document', 'filesize': 3195296, 'objectid': 32199, 'uri': 'http://repository.lppm.unila.ac.id/id/file/159092'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32199', 'rev_number': 1}]","The Institute of Combustion Problems, 050012 Bogenbay Batyr Str., 172, Almaty, the Republic of Kazakhstan.",pub,,http://repository.lppm.unila.ac.id/id/eprint/18957,public,390,2020-04-06 01:18:51,2020-04-06 01:18:51,,,,,,,,,,,,,,,,,,,,,,,
3,10046,,"Capability of immobilised glucoamylase on mesostructured cellular foam
silica to hydrolyse tapioca starch",,show,7,archive,2018-11-16 17:31:30,['TP'],"[{'name': {'lineage': None, 'family': 'Agustian', 'honourific': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'family': 'Hermida', 'honourific': None, 'lineage': None, 'given': 'Lilis'}}]",,disk0/00/01/00/46,2018-09-01 00:00:00.000000000,conference_item,['FT6'],"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23064', 'main': 'repo 3.pdf', 'docid': 23064, 'files': [{'objectid': 23064, 'uri': 'http://repository.lppm.unila.ac.id/id/file/94330', 'datasetid': 'document', 'filesize': 1581820, 'mime_type': 'application/pdf', 'fileid': 94330, 'hash': 'e33763ddd9eda93f1948fc358c2bfd4f', 'filename': 'repo 3.pdf', 'hash_type': 'MD5', 'mtime': '2018-11-15 14:22:50'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 10046, 'placement': 1, 'security': 'public'}]",,unpub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10046,public,390,2018-11-16 17:31:30,2018-11-16 17:31:30,speech,Semarang,13th joint conference on chemistry,conference,7-8 september 2018,"The mesoporous size siliceous-based materials have been associated with the
immobilisation of free glucoamylase and the soluble starches hydrolysis. Since ethanol
and other chemicals can be made from insoluble substrates such as tapioca, application
of the immobilised glucoamylase on mesostructured cellular foam (MCF) silica to
hydrolyse this starch is studied. To get knowledge of this process for development of a
large-scale operation, the free glucoamylase SQzyme AGP was immobilised on the MCF
silica (9.2T-3D) type. The formed immobilised glucoamylase was used to hydrolyse
tapioca starch. The free enzyme was able to be immobilised onto carrier with efficiencies
of 39.20-84.84%. The operational factors i.e. temperature, agitation speed and pH
affected the immobilisation process highly. During the enzymatic hydrolysis of the
starch, effects of the operational temperature and agitation speed were high. The
dextrose equivalent (DE) values in the range of 1.21-81.70% were produced. The
optimum temperature and agitation speed were found at 70C and 140 rpm. Other
factors such as buffer pH, starch concentration and enzyme unit activity showed low
effects on the hydrolysis process. Excellent DE were obtained at the conditions of pH,
tapioca concentration and enzyme unit activity of 4.6, 3 mg mL-1 and 2351 U,
respectively.",,,,,,,,,,,,,,,,,
4,9805,,"Hydrolysis of Tapioca Starch using Amylase Immobilised on Magnetic Mesostructured
Cellular Foam Silica (MCF-(9.2T-3D))",,show,7,archive,2018-11-14 02:49:31,['TP'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'lineage': None, 'honourific': None, 'family': 'Agustian'}}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'given': 'Lilis', 'lineage': None, 'family': 'Hermida', 'honourific': None}}]",,disk0/00/00/98/05,2018-09-01 00:00:00.000000000,conference_item,['FT6'],"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 9805, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22820', 'docid': 22820, 'main': 'undip non prosiding 02.pdf', 'files': [{'objectid': 22820, 'uri': 'http://repository.lppm.unila.ac.id/id/file/92610', 'datasetid': 'document', 'filesize': 1903211, 'fileid': 92610, 'mime_type': 'application/pdf', 'mtime': '2018-11-12 22:23:39', 'hash_type': 'MD5', 'hash': '78b314e758cde1dff8d034db48136922', 'filename': 'undip non prosiding 02.pdf'}]}]",,unpub,FALSE,http://repository.lppm.unila.ac.id/id/eprint/9805,public,390,2018-11-14 02:49:31,2018-11-14 02:49:31,speech,Semarang,13th joint conference on chemistry,conference,7-8 september 2018,"Innovations and studies of magnetic mesoporous silica for supports of alpha-amylase and
glucoamylase immobilisation have not been performed because the magnetic supports are only
associated nanoparticles (pure or composite). Therefore, it is desirable to study the method of
synthesis of magnetic mesoporous cellular foam silica, to observe the immobilization method of
amylase enzymes (alpha- and gluco) on this supports, and to know the characteristics of these
immobilized enzymes in the starch hydrolysis process. The synthesis of magnetic MCF silica is
an attempt to insert nano Fe compounds into the siliceous matrix. Variations in the number of
nanoparticles and MCF silica components as well as other operating condition factors were
studied to determine the magnetic support products based on BET, FTIR and SEM-EDX
analyzes. The operating conditions of the immobilization process of alpha-amylase and
glucoamylase enzyme on the support were varied during the process to know their effects in
which the end result is a large number of the enzymes immobilized onto the support concluded
from the analysis of protein content, FTIR and SEM-EDX. Starch hydrolysis was observed by
type of both enzymes (free and immobilized) where the liquefaction stage observation was
performed with alpha-amylase enzyme, while the saccharification stage was performed with
glucoamylase enzyme.",,,,,,,,,,,,,,,,,
5,10044,,Hydrolysis of Tapioca Starch using Amylase Immobilised on Magnetic Mesostructured Cellular Foam Silica (MCF-(9.2T-3D)),,show,8,archive,2018-11-16 17:31:27,['TP'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'family': 'Agustian', 'honourific': None, 'lineage': None}}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'given': 'Lilis', 'lineage': None, 'family': 'Hermida', 'honourific': None}}]",,disk0/00/01/00/44,2018-09-01 00:00:00.000000000,conference_item,['FT6'],"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/23062', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 94312, 'hash': '3e18dbcd55e74d82b36370dbcfd918f2', 'filename': 'repo 1.pdf', 'hash_type': 'MD5', 'mtime': '2018-11-15 14:12:29', 'datasetid': 'document', 'filesize': 1566887, 'objectid': 23062, 'uri': 'http://repository.lppm.unila.ac.id/id/file/94312'}], 'main': 'repo 1.pdf', 'docid': 23062, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 10044}]",,unpub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10044,public,390,2018-11-16 17:31:27,2018-11-16 17:31:27,speech,Semarang,13th joint conference on chemistry,conference,7-8 september 2018,"Innovations and studies of magnetic mesoporous silica for supports of alpha-amylase and glucoamylase immobilisation have not been performed because the magnetic supports are only associated nanoparticles (pure or composite). Therefore, it is desirable to study the method of synthesis of magnetic mesoporous cellular foam silica, to observe
the immobilization method of amylase enzymes (alpha- and gluco) on this supports, and to know the characteristics of these immobilized enzymes in the starch hydrolysis
process. The synthesis of magnetic MCF silica is an attempt to insert nano Fe compounds into the siliceous matrix. Variations in the number of nanoparticles and MCF silica
components as well as other operating condition factors were studied to determine the magnetic support products based on BET, FTIR and SEM-EDX analyzes. The operating
conditions of the immobilization process of alpha-amylase and glucoamylase enzyme on the support were varied during the process to know their effects in which the end result
is a large number of the enzymes immobilized onto the support concluded from the analysis of protein content, FTIR and SEM-EDX. Starch hydrolysis was observed by type
of both enzymes (free and immobilized) where the liquefaction stage observation was performed with alpha-amylase enzyme, while the saccharification stage was performed with glucoamylase enzyme.",,,,,,,,,,,,,,,,,
6,10291,,Mesostructured cellular foam MCF-(9.2T-3D) silica as support for free alfa-amylase in liquefaction of tapioca starch,,show,7,archive,2018-11-19 03:17:57,['TP'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'honourific': None, 'family': 'Agustian', 'lineage': None}}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Hermida', 'lineage': None, 'given': 'Lilis'}}]",,disk0/00/01/02/91,2018-09-01 00:00:00.000000000,conference_item,['FT6'],"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23289', 'docid': 23289, 'main': 'repo 2.pdf', 'files': [{'mtime': '2018-11-18 21:50:07', 'hash_type': 'MD5', 'hash': 'caf33f5a8db9745f7dcc60df07590fc3', 'filename': 'repo 2.pdf', 'fileid': 95973, 'mime_type': 'application/pdf', 'filesize': 1583141, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/95973', 'objectid': 23289}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 10291, 'security': 'public', 'placement': 1}]",,unpub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10291,public,390,2018-11-19 03:17:57,2018-11-19 03:17:57,speech,Semarang,13th joint conference on chemistry,conference,7-8 september 2018,"As ethanol can be made from insoluble starches, the liquefaction process of tapioca starch using alpha-amylase immobilised on the mesostructured cellular foam silica (MCF-(9.2T-3D) type) support was studied to observe characteristics of the process. The free -amylase SQzyme BAP was immobilised directly onto the support where some variables were observed during the immobilisation process. The temperature and agitation speed developed low effects on the process, but the pH of buffer solution affected the process highly. The optimum enzyme immobilisation occurred at the temperature of 50C, pH 6 and speed of 60-100 rpm giving the immobilisation efficiency of more than 80%. The
liquefaction of the insoluble starch (tapioca) conducted with the immobilised alpha-amylase gave the maximum result of ± 50% dextrose equivalent (DE). The experimental factors of buffer pH, temperature and agitation speed changed the DE value significantly, but concentration of immobilised enzyme and substrate slightly affected the hydrolysis process. The optimum operating conditions were obtained at pH 6.0, agitation speed of 100 rpm, immobilised enzyme concentration of 84.8 U, and temperature of 80C.",,,,,,,,,,,,,,,,,
7,10327,,"The Optimised Statistical Model of Enzymatic Hydrolysis of
Tapioca by Glucoamylase Immobilised on Mesostructured
Cellular Foam Silica",,show,7,archive,2019-01-02 07:54:56,['TP'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'lineage': None, 'family': 'Agustian', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hermida', 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",,disk0/00/01/03/27,2018-08-15 00:00:00.000000000,article,['FT6'],"[{'main': 'bcrec 1.pdf', 'docid': 23313, 'files': [{'objectid': 23313, 'uri': 'http://repository.lppm.unila.ac.id/id/file/96203', 'datasetid': 'document', 'filesize': 1288859, 'fileid': 96203, 'mime_type': 'application/pdf', 'mtime': '2018-11-19 06:47:43', 'hash_type': 'MD5', 'hash': '4dca5dcd129621304f28e76d332bf771', 'filename': 'bcrec 1.pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23313', 'rev_number': 1, 'eprintid': 10327, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]","Department of Chemical Engineering, Diponegoro University",unpub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10327,public,390,2019-01-02 07:54:56,2019-01-02 07:54:56,,,,,,"Enzymatic hydrolysis of starches using free glucoamylase to produce reducing sugars,
which are substrates for various fermentation processes, often have difficulties in recovering
and recycling of the free enzyme back to the process. Therefore, free glucoamylase
immobilisation onto inert insoluble supports is widely studied. One of these supports were
siliceous-based compounds, which had large surface areas and particle diameters and could be
used for many operating cycles. However, effectiveness of glucoamylase on these supports
were observed only on soluble starches. Hence, it is considered a valuable thing to know
performance of glucoamylase immobilised on Mesostructured Cellular Foam (MCF) silica in
hydrolysing of insoluble starches such as tapioca. An optimised study on the enzymatic
tapioca hydrolysis using MCF silica (9.2T-3D)-based glucoamylase and Kinetics of the
process are described including the process justification of the predicted model.
Immobilisation of glucoamylase on this support gave up to 82% efficiency with the
immobilised enzyme specific activity of 1,856.78 U g-1. Its uses to hydrolysis of tapioca
starch resulted DE values of 1.740-76.303% (w/w) where the highest DE was obtained at pH
of 4.1, temperature of 70℃ and agitation speed of 140 rpm. The statistical optimisation
produced a polynomial quadratic model. It has insignificant lack-of-fit and low standard
deviation, so that the model applicable and reliable in simulating the results in which only
0.80% of the data were not described. Temperature affected the process highly, but the buffer
pH, agitation speed and factorial interactions were considered not important. KM value for
immobilised enzyme was better than the free glucoamylase, however, its reaction rate was
slower than the free glucoamylase catalysis.",1978-2993,Bulletin of Chemical Reaction Engineering & Catalysis,http://bcrec.undip.ac.id,submitted,,,,,,,,,,,,,
8,11345,,"Saccharification Kinetics at Optimised Conditions of Tapioca by
Glucoamylase Immobilised on Mesostructured Cellular Foam Silica",,show,9,archive,2019-04-29 08:19:33,['TP'],"[{'name': {'honourific': None, 'family': 'Agustian', 'lineage': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Hermida', 'honourific': None, 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",,disk0/00/01/13/45,2018-12-01 00:00:00.000000000,article,['FT6'],"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 11345, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24341', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 1446743, 'mime_type': 'application/pdf', 'fileid': 103202, 'filename': 'ECTJ Final Article.pdf', 'hash': '7c6e2c7fc68f6ca13692f7a15f4b3332', 'mtime': '2019-04-28 09:19:58', 'hash_type': 'MD5', 'objectid': 24341, 'uri': 'http://repository.lppm.unila.ac.id/id/file/103202'}], 'docid': 24341, 'main': 'ECTJ Final Article.pdf'}]","The Institute of Combustion Problems, 050012 Bogenbay Batyr Str., 172, Almaty, the Republic of Kazakhstan.",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/11345,public,390,2019-04-29 08:19:33,2019-04-29 08:19:33,,,,,,"As insoluble substrates such as tapioca can be used to make chemical compounds,
saccharification of tapioca by glucoamylase immobilised on mesostructured cellular
foam (MCF) silica using Box-Behnken Design of experiment was conducted
to optimize this process so that the experimental results can be used to develop
large-scale operations. The experiments gave dextrose equivalent (DE) values of
6.15–69.50% (w/w). Factors of pH and temperature affected the process highly.
The suggested quadratic polynomial model is significant and considered acceptable
(R2 = 99.78%). Justification of the model confirms its validity and adequacy where
the predicted DE shows a good agreement with the experimental results. The kinetic
constants (Vmax, KM) produced by the immobilised enzyme differed highly from the
values yielded by free glucoamylase indicating reduction of substrate access to
enzyme active sites had occurred.","ISSN 1562-3920, eISSN 2522-4867",eurasian chemico-technological journal,http://ect-journal.kz/index.php/ectj/about,,311-318,4.0,20,,,,,,,,,,
9,10263,,Saccharification Kinetics at Optimised Conditions of Tapioca by Glucoamylase Immobilised on Mesostructured Cellular Foam Silica,,show,6,archive,2018-11-19 03:16:46,['TP'],"[{'name': {'honourific': None, 'family': 'Agustian', 'lineage': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Hermida', 'given': 'Lilis'}}]",,disk0/00/01/02/63,2018-10-01 00:00:00.000000000,article,['FT6'],"[{'security': 'public', 'placement': 1, 'eprintid': 10263, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 1591834, 'mime_type': 'application/pdf', 'fileid': 95788, 'filename': 'ECTJ 1.pdf', 'hash': 'f29cbddf519001a16da565ad24fcd35b', 'hash_type': 'MD5', 'mtime': '2018-11-18 10:06:53', 'objectid': 23264, 'uri': 'http://repository.lppm.unila.ac.id/id/file/95788'}], 'docid': 23264, 'main': 'ECTJ 1.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23264', 'format': 'text', 'pos': 1}]","The Institute of Combustion Problems, 050012 Bogenbay Batyr Str., 172, Almaty, the Republic of Kazakhstan.",unpub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10263,public,390,2018-11-19 03:16:46,2018-11-19 03:16:46,,,,,,"As insoluble substrates such as tapioca can be used to make chemical compounds,saccharification of tapioca by glucoamylase immobilised on mesostructured cellular
foam (MCF) silica using Box-Behnken Design of experiment was conducted to optimize this process so that the experimental results can be used to develop
large-scale operations. The experiments gave dextrose equivalent (DE) values of 6.15–69.50% (w/w). Factors of pH and temperature affected the process highly.
The suggested quadratic polynomial model is significant and considered acceptable (R = 99.78%). Justification of the model confirms its validity and adequacy where
the predicted DE shows a good agreement with the experimental results. The kinetic constants (Vmax, KM) produced by the immobilised enzyme differed highly from the values yielded by free glucoamylase indicating reduction of substrate access to enzyme active sites had occurred.","ISSN 1562-3920, eISSN 2522-4867",eurasian chemico technological journal,http://ect-journal.kz/index.php/ectj/about,completed,,,,,,,,,,,,,
