,creators,dir,date,type,divisions,documents,publisher,ispublished,uri,full_text_status,lastmod,userid,datestamp,eprintid,title,metadata_visibility,rev_number,eprint_status,status_changed,subjects,date_type,official_url,volume,related_url,abstract,publication,issn,funders,number,refereed,pagerange,id_number,pres_type,event_dates,event_type,event_location,event_title,contact_email,corp_creators,contributors,isbn,place_of_pub,pages,book_title,succeeds,projects,referencetext
0,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Agustian', 'honourific': None, 'given': 'Joni'}}]",disk0/00/02/83/12,2019-07-01 00:00:00.000000000,other,['FT6'],"[{'security': 'public', 'placement': 1, 'eprintid': 28312, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 1082149, 'datasetid': 'document', 'filename': '2 Reviewer Jurnal Internasional Reputasi 02 Biochemical Engineering Journal full.pdf', 'hash': 'acbab58a0e3897e810d881451d30ca8c', 'mtime': '2021-03-09 08:15:52', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 251758, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251758', 'objectid': 42356}], 'main': '2 Reviewer Jurnal Internasional Reputasi 02 Biochemical Engineering Journal full.pdf', 'docid': 42356, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42356', 'rev_number': 1, 'format': 'text', 'pos': 1}]",FT Unila,unpub,http://repository.lppm.unila.ac.id/id/eprint/28312,public,2021-03-10 02:13:12,390,2021-03-10 02:13:12,28312,Mereview Artikel Jurnal Internasional Reputasi 2: Biochemical Engineering Journal,show,7,archive,2021-03-10 02:13:12,['TP'],,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[{'name': {'family': 'Agustian', 'honourific': None, 'lineage': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}]",disk0/00/02/82/97,1970-01-01 00:00:00.000002019,other,['FT6'],"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 28297, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42341', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 42341, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251649', 'datasetid': 'document', 'filesize': 1082149, 'fileid': 251649, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-03-09 03:27:44', 'filename': '2 Reviewer Jurnal Internasional Reputasi 02 Biochemical Engineering Journal full.pdf', 'hash': 'acbab58a0e3897e810d881451d30ca8c'}], 'docid': 42341, 'main': '2 Reviewer Jurnal Internasional Reputasi 02 Biochemical Engineering Journal full.pdf'}]",FT Unila,unpub,http://repository.lppm.unila.ac.id/id/eprint/28297,public,2021-03-09 07:10:53,390,2021-03-09 07:10:53,28297,Mereview Jurnal Internasional Reputasi 2: Biochemical Engineering Journal,show,7,archive,2021-03-09 07:10:53,['TP'],,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'lineage': None, 'family': 'Agustian', 'honourific': None}}]",disk0/00/02/83/14,1970-01-01 00:00:00.000002019,other,['FT6'],"[{'eprintid': 28314, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 42358, 'main': '2 Pemenang Hibah Penelitian Kompetitif Kemristekdikti Tahun 2019 rev.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/251775', 'objectid': 42358, 'filesize': 1260515, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-03-09 08:32:37', 'filename': '2 Pemenang Hibah Penelitian Kompetitif Kemristekdikti Tahun 2019 rev.pdf', 'hash': 'f47dedf99a1f37c5dc3ddee2f276ad92', 'fileid': 251775, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42358'}]",FT Unila,unpub,http://repository.lppm.unila.ac.id/id/eprint/28314,public,2021-03-10 02:13:18,390,2021-03-10 02:13:18,28314,SK Penerima Hibah PEnelitian Kompetitif Kemristekdikti 2019,show,7,archive,2021-03-10 02:13:18,['TP'],,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'lineage': None, 'honourific': None, 'family': 'Agustian'}}]",disk0/00/01/89/67,2019-05-01 00:00:00.000000000,other,['FT6'],"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 18967, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32207', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 159154, 'filename': 'Turnitin IOP Alfa JAG 4 Repository Unila.pdf', 'hash': '2ccd43ab1818d729ec0f770514b1eca6', 'mtime': '2020-04-05 07:28:22', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 2708060, 'objectid': 32207, 'uri': 'http://repository.lppm.unila.ac.id/id/file/159154'}], 'main': 'Turnitin IOP Alfa JAG 4 Repository Unila.pdf', 'docid': 32207}]",IOP Publishing,pub,http://repository.lppm.unila.ac.id/id/eprint/18967,public,2020-04-06 01:19:36,390,2020-04-06 01:19:36,18967,Similarity Check: Turnitin Mesostructured cellular foam MCF-(9.2T-3D) silica as support for free -amylase in liquefaction of tapioca starch,show,7,archive,2020-04-06 01:19:36,['TP'],,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Agustian', 'lineage': None, 'given': 'Joni'}}]",disk0/00/01/89/64,2019-08-01 00:00:00.000000000,other,['FT6'],"[{'eprintid': 18964, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Turnitin BCREC JAG.pdf', 'docid': 32204, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/159135', 'objectid': 32204, 'filesize': 3869540, 'datasetid': 'document', 'mtime': '2020-04-05 07:13:29', 'hash_type': 'MD5', 'hash': '390f4fd24e60f0f6d8e91ac0319c2156', 'filename': 'Turnitin BCREC JAG.pdf', 'fileid': 159135, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32204'}]","Department of Chemical Engineering, Diponegoro University",pub,http://repository.lppm.unila.ac.id/id/eprint/18964,public,2020-04-06 01:19:03,390,2020-04-06 01:19:03,18964,Similarity Check: Turnitin The Optimised Statistical Model for Enzymatic Hydrolysis of Tapioca by Glucoamylase Immobilised on Mesostructured Cellular Foam Silica,show,7,archive,2020-04-06 01:19:03,['TP'],,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'lineage': None, 'honourific': None, 'family': 'Agustian'}}, {'name': {'honourific': None, 'family': 'Hermida', 'lineage': None, 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",disk0/00/01/87/86,2019-05-01 00:00:00.000000000,article,['FT6'],"[{'files': [{'fileid': 157734, 'mime_type': 'application/pdf', 'mtime': '2020-03-18 02:44:55', 'hash_type': 'MD5', 'filename': 'Agustian_2019_IOP_Conf._Ser.__Mater._Sci._Eng._509_012058 REV.pdf', 'hash': 'b1db0ad086129c755f9a3932d3d027ef', 'datasetid': 'document', 'filesize': 855381, 'objectid': 31982, 'uri': 'http://repository.lppm.unila.ac.id/id/file/157734'}], 'main': 'Agustian_2019_IOP_Conf._Ser.__Mater._Sci._Eng._509_012058 REV.pdf', 'docid': 31982, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31982', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 18786, 'mime_type': 'application/pdf', 'language': 'en'}]",IOP Publishing,pub,http://repository.lppm.unila.ac.id/id/eprint/18786,public,2020-03-19 00:56:02,390,2020-03-19 00:56:02,18786,"Capability of immobilised glucoamylase on mesostructured
cellular foam silica to hydrolyse tapioca starch",show,11,archive,2020-03-19 00:56:02,['TP'],published,https://iopscience.iop.org/article/10.1088/1757-899X/509/1/012058,509.0,[{'url': 'https://iopscience.iop.org/article/10.1088/1757-899X/509/1/012058'}],"Mesoporous size siliceous-based materials have been associated with immobilisation
of free glucoamylase and soluble starches hydrolysis. As ethanol and other chemicals can be
produced from insoluble feed such as tapioca, understanding of glucoamylase immobilised on
mesostructured cellular foam (MCF) silica to hydrolyse the starch is required. To get the
knowledge on this process for development of a large-scale operation, free glucoamylase
SQzyme AGP was immobilised on MCF silica (9.2T-3D) by direct adsorption and used the
product to hydrolyse tapioca. The free enzyme was able to be immobilised onto the carrier with
the efficiencies of 39.20-84.84% where the operational factors of temperature, agitation speed
and pH affected the immobilisation process highly. During the enzymatic hydrolysis, effects of
temperature and agitation speed were high. The dextrose equivalent (DE) values of 1.21-81.70%
were obtained. The optimum temperature and agitation speed were 70C and 140 rpm. Other
factors such as buffer pH, starch concentration and enzyme unit activity showed low effects on
the hydrolysis process. Excellent DE were obtained at the conditions of pH, tapioca
concentration and enzyme unit activity of 4.6, 3 mg mL-1 and 2351 U, respectively.",IOP Conference Series: Materials Science and Engineering,1757-899X,"['Ministry of Research, Technology and Higher Education of Indonesia through Fundamental Research Grant No. 76/UN26/8/LPPM/2016']",12058.0,TRUE,1-8,,,,,,,,,,,,,,,,
6,"[{'name': {'honourific': None, 'family': 'Agustian', 'lineage': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hermida', 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",disk0/00/02/82/86,1970-01-01 00:00:00.000002019,article,['FT6'],"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/42331', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 6303352, 'mime_type': 'application/pdf', 'fileid': 251570, 'filename': '0 IOC JCC 13 Gluko Gabung.pdf', 'hash': '02d877a1eb2e29a3ab688d894104d142', 'mtime': '2021-03-08 23:13:50', 'hash_type': 'MD5', 'objectid': 42331, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251570'}], 'main': '0 IOC JCC 13 Gluko Gabung.pdf', 'docid': 42331, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 28286}]",IOP Publishing,pub,http://repository.lppm.unila.ac.id/id/eprint/28286,public,2021-03-09 02:47:36,390,2021-03-09 02:47:36,28286,"Capability of immobilised glucoamylase on mesostructured
cellular foam silica to hydrolyse tapioca starch",show,6,archive,2021-03-09 02:47:36,['TP'],published,https://iopscience.iop.org/article/10.1088/1757-899X/509/1/012058/pdf,509.0,,"Mesoporous size siliceous-based materials have been associated with immobilisation
of free glucoamylase and soluble starches hydrolysis. As ethanol and other chemicals can be
produced from insoluble feed such as tapioca, understanding of glucoamylase immobilised on
mesostructured cellular foam (MCF) silica to hydrolyse the starch is required. To get the
knowledge on this process for development of a large-scale operation, free glucoamylase
SQzyme AGP was immobilised on MCF silica (9.2T-3D) by direct adsorption and used the
product to hydrolyse tapioca. The free enzyme was able to be immobilised onto the carrier with
the efficiencies of 39.20-84.84% where the operational factors of temperature, agitation speed
and pH affected the immobilisation process highly. During the enzymatic hydrolysis, effects of
temperature and agitation speed were high. The dextrose equivalent (DE) values of 1.21-81.70%
were obtained. The optimum temperature and agitation speed were 70C and 140 rpm. Other
factors such as buffer pH, starch concentration and enzyme unit activity showed low effects on
the hydrolysis process. Excellent DE were obtained at the conditions of pH, tapioca
concentration and enzyme unit activity of 4.6, 3 mg mL-1 and 2351 U, respectively.",IOP Conf. Series: Materials Science and Engineering,1757-899X,,,TRUE,1-30,,,,,,,,,,,,,,,,
7,"[{'name': {'given': 'Joni', 'honourific': None, 'family': 'Agustian', 'lineage': None}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'given': 'Lilis', 'lineage': None, 'family': 'Hermida', 'honourific': None}}]",disk0/00/01/15/96,2019-05-03 00:00:00.000000000,article,['FT6'],"[{'docid': 24589, 'main': 'Agustian_2019_IOP_Conf._Ser.__Mater._Sci._Eng._509_012058.pdf', 'files': [{'datasetid': 'document', 'filesize': 1160732, 'mime_type': 'application/pdf', 'fileid': 105035, 'filename': 'Agustian_2019_IOP_Conf._Ser.__Mater._Sci._Eng._509_012058.pdf', 'hash': '8d1fc52c794e030ca016a5e018253a01', 'mtime': '2019-05-03 22:46:55', 'hash_type': 'MD5', 'objectid': 24589, 'uri': 'http://repository.lppm.unila.ac.id/id/file/105035'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24589', 'eprintid': 11596, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",IOP Publishing Ltd.,pub,http://repository.lppm.unila.ac.id/id/eprint/11596,public,2019-05-08 07:10:29,390,2019-05-08 07:10:29,11596,"Capability of immobilised glucoamylase on mesostructured cellular foam
silica to hydrolyse tapioca starch",show,6,archive,2019-05-08 07:10:29,['TP'],published,https://iopscience.iop.org/article/10.1088/1757-899X/509/1/012058/pdf,509.0,,"Mesoporous size siliceous-based materials have been associated with immobilisation
of free glucoamylase and soluble starches hydrolysis. As ethanol and other chemicals can be
produced from insoluble feed such as tapioca, understanding of glucoamylase immobilised on
mesostructured cellular foam (MCF) silica to hydrolyse the starch is required. To get the
knowledge on this process for development of a large-scale operation, free glucoamylase
SQzyme AGP was immobilised on MCF silica (9.2T-3D) by direct adsorption and used the
product to hydrolyse tapioca. The free enzyme was able to be immobilised onto the carrier with
the efficiencies of 39.20-84.84% where the operational factors of temperature, agitation speed
and pH affected the immobilisation process highly. During the enzymatic hydrolysis, effects of
temperature and agitation speed were high. The dextrose equivalent (DE) values of 1.21-81.70%
were obtained. The optimum temperature and agitation speed were 70C and 140 rpm. Other
factors such as buffer pH, starch concentration and enzyme unit activity showed low effects on
the hydrolysis process. Excellent DE were obtained at the conditions of pH, tapioca
concentration and enzyme unit activity of 4.6, 3 mg mL-1
and 2351 U, respectively.",IOP Conference Series: Materials Science and Engineering,1757-899X,,,TRUE,1-9,doi:10.1088/1757-899X/509/1/012058,,,,,,,,,,,,,,,
8,"[{'name': {'given': 'Joni', 'family': 'Agustian', 'honourific': None, 'lineage': None}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Hermida', 'honourific': None, 'given': 'Lilis'}}]",disk0/00/01/87/87,2019-05-01 00:00:00.000000000,article,['FT6'],"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31983', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 802443, 'mime_type': 'application/pdf', 'fileid': 157740, 'filename': 'Agustian_2019_IOP_Conf._Ser.__Mater._Sci._Eng._509_012059 REV.pdf', 'hash': 'c9686a1c98114e50d38ec77fd13f327e', 'mtime': '2020-03-18 02:51:38', 'hash_type': 'MD5', 'objectid': 31983, 'uri': 'http://repository.lppm.unila.ac.id/id/file/157740'}], 'main': 'Agustian_2019_IOP_Conf._Ser.__Mater._Sci._Eng._509_012059 REV.pdf', 'docid': 31983, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 18787}]",IOP Publishing,pub,http://repository.lppm.unila.ac.id/id/eprint/18787,public,2020-03-19 00:56:25,390,2020-03-19 00:56:25,18787,"Mesostructured cellular foam MCF-(9.2T-3D) silica as
support for free -amylase in liquefaction of tapioca starch",show,9,archive,2020-03-19 00:56:25,['TP'],published,https://iopscience.iop.org/article/10.1088/1757-899X/509/1/012059,509.0,[{'url': 'https://iopscience.iop.org/article/10.1088/1757-899X/509/1/012059'}],"As ethanol can be made from insoluble starches, liquefaction of tapioca using -
amylase immobilised on MCF-(9.2T-3D) silica is studied to observe characteristics of the
process. The free -amylase SQzyme BAP was immobilised on the support via adsorption.
During immobilisation, temperature and and agitation speed showed low effects on the process,
but pH of buffer solution affected the process highly. The optimum enzyme immobilisation
occurred at the temperature of 50C, pH 6 and speed of 60-100 rpm giving the immobilisation
efficiency of more than 80%. Liquefaction of the insoluble starch (tapioca) was conducted with
the immobilised -amylase. The maximum result of ± 50% DE was obtained. The experimental
factors of buffer pH, temperature and agitation speed changed the DE significantly, but
concentration of immobilised enzyme and substrate affected the process lowly. The optimum
pH, agitation speed, immobilised enzyme concentration and temperature were 6, 100 rpm, 84.8
U and 80C, respectively.",IOP Conference Series: Materials Science and Engineering,1757-899X,"['Fundamental Research Grant Scheme provided by Ministry of Research, Technology and Higher Education of Indonesia (No. 76/UN26/8/LPPM/2016)']",12059.0,TRUE,1-10,,,,,,,,,,,,,,,,
9,"[{'name': {'given': 'Joni', 'lineage': None, 'family': 'Agustian', 'honourific': None}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hermida', 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",disk0/00/02/82/87,1970-01-01 00:00:00.000002019,article,['FT6'],"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/251576', 'objectid': 42332, 'filesize': 6255802, 'datasetid': 'document', 'mtime': '2021-03-08 23:19:20', 'hash_type': 'MD5', 'filename': '0 IOP JCC 13 Alfa Gabung.pdf', 'hash': '497ae104a160b2b2cafdf482c8edb25f', 'fileid': 251576, 'mime_type': 'application/pdf'}], 'main': '0 IOP JCC 13 Alfa Gabung.pdf', 'docid': 42332, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42332', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28287, 'language': 'en', 'mime_type': 'application/pdf'}]",IOP Publishing,pub,http://repository.lppm.unila.ac.id/id/eprint/28287,public,2021-03-09 02:47:39,390,2021-03-09 02:47:39,28287,"Mesostructured cellular foam MCF-(9.2T-3D) silica as
support for free -amylase in liquefaction of tapioca starch",show,6,archive,2021-03-09 02:47:39,['TP'],published,https://iopscience.iop.org/article/10.1088/1757-899X/509/1/012059,509.0,,"As ethanol can be made from insoluble starches, liquefaction of tapioca using -
amylase immobilised on MCF-(9.2T-3D) silica is studied to observe characteristics of the
process. The free -amylase SQzyme BAP was immobilised on the support via adsorption.
During immobilisation, temperature and and agitation speed showed low effects on the process,
but pH of buffer solution affected the process highly. The optimum enzyme immobilisation
occurred at the temperature of 50C, pH 6 and speed of 60-100 rpm giving the immobilisation
efficiency of more than 80%. Liquefaction of the insoluble starch (tapioca) was conducted with
the immobilised -amylase. The maximum result of ± 50% DE was obtained. The experimental
factors of buffer pH, temperature and agitation speed changed the DE significantly, but
concentration of immobilised enzyme and substrate affected the process lowly. The optimum
pH, agitation speed, immobilised enzyme concentration and temperature were 6, 100 rpm, 84.8
U and 80C, respectively.",IOP Conference Series: Materials Science and Engineering,1757-899X,,,TRUE,1-31,,,,,,,,,,,,,,,,
