,status_changed,eprint_status,subjects,title,rev_number,metadata_visibility,eprintid,lastmod,userid,datestamp,ispublished,publisher,documents,full_text_status,uri,type,divisions,creators,date,dir,abstract,succeeds,date_type,patent_applicant,id_number,pages,official_url,issn,publication,pagerange,refereed,number,related_url,volume,place_of_pub,funders,corp_creators,event_type,event_dates,event_title,event_location,pres_type
0,2020-04-06 01:24:41,archive,['TP'],"Similarity Check: Turnitin PEMBUATAN PUPUK UREA LEPAS LAMBAT SECARA BATCH DENGAN SUBSTRAT BENTONIT ALAM LAMPUNG DAN BAHAN PENGIKAT TEPUNG JAGUNG ATAU
HYDROXYLPROPYL METHYL CELLULOSE (HPMC) MELALUI
METODE INTERKALASI",7,show,18971,2020-04-06 01:24:41,390,2020-04-06 01:24:41,pub,DJKI Kemhukham RI,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32211', 'format': 'text', 'pos': 1, 'files': [{'objectid': 32211, 'uri': 'http://repository.lppm.unila.ac.id/id/file/159182', 'mime_type': 'application/pdf', 'fileid': 159182, 'filename': 'Turnitin SRUF Repository Unila.pdf', 'hash': '1418340f35c5eed17805f76a78f7977a', 'mtime': '2020-04-05 07:45:49', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 337062}], 'main': 'Turnitin SRUF Repository Unila.pdf', 'docid': 32211, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 18971}]",public,http://repository.lppm.unila.ac.id/id/eprint/18971,other,['FT6'],"[{'name': {'family': 'Agustian', 'honourific': None, 'lineage': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}]",2020-02-01 00:00:00.000000000,disk0/00/01/89/71,,,,,,,,,,,,,,,,,,,,,,
1,2020-04-06 01:19:49,archive,['TP'],Similarity Check: Turnitin PROSES PEMBUATAN ENZIM ALFA-AMILASE TERIMOBILISASI PADA PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR,7,show,18969,2020-04-06 01:19:49,390,2020-04-06 01:19:49,pub,DJKI Kemhukham RI,"[{'files': [{'objectid': 32209, 'uri': 'http://repository.lppm.unila.ac.id/id/file/159168', 'datasetid': 'document', 'filesize': 325180, 'fileid': 159168, 'mime_type': 'application/pdf', 'mtime': '2020-04-05 07:39:49', 'hash_type': 'MD5', 'filename': 'Turnitin Paten Alfaamilase repository Unila.pdf', 'hash': 'd131e0aeac8f1a47dc9fc0bcb4357f9f'}], 'main': 'Turnitin Paten Alfaamilase repository Unila.pdf', 'docid': 32209, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32209', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 18969, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/18969,other,['FT6'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Agustian', 'honourific': None, 'given': 'Joni'}}]",2020-01-01 00:00:00.000000000,disk0/00/01/89/69,,,,,,,,,,,,,,,,,,,,,,
2,2020-10-01 01:08:45,archive,['TP'],Corresponding Author BCREC,7,show,24247,2020-10-01 01:08:45,390,2020-10-01 01:08:45,unpub,FT Unila,"[{'docid': 37966, 'main': 'Corresponding Author BCREC.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/220694', 'objectid': 37966, 'filesize': 279769, 'datasetid': 'document', 'mtime': '2020-09-30 11:56:39', 'hash_type': 'MD5', 'hash': 'f5406538ac2712509434b65ca84cad11', 'filename': 'Corresponding Author BCREC.pdf', 'fileid': 220694, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37966', 'eprintid': 24247, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/24247,other,['FT6'],"[{'name': {'given': 'Joni', 'lineage': None, 'family': 'Agustian', 'honourific': None}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hermida', 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",2020-09-30 00:00:00.000000000,disk0/00/02/42/47,Corresponding Author BCREC,,,,,,,,,,,,,,,,,,,,,
3,2020-10-01 01:09:00,archive,['TP'],Corresponding Author ECTJ,7,show,24248,2020-10-01 01:09:00,390,2020-10-01 01:09:00,unpub,FT Unila,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/37967', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 220701, 'filename': 'Corresponding Author ECTJ.pdf', 'hash': '5a36c35632ea3e631f3c41d27925b4b1', 'hash_type': 'MD5', 'mtime': '2020-09-30 11:58:34', 'datasetid': 'document', 'filesize': 188734, 'objectid': 37967, 'uri': 'http://repository.lppm.unila.ac.id/id/file/220701'}], 'docid': 37967, 'main': 'Corresponding Author ECTJ.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 24248}]",public,http://repository.lppm.unila.ac.id/id/eprint/24248,other,['FT6'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'honourific': None, 'family': 'Agustian', 'lineage': None}}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'given': 'Lilis', 'family': 'Hermida', 'honourific': None, 'lineage': None}}]",2020-09-30 00:00:00.000000000,disk0/00/02/42/48,,,,,,,,,,,,,,,,,,,,,,
4,2020-04-06 01:17:46,archive,['TP'],PATEN PROSES PEMBUATAN ENZIM ALFA-AMILASE TERIMOBILISASI PADA PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR,4,show,18979,2020-04-06 01:17:46,390,2020-04-06 01:17:46,pub,,"[{'placement': 1, 'security': 'public', 'eprintid': 18979, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 32219, 'uri': 'http://repository.lppm.unila.ac.id/id/file/159235', 'datasetid': 'document', 'filesize': 140825, 'mime_type': 'application/pdf', 'fileid': 159235, 'filename': 'Paten Alfa Granted.pdf', 'hash': 'e5f0997b0c35f7a96a0cc62aa4adf4f0', 'hash_type': 'MD5', 'mtime': '2020-04-05 13:05:57'}], 'main': 'Paten Alfa Granted.pdf', 'docid': 32219, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32219', 'pos': 1, 'format': 'text'}]",public,http://repository.lppm.unila.ac.id/id/eprint/18979,patent,['FT6'],"[{'name': {'family': 'Agustian', 'honourific': None, 'lineage': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'given': 'Lilis', 'lineage': None, 'honourific': None, 'family': 'Hermida'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",2020-01-16 00:00:00.000000000,disk0/00/01/89/79,,18975.0,completed,"Joni Agustian, Lilis Hermida",IDP000066488,,,,,,,,,,,,,,,,,
5,2020-04-06 01:17:27,archive,['TP'],PATEN PROSES PEMBUATAN ENZIM GLUKOAMILASE TERIMOBILISASI PADA PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR SECARA ADSORPSI,4,show,18978,2020-04-06 01:17:27,390,2020-04-06 01:17:27,pub,,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32218', 'rev_number': 2, 'main': '1 Paten Gluko Granted.pdf', 'docid': 32218, 'files': [{'filesize': 147147, 'datasetid': 'document', 'hash': '84c32b8888e3258ac9b7f9d484f49ce3', 'filename': '1 Paten Gluko Granted.pdf', 'hash_type': 'MD5', 'mtime': '2020-04-05 13:16:20', 'mime_type': 'application/pdf', 'fileid': 159231, 'uri': 'http://repository.lppm.unila.ac.id/id/file/159231', 'objectid': 32218}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 18978, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/18978,patent,['FT6'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'family': 'Agustian', 'honourific': None, 'lineage': None}}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Hermida', 'given': 'Lilis'}}]",2020-01-06 00:00:00.000000000,disk0/00/01/89/78,,18976.0,completed,"Joni Agustian, Lilis Hermida",IDP000066119,,,,,,,,,,,,,,,,,
6,2021-03-09 02:47:50,archive,['TP'],"PROSES PEMBUATAN ENZIM ALFA-AMILASE TERIMOBILISASI PADA
PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR",7,show,28283,2021-03-09 02:47:50,390,2021-03-09 02:47:50,pub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 28283, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42328', 'docid': 42328, 'main': 'P00201609155-IDP000066488-Joni-Lilis.pdf', 'files': [{'objectid': 42328, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251549', 'fileid': 251549, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-03-08 21:26:45', 'hash': '4c297f2d8f9eb143586bdcd4fc3d81e7', 'filename': 'P00201609155-IDP000066488-Joni-Lilis.pdf', 'datasetid': 'document', 'filesize': 18381047}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/28283,patent,['FT6'],"[{'name': {'lineage': None, 'family': 'Agustian', 'honourific': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'given': 'Lilis', 'honourific': None, 'family': 'Hermida', 'lineage': None}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",2020-01-16 00:00:00.000000000,disk0/00/02/82/83,"Invensi ini berhubungan dengan proses imobilisasi enzim bebas alfa-amilase SQzyme-BAP pada penyangga anorganik silika mesoporous cellular foam (silika MCF-(9.2T-3D)) secara adsorpsi untuk menghasilkan tingkat enzim terimobilisasi yang tinggi dengan memvariasikan faktor-faktor operasi proses imobilisasi dan pengamatan efektivitas produk enzim alfa-amilase terimobilisasi
dalam proses hidrolisis tepung tapioka.",,published,LPPM Unila,IDP00006448,19.0,https://pdki-indonesia.dgip.go.id/detail/P00201609155?type=patent&keyword=amilase,,,,,,,,,,,,,,,
7,2021-03-09 02:48:09,archive,['TP'],"PROSES PEMBUATAN ENZIM GLUKOAMILASE TERIMOBILISASI PADA
PENYANGGA SILIKA BUSA SELULER MESOSTRUKTUR SECARA ADSORPSI",7,show,28284,2021-03-09 02:48:09,390,2021-03-09 02:48:09,pub,,"[{'files': [{'filesize': 20349876, 'datasetid': 'document', 'filename': 'P00201609156-IDP0000661190-Joni-Lilis.pdf', 'hash': '60371a258e32220f688d3bf71efdaffd', 'mtime': '2021-03-08 21:41:39', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 251556, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251556', 'objectid': 42329}], 'main': 'P00201609156-IDP0000661190-Joni-Lilis.pdf', 'docid': 42329, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42329', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28284, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/28284,patent,['FT6'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Agustian', 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'given': 'Lilis', 'honourific': None, 'family': 'Hermida', 'lineage': None}}]",2020-01-06 00:00:00.000000000,disk0/00/02/82/84,"Invensi ini berhubungan dengan pengembangan teknologi untuk
menghasilkan enzim glukoamilase terimobilisasi dengan tingkat imobilisasi enzim yang tinggi pada penyangga silika mesoporous cellular foam (silika MCF) dengan metode adsorpsi dan penggunaan enzim glukoamilase terimobilisasi pada proses hidrolisis pati tapioka.",,published,LPPM Unila,IDP000066119,22.0,https://pdki-indonesia.dgip.go.id/detail/P00201609156?type=patent&keyword=glukoamilase,,,,,,,,,,,,,,,
8,2020-06-01 05:44:28,archive,['TP'],Karakterisasi Plastik Pengemas Makanan dari Tepung Maizena dan Batang Pisang,9,show,21330,2020-06-01 05:44:28,951,2020-06-01 05:44:28,pub,Badan Penelitian dan Pengembangan Daerah Provinsi Lampung,"[{'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34727', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 198366, 'hash': '5a54b2d32b6511afd0cc82a48c22cebe', 'filename': 'document.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-01 03:01:55', 'datasetid': 'document', 'filesize': 774194, 'objectid': 34727, 'uri': 'http://repository.lppm.unila.ac.id/id/file/198366'}], 'docid': 34727, 'main': 'document.pdf', 'content': 'published', 'language': 'id', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 21330}]",public,http://repository.lppm.unila.ac.id/id/eprint/21330,article,['FT6'],"[{'id': 'edwinazwar@yahoo.co.id', 'name': {'family': 'Azwar', 'honourific': None, 'lineage': None, 'given': 'Edwin'}}, {'id': 'siskaoktorina.simbolon@gmail.com', 'name': {'honourific': None, 'family': 'Simbolon', 'lineage': None, 'given': 'Siska Oktorina'}}]",2020-03-01 00:00:00.000000000,disk0/00/02/13/30,"Edible film sebagai plastik pengemas makanan dari pati jagung dan plasticizer hasil likuifaksi batang pisang disiapkan untuk mengevaluasi pengaruh penambahan plasticizer terhadap sifat mekanis, gugu fungsi, dan ketahanan airnya. Formulasi pati:plasticizer yang digunakan dalam penelitian ini adalah 4:0, 4:2, 4:3, 4:4, 4:5, 5:0, 5:2, 5:3, 5:4, 5:5, 6:0, 6:2, 6:3, 6:4, 6:5, 7:0, 7:2, 7:3, 7:4, 7:5 (gr/gr), ukuran batang pisang untuk proses likuifaksi lolos ayakan 200 mesh dan waktu pengadukan proses pembuatan edible film 30 menit pada kecepatan 135 rpm. Untuk mengetahui karakteristik edible film dilakukan beberapa analisis yaitu uji sifat mekanik (kuat tarik, persen perpanjangan dan modulus young), daya serap air dan FTIR. Nilai kuat tarik, persen perpanjangan dan modulus young tertinggi pada penelitian ini diperoleh pada formulasi pati:plasticizer berturut-turut 6:0, 7:5, dan 4:0, dengan nilai  16,76  Mpa,  14,29%  dan  511,34  Mpa.  Film  dengan  nilai  tersebut  telah  sesuai  dengan  standar  edible  film. Penambahan  plasticizer  hasil  likuifaksi  juga  berpengaruh  terhadap  ketahanan  air  pada  film,  dimana  semakin banyak  plasticizer  ditambahkan,   semakin   kecil  air   yang  diserap  oleh   film.  Hasil  analisis  dengan  FTIR menunjukkan bahwa panjang gelombang nya tidak mengalami perubahan yang berarti. Hal itu berarti bahwa film pati yang dihasilkan merupakan proses blending secara fisika karena tidak ditemukannya gugus fungsi baru.",,published,,,,https://journalbalitbangdalampung.org/index.php/jip/article/view/170,P-ISSN 2354-5704; E-ISSN 2622-190X,Inovasi Pembangunan - Jurnal Kelitbangan,17-28,FALSE,1,[{'url': 'https://journalbalitbangdalampung.org/index.php/jip/article/view/170/127'}],8.0,,,,,,,,
9,2022-04-07 06:37:40,archive,['TA'],Plagiarism checker: Briquetting of sugarcane bagasse as a proper waste management technology in Vietnam,7,show,41153,2022-04-07 06:37:40,636,2022-04-07 06:37:40,pub,pubmed,"[{'eprintid': 41153, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 162612, 'main': 'CamScanner 02-14-2022 08.47_Briket.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 456799, 'hash': '5c1dfc7c1f50b9417e7fbfe0fb3ca3e5', 'filename': 'CamScanner 02-14-2022 08.47_Briket.pdf', 'mtime': '2022-04-07 04:10:28', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 1348755, 'objectid': 162612, 'uri': 'http://repository.lppm.unila.ac.id/id/file/456799'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162612'}]",public,http://repository.lppm.unila.ac.id/id/eprint/41153,other,['FT6'],"[{'name': {'given': 'anna', 'lineage': None, 'family': 'Brunerová', 'honourific': None}, 'id': 'brunerova@tf.czu.cz'}, {'id': 'udinha65@gmail.com', 'name': {'family': 'Hasanudin', 'honourific': None, 'lineage': None, 'given': 'Udin'}}, {'name': {'given': 'Dewi Agustina', 'family': 'Iryani', 'honourific': None, 'lineage': None}, 'id': 'dewi.agustina@eng.unila.ac.id'}, {'id': 'herak@tf.czu.cz', 'name': {'given': 'david', 'family': 'Herák', 'honourific': None, 'lineage': None}}]",2020-07-20 00:00:00.000000000,disk0/00/04/11/53,,,published,,10.1177/0734242X20938438,,https://pubmed.ncbi.nlm.nih.gov/32686610/,,,,,,,,waste management research,,,,,,,
