,eprint_status,status_changed,subjects,title,metadata_visibility,rev_number,eprintid,lastmod,userid,datestamp,documents,publisher,ispublished,full_text_status,uri,type,divisions,creators,dir,abstract,official_url,publication,issn,refereed,date_type,pagerange,event_type,event_dates,event_title,event_location,pres_type,volume,id_number,number,projects,related_url,referencetext,funders,contact_email,contributors,department,institution,monograph_type,corp_creators
0,archive,2021-03-09 02:48:06,['TP'],Mereview Jurnal Internasional Reputasi 1: Chemical Engineering Journal,show,7,28276,2021-03-09 02:48:06,390,2021-03-09 02:48:06,"[{'security': 'public', 'placement': 1, 'eprintid': 28276, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 1481649, 'datasetid': 'document', 'filename': '1 Reviewer Journal Internasional Reputasi 01 Chemical Engineering Journal full.pdf', 'hash': '645d06c96993d4dac6d66db3337a3004', 'mtime': '2021-03-08 09:58:18', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 251505, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251505', 'objectid': 42322}], 'docid': 42322, 'main': '1 Reviewer Journal Internasional Reputasi 01 Chemical Engineering Journal full.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42322', 'format': 'text', 'pos': 1}]",FT Unila,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/28276,other,['FT6'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'given': 'Joni', 'lineage': None, 'honourific': None, 'family': 'Agustian'}}]",disk0/00/02/82/76,,,,,,,,,,,,,,,,,,,,,,,,,
1,archive,2021-03-09 02:48:02,['TP'],Mereview Jurnal Internasional Reputasi 2: Biochemical Engineering Journal,show,7,28278,2021-03-09 02:48:02,390,2021-03-09 02:48:02,"[{'security': 'public', 'placement': 1, 'eprintid': 28278, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 249650, 'fileid': 251514, 'mime_type': 'application/pdf', 'mtime': '2021-03-08 10:01:12', 'hash_type': 'MD5', 'hash': '3f6477c5ac132f685277a5841ddb90bb', 'filename': '1 REVIEWER JURNAL INTERNASIONAL BEREPUTASI 2.pdf', 'objectid': 42323, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251514'}], 'main': '1 REVIEWER JURNAL INTERNASIONAL BEREPUTASI 2.pdf', 'docid': 42323, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42323', 'rev_number': 1, 'format': 'text', 'pos': 1}]",FT Unila,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/28278,other,['FT6'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'family': 'Agustian', 'honourific': None, 'lineage': None, 'given': 'Joni'}}]",disk0/00/02/82/78,,,,,,,,,,,,,,,,,,,,,,,,,
2,archive,2021-03-09 02:47:59,['TP'],Mereview Jurnal Internasional Reputasi 3: Preparative Biochemistry and Biotechnology,show,7,28279,2021-03-09 02:47:59,390,2021-03-09 02:47:59,"[{'main': '3 Reviewer Jurnal Internasional Reputasi 3 Preparative Biochemistry & Buitechnology fulll.pdf', 'docid': 42324, 'files': [{'fileid': 251521, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-03-08 10:02:54', 'filename': '3 Reviewer Jurnal Internasional Reputasi 3 Preparative Biochemistry & Buitechnology fulll.pdf', 'hash': '1d8524915ed624f719bdcc80414d37c2', 'datasetid': 'document', 'filesize': 1186349, 'objectid': 42324, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251521'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42324', 'eprintid': 28279, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",FT Unila,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/28279,other,['FT6'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Agustian', 'lineage': None, 'given': 'Joni'}}]",disk0/00/02/82/79,,,,,,,,,,,,,,,,,,,,,,,,,
3,archive,2021-03-09 02:47:57,['TP'],Mereview Jurnal Internasional Reputasi 4: Preparative Biochemistry and Biotechnology,show,7,28280,2021-03-09 02:47:57,390,2021-03-09 02:47:57,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42325', 'docid': 42325, 'main': '4 Reviewer Jurnal Internasional 04 Preparative Biochemistry and Biotechnology final.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/251528', 'objectid': 42325, 'hash_type': 'MD5', 'mtime': '2021-03-08 10:04:22', 'filename': '4 Reviewer Jurnal Internasional 04 Preparative Biochemistry and Biotechnology final.pdf', 'hash': '166883292dee475bb0ff0aadbbb05c36', 'fileid': 251528, 'mime_type': 'application/pdf', 'filesize': 1069081, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28280, 'placement': 1, 'security': 'public'}]",FT Unila,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/28280,other,['FT6'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Agustian', 'honourific': None, 'given': 'Joni'}}]",disk0/00/02/82/80,,,,,,,,,,,,,,,,,,,,,,,,,
4,archive,2020-09-15 00:42:51,['TP'],1 Peer Review Artikel Jurnal Internasional Reputasi The optimised statistical model for enzymatic hydrolysis of tapioca by glucoamylase,show,9,24000,2020-09-15 00:42:51,390,2020-09-15 00:42:51,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/218710', 'objectid': 37696, 'hash': '9d4bfa69e82584dd108b15d33baaad39', 'filename': '1 Peer Review Artikel Jurnal Internasional Reputasi The optimised statistical model for enzymatic hydrolysis of tapioca by glucoamylase.pdf', 'mtime': '2020-09-14 09:11:18', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 218710, 'filesize': 2574946, 'datasetid': 'document'}], 'docid': 37696, 'main': '1 Peer Review Artikel Jurnal Internasional Reputasi The optimised statistical model for enzymatic hydrolysis of tapioca by glucoamylase.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37696', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 24000, 'mime_type': 'application/pdf', 'language': 'en'}]",FT Unila,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/24000,other,['FT6'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Agustian', 'lineage': None, 'given': 'Joni'}}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Hermida', 'honourific': None, 'given': 'Lilis'}}]",disk0/00/02/40/00,1 Peer Review Artikel Jurnal Internasional Reputasi The optimised statistical model for enzymatic hydrolysis of tapioca by glucoamylase,,,,,,,,,,,,,,,,,,,,,,,,
5,archive,2020-09-15 00:44:12,['TP'],10 Peer Review Prosiding Nasional Silika Berpori dari Kaolin Alam Lampung dan Kajian Aplikasinya terhadap Adsorpsi,show,7,24009,2020-09-15 00:44:12,390,2020-09-15 00:44:12,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 24009, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37705', 'main': '10 Peer Review Prosiding Nasional Silika Berpori dari Kaolin Alam Lampung dan Kajian Aplikasinya terhadap Adsorpsi.pdf', 'docid': 37705, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/218774', 'objectid': 37705, 'mtime': '2020-09-14 09:25:47', 'hash_type': 'MD5', 'hash': '2a80bf49365e567a9434071e715a3a94', 'filename': '10 Peer Review Prosiding Nasional Silika Berpori dari Kaolin Alam Lampung dan Kajian Aplikasinya terhadap Adsorpsi.pdf', 'fileid': 218774, 'mime_type': 'application/pdf', 'filesize': 2562661, 'datasetid': 'document'}]}]",FT Unila,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/24009,other,['FT6'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Agustian', 'lineage': None, 'given': 'Joni'}}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'family': 'Hermida', 'honourific': None, 'lineage': None, 'given': 'Lilis'}}]",disk0/00/02/40/09,10 Peer Review Prosiding Nasional Silika Berpori dari Kaolin Alam Lampung dan Kajian Aplikasinya terhadap Adsorpsi,,,,,,,,,,,,,,,,,,,,,,,,
6,archive,2020-09-15 00:44:18,['TP'],11 Peer Review Paten Nasional Biasa Proses pembuatan enzim glukoamilase terimobilisasi pada penyangga silika busa seluler,show,7,24010,2020-09-15 00:44:18,390,2020-09-15 00:44:18,"[{'eprintid': 24010, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '11 Peer Review Paten Nasional Biasa Proses pembuatan enzim glukoamilase terimobilisasi pada penyangga silika busa seluler.pdf', 'docid': 37706, 'files': [{'objectid': 37706, 'uri': 'http://repository.lppm.unila.ac.id/id/file/218781', 'fileid': 218781, 'mime_type': 'application/pdf', 'mtime': '2020-09-14 09:26:49', 'hash_type': 'MD5', 'hash': '7bed4bf6dd2351b562d5bce0e86808bd', 'filename': '11 Peer Review Paten Nasional Biasa Proses pembuatan enzim glukoamilase terimobilisasi pada penyangga silika busa seluler.pdf', 'datasetid': 'document', 'filesize': 2535151}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37706'}]",FT Unila,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/24010,other,['FT6'],"[{'name': {'lineage': None, 'family': 'Agustian', 'honourific': None, 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'name': {'given': 'Lilis', 'lineage': None, 'honourific': None, 'family': 'Hermida'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",disk0/00/02/40/10,11 Peer Review Paten Nasional Biasa Proses pembuatan enzim glukoamilase terimobilisasi pada penyangga silika busa seluler,,,,,,,,,,,,,,,,,,,,,,,,
7,archive,2020-09-15 00:44:25,['TP'],12 Peer Review Paten Nasional Biasa Proses Pembuatan Enzim Alpha Amilase Terimobilisasi Pada Penyangga Silika Busa,show,7,24011,2020-09-15 00:44:25,390,2020-09-15 00:44:25,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 24011, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37707', 'rev_number': 1, 'main': '12 Peer Review Paten Nasional Biasa Proses Pembuatan Enzim Alpha Amilase Terimobilisasi Pada Penyangga Silika Busa.pdf', 'docid': 37707, 'files': [{'datasetid': 'document', 'filesize': 2574716, 'fileid': 218788, 'mime_type': 'application/pdf', 'mtime': '2020-09-14 09:27:55', 'hash_type': 'MD5', 'hash': '204bf634db156106afe19fbfa9420b2b', 'filename': '12 Peer Review Paten Nasional Biasa Proses Pembuatan Enzim Alpha Amilase Terimobilisasi Pada Penyangga Silika Busa.pdf', 'objectid': 37707, 'uri': 'http://repository.lppm.unila.ac.id/id/file/218788'}]}]",FT Unila,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/24011,other,['FT6'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Agustian', 'given': 'Joni'}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'given': 'Lilis', 'honourific': None, 'family': 'Hermida', 'lineage': None}}]",disk0/00/02/40/11,12 Peer Review Paten Nasional Biasa Proses Pembuatan Enzim Alpha Amilase Terimobilisasi Pada Penyangga Silika Busa,,,,,,,,,,,,,,,,,,,,,,,,
8,archive,2020-09-15 00:44:30,['TP'],13 Peer Review Paten Nasional Biasa Pembuatan Pupuk Urea Lepas Lambat Secara Batch Dengan Substrat Bentonit Alam,show,7,24012,2020-09-15 00:44:30,390,2020-09-15 00:44:30,"[{'security': 'public', 'placement': 1, 'eprintid': 24012, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/218795', 'objectid': 37708, 'filename': '13 Peer Review Paten Nasional Biasa Pembuatan Pupuk Urea Lepas Lambat Secara Batch Dengan Substrat Bentonit Alam.pdf', 'hash': '54b6cc8c1eb9376e790b6c399bed9d61', 'mtime': '2020-09-14 09:29:00', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 218795, 'filesize': 2567937, 'datasetid': 'document'}], 'main': '13 Peer Review Paten Nasional Biasa Pembuatan Pupuk Urea Lepas Lambat Secara Batch Dengan Substrat Bentonit Alam.pdf', 'docid': 37708, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37708', 'rev_number': 1, 'format': 'text', 'pos': 1}]",FT Unila,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/24012,other,['FT6'],"[{'name': {'given': 'Joni', 'honourific': None, 'family': 'Agustian', 'lineage': None}, 'id': 'joni.agustian@eng.unila.ac.id'}, {'id': 'lilis.hermida@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Hermida', 'given': 'Lilis'}}]",disk0/00/02/40/12,13 Peer Review Paten Nasional Biasa Pembuatan Pupuk Urea Lepas Lambat Secara Batch Dengan Substrat Bentonit Alam,,,,,,,,,,,,,,,,,,,,,,,,
9,archive,2020-09-15 00:43:00,['TP'],2 Peer Review Artikel Jurnal Internasional Reputasi Saccharification kinetics at optimide conditions of tapioca by glucoamylase immobilised,show,7,24001,2020-09-15 00:43:00,390,2020-09-15 00:43:00,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/37697', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 37697, 'uri': 'http://repository.lppm.unila.ac.id/id/file/218718', 'datasetid': 'document', 'filesize': 2603229, 'fileid': 218718, 'mime_type': 'application/pdf', 'mtime': '2020-09-14 09:15:11', 'hash_type': 'MD5', 'hash': '83e0f788e54acb9a5ef2de35696ad473', 'filename': '2 Peer Review Artikel Jurnal Internasional Reputasi Saccharification kinetics at optimide conditions of tapioca by glucoamylase immobilised.pdf'}], 'main': '2 Peer Review Artikel Jurnal Internasional Reputasi Saccharification kinetics at optimide conditions of tapioca by glucoamylase immobilised.pdf', 'docid': 37697, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 24001}]",FT Unila,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/24001,other,['FT6'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Agustian', 'given': 'Joni'}}, {'name': {'family': 'Hermida', 'honourific': None, 'lineage': None, 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",disk0/00/02/40/01,2 Peer Review Artikel Jurnal Internasional Reputasi Saccharification kinetics at optimide conditions of tapioca by glucoamylase immobilised,,,,,,,,,,,,,,,,,,,,,,,,
10,archive,2020-09-15 00:43:07,['TP'],3 Peer Review Artikel Jurnal Internasional Reputasi Factors screening to statistical experimental design of racemic atenolol kinetic resolution via transesterification reaction,show,7,24002,2020-09-15 00:43:07,390,2020-09-15 00:43:07,"[{'eprintid': 24002, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 37698, 'main': '3 Peer Review Artikel Jurnal Internasional Reputasi Factors screening to statistical experimental design of racemic atenolol kinetic resolution via transesterification reaction.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/218725', 'objectid': 37698, 'filesize': 2554995, 'datasetid': 'document', 'mtime': '2020-09-14 09:16:43', 'hash_type': 'MD5', 'hash': '1a751d8292aa29ae869716c054d49b03', 'filename': '3 Peer Review Artikel Jurnal Internasional Reputasi Factors screening to statistical experimental design of racemic atenolol kinetic resolution via transesterification reaction.pdf', 'fileid': 218725, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37698'}]",FT Unila,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/24002,other,['FT6'],"[{'id': 'joni.agustian@eng.unila.ac.id', 'name': {'family': 'Agustian', 'honourific': None, 'lineage': None, 'given': 'Joni'}}, {'name': {'honourific': None, 'family': 'Hermida', 'lineage': None, 'given': 'Lilis'}, 'id': 'lilis.hermida@eng.unila.ac.id'}]",disk0/00/02/40/02,3 Peer Review Artikel Jurnal Internasional Reputasi Factors screening to statistical experimental design of racemic atenolol kinetic resolution via transesterification reaction,,,,,,,,,,,,,,,,,,,,,,,,
