,rev_number,volume,metadata_visibility,title,subjects,abstract,status_changed,eprint_status,date_type,eprintid,full_text_status,uri,refereed,ispublished,number,contributors,documents,publisher,datestamp,pagerange,corp_creators,userid,lastmod,date,dir,publication,creators,issn,divisions,type,official_url,keywords,contact_email,pres_type,event_type,event_title,event_location,event_dates,related_url,place_of_pub,id_number
0,6,-,show,"Kaji Eksperimen untuk Distribusi Tegangan Geser Lapisan Adesif pada Sambungan
Pipa Komposit",['TJ'],"Adhesive joint is commonly used in composite pipe connection. The problem is still frequent failure, failures
usually starts from the edges and propagate to the center. This is due to uneven stress distribution and stress
concentration at the edge of the connection. To further believe that, in this st udy carried out experimental
studies to measure the stress. Measuring instrument consists of strain gauge and data acquisition

system.
Strain gauge mounted in the direction of principal stress in the eight-point testing. Of the five specimens
measured showed the same trend when compared with the theoretical analysis. Nevertheless there are
differences in the measurement of the theoretical results, especially for the specimen-2 with an error of 17%
and for specimen-5 with an error of 20%.",2016-09-19 06:11:17,archive,published,585,public,http://repository.lppm.unila.ac.id/id/eprint/585,FALSE,pub,-,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'jamiatulakmal@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Akmal', 'given': 'Jamiatul'}}]","[{'docid': 498, 'main': 'Kaji Eksperimen untuk Distribusi Tegangan_Center probe2012_ jamiatul akmal.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 3198, 'hash': '2b54357346a9207d30f264a92e09ff86', 'filename': 'Kaji Eksperimen untuk Distribusi Tegangan_Center probe2012_ jamiatul akmal.pdf', 'hash_type': 'MD5', 'mtime': '2016-09-15 04:32:25', 'datasetid': 'document', 'filesize': 1514869, 'objectid': 498, 'uri': 'http://repository.lppm.unila.ac.id/id/file/3198'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/498', 'rev_number': 1, 'eprintid': 585, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",Jurusan Teknik Mesin Universitas Lampung,2016-09-19 06:11:17,299-303,['Universitas Lampung'],24,2016-09-19 06:11:17,2012-07-20 00:00:00.000000000,disk0/00/00/05/85,Proceeding Seminar Nasional Energi Terbarukan & Produksi Bersih 2012,"[{'name': {'given': 'Jamiatul', 'lineage': None, 'family': 'Akmal', 'honourific': None}, 'id': 'jamiatulakmal@gmail.com'}]",16087403,['FT7'],article,,,,,,,,,,,
1,7,50,show,Influence of water-vapor on the isothermal oxidation behavior of aluminized AISI 1020 steel at elevated temperatures,['TJ'],"The oxidation behavior of hot-dip aluminized AISI 1020 steel was studied at temperatures 700, 750, and 800 °C in air and water-vapor at atmospheric pressure. The high temperature oxidation of the steel has been improved by the hot- dip aluminized steel and the oxidation kinetics accords with a parabolic law. The aluminized steels exhibit a very low oxidation on the kinetics rates at elevated temperatures in air. Whereas, the aluminized steels exposed to water-vapor oxidation  show  that  the  alumina  layer  (Al2O3)  formed  on  the  surface  coating  has  less  protection  than  in  air atmosphere. The presence of water in the oxidant gasses atmospheres leads to the rapid growth of sporadic iron oxide nodules  on  the  coating  surface  and  the  steel  substrate.  Therefore,  the  oxidation  rate  is  increased  resulting  in substantial mass-gain with the temperature and time.",2017-08-03 05:39:10,archive,published,3754,public,http://repository.lppm.unila.ac.id/id/eprint/3754,TRUE,pub,,,"[{'docid': 3611, 'main': '@9. Journal Influence of Water Vapor-Elsevier 2012.pdf', 'files': [{'hash': '28d4a12208e819fcd53e48fd978f54cf', 'filename': '@9. Journal Influence of Water Vapor-Elsevier 2012.pdf', 'hash_type': 'MD5', 'mtime': '2017-08-03 04:17:45', 'mime_type': 'application/pdf', 'fileid': 26342, 'filesize': 2050665, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26342', 'objectid': 3611}], 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3611', 'eprintid': 3754, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published'}]",ELSEVIER,2017-08-03 05:39:10,649-657,"['Prodi Teknik Mesin, Fak. Teknik, Unila', 'Prodi Teknik Mesin, Fak. Teknik, Unila', 'Prodi Teknik Mesin, Fak. Teknik, Unila']",1133,2017-08-03 05:39:10,1970-01-01 00:00:00.000002012,disk0/00/00/37/54,Procedia Engineering,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Badaruddin', 'lineage': None, 'given': 'Mohammad'}}, {'name': {'lineage': None, 'family': 'Sugiyanto', 'honourific': None, 'given': 'Sugiyanto'}, 'id': 'sugiyanto.1957@eng.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'family': 'Suudi', 'lineage': None, 'given': 'Ahmad'}}]",1877-7058,['FT7'],article,http://www.sciencedirect.com,"Aluminized AISI 1020 steel, water-vapor oxidation, iron oxide nodules, alumina layer",sugiyanto.1957@eng.unila.ac.id,,,,,,,,
2,7,,show,Manufaktur Ramah Lingkungan: Suatu Tinjauan Pemesinan Paduan Magnesium Menggunakan Termografi,['TJ'],"Paduan magnesium dipilih untuk aplikasi otomotif  menggantikan aluminium, seng, dan plastik untuk mengurangi bobot komponen dan biaya produksi. Kepadatan magnesium hanya 2/3 aluminium dan hanya sedikit tinggi dibanding plastik diperkuat. Dikombinasikan dengan sifat mekanik dan fisik yang bagus juga mempunyai kemampuan proses dan daur ulang yang baik membuat paduan magnesium merupakan bahan yang ramah lingkungan dan pilihan terbaik untuk desain bobot ringan. Magnesium adalah unsur yang
berlimpah dan juga pembuat bahan magnesium banyak sehingga memberikan kepastian pasokan bahan baku dan stabilitas harga.Proses produksi sebagaimana produk harus sesuai dengan persyaratan teknologi,ekonomi dan ekonomi yang semakin meningkat. Selain proses pengecoran, pemesinan merupakan proses utama paduan magnesium. Pemesinan biasanya menggunakan cairan pendingin untuk menurunkan temperatur dan mengurangi keausan. Namun cairan pendingin merupakan polutan yang memberikan efek
terhadap lingkungan. Untuk menghindari pemakaian cairan pendingin makan digunakan proses pemesinan kering atau hampir kering.Pemesinan magnesium ditandai dengan geram pendek, kualitas permukaan bagus,daya pemotongan rendah, beban mekanik dan termal rendah pada pahat memungkinkan dilakukan pemesinan kering yang ramah lingkungan. Namun di sisi lain pemesinan kering, pada kecepatan tinggi, menimbulkan efek lengket dan gesekan yang tinggi yang dapat memicu geram magnesium terbakar. Penelitian magnesium ini merupakan langkah awal melihat karakteristik pemesinan magnesium dengan pengukuran tanpa sentuh menggunakan termografi",2019-01-02 07:59:54,archive,,10495,public,http://repository.lppm.unila.ac.id/id/eprint/10495,TRUE,pub,,,"[{'placement': 1, 'security': 'public', 'eprintid': 10495, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 23510, 'uri': 'http://repository.lppm.unila.ac.id/id/file/97333', 'mime_type': 'application/pdf', 'fileid': 97333, 'filename': 'Yanuar Burhanuddin.pdf', 'hash': '24a3c5a17a711b7b20d1fad24d662aa9', 'hash_type': 'MD5', 'mtime': '2018-12-16 23:39:25', 'datasetid': 'document', 'filesize': 1378413}], 'main': 'Yanuar Burhanuddin.pdf', 'docid': 23510, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23510', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",,2019-01-02 07:59:54,289-294,"['Jurusan Teknik Mesin, Universitas Lampung']",68,2019-01-02 07:59:54,1970-01-01 00:00:00.000002012,disk0/00/01/04/95,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Burhanuddin', 'given': 'Yanuar'}}]",,['FT7'],conference_item,,,yanuar.burhanuddin@eng.unila.ac.id,paper,conference,Seminar Nasional Energi Terbarukan & Produksi Bersih 2012,,,,,
3,11,,show,"Penentuan Kondisi Kelonggaran Cetakan Optimum Pada Pemotongan 
Logam Plat Menggunakan Deform2D dan Pendekatan Analisis Ragam 
(ANOVA)","['TJ', 'TS']","Dalam  makalah  ini  dipaparkan  penentuan  kondisi-kondisi  kelonggaran  cetakan  optimum  pada  pemotongan   logam.  
Proses pemotongan logam plat didekati melalui simulasi elemn hingga menggunakan perangkat lunak Deform2D. Variabel 
kondisi  pemotongan  adalah kelonggaran  antara  penekan  dan  cetakan. Variasi  nilai  kelonggaran  adalah 3%,  5%  and  6%. Variasi kelonggaran ini mengacu kepada beberapa literature dalam proses pemotongan logam plat. Parameter luaran atau hasil  pada  simulasi  pemotongan  logam  plat  adalah  tegangan  dan  ketebalan  terpotong.  Besar  hasil  tegangan  simulasi berkisar antara 830-832 MPa dan ketebalan terpotong dari proses simulasi berkisara di antara 1.065 sampai dengan 1.246 μm. Hasil simulasi optimal dianalisis menggunakan pendekatan analisis ragam (ANOVA). Efek kelonggaran pada kualitas permukaan terpotong juga dipaparkan",2019-05-14 08:32:30,archive,published,12764,public,http://repository.lppm.unila.ac.id/id/eprint/12764,TRUE,pub,,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 12764, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25745', 'rev_number': 1, 'main': 'makalah sah Prosiding SNTTM XI UGM_yanuar.pdf', 'docid': 25745, 'files': [{'filesize': 881395, 'datasetid': 'document', 'mtime': '2019-05-13 00:15:18', 'hash_type': 'MD5', 'filename': 'makalah sah Prosiding SNTTM XI UGM_yanuar.pdf', 'hash': 'd1145cece4b138738512d66cd5f1f003', 'fileid': 112760, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/112760', 'objectid': 25745}]}]",,2019-05-14 08:32:30,,,68,2019-05-14 08:32:30,2012-10-16 00:00:00.000000000,disk0/00/01/27/64,,"[{'id': 'yanuar.burhanuddin@eng.unila.ac.id', 'name': {'given': 'Yanuar', 'lineage': None, 'family': 'Burhanuddin', 'honourific': None}}, {'id': 'arinal.hamni@yahoo.com', 'name': {'family': 'Hamni', 'honourific': None, 'lineage': None, 'given': 'Arinal'}}, {'name': {'honourific': None, 'family': 'Harun', 'lineage': None, 'given': 'Suryadiwansa'}, 'id': 'suryadiwansa.harun@eng.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'family': 'Ismanto', 'honourific': None, 'given': 'Nur'}}, {'id': None, 'name': {'given': 'Zaenal', 'honourific': None, 'family': 'Arifin', 'lineage': None}}]",,['FT7'],conference_item,,,yanuar.burhanuddin@eng.unila.ac.id,paper,conference,Seminar Nasional Tahunan Teknik Mesin (SNTTM) XI,"Universitas Gadjah Mada, Yogyakarta",16-17 Oktober 2012,,,
4,6,,show,"Studi Aplikasi Bio-dryer untuk Meningkatkan Produktivitas, Kualitas dan Pendapatan Petani Onggok",['TJ'],"Onggok is a residue from processing cassava into tapioca flour and it used for animal feed, mosquito
coil, and sauces. The best price of onggok is around Rp. 1800/kg for white color specifications, 12%
maximum moisture content and it is free from foreign material such as sand or gravel. In fact, most of
farmers using traditional drying and it does not produce onggok with low quality, low capacity, and long
time necessary. Drying capacity obtained in these conditions is 6-8 Tons / month.Most of onggok farmer in
Lampung province do not use a dryer to reduce moisture content of onggok from 60-70% to 10-12% due to
large operating costs and the dryers are expensive, so they turn to drying in the field. This onggok resulted
are only sold at a price Rp.650-/kg and impact to low welfare of onggok farmers.Bio-dryer is a combination
between rotary dryer and gasifier biomass with high dryer capacity and economic. Optimum performance of
bio-dryer are at: moisture content of onggok feed is 30-40%, gasification airflow 0.011 kg / s, biodryer
rotation 20 rpm, and drying mass are 10-12 kg in single process. The maximum reduction of moisture which
is about 20% and drying capacity gained from this condition is 480 kg /day or 12 Tons per month. Quality of
dry onggok produced under these conditions approached onggok best quality with the selling price reached
Rp.1400–Rp.1600/kg.",2021-02-01 04:52:08,archive,published,27550,public,http://repository.lppm.unila.ac.id/id/eprint/27550,TRUE,pub,,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/41563', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 246175, 'hash': '6a15698942b3f61ef5bf1510e312346f', 'filename': 'Studi aplikasi bio-dryer untuk meningkatkan produktivitas, kualitas, dan pendapatan petani onggok.pdf', 'mtime': '2021-01-29 10:32:53', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 3122123, 'objectid': 41563, 'uri': 'http://repository.lppm.unila.ac.id/id/file/246175'}], 'docid': 41563, 'main': 'Studi aplikasi bio-dryer untuk meningkatkan produktivitas, kualitas, dan pendapatan petani onggok.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 27550}]","Teknik Mesin, Unila",2021-02-01 04:52:08,260-266,,27,2021-02-01 04:52:08,2012-06-01 00:00:00.000000000,disk0/00/02/75/50,Seminar Nasional Energi Terbarukan dan Energi Bersih 2012,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Gandidi', 'given': 'Indra Mamad'}, 'id': 'indra.mamad@eng.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Susila', 'given': 'M Dyan'}, 'id': 'mdyan.susila@eng.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Putra', 'lineage': None, 'given': 'R. Cahaya'}, 'id': None}]",ISBN 978-979-8510-49-6,['FT7'],article,https://semnasenergi.files.wordpress.com/2012/12/prosiding-senter-probe-2012.pdf,,,,,,,,[{'url': 'https://semnasenergi.wordpress.com/2012/12/05/prosiding-senter-probe-2012/'}],,
5,7,,show,Potensi Penggunaan Pembangkit Kogenerasi di Industri Garment,['TJ'],"Industri merupakan salah satu pengguna energi terbesar. Konsumsi energi final sektor industri berdasarkan data tahun 2009 adalah sebesar 295.633.887.000 setara barel minyak atau sekitar 31,18% dari total konsumsi energi final Indonesia pada tahun tersebut. Komponen biaya energi suatu industri berkisar antara 10% - 30% dari total biaya produksi. Fluktuatifnya harga energi di pasar global menambah ketidakpastian dalam hal perancanaan biaya produksi dan pentingnya untuk melakukan kegiatan efisiensi energi. Efisiensi dapat dicapai dengan beberapa cara, antara lain dengan perilaku pemakaian yang efisien, perawatan yang baik, penggunaan peralatan yang hemat energi, dan pemanfaatan kembali energi yang terbuang. Besarnya penghematan yang dapat dilakukan sangat tergantung pada bentuk usaha yang dapat dilakukan. Selain penghematan dalam hal biaya energi, efisiensi energi juga dapat meningkatkan daya saing produk suatu industri.
Tujuan dari penelitian ini adalah untuk menentukan potensi penghematan pemakaian bahan bakar melalui penggunaan pembangkit kogenerasi di suatu industri garment.
Kajian ini dimulai dengan perhitungan penggunaan energi listrik dan konsumsi steam. Dari karakteristik atau pola pemakaian listrik dan steam selanjutnya dilakukan penentuan kapasitas dan jenis sistem pembangkit kogenerasi yang akan digunakan. Selanjutnya dilakukan perhitungan potensi penghematan pemakaian bahan bakar yang digunakan.
Dari hasil penelitian diketahui bahwa penggunaan sistem pembangkit kogenerasi  cukup potensial. Profil dari konsumsi steam dan listrik secara garis besar memberikan informasi umum tentang tingkat potensinya. Berdasarkan tingkat konsumsi steam dan listrik untuk periode satu tahun diketahui penggunaan sistem kogenerasi akan dapat menghemat 858.48 ton batubara atau setara dengan penghematan sebesar Rp 558,012,256,-. Karena adanya pengurangan jumlah batubara yang dibakar, maka besarnya CO2 yang diemisikan juga akan berkurang sebesar 1,324 ton.",2023-05-22 01:06:32,archive,published,51921,public,http://repository.lppm.unila.ac.id/id/eprint/51921,TRUE,pub,,,"[{'eprintid': 51921, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Potensi Penggunaan Pembangkit kogenerasi di Industri Garment.pdf', 'docid': 251147, 'files': [{'datasetid': 'document', 'filesize': 1316833, 'fileid': 615191, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-05-21 06:27:28', 'hash': '9fd2337395ddf7bd475ca6e41729178a', 'filename': 'Potensi Penggunaan Pembangkit kogenerasi di Industri Garment.pdf', 'objectid': 251147, 'uri': 'http://repository.lppm.unila.ac.id/id/file/615191'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251147'}]",,2023-05-22 01:06:32,309-317,['Jurusan Teknik Mesin Fakultas Teknik Universitas Lampung'],569,2023-05-22 01:06:32,2012-07-20 00:00:00.000000000,disk0_bak/00/05/19/21,,"[{'name': {'family': 'Harmen', 'honourific': None, 'lineage': None, 'given': 'Harmen'}, 'id': 'harmen.1969@eng.unila.ac.id'}]",,['FT7'],conference_item,,,,paper,conference,Seminar Nasional Energi Terbarukan & Produksi Bersih 2012,Bandar Lampung,20 Juli 2012,,,
6,7,,show,Umur Pahat dan Kekasaran Permukaan Sewaktu Pemesinan Ti-6% Al-4% V ELI pada Kecepatan Tinggi,"['TJ', 'TS']","Machining process of titanium alloys as aerospace material that has extremely strength to weight ratio and resistant to corrosion at high-elevated temperature, become more interesting topic. Quality of machining process is presented by performance of tool and surface quality of titanium alloys. The turning parameters evaluated are cutting speed (55, 75, 95 m/min), feed rate (0.15, 0.25, 0.35 mm/rev), depth of cut (0.10, 0.15, 0.20 mm) and tool grade of PVD carbide tool. The results that tool life show three patterns: rapidly increase at the initial stage, gradually increased at the second stage and extremely increased at final stage. The trend lines of surface roughness have are the surface roughness value is high at first machining after then regularly decreases. At the second stage, the surface roughness is remained stable and followed by decreasing at final stage of tool life.",2018-08-03 07:39:55,archive,published,8689,public,http://repository.lppm.unila.ac.id/id/eprint/8689,TRUE,pub,,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 8689, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21763', 'docid': 21763, 'main': 'Umur Pahat dan Kekasaran Permukaan Sewaktu Pemesinan Ti-6% Al-4% ELI pada Kecepatan Tinggi.pdf', 'files': [{'objectid': 21763, 'uri': 'http://repository.lppm.unila.ac.id/id/file/84725', 'datasetid': 'document', 'filesize': 1927221, 'fileid': 84725, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-07-28 04:37:41', 'filename': 'Umur Pahat dan Kekasaran Permukaan Sewaktu Pemesinan Ti-6% Al-4% ELI pada Kecepatan Tinggi.pdf', 'hash': '7c8e51a6313fd22812f6204ee4a03691'}]}]",Universitas Lampung,2018-08-03 07:39:55,,,59,2018-08-03 07:39:55,1970-01-01 00:00:00.000002012,disk0/00/00/86/89,Prosiding Seminar Nasional Energi Terbarukan dan Produksi Bersih 2012,"[{'id': 'gusri.akhyar@eng.unila.ac.id', 'name': {'given': 'Gusri', 'family': 'Ibrahim', 'honourific': None, 'lineage': None}}, {'id': 'tarkono_irfan@yahoo.com', 'name': {'honourific': None, 'family': 'Tarkono', 'lineage': None, 'given': 'Tarkono'}}, {'name': {'honourific': None, 'family': 'Panuju', 'lineage': None, 'given': 'Yahya'}, 'id': 'achmad.yahya@eng.unila.ac.id'}]",978-979-8510-49-6,['FT7'],article,,,,,,,,,,,
7,6,1,show,Nonlinear finite element analysis of pressurized LPG toroidal tank with radial flush nozzle,['TJ'],"This paper reports a nonlinear finite element analysis of pressurized circular toroidal tank with radial flush cylindrical nozzle used for gas fuel tank of personal car. The analysis determines the position of radial cylindrical nozzle that gives the highest limit pressure. Toroidal tank having volume of 45 liters and radius ratio of 3 were used in this analysis. Cylindrical nozzle of 12.5 mm diameter and 10 mm height was attached in radial direction of toroidal cross section. The position of nozzle was checked for five points: extrados, 450 from extrados, crown, 450 from crown, and infrados. The maximum applied intemal pressure was 1.5 times pressure to yield. Limits pressure were obtained via nonlinear finite element analysis using the well-k•rown Newton-Raphson algorithm with large deformation. It was found that the best design for nonle position, indicated by the highest limit pressure, is located at the exfrados. For any circumstances, nozzle can be located between extrados and crown, but should not be located between crown and intrados. This result conforms to the membrane theory that the highest sfress in toroidal shell under intemal pressure occurs at intrados and nozzle shall not be located next to that location.

Keywords: pressurized toroidal tank, limit pressure, finite element analysis",2018-10-26 10:10:49,archive,completed,8871,public,http://repository.lppm.unila.ac.id/id/eprint/8871,TRUE,pub,1,,"[{'security': 'public', 'placement': 1, 'eprintid': 8871, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 16251896, 'mime_type': 'application/pdf', 'fileid': 86071, 'hash': '9d6a5bb51042e09cf843a23c5d7ff7e8', 'filename': 'SNTTM XI UGM Suudi 2012.pdf', 'mtime': '2018-10-11 07:06:37', 'hash_type': 'MD5', 'objectid': 21953, 'uri': 'http://repository.lppm.unila.ac.id/id/file/86071'}], 'docid': 21953, 'main': 'SNTTM XI UGM Suudi 2012.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21953', 'format': 'text', 'pos': 1}]",Universitas Gadjah Mada,2018-10-26 10:10:49,957-961,,520,2018-10-26 10:10:49,2012-10-16 00:00:00.000000000,disk0/00/00/88/71,Proceeding Seminar Nasional Tahunan Teknik Mesin (SNTTM) ke-11 dan Thermofluid IV,"[{'id': 'asnawi.lubis@eng.unila.ac.id', 'name': {'given': 'Asnawi', 'honourific': None, 'family': 'Lubis', 'lineage': None}}, {'name': {'given': 'Ahmad', 'family': 'Suudi', 'honourific': None, 'lineage': None}, 'id': 'ahmad.suudi@eng.unila.ac.id'}, {'id': 'rianti_dc@yahoo.com', 'name': {'family': 'Tanti', 'honourific': None, 'lineage': None, 'given': 'Novri'}}]",2302-4542,['FT7'],article,,,ahmad.suudi@eng.unila.ac.id,,,,,,,,
8,7,,show,Pengaruh Jarak Pemasangan Secondary Cabin Roof (SCR) Terhadap Temperatur Kabin Mobil,['TJ'],"SCR atau Secondary Cabin Roof merupakan aksesoris tambahan pada mobil berupa atap kabin sekunder yang dipasang diatas atap utama mobil. SCR ini dirancang dengan maksud mengurangi panas yang masuk ke dalam kabin karena sinar matahari ketika sebuah mobil sedang diparkir ditempat terbuka ataupun sedang berjalan, sehingga akan membantu meringankan kerja ac mobil ketika ac dihidupkan. Telah dilakukan pengujian jarak pemasangan (mounting distance) SCR terhadap atap kabin utama, hal ini untuk mengetahui jarak pemasangan yang terbaik. Penelitian dilakukan dengan memberikan margin atau jarak pemasangan sebesar 2 cm, 5 cm dan 7 cm. Proses pengujian dilakukan dengan menjemur mobil di terik matahari selama 1 jam, kemudian mulai diukur temperatur di dalam kabin mobil setiap selang waktu 2 menit untuk setiap variasi margin pemasangan. Hasil penelitian menunjukkan bahwa jarak pemasangan terbaik ditinjau dari sisi besarnya penurunan temperatur kabin adalah dengan jarak pemasangan 7 cm, yaitu sekitar 6 0C tanpa ac mobil dihidupkan. 
Kata kunci : atap kabin sekunder, jarak pemasangan, temperatur",2021-03-26 06:53:33,archive,published,28585,public,http://repository.lppm.unila.ac.id/id/eprint/28585,,pub,,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28585, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42644', 'rev_number': 1, 'main': 'IThenticate_Report_JMechanical_Yudi_2012.pdf', 'docid': 42644, 'files': [{'mime_type': 'application/pdf', 'fileid': 253703, 'hash': 'aacdd7e71cd2adc5581370315c36dc70', 'filename': 'IThenticate_Report_JMechanical_Yudi_2012.pdf', 'mtime': '2021-03-26 03:38:56', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 4717469, 'objectid': 42644, 'uri': 'http://repository.lppm.unila.ac.id/id/file/253703'}]}]",Jurnal Mechanical Jurnal Ilmiah Teknik Mesin,2021-03-26 06:53:33,,,303,2021-03-26 06:53:33,2012-03-01 00:00:00.000000000,disk0/00/02/85/85,,"[{'name': {'given': 'A.Yudi Eka', 'lineage': None, 'family': 'Risano', 'honourific': None}, 'id': 'yudi_95@yahoo.com'}, {'id': 'ahmad.suudi@eng.unila.ac.id', 'name': {'given': 'Ahmad', 'lineage': None, 'honourific': None, 'family': 'Suudi'}}]",,['FT7'],other,http://journal.eng.unila.ac.id/index.php/mech/article/view/140,,,,,,,,,Jurnal Mechanical,"ISSN 2460-1888 Volume 3, Nomor 1, Maret 2012"
9,8,,show,"Mechanical Properties of Pineapple Fiber and Unidirectional Pineapple Fiber
Reinforced Polyester Composite",['TJ'],"Nowadays, a lot of preliminary researches on natural fibre composite were carried out to replace composite
reinforced by synthetic fibre. The main advantages of this natural fibre composite are the low cost of the raw fibre,
environmental friendly, recyclable and high ratio of modulus and density. Pineapple fibre is available as agriculture
waste. The tensile properties of pineapple fibre were carried out in order to know the possibility of using this fibre
as reinforcement. The pineapple fibre shows an adequate strength of 194.12 MPa. Natural fibre composite with
pineapple fibre as a reinforcement in polymer matrix was investigated. The pineapple fibre reinforced polyester
composite was produced using a simple technique called hand lay-up technique. To maintain a low cost, the
composite was produced without compatibilizer. Tensile test were carried out to investigate the mechanical
properties of the composite. The result shows that the tensile strength increases with the particle loading. The
scanning electron micrograph shows intermediate compatibility between particle and polyester matrix.",2017-06-05 02:18:49,archive,published,3183,public,http://repository.lppm.unila.ac.id/id/eprint/3183,TRUE,pub,,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 3183, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3072', 'main': 'SNTTM_XI_2012.pdf', 'docid': 3072, 'files': [{'objectid': 3072, 'uri': 'http://repository.lppm.unila.ac.id/id/file/22163', 'datasetid': 'document', 'filesize': 1956651, 'fileid': 22163, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-06-02 13:46:23', 'hash': 'f7204b4259c53270d04f9b7e40a6b21b', 'filename': 'SNTTM_XI_2012.pdf'}]}]",,2017-06-05 02:18:49,1565-1569,,326,2017-06-05 02:18:49,2012-10-16 00:00:00.000000000,disk0/00/00/31/83,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Savetlana', 'given': 'Shirley'}, 'id': 'shirley.savetlana@eng.unila.ac.id'}, {'name': {'family': 'Rajaguguk', 'honourific': None, 'lineage': None, 'given': 'Tumpal Ojahan'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Zhohanes', 'given': 'MZ'}}, {'id': None, 'name': {'given': 'Nardianto', 'family': 'Nardianto', 'honourific': None, 'lineage': None}}]",,['FT7'],conference_item,http://seminar.bkstm.org/histori/,,,paper,conference,Proceeding Seminar Nasional Tahunan Teknik Mesin XI (SNTTM XI) & Thermofluid IV Universitas Gadjah Mada (UGM),Jogyakarta,16 Oktober 2012,"[{'type': 'author', 'url': 'https://scholar.google.com/citations?user=_EvuwtsAAAAJ&hl=en'}]",,
