,title,official_url,volume,rev_number,metadata_visibility,status_changed,eprint_status,subjects,abstract,eprintid,date_type,number,ispublished,publisher,documents,full_text_status,uri,refereed,lastmod,userid,pagerange,datestamp,publication,issn,creators,dir,date,type,divisions,event_dates,event_type,event_location,event_title,corp_creators,related_url,pres_type,contact_email,keywords,id_number,place_of_pub,referencetext,contributors,funders,pages,patent_applicant,projects
0,PEMBUATAN INSECT TRAP BERBASIS UAV (UNMANNED AERIAL VEHICLE),https://journal.unsika.ac.id/index.php/barometer/article/view/1256,3,6,show,2020-09-21 03:26:46,archive,['TJ'],"Insekta merupakan kelompok dominan organisme di bumi, dalam hal keragaman taksonomi dan memiliki fungsi ekologis yang penting, namun sedikit sekali diketahui baik jenis maupun perilakunya (Wilson,1992). Oleh karena diperlukan pengembangan teknologi baru yang berguna untuk sensus serangga. Dimana teknologi baru yang dikembangkan pada riset ini berupa teknologi insect trap berbasis UAVyang dapat bergerak sehingga dapat melakukan sensus serangga ke beberapa tempat. Sensus dapat dilakukan untuk serangga yang berada pada ketinggian rendah maupun tinggi. Survei populasi serangga yang biasa dilakukan dengan menggunakan metode jelajah dengan rute survei yang dipetakan dengan menggunakan GPS (Soekardi et al., 2013) tidak dapat menjangkau serangga pada ketinggian lebih dari 5 meter. Maka wahana baru ini akan lebih efektif dan efesien dalam melakukan survei serangga pada ketinggian. Teknologi insect trap yang dapat bergerak merupakan pengembangan teknologi baru yang dapat digunakan untuk sensus serangga dalam melakukan identifikasi spesies- spesies baru serangga yang ada di alam khususnya serangga yang lingkungan hidupnya di udara.",24110,published,1.0,pub,Universitas Singaperbangsa Karawang,"[{'main': '1256-Article Text-3514-1-10-20180510.pdf', 'docid': 37813, 'files': [{'hash_type': 'MD5', 'mtime': '2020-09-20 08:35:11', 'filename': '1256-Article Text-3514-1-10-20180510.pdf', 'hash': '01fd6b08712865bcaa3f149db0763c33', 'fileid': 219520, 'mime_type': 'application/pdf', 'filesize': 597782, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/219520', 'objectid': 37813}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37813', 'eprintid': 24110, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/24110,TRUE,2020-09-21 03:26:46,217,78-82,2020-09-21 03:26:46,BAROMETER,1979-889X,"[{'name': {'lineage': None, 'family': '.', 'honourific': None, 'given': 'Martinus'}, 'id': 'martinus@eng.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Aripta', 'lineage': None, 'given': 'Titin Putri'}, 'id': None}, {'name': {'given': 'Ananda Dharma', 'family': 'Ningarta', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'given': 'Wahyu', 'lineage': None, 'honourific': None, 'family': '.'}, 'id': None}]",disk0/00/02/41/10,1970-01-01 00:00:00.000002018,article,['FT7'],,,,,,,,,,,,,,,,,
1,PEMBUATAN SISTEM KONTROL MOTOR DC UNTUK PROTOTIPE KENDARAAN LISTRIK RADEN INTAN 2,https://journal.unsika.ac.id/index.php/barometer/article/view/1391,3,6,show,2020-09-21 03:26:55,archive,['TJ'],"Pemanasan global dan semakin tingginya harga bahan bakar minyak untuk operasional kendaraan menjadikan kendaraan konvensional mulai tidak menarik. Namun, karena tidak adanya pilihan lain (ketersediaan kendaraan listrik di pasaran) dengan terpaksa kendaraan konvensional masih menjadi pilihan utama masyarakat.  Solusi untuk menanggulanginya yaitu dengan menghadirkan kendaraan yang ramah lingkungan dengan bahan bakar listrik. Pada penelitian ini dikembangkan sebuah sistem kontrol motor DC berbasis mikrokontroler Arduino. Sistem ini kemudian diaplikasikan pada sebuah prototipe kendaraan listrik Raden Intan 2. Pada pengujian ini, kecepatan ditahan pada rerata 35 km/jam. Sistem kontrol motor DC ini berjalan paralel dengan throttle dari pengendara. Pengendara akan memiliki kebebasan untuk mengatur throttle selama kecepatan masih di bawah batas atas 40 km/jam Pemakaian energi dari baterai akan tergantung dari throttle yang dikendalikan oleh pengendara dan auto cut off system yang dikendalikan Arduino. Apabila kecepatan melebihi ambang batas maka sistem auto cut off akan mengambil alih fungsi throttle dari pengendara.",24111,published,2.0,pub,Universitas Singaperbangsa Karawang,"[{'eprintid': 24111, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 37814, 'main': '1391-Article Text-3924-1-10-20180809.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/219526', 'objectid': 37814, 'hash_type': 'MD5', 'mtime': '2020-09-20 08:38:06', 'hash': '2eb7c77df7be6da866ecc6e4665725c0', 'filename': '1391-Article Text-3924-1-10-20180809.pdf', 'fileid': 219526, 'mime_type': 'application/pdf', 'filesize': 219473, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37814'}]",public,http://repository.lppm.unila.ac.id/id/eprint/24111,TRUE,2020-09-21 03:26:55,217,122-124,2020-09-21 03:26:55,BAROMETER,1979-889X,"[{'id': 'martinus@eng.unila.ac.id', 'name': {'given': 'Martinus', 'honourific': None, 'family': '.', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Juliardi', 'honourific': None, 'given': 'Arif'}, 'id': None}, {'name': {'given': 'I Putu Dharma', 'honourific': None, 'family': 'Adi', 'lineage': None}, 'id': None}]",disk0/00/02/41/11,1970-01-01 00:00:00.000002018,article,['FT7'],,,,,,,,,,,,,,,,,
2,STUDY OF CARBON FIBER REINFORCED GEOPOLYMERS COMPOSITE FOR TRAIN'S BRAKE BLOCKS,http://snttm2018.bkstm.org/,,8,show,2018-11-14 02:50:27,archive,['TJ'],"The train is one of the biggest favorite transportation in Indonesia. One of the most important components of a train is the braking system. Brakes have several functions such as reducing speed and stopping trains. One of the most frequently replaced components is the brake block. Since 2016, train brake blocks in Indonesia have started to change from metal brakes to composite brakes, but unfortunately Indonesia must import from abroad such as China, India and Australia. Geopolymers with carbon fiber can be an alternative material to replace conventional brake blocks, because geopolymer composites have more advantages than conventional brake blocks such as cheaper, light in weight, and high temperature resistant. There was 3 methods experiment from geopolimer specimen that is friction test, flextural test, and SEM test. The test result show that composite who contain Fly Ash, Kaolin, of Silica Fume, CaO, and Carbon Fiber/ Fiber glass has  0,41 of friction coeficien, for flexural test, it can reach a strength of about 86 MPa with Flexural Modulus around 20 GPa and of SEM test.",9845,published,,pub,,"[{'main': 'Makalah SNTTM 2018_Jamiatul Akmal.pdf', 'docid': 22858, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/92842', 'objectid': 22858, 'hash_type': 'MD5', 'mtime': '2018-11-13 06:19:14', 'filename': 'Makalah SNTTM 2018_Jamiatul Akmal.pdf', 'hash': '7c2f94156c99648c71d314d9a8946dc4', 'fileid': 92842, 'mime_type': 'application/pdf', 'filesize': 3405607, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22858', 'rev_number': 1, 'eprintid': 9845, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/9845,TRUE,2018-11-14 02:50:27,24,450-455,2018-11-14 02:50:27,,,"[{'id': 'jamiatulakmal@gmail.com', 'name': {'given': 'Jamiatul', 'family': 'Akmal', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Zulhendri', 'lineage': None, 'honourific': None, 'family': 'Zulhendri'}, 'id': 'zulhendri.h@eng.unila.ac.id'}, {'name': {'given': 'Taufik', 'lineage': None, 'family': 'Hidayatullah', 'honourific': None}, 'id': None}]",disk0/00/00/98/45,2018-11-01 00:00:00.000000000,conference_item,['FT7'],4-5 Oktober 2018,conference,"Kupang, NTT","SNTTM XVII, Oktober 2018",['Universitas Lampung'],"[{'url': 'http://snttm2018.bkstm.org/', 'type': 'pub'}]",paper,jamiatul.akmal@eng.unila.ac.id,"Geopolimer, blok rem, uji gesek, uji lentur, uji SEM",,,,,,,,
3,Study of Carbon Fiber And Sulfur Reinforced Geopolymers Composite for Train's Brake Block,https://docplayer.info/123320641-Snttm-xvii-prosiding-seminar-nasional-tahunan-teknik-mesin-2018.html,,10,show,2019-05-24 07:19:20,archive,['TJ'],"Abstract. The train is one of the biggest favorite transportation in Indonesia. One of the most important
components of a train is the braking system. Brakes have several functions such as reducing speed and
stopping trains. One of the most frequently replaced components is the brake block. Since 2016, train brake
blocks in Indonesia have started to change from metal brakes to composite brakes, but unfortunately
Indonesia must import from abroad. Geopolymers with carbon fiber can be an alternative material to replace
conventional brake blocks, because geopolymer composites have more advantages than conventional brake
blocks such as cheaper, light in weight, and high temperature resistant. There was 3 methods experiment
from geopolimer specimen that is friction test, flextural test, and SEM test. The test result show that
composite who contain Fly Ash 50%, Kaolin 40%, of Silica Fume 10%, CaO 12 grams, Carbon Fiber and
sulfur has higher value of friction coeficien when we add sulfur 10% than specimen without sulfur and has a
lower value of friction coeficien when we add carbon fiber 10% than specimen without carbon fiber, for
flexural test it can reach a strength of about 86 MPa with Flexural Modulus around 20 GPa . Microstrucutre
from SEM test show that geopolymer without fiber varbon have crack who make a low flexural strength.
And geopolymer with carbon fiver have not any crack and make a strength more higher.",13233,published,,pub,,"[{'files': [{'filename': 'Makalah SNTTM 2018 Kupang_Jamiatul Akmal.pdf', 'hash': '7c2f94156c99648c71d314d9a8946dc4', 'mtime': '2019-05-24 02:14:29', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 116128, 'filesize': 3405607, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/116128', 'objectid': 26237}], 'main': 'Makalah SNTTM 2018 Kupang_Jamiatul Akmal.pdf', 'docid': 26237, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26237', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 13233, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13233,FALSE,2019-05-24 07:19:20,24,450-455,2019-05-24 07:19:20,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Akmal', 'given': 'Jamiatul'}, 'id': 'jamiatulakmal@gmail.com'}, {'name': {'given': 'Zulhendri', 'family': 'Zulhendri', 'honourific': None, 'lineage': None}, 'id': 'zulhendri.h@eng.unila.ac.id'}, {'id': 'ahmad.suudi@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Suudi', 'honourific': None, 'given': 'Ahmad'}}, {'id': None, 'name': {'given': 'Taufik', 'lineage': None, 'family': 'Hidayatullah', 'honourific': None}}]",disk0/00/01/32/33,2018-10-04 00:00:00.000000000,conference_item,['FT7'],4-5 Oktober 2018,conference,"Kupang, NTT","SNTTM XVII, Oktober 2018",['Jurusan Teknik Mesin Universitas Lampung'],,paper,,,,,,,,,,
4,Performance analysis of hybrid PV/T solar collector under the tropical climate conditions of Indonesia,http://snttm2018.bkstm.org/Pengumuman,,7,show,2018-11-14 09:53:47,archive,['TJ'],"Energi matahari dapat diubah menjadi energi listrik melalui penggunaan sel surya (photovoltaic cell). Akan tetapi efisiensi photovoltaic hanya berkisar 12%-18% dimana lebih dari 80% radiasi yang diterima akan diserap menjadi panas. Energi panas ini akan meningkatkan temperatur permukaan photovoltaic sehingga mengurangi efisiensi listrik sebesar 0,5% setiap peningkatan temperatur permukaan photovoltaic (PV) 1 oC. Sebagai upaya untuk menstabilkan temperatur permukaan photovoltaic tersebut maka dibutuhkan kolektor termal surya yang ditempelkan dibawah permukaan PV. Jenis kolektor ini dikenal dengan kolektor hybrid photovoltaic thermal (PV/T). Sementara itu iklim lingkungan yang berbeda akan berpengaruh terhadap unjuk kerja suatu kolektor PV/T. Penelitian ini bertujuan untuk mengetahui unjuk kerja kolektor surya hybrid photovoltaic thermal (PV/T) aliran serpentin yang dikarakterisasi pada iklim tropis Indonesia. Pengujian unjuk kerja termal mengikuti standar EN 12975 sistem indoor menggunakan solar simulator. Hasil penelitian ini menunjukkan bahwa peningkatan laju aliran massa fluida 30% memberikan peningkatan yang paling maksimum untuk parameter rugi-rugi termal dan pressure drop masing-masing 45% dan 51%. Sementara itu efisiensi listrik mengalami peningkatan sebesar 2.5% jika dibandingkan dengan efisiensi listrik kolektor PV tanpa kolektor termal.",9917,published,,pub,,"[{'eprintid': 9917, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 22926, 'main': 'Amrizal.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/93389', 'objectid': 22926, 'filesize': 5396533, 'datasetid': 'document', 'filename': 'Amrizal.pdf', 'hash': '51d9515a5624048379ca8cd607db516e', 'mtime': '2018-11-14 09:02:26', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 93389}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22926'}]",public,http://repository.lppm.unila.ac.id/id/eprint/9917,TRUE,2018-11-14 09:53:47,716,198-202,2018-11-14 09:53:47,,,"[{'id': 'amrizal@eng.unila.ac.id', 'name': {'given': 'Amrizal', 'lineage': None, 'honourific': None, 'family': 'Amrizal'}}, {'id': 'amrul@eng.unila.ac.id', 'name': {'family': 'Amrul', 'honourific': None, 'lineage': None, 'given': 'Amrul'}}, {'id': 'miftahulaziz70@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Miftahul', 'given': 'Aziz'}}, {'id': 'adi.supriantoo@gmail.com', 'name': {'given': 'Supriyanto', 'honourific': None, 'family': 'Adi', 'lineage': None}}]",disk0/00/00/99/17,2018-10-05 00:00:00.000000000,conference_item,['FT7'],4-5 Oktober,conference,Kupang NTT,Seminar Nasional Teknik Mesin se Indonesia SNTTM XVII,,,speech,,,,,,,,,,
5,ANALISIS REDUKSI SUARA DAN KUAT TARIK KOMPOSIT BETON SERAT GEDEBOK PISANG HASIL DELIGNIFIKASI DENGAN PELARUT NATRIUM HIDROKSIDA (NAOH),https://journal Balitbangdalampung.org,6,6,show,2018-10-26 10:03:31,archive,['TP'],"Abstrak : Dalam ilmu komposit, diinginkan material yang lebih ringan namun memiliki kekuatan dan kualitas yang dapat menyamai bahkan melebihi material yang telah ada sebelumnya. Telah dilakukan penelitian dengan tujuan untuk mengetahui pengaruh penambahan serat selulosa hasil delignifikasi dari gedebok pisang terhadap  kuat tarik, kuat  tekan dan daya redam suara komposit beton. Untuk mencapai tujuan tersebut, dilakukan pencampuran antara serat selulosa dengan bahan  adukan beton  mutu K-275 dengan variasi substitusi 0% dan 5% yang dimana selulosa tersebut divariasikan dalam bentuk serbuk dan anyaman. Delignifikasi kandungan lignin dari gedebok pisang dilakukan dengan metode perendaman dan pengeringan tanpa variasi apapun dan menghasilkan serbuk yang memiliki kandungan selulosa  sebesar 13,0388% , hemiselulosa 18,2796% serta lignin 0,6684%. Penelitian ini menghasilkan komposit beton yang memiliki kuat tarik dan kuat tekan lebih rendah dibandingkan dengan beton normal. Nilai kuat tarik beton normal 94,5 kg/cm2, beton serbuk selulosa 71,4 kg/cm2, dan beton anyaman selulosa 90,3 kg/cm2. Nilai kuat tekan beton normal 334,22 kg/cm2, beton serbuk selulosa 215,7 kg/cm2, dan beton anyaman selulosa 157,98 kg/cm2. Sedangkan untuk daya redam suara beton anyaman selulosa memiliki daya redam tertinggi dibandingkan beton lainnya dengan intensitas suara yang terserap yaitu 52-68 dB. 
 
Kata kunci: Komposit, Beton, Kuat tarik, Kuat tekan, Daya redam suara",8752,published,2.0,pub,Jurnal Kelitbangan,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/21837', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/85292', 'objectid': 21837, 'mtime': '2018-08-28 06:42:27', 'hash_type': 'MD5', 'filename': 'kedebok pisang.pdf', 'hash': '8808c6cadbd117011126e64b93d50e70', 'fileid': 85292, 'mime_type': 'application/pdf', 'filesize': 1179673, 'datasetid': 'document'}], 'main': 'kedebok pisang.pdf', 'docid': 21837, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 8752}]",public,http://repository.lppm.unila.ac.id/id/eprint/8752,FALSE,2018-10-26 10:03:31,951,105-119,2018-10-26 10:03:31,Jurnal Kelitbangan,2354-5704,"[{'name': {'family': 'Azwar', 'honourific': None, 'lineage': None, 'given': 'Edwin'}, 'id': 'edwinazwar@yahoo.co.id'}, {'name': {'given': 'Annisa', 'lineage': None, 'family': 'Mufida', 'honourific': None}, 'id': None}, {'id': None, 'name': {'given': 'Rouf', 'lineage': None, 'honourific': None, 'family': 'Suprayogi'}}]",disk0/00/00/87/52,2018-07-24 00:00:00.000000000,article,"['FT6', 'FT7', 'FT4', 'UNILA4', 'UNILA3', 'UNILA5', 'UNILA2']",,,,,,,,,,,,,,,,,
6,Similarity check result: The effect of diffusion treatment on the mechanical properties of hot-dip aluminumc oating on AISI P20 steel,http://aip.scitation.org/toc/apc/1983/1,,7,show,2020-03-03 07:16:05,archive,['TJ'],,18275,published,,unpub,American Institute of Physics Publishing Ltd,"[{'files': [{'objectid': 31427, 'uri': 'http://repository.lppm.unila.ac.id/id/file/153861', 'mime_type': 'application/pdf', 'fileid': 153861, 'filename': 'Similarity check result for The_effect_of_diffusion_treatment_on_the_mechanica.pdf', 'hash': 'f92db4c107d15f9928688cb7567975ec', 'hash_type': 'MD5', 'mtime': '2020-02-27 10:52:30', 'datasetid': 'document', 'filesize': 1674140}], 'docid': 31427, 'main': 'Similarity check result for The_effect_of_diffusion_treatment_on_the_mechanica.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31427', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 18275, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/18275,,2020-03-03 07:16:05,451,,2020-03-03 07:16:05,,,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Badaruddin', 'given': 'Mohammad'}}]",disk0/00/01/82/75,2018-07-13 00:00:00.000000000,other,['FT7'],,,,,,,,,,https://aip.scitation.org/doi/abs/10.1063/1.5046277,AIP Conference Proceeeding: ICOME 2017,,,,,,
7,Similarity check results: Low cycle fatigue analysis of an annealed AISI 4140 steel,http://prosiding.bkstm.org/prosiding/seminar/2018,,7,show,2020-03-03 07:16:00,archive,['TJ'],,18273,published,,unpub,Penerbit Program Studi Teknik Mesin-Universitas Nusa Cendana-Kupang,"[{'files': [{'datasetid': 'document', 'filesize': 2414166, 'fileid': 153846, 'mime_type': 'application/pdf', 'mtime': '2020-02-27 10:46:01', 'hash_type': 'MD5', 'filename': 'Similarity check result for Low_Cycle_Fatigue_Analysis_of_an_Annealed_AISI_414.pdf', 'hash': '2f810b850cd4cbd74bb8cf20bfe40914', 'objectid': 31425, 'uri': 'http://repository.lppm.unila.ac.id/id/file/153846'}], 'main': 'Similarity check result for Low_Cycle_Fatigue_Analysis_of_an_Annealed_AISI_414.pdf', 'docid': 31425, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31425', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 18273, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/18273,,2020-03-03 07:16:00,451,,2020-03-03 07:16:00,,,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'given': 'Mohammad', 'lineage': None, 'honourific': None, 'family': 'Badaruddin'}}]",disk0/00/01/82/73,2018-10-01 00:00:00.000000000,other,['FT7'],,,,,,,,,,,SNTTM 2018,,,,,,
8,Low Cycle Fatigue Analysis of an Annealed AISI 4140 Steel,,18,6,show,2018-11-15 08:07:30,archive,['TJ'],"An AISI 4140 steel is widely applied for machine element components on vehicles. A Chemical
compositions of alloy elements are 0.443C, 1.15Cr, 0.805Mn, 0.320Cu, 0.253Ni, 0.308Si, dan 0.198Mo
(wt.%). The steel was subjected to annealing-heat treatment for increase of the ductility, and thus the plastic
region is a larger size than the elastic region. The mechanical strength and the low cycle fatigue properties of
the annealed steel were tested in according to ASTM E8 standard with a displacement control of 0.2 mm/min
and in according to ASTM E606 standard with the strain amplitude total in ranging of 0.003-0.007 mm/mm
under a constant strain rate of 0.005/s, respectively. The tensile test results show that the annealing treatment
on AISI 4140 significantly decreased the mechanical properties of the steel. However, the plastic strain
energy in the steel with annealing treatment is larger than that of the steel without annealing treatment. A
large plastic energy in the steel gives a contribution in improvement of the steel’s fatigue life, for example;
the fatigue life of annealed steel increases by 2.43 fold which is fatigued under a strain amplitude of 0.003
mm/mm. The empirical equation obtained from the present research can be used to predict the fatigue life of
annealed AISI 4140 steel in terms of elastic condition,",9967,published,,pub,Universitas Cendana Kupang,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 9967, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22983', 'docid': 22983, 'main': 'Prosiding SNTTM XVII 2018 Kupang.pdf', 'files': [{'hash': 'c11f3f8008fabe587f3cdc9a50f09c9b', 'filename': 'Prosiding SNTTM XVII 2018 Kupang.pdf', 'hash_type': 'MD5', 'mtime': '2018-11-15 03:22:54', 'mime_type': 'application/pdf', 'fileid': 93772, 'filesize': 3417130, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/93772', 'objectid': 22983}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/9967,TRUE,2018-11-15 08:07:30,451,56-61,2018-11-15 08:07:30,Seminar Nasional Tahunan Teknik Mesin 2018,2623-0313,"[{'name': {'given': 'Mohammad', 'honourific': None, 'family': 'Badaruddin', 'lineage': None}, 'id': 'mbruddin@eng.unila.ac.id'}, {'name': {'given': 'Purnadi Sri', 'family': 'Kuncoro', 'honourific': None, 'lineage': None}, 'id': 'purnadi1215021065@gmail.com'}, {'name': {'given': 'Ahmad', 'honourific': None, 'family': 'Suudi', 'lineage': None}, 'id': 'ahmad.suudi@eng.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sugiyanto', 'given': 'Sugiyanto'}, 'id': 'sugiyanto.1957@eng.unila.ac.id'}]",disk0/00/00/99/67,2018-10-01 00:00:00.000000000,article,['FT7'],,,,,,,,,,,,,,,,,
9,"The effect of diffusion treatment on the mechanical properties of hot-dip aluminum
coating on AISI P20 steel",https://aip.scitation.org/toc/apc/1983/1?expanded=1983,1983,9,show,2018-11-15 08:07:28,archive,"['TJ', 'TN']",AISI P20 steel was coated by dipping it into a molten Al,9965,published,,pub,American Institute of Physics,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 9965, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22981', 'pos': 1, 'format': 'text', 'files': [{'fileid': 93749, 'mime_type': 'application/pdf', 'mtime': '2018-11-15 03:07:32', 'hash_type': 'MD5', 'hash': 'a45ecd6f5ce7589b51b6ec4dd17dae22', 'filename': '[doi 10.1063_1.5046277] Badaruddin, M.; Riza, R. Tommy; Zulhanif, -- AIP Conference Proceedings [Author(s) DISRUPTIVE INNOVATION IN MECHANICAL ENGINEERING FOR INDUSTRY COMPETITIVENESS- Proceedings.pdf', 'datasetid': 'document', 'filesize': 835390, 'objectid': 22981, 'uri': 'http://repository.lppm.unila.ac.id/id/file/93749'}], 'main': '[doi 10.1063_1.5046277] Badaruddin, M.; Riza, R. Tommy; Zulhanif, -- AIP Conference Proceedings [Author(s) DISRUPTIVE INNOVATION IN MECHANICAL ENGINEERING FOR INDUSTRY COMPETITIVENESS- Proceedings.pdf', 'docid': 22981}]",public,http://repository.lppm.unila.ac.id/id/eprint/9965,TRUE,2018-11-15 08:07:28,451,050004-1,2018-11-15 08:07:28,AIP Conference Proceedings,978-0-7354-1699-4,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Badaruddin', 'given': 'Mohammad'}, 'id': 'mbruddin@eng.unila.ac.id'}, {'name': {'given': 'Riza', 'family': 'Tomi', 'honourific': None, 'lineage': None}, 'id': 'tomi@yahoo.com'}, {'id': 'zulhanif1973@gmail.cim', 'name': {'lineage': None, 'honourific': None, 'family': 'Zulhanif', 'given': 'zulhanif'}}]",disk0/00/00/99/65,2018-07-13 00:00:00.000000000,article,['FT7'],,,,,,[{'url': 'https://doi.org/10.1063/1.5046277'}],,,,10.1063/1.5046277,,"1. A. Al-Mazrouee and R. K. S. Raman, J. Pres. Vess. Technol. 129, 454","[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,
