,date_type,eprintid,abstract,subjects,related_url,status_changed,eprint_status,metadata_visibility,volume,rev_number,title,official_url,divisions,type,id_number,dir,date,creators,issn,publication,datestamp,pagerange,lastmod,userid,refereed,uri,full_text_status,publisher,documents,ispublished,number,event_location,event_title,event_type,pres_type,corp_creators,referencetext,contact_email,place_of_pub,funders,projects,keywords,succeeds,event_dates,contributors,patent_applicant,pages,isbn
0,published,20909,"Abstract. One important issue global is climate changes. The reduce climate changes one of them issue of the wind energy utilization is the energy conversion from wind energy. Conversion efficiency of the wind energy usable into productive power. Enhanced technology wind energy development CRWT. The purpose of this paper analysis of the effect ratio of rotation rotors and Tip Speed Ratio (TSR) on the variations rotor distance rotors CRWT. This research was carried out the development of previous research with airfoil series S826 blade modeling from NREL. This research used Gambit Software and solver using ANSYS (FLUENT CFD), used turbulent model k − ε realizable. Results of this research the variations parameters CRWT, distance 0.5-0.1 and show performance maximum wind turbine the rear rotor shows an increase power of the turbine ratio of rotation rotors and TSR.",['TJ'],[{'url': 'doi:10.1088/1742-6596/1273/1/012060'}],2020-05-28 19:06:48,archive,show,1273.0,8,Analysis Effect Ratio of Rotation Rotors and Tip Speed Ratio (TSR) On The Variations of Distance Rotors Counter Rotating Wind Turbine (CRWT),https://iopscience.iop.org/article/10.1088/1742-6596/1273/1/012060/meta,['FT7'],article,doi:10.1088/1742-6596/1273/1/012060,disk0/00/02/09/09,2019-11-01 00:00:00.000000000,"[{'name': {'family': 'Akhmad', 'honourific': None, 'lineage': None, 'given': 'Riszal'}, 'id': 'riszal.eng@gmail.com'}]",Print : 1742-6588 Online : 1742-6596,Journal of Physics: Conference Series,2020-05-28 19:06:48,1-6,2020-05-28 19:06:48,3227,TRUE,http://repository.lppm.unila.ac.id/id/eprint/20909,public,IOP Publishing,"[{'placement': 1, 'security': 'public', 'eprintid': 20909, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 34285, 'uri': 'http://repository.lppm.unila.ac.id/id/file/195395', 'fileid': 195395, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-05-28 14:36:42', 'hash': '44bc8db61621fb536e8a8f65934baa80', 'filename': '5_JURNAL INTERNASIONAL RISZAL_Q3.pdf', 'datasetid': 'document', 'filesize': 1004658}], 'main': '5_JURNAL INTERNASIONAL RISZAL_Q3.pdf', 'docid': 34285, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34285', 'pos': 1, 'format': 'text'}]",pub,12060,,,,,,,,,,,,,,,,,
1,published,20901,"Kendaraan bermotor dengan bahan bakar yang irit, lincah, cepat, dan praktis merupakan salah satu faktor utama konsumen menentukan pilihan membeli sepeda motor. Masyarakat yang memiliki sepeda motor di bawah tahun 2000 belum dilengkapi dengan alat penghemat bahan bakar, sehingga boros bahan bakar dan harus pintar menghemat bahan bakar. Banyak produsen sepeda motor yang mengeluarkan produk terbarunya paling irit bahan bakar, tetapi mempengaruhi performa mesinnya. Harga bahan bakar jenis premium Rp. 6.500,00 per liter, pertalite Rp. 7.600,00 per liter, pertamax Rp. 8.900,00 per liter, dan pertamax turbo Rp. 10.100,00 per liter. Harga bahan bakar yang tinggi mendorong peneliti melakukan berbagai inovasi penghemat bahan bakar.Tujuan penelitian ini mengembangkan desain pipa katalis HCS model spiral ganda yang disusun seri sehingga mampu menghemat bahan bakar diatas 67% pada sepeda motor 4 tak tanpa mempengaruhi performa mesin. Metode penelitian menggunakan variabel bebas dengan putaran mesin, panjang pipa, diameter pipa, dan volume pertamax. Variabel terikat dengan menguji torsi dan daya mesin, waktu konsumsi bahan bakar, temperatur, dan kebisingan sepeda motor Mega Pro 156,7cc. Penambahan pipa spiral katalis HCS ganda dan volume pertamax menambah waktu performa mesin. Pada panjang 500 mm dan 2000 ml volume pertamax untuk kecepatan putaran mesin 3500 rpm hanya mampu menghemat bahan bakar sebesar 52,52%. Desain pipa spiral katalis HCS ganda yang paling optimal dari yaitu pipa dengan panjang 500 cm dan volume pertamax 2000 ml. Selain waktu performa mesin pada desain pipa spiral katalis ini dapat meningkatkan torsi dan daya mesin sebesar 92,3% pada putaran 3500 rpm serta mengurangi temperatur 12,34% pada putaran 6000 rpm, dan kebisingan 1,93% pada putaran 4000 rpm. Bertambahnya pipa spiral katalis HSC ganda dan volume pertamax dapat meningkatnya kandungan hidrokarbon bahan bakar yang masuk ke ruang pembakaran disuplay dari uap pertamax. Bahan bakar premium (C8H18) di tambah uap pertamax.menjadikan kandungan bahan bakar memiliki nilai oktan tinggi, daya mesin yang lebih besar dan komsumsi bahan bakar rendah. Nilai oktan tinggi mempengaruhi pembakaran mesin sempurna, knocking berkurang, temperatur mesin rendah, dan kebisingan menurun.
Kata kunci: Hydrocarbon Crack System; Penghemat Bahan Bakar; Performa Mesin. Pipa Katalis Ganda",['TJ'],,2020-05-28 14:09:59,archive,show,,9,PENGHEMAT BAHAN BAKAR DENGAN MENGGUNAKAN PIPA KATALIS METODE HYDROCARBON CRACK SYSTEM GANDA PADA SEPEDA MOTOR 4 TAK MEGAPRO,https://conference.umk.ac.id/index.php/snatif/article/view/130,['FT7'],conference_item,,disk0/00/02/09/01,2019-11-28 00:00:00.000000000,"[{'id': 'riszal.eng@gmail.com', 'name': {'given': 'Riszal', 'family': 'Akhmad', 'honourific': None, 'lineage': None}}]",,,2020-05-28 14:09:59,63-69,2020-05-28 14:09:59,3227,TRUE,http://repository.lppm.unila.ac.id/id/eprint/20901,public,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34278', 'main': '2_PROSIDING UMK RISZAL.pdf', 'docid': 34278, 'files': [{'filename': '2_PROSIDING UMK RISZAL.pdf', 'hash': '1ea663f6db5a70c26756654f13060bb8', 'hash_type': 'MD5', 'mtime': '2020-05-28 13:53:18', 'mime_type': 'application/pdf', 'fileid': 195348, 'filesize': 317978, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/195348', 'objectid': 34278}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 20901, 'security': 'public', 'placement': 1}]",pub,,Univeritas Muria Kudus,SNATIF 2018,conference,paper,,,,,,,,,,,,,
2,published,15856,"Abstract. Geopolymer is a material synthesized from a base material with a large amount of
silica and alumina. Geopolymer can be used as an affordable alternative as a substitute for
Portland cement, reducing pollution, and resistant to fire under certain conditions. But pure
geopolymer has not been widely used in industrial areas because overall it has low toughness
and mechanical properties when compared to metals or ceramics. This research was conducted
to produce geopolymer composite material with good mechanical properties and can be applied
as a material in making environmentally friendly pipes, by identifying the influence of the
composition of the geopolymer base material using the Taguchi method. Generate Geopolymer
composites with the addition of Silica Powder and random short carbon fiber have good
mechanical properties, from the results of the experiment produced the best flexural strength in
T9 specimens with details of the composition of Silica Powder (27 g), Kaolin (55 g), CaO (6
g), and Carbon Fiber (13 gr) with a flexural strength of 41.46924655 MPa and flexural
modulus 6 GPa.","['TJ', 'TP']",[{'url': 'https://iopscience.iop.org/article/10.1088/1757-899X/602/1/012079/pdf'}],2019-11-07 04:37:56,archive,show,602.0,8,"Optimization of matrix compositions of Al2O3, SiO2, Caolin, and CaO on the mechanical properties of a geopolymer composite with short carbon
fiber",https://iopscience.iop.org/article/10.1088/1757-899X/602/1/012079/pdf,['FT7'],article,10.1088/1757-899X/602/1/012079,disk0/00/01/58/56,1970-01-01 00:00:00.000002019,"[{'id': 'jamiatulakmal@gmail.com', 'name': {'given': 'Jamiatul', 'family': 'Akmal', 'honourific': None, 'lineage': None}}, {'id': 'mbruddin@eng.unila.ac.id', 'name': {'given': 'Mohammad', 'family': 'Badaruddin', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'given': 'Muh Kresna', 'lineage': None, 'honourific': None, 'family': 'Ismoyo'}}, {'id': None, 'name': {'lineage': None, 'family': 'Yuwono', 'honourific': None, 'given': 'Suripto D.'}}]",17578981,IOP Conf. Series: Materials Science and Engineering,2019-11-07 04:37:56,1-7,2019-11-07 04:37:56,24,FALSE,http://repository.lppm.unila.ac.id/id/eprint/15856,public,IOPPublishing Ltd,"[{'pos': 1, 'format': 'text', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28953', 'docid': 28953, 'main': 'Akmal_2019_IOP_Conf._Ser.%3A_Mater._Sci._Eng._602_012079.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/136063', 'objectid': 28953, 'filesize': 875841, 'datasetid': 'document', 'hash': 'ae930ba77d22d467031027c2f1272a8b', 'filename': 'Akmal_2019_IOP_Conf._Ser.%3A_Mater._Sci._Eng._602_012079.pdf', 'mtime': '2019-11-07 03:56:49', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 136063}], 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'eprintid': 15856, 'placement': 1, 'security': 'public'}]",pub,1207,,,,,"['Department of Mechanical Engineering, University of Lampung', 'Department of Chemical Science, University of Lampung']","[1] ASTM C1161 1990 Standard Test Method for Flexural Strength of Advanced Ceramics at Ambient Temperature, Annual Book of ASTM Standards 15 333-339. [2] Jingkun Y. Peigang H. Dechang J. Xu L. Shu Y. Delong C. Zhihua Y. Xiaoming D. Shengjin W. Yu Z. 2015 SiC fiber reinforced geopolymer composites, part1: short SiC fiber, Jurnal Ceramics International. http://dx.doi.org/10.1016/j.ceramint.12.067. [3] Mukhallad M. Al-mashhadani Orhan C. Yurdakul A. Mucteba U. Savas E. 2018 Mechanical and microstructural characterization of fiber reinforced fly ash based geopolymer composites. Journal Construction and Building Materials 167 505–513.7 [4] Zaheer M. Nazir K. Yifei H. Hong H. Faiz U. Ahmed S. Kewei L. 2018 Mechanical properties of ambient cured high-strength plain and hybrid fiber reinforced geopolymer composites from triaxial compressive tests. Journal Construction and Building Materials 185 338–353. [5] Shaikh F. Uddin A. 2013 Review of mechanical properties of short fiber reinforced geopolymer composites. Journal Construction and Building Materials 43 37–49. [6] Suwanto E. K. 2018 Effect of Addition of Calcium Oxide and Carbon Fiber to the Mechanical Properties of Geopolymer Composites. Thesis, Faculty of Engineering, LAMPUNG UNIVERSITY, Bandar Lampung.",jamiatul.akmal@eng.unila.ac.id,,,,,,,,,,
3,published,18268,,['TJ'],,2020-03-03 07:15:52,archive,show,,8,"Similarity check result: High-temperature corrosion of aluminized-AISI 1020 steel with
NaCl and Na2SO4 deposits",https://link.springer.com/article/10.1007/s12034-019-1984-0,['FT7'],other,https://doi.org/10.1007/s12034-019-1984-0,disk0/00/01/82/68,2019-12-17 00:00:00.000000000,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Badaruddin', 'given': 'Mohammad'}}]",,,2020-03-03 07:15:52,,2020-03-03 07:15:52,451,,http://repository.lppm.unila.ac.id/id/eprint/18268,public,Indian Academy of Sciences-Springer,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/31420', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 3731177, 'fileid': 153807, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-02-27 10:26:35', 'hash': 'bdcc41b7229079d49c6e9623adb3047d', 'filename': 'Similarity check result for High_temperature_corrosion_of_aluminized_AISI_1020.pdf', 'objectid': 31420, 'uri': 'http://repository.lppm.unila.ac.id/id/file/153807'}], 'main': 'Similarity check result for High_temperature_corrosion_of_aluminized_AISI_1020.pdf', 'docid': 31420, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 18268}]",unpub,,,,,,,,,Bulletin of Materials Science volume,,,,,,,,,
4,published,18270,,['TJ'],,2020-03-03 07:15:56,archive,show,,7,"Similarity check result: Improvement of low-cycle fatigue resistance in AISI 4140 steel by annealing
treatment",https://www.sciencedirect.com/science/article/abs/pii/S0142112319301434,['FT7'],other,https://doi.org/10.1016/j.ijfatigue.2019.04.020,disk0/00/01/82/70,2019-08-25 00:00:00.000000000,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'family': 'Badaruddin', 'honourific': None, 'lineage': None, 'given': 'Mohammad'}}]",,,2020-03-03 07:15:56,,2020-03-03 07:15:56,451,,http://repository.lppm.unila.ac.id/id/eprint/18270,public,Elsevier,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 18270, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31422', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 31422, 'uri': 'http://repository.lppm.unila.ac.id/id/file/153825', 'mime_type': 'application/pdf', 'fileid': 153825, 'hash': '356924c97850cd24275ddd5f68e4a642', 'filename': 'Similarity check result for Improvement_of_low_cycle_fatigue_resistance_in_AIS.pdf', 'mtime': '2020-02-27 10:35:48', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 5444967}], 'main': 'Similarity check result for Improvement_of_low_cycle_fatigue_resistance_in_AIS.pdf', 'docid': 31422}]",unpub,,,,,,,,,International Journal of Fatigue,,,,,,,,,
5,published,18274,,['TJ'],,2020-03-03 07:16:03,archive,show,,8,Similarity check result: Low cycle fatigue properties of extruded 6061-T6 aluminum alloy,https://iopscience.iop.org/issue/1742-6596/1198/3,['FT7'],other,https://iopscience.iop.org/article/10.1088/1742-6596/1198/3/032002,disk0/00/01/82/74,2019-05-10 00:00:00.000000000,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'given': 'Mohammad', 'honourific': None, 'family': 'Badaruddin', 'lineage': None}}]",,,2020-03-03 07:16:03,,2020-03-03 07:16:03,451,,http://repository.lppm.unila.ac.id/id/eprint/18274,public,IOP,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/153853', 'objectid': 31426, 'mtime': '2020-02-27 10:48:13', 'hash_type': 'MD5', 'filename': 'Similarity check result for Low_Cycle_Fatigue_Properties_of_Extruded_6061_T6_A.pdf', 'hash': '2918fee82fe628d3a6ea8f81cbe4ea75', 'fileid': 153853, 'mime_type': 'application/pdf', 'filesize': 1921214, 'datasetid': 'document'}], 'main': 'Similarity check result for Low_Cycle_Fatigue_Properties_of_Extruded_6061_T6_A.pdf', 'docid': 31426, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31426', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 18274, 'mime_type': 'application/pdf', 'language': 'en'}]",unpub,,,,,,,,,Journal of Physics: Conference Series-SENTEN 2018,,,,,,,,,
6,published,18276,,['TJ'],,2020-03-03 07:16:37,archive,show,,7,Similarity check result: The resistence of an aluminide coating on a high-strength ASTM A29 steel subjected to a temperature of 850 C,https://iopscience.iop.org/article/10.1088/2053-1591/ab2508,['FT7'],other,http://doi.org/10.1088/2053-1591/ab2508,disk0/00/01/82/76,2019-08-18 00:00:00.000000000,"[{'name': {'given': 'Mohammad', 'lineage': None, 'family': 'Badaruddin', 'honourific': None}, 'id': 'mbruddin@eng.unila.ac.id'}]",,,2020-03-03 07:16:37,,2020-03-03 07:16:37,451,,http://repository.lppm.unila.ac.id/id/eprint/18276,public,IOP Publishing Ltd.,"[{'files': [{'objectid': 31428, 'uri': 'http://repository.lppm.unila.ac.id/id/file/153868', 'datasetid': 'document', 'filesize': 2813367, 'mime_type': 'application/pdf', 'fileid': 153868, 'filename': 'Similarity check result for The_resistance_of_an_aluminide_coating_on_a_high_s.pdf', 'hash': '5c981fd64c601808ca9c1d65091fa0f2', 'mtime': '2020-02-27 10:55:37', 'hash_type': 'MD5'}], 'main': 'Similarity check result for The_resistance_of_an_aluminide_coating_on_a_high_s.pdf', 'docid': 31428, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31428', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 18276, 'language': 'en', 'mime_type': 'application/pdf'}]",unpub,,,,,,,,,Material Research Express,,,,,,,,,
7,published,18267,,"['TH', 'TJ']",,2020-03-03 07:15:50,archive,show,,8,Similarity check results; Experimental investigation of mechanical properties of cold-drawn AISI 1018 steel at high-temperature steady-state conditions,https://www.sciencedirect.com/science/article/pii/S2238785419302467,['FT7'],other,https://doi.org/10.1016/j.jmrt.2019.12.021,disk0/00/01/82/67,2019-12-23 00:00:00.000000000,"[{'name': {'given': 'Mohammad', 'family': 'Badaruddin', 'honourific': None, 'lineage': None}, 'id': 'mbruddin@eng.unila.ac.id'}]",,,2020-03-03 07:15:50,,2020-03-03 07:15:50,451,,http://repository.lppm.unila.ac.id/id/eprint/18267,public,Elsevier,"[{'docid': 31419, 'main': 'Similarity check result for  Experimental_investigation_of_mechanicalproperties.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/153799', 'objectid': 31419, 'filesize': 5684311, 'datasetid': 'document', 'hash': 'f728aed874fdc65eceeec5b20364a46a', 'filename': 'Similarity check result for  Experimental_investigation_of_mechanicalproperties.pdf', 'hash_type': 'MD5', 'mtime': '2020-02-27 10:21:53', 'mime_type': 'application/pdf', 'fileid': 153799}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31419', 'eprintid': 18267, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",unpub,,,,,,,,,Journal of Materials Research and Technology,,,,,,,,,
8,published,18185,"Usaha untuk meningkatkan kekerasan permukaan baja karbon rendah ST41 dilakukan dengan proses karburising menggunakan bahan karburising bentuk bubuk dengan ukuran 200 mesh, yang mengandung karbon aktif dari tempurung kelapa dan katalisator CaCO3 dari cangkang telur ayam. Variasi campuran arang dengan katalisator adalah 60/40,70/30, 80/20 dan 90/10 dalam persen berat, lalu dimasukan bersama spesimen dalam kotak sementasi. Proses karburising dilakukan dengan memanaskan kotak sementasi pada suhu 850 C selama 30 menit. Hasil proses karburising pada baja ST41 menghasilkan nilai kekerasan yang paling tinggi pada permukaan baja untuk variasi campuran 60/40 arang dengan bubuk cangkang telur ayam. Kekerasan permukaan baja ST41 dihasilkan dari pembentukan fasa yang berbeda. Kekerasan baja setelah karburising dengan pendinginan udara dikaitkan dengan pembentukan fasa perlit yang mengandung banyak karbida (sementit-Fe3C). Sedangkan kekerasan baja hasil kombinasi karburising dan quenching dikaitkan dengan fasa martensit yang terbentuk pada baja ST41.","['TA', 'TJ']",,2020-02-25 04:06:18,archive,show,1.0,7,Increasing of mild steel ST 41 grade hardness by carburizing treatment using an active carbon from coconut shell and CaCO3 catalyst from chicken eggshell,http://prosiding.bkstm.org/prosiding/seminar/2019,['FT7'],article,,disk0/00/01/81/85,2019-10-19 00:00:00.000000000,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Badaruddin', 'lineage': None, 'given': 'Mohammad'}}, {'name': {'given': 'Rizki', 'family': 'Akbari', 'honourific': None, 'lineage': None}, 'id': 'riski@gmail.com'}, {'name': {'family': 'Harnowo', 'honourific': None, 'lineage': None, 'given': 'Supriadi'}, 'id': 'harnowo.supriadi@eng.unila.ac.id'}]",2623-0313,Prosiding SNTTM XVIII,2020-02-25 04:06:18,1-6,2020-02-25 04:06:18,451,TRUE,http://repository.lppm.unila.ac.id/id/eprint/18185,public,BKSTM,"[{'files': [{'objectid': 31325, 'uri': 'http://repository.lppm.unila.ac.id/id/file/153124', 'datasetid': 'document', 'filesize': 433916, 'fileid': 153124, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-02-24 05:08:35', 'hash': 'db047c352593efd6a7b7fb04d4510187', 'filename': 'RM10.pdf'}], 'main': 'RM10.pdf', 'docid': 31325, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31325', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 18185, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,1,,,,,,,,,,,,,,,,,
9,published,17900,"High-temperature corrosion of aluminized-American Iron and Steel Institute (AISI) 1020 steel with sodium chloride (NaCl) and sodium sulphate (Na2SO4) deposits was studied using isothermal oxidization in a dry air environment at 700∘C for 49 h. NaCl and Na2SO4 deposits on the aluminide layer interfered with protective alumina/aluminium oxide (Al2O3) scale formation on the steel substrate. Chlorine and sulphur gases (Cl2g and Sg, respectively) released into the atmosphere corroded the protective Al2O3 layer. Corrosion of the Al2O3 layer was also due to local formation of iron oxide (Fe2O3). Fe2O3 growth is attributed to ferric chloride (FeCl3) vaporization. Sg diffusion into the Al2O3 scale via Al3+ vacancy defects led to the formation of aluminium sulphide on the aluminide layer surface. Cl and S consequently induced hot corrosion of the aluminized steel, thereby increasing cyclic oxychloridation and sulphidation rates at high temperatures.",['TJ'],,2020-02-17 03:49:23,archive,show,43.0,6,"High-temperature corrosion of aluminized-AISI 1020 steel with NaCl and Na2SO4
deposits",https://link.springer.com/journal/12034,['FT7'],article,https://doi.org/10.1007/s12034-019-1984-0,disk0/00/01/79/00,2019-12-18 00:00:00.000000000,"[{'name': {'lineage': None, 'family': 'Badaruddin', 'honourific': None, 'given': 'Mohammad'}, 'id': 'mbruddin@eng.unila.ac.id'}, {'name': {'given': 'Sugiyanto', 'honourific': None, 'family': 'Sugiyanto', 'lineage': None}, 'id': 'sugiyanto.1957@eng.unila.ac.id'}, {'id': 'dwiasmi82@yahoo.com', 'name': {'given': 'Dwi', 'lineage': None, 'family': 'Asmi', 'honourific': None}}]",0973-7669,Bulletin of Materials Science,2020-02-17 03:49:23,0-11,2020-02-17 03:49:23,451,TRUE,http://repository.lppm.unila.ac.id/id/eprint/17900,public,Indian Academy of Sciences,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31026', 'rev_number': 1, 'docid': 31026, 'main': 'High-Temperature Corrosion of Aluminized AISI 1020 Steel with NaCl and Na2SO4 Deposits\uf0b2.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/150752', 'objectid': 31026, 'filesize': 69921, 'datasetid': 'document', 'filename': 'High-Temperature Corrosion of Aluminized AISI 1020 Steel with NaCl and Na2SO4 Deposits\uf0b2.pdf', 'hash': 'b2800cfb2608252381a086565c60cccf', 'hash_type': 'MD5', 'mtime': '2020-02-05 04:08:02', 'mime_type': 'application/pdf', 'fileid': 150752}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 17900, 'security': 'public', 'placement': 1}]",pub,1,,,,,,,,,,,,,,,,,
